Schl,District Name,School Name,Subject,Group,Grade,N Scored,Pct. Advanced,Pct. Proficient,Pct. Basic,Pct. Below Basic,,
000000029,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Literature,Historically Underperforming,11,37,5.4,62.2,21.6,10.8,,
000005199,AVONWORTH SD,AVONWORTH SHS,Algebra I,All Students,11,94,46.8,38.3,13.8,1.1,,
000005199,AVONWORTH SD,AVONWORTH SHS,Algebra I,Historically Underperforming,11,16,12.5,31.3,50.0,6.3,,
000005199,AVONWORTH SD,AVONWORTH SHS,Biology,All Students,11,94,42.6,39.4,12.8,5.3,,
000005199,AVONWORTH SD,AVONWORTH SHS,Biology,Historically Underperforming,11,16,6.3,31.3,31.3,31.3,,
000005199,AVONWORTH SD,AVONWORTH SHS,Literature,All Students,11,94,17.0,67.0,10.6,5.3,,
000005199,AVONWORTH SD,AVONWORTH SHS,Literature,Historically Underperforming,11,16,0.0,50.0,25.0,25.0,,
000000050,BALDWIN-WHITEHALL SD,BALDWIN SHS,Algebra I,All Students,11,317,17.0,50.8,26.5,5.7,,
000000050,BALDWIN-WHITEHALL SD,BALDWIN SHS,Algebra I,Historically Underperforming,11,123,9.8,37.4,39.0,13.8,,
000000050,BALDWIN-WHITEHALL SD,BALDWIN SHS,Biology,All Students,11,317,27.1,38.5,24.0,10.4,,
000000050,BALDWIN-WHITEHALL SD,BALDWIN SHS,Biology,Historically Underperforming,11,114,12.3,31.6,32.5,23.7,,
000000050,BALDWIN-WHITEHALL SD,BALDWIN SHS,Literature,All Students,11,328,7.0,65.2,21.3,6.4,,
000000050,BALDWIN-WHITEHALL SD,BALDWIN SHS,Literature,Historically Underperforming,11,127,2.4,44.1,37.8,15.7,,
000000062,BETHEL PARK SD,BETHEL PARK SHS,Algebra I,All Students,11,400,19.0,53.0,21.3,6.8,,
000000062,BETHEL PARK SD,BETHEL PARK SHS,Algebra I,Historically Underperforming,11,95,13.7,35.8,26.3,24.2,,
000000062,BETHEL PARK SD,BETHEL PARK SHS,Biology,All Students,11,400,34.0,41.5,15.5,9.0,,
000000062,BETHEL PARK SD,BETHEL PARK SHS,Biology,Historically Underperforming,11,93,17.2,36.6,20.4,25.8,,
000000062,BETHEL PARK SD,BETHEL PARK SHS,Literature,All Students,11,399,10.8,73.9,12.5,2.8,,
000000062,BETHEL PARK SD,BETHEL PARK SHS,Literature,Historically Underperforming,11,92,6.5,58.7,26.1,8.7,,
000000070,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Algebra I,All Students,11,110,13.6,50.9,29.1,6.4,,
000000070,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Algebra I,Historically Underperforming,11,48,4.2,35.4,47.9,12.5,,
000000070,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Biology,All Students,11,110,20.9,46.4,21.8,10.9,,
000000070,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Biology,Historically Underperforming,11,48,4.2,39.6,31.3,25.0,,
000000070,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Literature,All Students,11,111,7.2,78.4,9.0,5.4,,
000000070,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Literature,Historically Underperforming,11,49,0.0,69.4,18.4,12.2,,
000000079,CARLYNTON SD,CARLYNTON JSHS,Algebra I,All Students,11,92,10.9,42.4,40.2,6.5,,
000000079,CARLYNTON SD,CARLYNTON JSHS,Algebra I,Historically Underperforming,11,39,12.8,20.5,56.4,10.3,,
000000079,CARLYNTON SD,CARLYNTON JSHS,Biology,All Students,11,93,14.0,60.2,17.2,8.6,,
000000079,CARLYNTON SD,CARLYNTON JSHS,Biology,Historically Underperforming,11,40,17.5,45.0,25.0,12.5,,
000000079,CARLYNTON SD,CARLYNTON JSHS,Literature,All Students,11,92,5.4,72.8,14.1,7.6,,
000000079,CARLYNTON SD,CARLYNTON JSHS,Literature,Historically Underperforming,11,39,5.1,66.7,20.5,7.7,,
000006706,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Algebra I,All Students,11,263,14.1,58.2,23.6,4.2,,
000006706,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Algebra I,Historically Underperforming,11,88,9.1,48.9,34.1,8.0,,
000006706,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Biology,All Students,11,263,41.4,44.9,9.5,4.2,,
000006706,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Biology,Historically Underperforming,11,88,28.4,40.9,22.7,8.0,,
000006706,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Literature,All Students,11,260,4.6,72.3,17.7,5.4,,
000006706,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Literature,Historically Underperforming,11,85,2.4,56.5,30.6,10.6,,
000007727,CITY CHS,CITY CHS,Algebra I,All Students,11,145,15.9,48.3,23.4,12.4,,
000007727,CITY CHS,CITY CHS,Algebra I,Historically Underperforming,11,90,13.3,44.4,26.7,15.6,,
000007727,CITY CHS,CITY CHS,Biology,All Students,11,145,13.8,42.1,20.7,23.4,,
000007727,CITY CHS,CITY CHS,Biology,Historically Underperforming,11,90,8.9,37.8,26.7,26.7,,
000007727,CITY CHS,CITY CHS,Literature,All Students,11,150,6.7,66.0,22.7,4.7,,
000007727,CITY CHS,CITY CHS,Literature,Historically Underperforming,11,96,5.2,60.4,27.1,7.3,,
000008094,CLAIRTON CITY SD,CLAIRTON MS/HS,Algebra I,All Students,11,49,0.0,20.4,67.3,12.2,,
000008094,CLAIRTON CITY SD,CLAIRTON MS/HS,Algebra I,Historically Underperforming,11,40,0.0,15.0,70.0,15.0,,
000008094,CLAIRTON CITY SD,CLAIRTON MS/HS,Biology,All Students,11,50,0.0,14.0,44.0,42.0,,
000008094,CLAIRTON CITY SD,CLAIRTON MS/HS,Biology,Historically Underperforming,11,40,0.0,10.0,40.0,50.0,,
000008094,CLAIRTON CITY SD,CLAIRTON MS/HS,Literature,All Students,11,49,0.0,38.8,55.1,6.1,,
