Schl,Subject,Group,N Scored,Pct. Advanced,Pct. Proficient,Pct. Basic,Pct. Below Basic
0003,Algebra I,All Students,162,29.6,41.4,21.6,7.4
0003,Algebra I,Historically Underperforming,69,24.6,29.0,30.4,15.9
0003,Biology,All Students,159,23.3,42.1,22.0,12.6
0003,Biology,Historically Underperforming,67,9.0,37.3,28.4,25.4
0003,Literature,All Students,159,11.3,66.0,15.1,7.5
0003,Literature,Historically Underperforming,68,4.4,58.8,20.6,16.2
0017,Algebra I,All Students,276,35.1,42.4,16.3,6.2
0017,Algebra I,Historically Underperforming,99,18.2,42.4,23.2,16.2
0017,Biology,All Students,277,42.2,35.4,13.0,9.4
0017,Biology,Historically Underperforming,100,24.0,37.0,21.0,18.0
0017,Literature,All Students,277,11.2,69.0,14.8,5.1
0017,Literature,Historically Underperforming,100,6.0,55.0,27.0,12.0
6269,Algebra I,All Students,93,17.2,59.1,21.5,2.2
6269,Algebra I,Historically Underperforming,19,5.3,63.2,26.3,5.3
6269,Biology,All Students,93,25.8,43.0,24.7,6.5
6269,Biology,Historically Underperforming,19,21.1,26.3,42.1,10.5
6269,Literature,All Students,93,10.8,71.0,16.1,2.2
6269,Literature,Historically Underperforming,19,0.0,73.7,21.1,5.3
6271,Algebra I,All Students,221,29.4,42.1,20.4,8.1
6271,Algebra I,Historically Underperforming,105,15.2,38.1,32.4,14.3
6271,Biology,All Students,221,26.7,45.7,18.6,9.0
6271,Biology,Historically Underperforming,104,15.4,41.3,26.0,17.3
6271,Literature,All Students,222,9.9,68.9,17.1,4.1
6271,Literature,Historically Underperforming,104,4.8,57.7,30.8,6.7
0014,Algebra I,All Students,137,44.5,39.4,11.7,4.4
0014,Algebra I,Historically Underperforming,43,27.9,34.9,23.3,14.0
0014,Biology,All Students,137,46.0,36.5,12.4,5.1
0014,Biology,Historically Underperforming,42,28.6,35.7,21.4,14.3
0014,Literature,All Students,136,16.2,64.7,14.0,5.1
0014,Literature,Historically Underperforming,42,9.5,54.8,21.4,14.3
0021,Algebra I,All Students,131,18.3,43.5,32.8,5.3
0021,Algebra I,Historically Underperforming,57,8.8,35.1,45.6,10.5
0021,Biology,All Students,130,34.6,36.9,20.8,7.7
0021,Biology,Historically Underperforming,57,17.5,45.6,24.6,12.3
0021,Literature,All Students,131,3.8,71.8,14.5,9.9
0021,Literature,Historically Underperforming,57,0.0,63.2,19.3,17.5
5273,Algebra I,All Students,12,0.0,8.3,58.3,33.3
5273,Algebra I,Historically Underperforming,9,,,,
5273,Biology,All Students,11,0.0,9.1,45.5,45.5
5273,Biology,Historically Underperforming,8,,,,
5273,Literature,All Students,13,0.0,38.5,46.2,15.4
5273,Literature,Historically Underperforming,10,,,,
7846,Algebra I,All Students,12,0.0,0.0,16.7,83.3
7846,Algebra I,Historically Underperforming,11,0.0,0.0,18.2,81.8
7846,Biology,All Students,12,0.0,0.0,0.0,100.0
7846,Biology,Historically Underperforming,11,0.0,0.0,0.0,100.0
7846,Literature,All Students,12,0.0,0.0,16.7,83.3
7846,Literature,Historically Underperforming,11,0.0,0.0,9.1,90.9
0029,Algebra I,All Students,58,17.2,53.4,24.1,5.2
0029,Algebra I,Historically Underperforming,27,7.4,59.3,22.2,11.1
0029,Biology,All Students,56,25.0,48.2,16.1,10.7
0029,Biology,Historically Underperforming,24,20.8,41.7,16.7,20.8
0029,Literature,All Students,58,10.3,72.4,13.8,3.4
0029,Literature,Historically Underperforming,26,7.7,65.4,19.2,7.7
5199,Algebra I,All Students,127,30.7,46.5,16.5,6.3
5199,Algebra I,Historically Underperforming,34,17.6,35.3,29.4,17.6
5199,Biology,All Students,126,39.7,35.7,16.7,7.9
5199,Biology,Historically Underperforming,34,14.7,35.3,29.4,20.6
5199,Literature,All Students,120,18.3,66.7,13.3,1.7
5199,Literature,Historically Underperforming,32,12.5,50.0,31.3,6.3
0050,Algebra I,All Students,312,28.8,46.2,20.5,4.5
0050,Algebra I,Historically Underperforming,108,13.0,36.1,39.8,11.1
0050,Biology,All Students,308,39.6,37.7,16.6,6.2
0050,Biology,Historically Underperforming,105,21.0,31.4,29.5,18.1
0050,Literature,All Students,312,12.2,69.9,14.7,3.2
0050,Literature,Historically Underperforming,108,5.6,57.4,27.8,9.3
0062,Algebra I,All Students,342,27.8,46.8,19.0,6.4
0062,Algebra I,Historically Underperforming,93,15.1,32.3,30.1,22.6
0062,Biology,All Students,342,32.7,46.2,13.5,7.6
0062,Biology,Historically Underperforming,93,14.0,37.6,23.7,24.7
0062,Literature,All Students,341,11.7,74.2,10.3,3.8
0062,Literature,Historically Underperforming,93,9.7,54.8,21.5,14.0
0070,Algebra I,All Students,74,12.2,58.1,23.0,6.8
0070,Algebra I,Historically Underperforming,35,5.7,45.7,34.3,14.3
0070,Biology,All Students,74,25.7,43.2,20.3,10.8
0070,Biology,Historically Underperforming,35,11.4,42.9,25.7,20.0
0070,Literature,All Students,74,6.8,70.3,21.6,1.4
0070,Literature,Historically Underperforming,35,0.0,60.0,37.1,2.9
0079,Algebra I,All Students,93,4.3,62.4,29.0,4.3
0079,Algebra I,Historically Underperforming,40,2.5,50.0,37.5,10.0
0079,Biology,All Students,93,24.7,55.9,17.2,2.2
0079,Biology,Historically Underperforming,40,10.0,60.0,25.0,5.0
0079,Literature,All Students,93,9.7,75.3,11.8,3.2
0079,Literature,Historically Underperforming,40,0.0,75.0,17.5,7.5
6706,Algebra I,All Students,240,11.3,60.0,25.0,3.8
6706,Algebra I,Historically Underperforming,84,4.8,54.8,29.8,10.7
6706,Biology,All Students,240,35.8,42.5,14.6,7.1
6706,Biology,Historically Underperforming,85,24.7,37.6,21.2,16.5
6706,Literature,All Students,234,6.8,68.8,16.7,7.7
6706,Literature,Historically Underperforming,80,3.8,61.3,22.5,12.5
7727,Algebra I,All Students,137,8.8,33.6,40.1,17.5
7727,Algebra I,Historically Underperforming,102,7.8,29.4,41.2,21.6
7727,Biology,All Students,138,15.9,32.6,28.3,23.2
7727,Biology,Historically Underperforming,102,12.7,30.4,31.4,25.5
7727,Literature,All Students,139,5.0,66.2,23.7,5.0
7727,Literature,Historically Underperforming,103,1.9,66.0,25.2,6.8
8094,Algebra I,All Students,40,5.0,30.0,57.5,7.5
8094,Algebra I,Historically Underperforming,33,3.0,27.3,60.6,9.1
8094,Biology,All Students,40,7.5,32.5,37.5,22.5
8094,Biology,Historically Underperforming,33,3.0,33.3,36.4,27.3
8094,Literature,All Students,39,2.6,53.8,35.9,7.7
8094,Literature,Historically Underperforming,32,0.0,56.3,34.4,9.4
8087,Algebra I,All Students,39,2.6,25.6,53.8,17.9
8087,Algebra I,Historically Underperforming,39,2.6,25.6,53.8,17.9
8087,Biology,All Students,39,12.8,25.6,38.5,23.1
8087,Biology,Historically Underperforming,39,12.8,25.6,38.5,23.1
8087,Literature,All Students,39,0.0,51.3,38.5,10.3
8087,Literature,Historically Underperforming,39,0.0,51.3,38.5,10.3
0513,Algebra I,All Students,127,14.2,48.0,29.9,7.9
0513,Algebra I,Historically Underperforming,44,9.1,22.7,50.0,18.2
0513,Biology,All Students,132,27.3,42.4,24.2,6.1
0513,Biology,Historically Underperforming,47,17.0,27.7,40.4,14.9
0513,Literature,All Students,131,16.8,55.0,19.1,9.2
0513,Literature,Historically Underperforming,47,8.5,44.7,29.8,17.0
8340,Algebra I,All Students,99,9.1,31.3,28.3,31.3
8340,Algebra I,Historically Underperforming,53,9.4,30.2,24.5,35.8
8340,Biology,All Students,102,12.7,35.3,25.5,26.5
8340,Biology,Historically Underperforming,56,8.9,35.7,23.2,32.1
8340,Literature,All Students,102,2.0,40.2,40.2,17.6
8340,Literature,Historically Underperforming,56,1.8,35.7,42.9,19.6
0144,Algebra I,All Students,182,6.0,61.0,27.5,5.5
0144,Algebra I,Historically Underperforming,63,1.6,38.1,46.0,14.3
0144,Biology,All Students,177,20.9,48.6,18.1,12.4
0144,Biology,Historically Underperforming,63,6.3,44.4,27.0,22.2
0144,Literature,All Students,166,5.4,71.1,18.1,5.4
0144,Literature,Historically Underperforming,54,1.9,53.7,31.5,13.0
5016,Algebra I,All Students,16,12.5,18.8,18.8,50.0
