Schl,Subject,Group,N Scored,Pct. Advanced,Pct. Proficient,Pct. Basic,Pct. Below Basic
0003,Algebra I,All Students,137,27.0,45.3,22.6,5.1
0003,Algebra I,Historically Underperforming,60,8.3,45.0,36.7,10.0
0003,Biology,All Students,138,29.7,37.0,24.6,8.7
0003,Biology,Historically Underperforming,60,11.7,35.0,36.7,16.7
0003,Literature,All Students,138,13.8,71.0,13.0,2.2
0003,Literature,Historically Underperforming,60,1.7,71.7,21.7,5.0
0017,Algebra I,All Students,252,34.1,38.1,20.6,7.1
0017,Algebra I,Historically Underperforming,95,17.9,35.8,29.5,16.8
0017,Biology,All Students,253,37.9,36.4,15.4,10.3
0017,Biology,Historically Underperforming,94,19.1,35.1,22.3,23.4
0017,Literature,All Students,256,12.9,59.8,19.9,7.4
0017,Literature,Historically Underperforming,97,5.2,45.4,32.0,17.5
6269,Algebra I,All Students,69,36.2,52.2,5.8,5.8
6269,Algebra I,Historically Underperforming,19,31.6,31.6,15.8,21.1
6269,Biology,All Students,71,26.8,56.3,9.9,7.0
6269,Biology,Historically Underperforming,19,15.8,52.6,5.3,26.3
6269,Literature,All Students,69,10.1,72.5,11.6,5.8
6269,Literature,Historically Underperforming,19,0.0,63.2,15.8,21.1
6271,Algebra I,All Students,322,24.5,48.4,20.8,6.2
6271,Algebra I,Historically Underperforming,119,10.1,42.9,31.1,16.0
6271,Biology,All Students,325,29.2,40.0,23.4,7.4
6271,Biology,Historically Underperforming,121,12.4,35.5,36.4,15.7
6271,Literature,All Students,325,11.4,71.1,12.9,4.6
6271,Literature,Historically Underperforming,122,3.3,60.7,25.4,10.7
0014,Algebra I,All Students,127,26.0,58.3,12.6,3.1
0014,Algebra I,Historically Underperforming,45,15.6,51.1,24.4,8.9
0014,Biology,All Students,127,38.6,41.7,10.2,9.4
0014,Biology,Historically Underperforming,45,26.7,37.8,15.6,20.0
0014,Literature,All Students,127,8.7,73.2,14.2,3.9
0014,Literature,Historically Underperforming,45,6.7,60.0,22.2,11.1
0021,Algebra I,All Students,114,21.9,44.7,28.1,5.3
0021,Algebra I,Historically Underperforming,53,11.3,43.4,37.7,7.5
0021,Biology,All Students,113,35.4,37.2,24.8,2.7
0021,Biology,Historically Underperforming,52,25.0,38.5,30.8,5.8
0021,Literature,All Students,112,5.4,72.3,21.4,0.9
0021,Literature,Historically Underperforming,51,2.0,62.7,33.3,2.0
7846,Algebra I,All Students,14,0.0,0.0,7.1,92.9
7846,Algebra I,Historically Underperforming,13,0.0,0.0,7.7,92.3
7846,Biology,All Students,15,0.0,0.0,20.0,80.0
7846,Biology,Historically Underperforming,13,0.0,0.0,15.4,84.6
7846,Literature,All Students,12,0.0,8.3,16.7,75.0
7846,Literature,Historically Underperforming,12,0.0,8.3,16.7,75.0
0029,Algebra I,All Students,83,12.0,53.0,27.7,7.2
0029,Algebra I,Historically Underperforming,37,8.1,40.5,35.1,16.2
0029,Biology,All Students,82,24.4,37.8,30.5,7.3
0029,Biology,Historically Underperforming,36,13.9,33.3,38.9,13.9
0029,Literature,All Students,83,6.0,72.3,14.5,7.2
0029,Literature,Historically Underperforming,37,5.4,62.2,21.6,10.8
5199,Algebra I,All Students,94,46.8,38.3,13.8,1.1
5199,Algebra I,Historically Underperforming,16,12.5,31.3,50.0,6.3
5199,Biology,All Students,94,42.6,39.4,12.8,5.3
