Schl,Subject,Group,N Scored,Pct. Advanced,Pct. Proficient,Pct. Basic,Pct. Below Basic
7727,Biology,Historically Underperforming,85,10.6,22.4,40.0,27.1
7727,Literature,All Students,123,7.3,59.3,22.8,10.6
7727,Literature,Historically Underperforming,87,4.6,55.2,25.3,14.9
8094,Algebra I,All Students,37,8.1,43.2,35.1,13.5
8094,Algebra I,Historically Underperforming,33,6.1,45.5,33.3,15.2
8094,Biology,All Students,35,5.7,37.1,22.9,34.3
8094,Biology,Historically Underperforming,31,6.5,32.3,25.8,35.5
8094,Literature,All Students,36,2.8,50.0,25.0,22.2
8094,Literature,Historically Underperforming,32,3.1,46.9,25.0,25.0
8087,Algebra I,All Students,46,4.3,28.3,39.1,28.3
8087,Algebra I,Historically Underperforming,41,4.9,24.4,39.0,31.7
8087,Biology,All Students,46,10.9,39.1,28.3,21.7
8087,Biology,Historically Underperforming,41,7.3,39.0,29.3,24.4
8087,Literature,All Students,46,4.3,45.7,37.0,13.0
8087,Literature,Historically Underperforming,41,2.4,41.5,41.5,14.6
0513,Algebra I,All Students,112,29.5,40.2,22.3,8.0
0513,Algebra I,Historically Underperforming,41,19.5,36.6,26.8,17.1
0513,Biology,All Students,114,32.5,39.5,24.6,3.5
0513,Biology,Historically Underperforming,42,26.2,31.0,33.3,9.5
0513,Literature,All Students,112,18.8,62.5,14.3,4.5
0513,Literature,Historically Underperforming,40,10.0,55.0,27.5,7.5
8340,Algebra I,All Students,112,1.8,33.0,37.5,27.7
8340,Algebra I,Historically Underperforming,59,0.0,22.0,42.4,35.6
8340,Biology,All Students,115,7.8,27.8,34.8,29.6
8340,Biology,Historically Underperforming,62,1.6,19.4,45.2,33.9
8340,Literature,All Students,114,1.8,48.2,35.1,14.9
8340,Literature,Historically Underperforming,61,0.0,39.3,41.0,19.7
0144,Algebra I,All Students,146,29.5,48.6,20.5,1.4
0144,Algebra I,Historically Underperforming,48,16.7,47.9,31.3,4.2
0144,Biology,All Students,152,31.6,49.3,14.5,4.6
0144,Biology,Historically Underperforming,56,19.6,42.9,26.8,10.7
0144,Literature,All Students,138,19.6,58.7,15.9,5.8
0144,Literature,Historically Underperforming,48,8.3,47.9,29.2,14.6
5016,Algebra I,All Students,11,0.0,27.3,36.4,36.4
5016,Algebra I,Historically Underperforming,8,,,,
5016,Biology,All Students,11,0.0,27.3,18.2,54.5
5016,Biology,Historically Underperforming,8,,,,
5016,Literature,All Students,8,,,,
5016,Literature,Historically Underperforming,6,,,,
