Schl,Subject,Group,N Scored,Pct. Advanced,Pct. Proficient,Pct. Basic,Pct. Below Basic
8471,Algebra I,All Students,3,,,,
8471,Biology,All Students,1,,,,
8471,Literature,All Students,1,,,,
0003,Algebra I,All Students,135,32.6,42.2,23.7,1.5
0003,Algebra I,Historically Underperforming,37,24.3,35.1,37.8,2.7
0003,Biology,All Students,36,72.2,16.7,11.1,0.0
0003,Biology,Historically Underperforming,6,,,,
0003,Literature,All Students,87,13.8,86.2,0.0,0.0
0003,Literature,Historically Underperforming,18,22.2,77.8,0.0,0.0
0017,Algebra I,All Students,227,37.4,43.6,14.5,4.4
0017,Algebra I,Historically Underperforming,78,24.4,41.0,21.8,12.8
0017,Biology,All Students,40,52.5,12.5,30.0,5.0
0017,Biology,Historically Underperforming,15,33.3,20.0,40.0,6.7
0017,Literature,All Students,14,0.0,14.3,50.0,35.7
0017,Literature,Historically Underperforming,9,,,,
6269,Algebra I,All Students,75,26.7,37.3,30.7,5.3
6269,Algebra I,Historically Underperforming,16,25.0,37.5,25.0,12.5
6269,Biology,All Students,40,42.5,37.5,17.5,2.5
6269,Biology,Historically Underperforming,9,,,,
6271,Algebra I,All Students,194,38.1,42.3,17.0,2.6
6271,Algebra I,Historically Underperforming,60,16.7,46.7,28.3,8.3
6271,Biology,All Students,27,44.4,14.8,29.6,11.1
6271,Biology,Historically Underperforming,10,,,,
6271,Literature,All Students,11,9.1,27.3,36.4,27.3
6271,Literature,Historically Underperforming,8,,,,
0014,Algebra I,All Students,145,27.6,42.8,23.4,6.2
0014,Algebra I,Historically Underperforming,30,10.0,20.0,46.7,23.3
0014,Biology,All Students,142,43.7,31.7,16.2,8.5
0014,Biology,Historically Underperforming,30,33.3,6.7,30.0,30.0
0014,Literature,All Students,6,,,,
0014,Literature,Historically Underperforming,5,,,,
0021,Algebra I,All Students,124,24.2,36.3,31.5,8.1
0021,Algebra I,Historically Underperforming,55,14.5,27.3,40.0,18.2
0021,Biology,All Students,12,0.0,16.7,50.0,33.3
0021,Biology,Historically Underperforming,8,,,,
0021,Literature,All Students,3,,,,
0021,Literature,Historically Underperforming,3,,,,
5273,Algebra I,All Students,4,,,,
5273,Algebra I,Historically Underperforming,2,,,,
5273,Biology,All Students,3,,,,
5273,Biology,Historically Underperforming,2,,,,
0029,Algebra I,All Students,61,18.0,42.6,32.8,6.6
0029,Algebra I,Historically Underperforming,26,15.4,38.5,38.5,7.7
0029,Biology,All Students,28,57.1,35.7,3.6,3.6
0029,Biology,Historically Underperforming,11,54.5,27.3,9.1,9.1
0029,Literature,All Students,3,,,,
0029,Literature,Historically Underperforming,2,,,,
5199,Algebra I,All Students,114,34.2,32.5,26.3,7.0
5199,Algebra I,Historically Underperforming,32,12.5,37.5,34.4,15.6
5199,Biology,All Students,81,40.7,42.0,16.0,1.2
5199,Biology,Historically Underperforming,13,38.5,30.8,30.8,0.0
0050,Algebra I,All Students,297,30.0,29.6,32.0,8.4
0050,Algebra I,Historically Underperforming,91,26.4,22.0,34.1,17.6
0050,Biology,All Students,321,36.1,30.5,21.5,11.8
0050,Biology,Historically Underperforming,111,30.6,21.6,20.7,27.0
0062,Algebra I,All Students,280,29.6,47.5,18.6,4.3
0062,Algebra I,Historically Underperforming,61,21.3,31.1,31.1,16.4
0062,Biology,All Students,112,58.0,31.3,8.9,1.8
0062,Biology,Historically Underperforming,12,41.7,25.0,16.7,16.7
0062,Literature,All Students,3,,,,
0062,Literature,Historically Underperforming,2,,,,
0070,Algebra I,All Students,74,17.6,37.8,43.2,1.4
0070,Algebra I,Historically Underperforming,33,15.2,33.3,51.5,0.0
0070,Biology,All Students,59,39.0,39.0,20.3,1.7
0070,Biology,Historically Underperforming,28,25.0,46.4,28.6,0.0
0070,Literature,All Students,2,,,,
0070,Literature,Historically Underperforming,1,,,,
0079,Algebra I,All Students,80,16.3,30.0,36.3,17.5
0079,Algebra I,Historically Underperforming,35,11.4,31.4,34.3,22.9
0079,Biology,All Students,76,28.9,28.9,30.3,11.8
0079,Biology,Historically Underperforming,33,21.2,36.4,24.2,18.2
6706,Algebra I,All Students,209,15.8,38.3,34.0,12.0
6706,Algebra I,Historically Underperforming,59,3.4,22.0,44.1,30.5
6706,Biology,All Students,212,30.7,34.0,22.2,13.2
6706,Biology,Historically Underperforming,66,15.2,21.2,27.3,36.4
7727,Biology,All Students,133,1.5,15.8,40.6,42.1
7727,Biology,Historically Underperforming,93,1.1,9.7,40.9,48.4
8094,Algebra I,All Students,49,2.0,22.4,61.2,14.3
8094,Algebra I,Historically Underperforming,44,2.3,18.2,63.6,15.9
8094,Biology,All Students,26,11.5,26.9,46.2,15.4
8094,Biology,Historically Underperforming,21,9.5,19.0,52.4,19.0
8094,Literature,All Students,9,,,,
8094,Literature,Historically Underperforming,9,,,,
8087,Algebra I,All Students,35,0.0,31.4,51.4,17.1
8087,Algebra I,Historically Underperforming,23,0.0,17.4,56.5,26.1
8087,Biology,All Students,21,23.8,38.1,28.6,9.5
8087,Biology,Historically Underperforming,12,8.3,33.3,41.7,16.7
8087,Literature,All Students,3,,,,
8087,Literature,Historically Underperforming,3,,,,
0513,Algebra I,All Students,148,19.6,33.8,27.0,19.6
0513,Algebra I,Historically Underperforming,48,8.3,14.6,41.7,35.4
0513,Biology,All Students,148,19.6,31.1,35.1,14.2
0513,Biology,Historically Underperforming,47,8.5,19.1,44.7,27.7
8340,Algebra I,All Students,41,29.3,24.4,17.1,29.3
8340,Algebra I,Historically Underperforming,27,18.5,18.5,22.2,40.7
8340,Biology,All Students,39,43.6,28.2,5.1,23.1
8340,Biology,Historically Underperforming,23,26.1,30.4,4.3,39.1
8340,Literature,All Students,5,,,,
8340,Literature,Historically Underperforming,5,,,,
0144,Algebra I,All Students,172,14.5,44.8,26.2,14.5
0144,Algebra I,Historically Underperforming,64,7.8,28.1,31.3,32.8
0144,Biology,All Students,173,24.3,41.0,18.5,16.2
0144,Biology,Historically Underperforming,65,9.2,32.3,21.5,36.9
5016,Algebra I,All Students,13,0.0,7.7,46.2,46.2
5016,Algebra I,Historically Underperforming,8,,,,
5016,Biology,All Students,12,16.7,16.7,25.0,41.7
5016,Biology,Historically Underperforming,6,,,,
5016,Literature,All Students,11,0.0,36.4,18.2,45.5
5016,Literature,Historically Underperforming,8,,,,
0156,Algebra I,All Students,315,55.2,31.4,10.8,2.5
0156,Algebra I,Historically Underperforming,73,26.0,35.6,28.8,9.6
0156,Biology,All Students,241,74.3,23.2,2.5,0.0
0156,Biology,Historically Underperforming,32,53.1,40.6,6.3,0.0
0156,Literature,All Students,2,,,,
0170,Algebra I,All Students,176,28.4,34.7,26.1,10.8
0170,Algebra I,Historically Underperforming,66,13.6,31.8,31.8,22.7
0170,Biology,All Students,95,66.3,13.7,9.5,10.5
0170,Biology,Historically Underperforming,33,39.4,9.1,21.2,30.3
0170,Literature,All Students,57,45.6,50.9,3.5,0.0
0170,Literature,Historically Underperforming,12,16.7,66.7,16.7,0.0
5190,Algebra I,All Students,238,43.3,43.7,10.5,2.5
5190,Algebra I,Historically Underperforming,39,17.9,46.2,23.1,12.8
5190,Biology,All Students,208,56.3,36.1,7.7,0.0
5190,Biology,Historically Underperforming,21,33.3,47.6,19.0,0.0
5190,Literature,All Students,1,,,,
5190,Literature,Historically Underperforming,1,,,,
5153,Algebra I,All Students,127,11.8,40.2,33.9,14.2
5153,Algebra I,Historically Underperforming,56,5.4,33.9,35.7,25.0
5153,Biology,All Students,140,7.9,23.6,37.9,30.7
5153,Biology,Historically Underperforming,65,3.1,18.5,32.3,46.2
5153,Literature,All Students,4,,,,
5153,Literature,Historically Underperforming,2,,,,
5112,Algebra I,All Students,128,25.8,40.6,26.6,7.0
5112,Algebra I,Historically Underperforming,50,16.0,34.0,40.0,10.0
5112,Biology,All Students,131,27.5,37.4,21.4,13.7
5112,Biology,Historically Underperforming,53,17.0,34.0,26.4,22.6
5112,Literature,All Students,4,,,,
5112,Literature,Historically Underperforming,4,,,,
6105,Algebra I,All Students,148,6.1,15.5,38.5,39.9
6105,Algebra I,Historically Underperforming,74,5.4,10.8,37.8,45.9
6105,Biology,All Students,25,4.0,8.0,36.0,52.0
6105,Biology,Historically Underperforming,17,0.0,0.0,47.1,52.9
6105,Literature,All Students,14,0.0,21.4,28.6,50.0
6105,Literature,Historically Underperforming,11,0.0,27.3,27.3,45.5
6672,Algebra I,All Students,3,,,,
6672,Algebra I,Historically Underperforming,3,,,,
6672,Biology,All Students,1,,,,
6672,Biology,Historically Underperforming,1,,,,
6672,Literature,All Students,2,,,,
6672,Literature,Historically Underperforming,2,,,,
5017,Algebra I,All Students,157,46.5,45.9,7.0,0.6
5017,Algebra I,Historically Underperforming,37,35.1,48.6,13.5,2.7
5017,Biology,All Students,206,26.7,45.1,20.4,7.8
5017,Biology,Historically Underperforming,61,16.4,32.8,32.8,18.0
5017,Literature,All Students,13,7.7,76.9,15.4,0.0
5017,Literature,Historically Underperforming,1,,,,
4951,Algebra I,All Students,267,34.1,44.9,17.2,3.7
4951,Algebra I,Historically Underperforming,68,10.3,32.4,44.1,13.2
4951,Biology,All Students,121,75.2,17.4,5.0,2.5
4951,Biology,Historically Underperforming,18,44.4,16.7,22.2,16.7
4951,Literature,All Students,2,,,,
4951,Literature,Historically Underperforming,2,,,,
0254,Algebra I,All Students,422,41.5,44.3,10.9,3.3
0254,Algebra I,Historically Underperforming,87,17.2,41.4,27.6,13.8
0254,Biology,All Students,11,27.3,36.4,18.2,18.2
0254,Biology,Historically Underperforming,7,,,,
0254,Literature,All Students,3,,,,
