2014-15 Low Income Schools Percent Low Income,,,,
Private and Nonpublic Schools,,,,
,,,,
AUN,School Name,County Name,School District,Percent
226510039,63rd Street Multicultural Academy of Academic Excellence,Philadelphia,Philadelphia City SD,91.4
226510075,63rd Street Multicultural Academy of Academic Excellence,Philadelphia,Philadelphia City SD,100
300260090,A G Montessori School,Fayette,Laurel Highlands SD,0
325230047,Aardvark Child Care and Learning Center Inc,Delaware,Garnet Valley SD,50
219357281,Abington Christian Academy,Lackawanna,Valley View SD,29.4
223460102,Abington Friends School,Montgomery,Abington SD,0
300460400,Abington Presbyterian Nursery School,Montgomery,Abington SD,0
222090052,Abrams Hebrew Academy,Bucks,Pennsbury SD,0
203020115,Abundant Life International School,Allegheny,Northgate SD,75
300020115,Academy,Allegheny,Pittsburgh SD,0
326510076,Academy in Manayunk,Montgomery,Colonial SD,0
226515700,Academy of Essential Knowledge,Philadelphia,Philadelphia City SD,87.9
225230202,Academy of Notre Dame,Delaware,Radnor Township SD,1.5
223460152,Academy of the New Ch Boys,Montgomery,Bryn Athyn SD,0
223460162,Academy of the New Ch Girls,Montgomery,Bryn Athyn SD,0
300020150,ACLD Tillotson School,Allegheny,Baldwin-Whitehall SD,29.7
300181250,Acorn School,Clinton,Keystone Central SD,0
212010253,Adams Co Christian Academy,Adams,Gettysburg Area SD,8.9
226511712,Adelaide Educational Academy Center,Philadelphia,Philadelphia City SD,100
308070011,Adelphoi Education at Altoona,Blair,Altoona Area SD,100
301260001,Adelphoi Education at Fairchance,Fayette,Connellsville Area SD,100
307650036,Adelphoi Education at Hartford Heights,Westmoreland,Norwin SD,66.7
303020086,Adelphoi Education at Millvale,Allegheny,Shaler Area SD,100
321130000,Adventure Learning Center,Carbon,Jim Thorpe Area SD,100
300650560,Agape Day Treatment Program,Westmoreland,Monessen City SD,100
300020180,AGH Center for Children,Allegheny,Pittsburgh SD,0
225239002,Agnes Irwin School,Delaware,Radnor Township SD,0
213360009,Airport View Parochial Mennonite School,Lancaster,Warwick SD,0
215210009,Al Huda School,Cumberland,West Shore SD,25.6
226510055,Al Mosheh Shule of Positive Ed,Philadelphia,Philadelphia City SD,0
218400001,Al Noor Islamic Academy,Luzerne,Wilkes-Barre Area SD,0
226510132,Al-Aqsa Islamic School,Philadelphia,Philadelphia City SD,100
206160034,Alexander Amish School,Clarion,North Clarion County SD,0
300460560,All Hallows Episcopal Nursery School,Montgomery,Cheltenham SD,0
219359001,All Saints Academy,Lackawanna,Scranton SD,34
208117805,All Saints Catholic School,Cambria,Penn Cambria SD,26.1
226510026,All Saints Episcopal School,Philadelphia,Philadelphia City SD,0
206330012,Allens Mills School,Jefferson,Brockway Area SD,0
221390202,Allentown Central Catholic HS,Lehigh,Allentown City SD,19
211440003,Allison Gap School,Mifflin,Mifflin County SD,0
226510232,Alpha House Nursery & Kdg,Philadelphia,Philadelphia City SD,0
228320009,Ambrose Amish Par,Indiana,Marion Center Area SD,0
213360074,Amish Road School,Lancaster,Pequea Valley SD,0
213360402,Amsterdam School,Lancaster,Eastern Lancaster County SD,0
212280303,Anchor Christian Day School,Franklin,Chambersburg Area SD,0
223460502,Ancillae Assumpta Academy,Montgomery,Cheltenham SD,0
300240500,Anne Forbes Nursery School,Elk,Ridgway Area SD,0
212280503,Antrim Mennonite School,Franklin,Greencastle-Antrim SD,0
213360452,Apple Grove School,Lancaster,Eastern Lancaster County SD,0
204370254,Apple Grove School,Lawrence,Wilmington Area SD,0
207650205,Aquinas Academy,Westmoreland,Greensburg Salem SD,13.1
203020355,Aquinas Academy,Allegheny,Hampton Township SD,1.2
300157550,ARC of Chester County,Chester,West Chester Area SD,0
225230602,Archbishop John Carroll HS,Delaware,Radnor Township SD,4.1
226510452,Archbishop Ryan High School,Philadelphia,Philadelphia City SD,37.2
226510502,Archbishop Ryan Sch Deaf and Hard of Hearing Children,Philadelphia,Interboro SD,40
222090252,Archbishop Wood Catholic HS,Bucks,Centennial SD,0.5
207650755,Armbrust Wesleyan Chrst Acad,Westmoreland,Mount Pleasant Area SD,0
300460220,Armenian Sisters Academy,Montgomery,Upper Merion Area SD,1.1
215220243,Armstrong Valley Christian Sch,Dauphin,Halifax Area SD,40
224150272,Ashville Parochial School,Chester,Oxford Area SD,0
224150502,Assumption BVM School,Chester,Avon Grove SD,8.7
229548702,Assumption BVM School,Schuylkill,Pottsville Area SD,22.8
203020405,Assumption School,Allegheny,Northgate SD,22.7
322090040,ATG Learning Academy,Bucks,Central Bucks SD,0
205200204,Atlantic Amish School,Crawford,Conneaut SD,32
216490004,Augustaville Amish Parochial School,Northumberland,Shikellamy SD,0
228320555,Aultman Baptist Church Academy,Indiana,Homer-Center SD,0
224150562,Avon Grove Nazarene Academy,Chester,Avon Grove SD,0
211441003,Back Mountain Amish School,Mifflin,Mifflin County SD,0
300460900,Bala House,Montgomery,Lower Merion SD,19.2
210180503,Bald Eagle Boys Camp School,Clinton,Keystone Central SD,97.5
217410002,Bald Eagle School,Lycoming,Montgomery Area SD,0
223469252,Baldwin School,Montgomery,Lower Merion SD,0
216550000,Bannerville Hill Amish School,Snyder,Midd-West SD,0
211440008,Barefoot School,Mifflin,Mifflin County SD,0
211441203,Barrville Amish School,Mifflin,Mifflin County SD,0
213360565,Bartview School,Lancaster,Solanco SD,0
213360602,Bartville Amish School,Lancaster,Solanco SD,0
304100000,BCCC Childrens Creative Learning Center,Butler,Butler Area SD,0
206330014,Bear Lane School,Jefferson,Punxsutawney Area SD,0
206160000,Bear Run School,Clarion,Keystone  SD,0
227040835,Beaver Co Christian -West Park Elem,Beaver,Blackhawk SD,20.3
227040805,Beaver Co Christian Sch -Upper,Beaver,Big Beaver Falls Area SD,17.1
213360612,Beaver Dam School,Lancaster,Pequea Valley SD,0
216490103,Beaver Run Parochial School,Northampton,Warrior Run SD,0
216600503,Beaver Run School,Union,Lewisburg Area SD,0
213360582,Beaver Valley Amish Paroch Sch,Lancaster,Lampeter-Strasburg SD,0
205620254,Beaver Valley Amish School,Warren,Warren County SD,100
300041580,Beaver Valley Montessori School,Beaver,Beaver Area SD,0
213360622,Beilers School,Lancaster,Pequea Valley SD,0
213360592,Bell School,Lancaster,Solanco SD,0
213360016,Bellaire Ridge School,Lancaster,Elizabethtown Area SD,0
300140500,Bellefonte Playschool of FUMC,Centre,Bellefonte Area SD,0
211441053,Belleville Mennonite School,Mifflin,Mifflin County SD,28.8
202020555,Bellwood Kindergarten,Allegheny,North Allegheny SD,0
213360632,Belmont Special Education Sch,Lancaster,Pequea Valley SD,0
300230300,Benchmark School,Delaware,Rose Tree Media SD,0
310140003,Bennett Family Center,Centre,State College Area SD,0
222090852,Bensalem Baptist School,Bucks,Bensalem Township SD,0
214062752,Berks Catholic High School,Berks,Reading SD,29.4
214060782,Berks Christian School,Berks,Exeter Township SD,25.9
224150003,Beth Israel Kindergarten,Chester,Downingtown Area SD,0
211441033,Beth-El Christian Day School,Mifflin,Mifflin County SD,0
224150922,Bethany Christian School,Chester,Oxford Area SD,0
214060005,Bethany Learning Center,Berks,Reading SD,50
213360572,Bethany Parochial School,Lancaster,Eastern Lancaster County SD,0
226510512,Bethel Baptist Academy,Philadelphia,Philadelphia City SD,43.4
223460012,Bethel Christian Academy,Montgomery,Cheltenham SD,46.7
227041005,Bethel Christian School,Beaver,Hopewell Area SD,0
300250720,Bethel Christian School of Erie,Erie,Erie City SD,20.2
214060602,Bethel Dnkrd Breth Chrst Sch,Berks,Tulpehocken Area SD,0
300650750,Bethel Nursery School,Westmoreland,Burrell SD,0
220480502,Bethlehem Catholic High School,Northampton,Bethlehem Area SD,13.7
220480532,Bethlehem Christian School,Northampton,Bethlehem Area SD,10.1
220480552,Bethlehem Christian School,Northampton,Bethlehem Area SD,11.7
226510029,Better Way Christian Academy,Philadelphia,Philadelphia City SD,100
226510695,Beulah Bapt Christian Day Sch,Philadelphia,Philadelphia City SD,32.1
201260755,Bible Baptist Academy,Fayette,Uniontown Area SD,100
212671503,Bible Baptist Christian Academy,York,Northeastern York SD,0
207650905,Bible Baptist Chrst Academy,Westmoreland,Greater Latrobe SD,29.6
300518770,Big Backyard,Philadelphia,Philadelphia City SD,0
202021005,Bishop Canevin High School,Allegheny,Pittsburgh SD,11.6
208110505,Bishop Carroll High School,Cambria,Central Cambria SD,16.8
208071005,Bishop Guilfoyle Catholic High School,Blair,Altoona Area SD,10.3
208110755,Bishop McCort High School,Cambria,Greater Johnstown SD,23.9
215221003,Bishop McDevitt High School,Dauphin,Central Dauphin SD,24.3
223460702,Bishop McDevitt High School,Montgomery,Cheltenham SD,18.3
224151502,Bishop Shanahan High School,Chester,Downingtown Area SD,13.1
213360652,Black Creek School,Lancaster,Eastern Lancaster County SD,0
211341503,Black Rock Amish School,Juniata,Juniata County SD,0
213360066,Blackhorse School,Lancaster,Pequea Valley SD,0
226510682,Blair Christian Acad & Presch,Philadelphia,Philadelphia City SD,58.5
208071055,Blair County Christian School,Blair,Hollidaysburg Area SD,0
203025445,Blessed Francis Seelos Academy,Allegheny,Pine-Richland SD,3.3
205250504,Blessed Sacrament School,Erie,Erie City SD,30.5
203027365,Blessed Trinity Academy,Allegheny,Fox Chapel Area SD,18.5
226519422,Blessed Trinity Regional Catholic School,Philadelphia,Philadelphia City SD,33
225231202,Blessed Virgin Mary School,Delaware,William Penn SD,54.9
205201204,Blooming Valley Mennonite School,Crawford,Penncrest SD,0
216190503,Bloomsburg Christian School,Columbia,Bloomsburg Area SD,0
206330010,Blose Hill Amish School,Jefferson,Punxsutawney Area SD,0
