2013-14 Percent of Low Income by School,,,,
Private and Nonpublic Schools,,,,
,,,,
AUN,School Name,County Name,School District,Percent
217080003,South Hill Amish School,Bradford,Northeast Bradford SD,0
217087001,St Agnes Elementary School,Bradford,Towanda Area SD,17.1
217080201,Union Valley Christian School,Bradford,Northeast Bradford SD,0
217089001,Valley View Amish School,Bradford,Northeast Bradford SD,0
222090052,Abrams Hebrew Academy,Bucks,Pennsbury SD,0
222090252,Archbishop Wood Catholic HS,Bucks,Centennial SD,0.3
322090040,ATG Learning Academy,Bucks,Central Bucks SD,0
222090852,Bensalem Baptist School,Bucks,Bensalem Township SD,18.6
222099102,Buckingham Friends School,Bucks,Central Bucks SD,0
322090080,Bucks Learning Academy,Bucks,Central Bucks SD,0
300090635,Buxmont Academy,Bucks,Neshaminy SD,0
300091200,Buxmont Academy,Bucks,Pennridge SD,0
300090645,Calvary Christian School,Bucks,Pennsbury SD,4.2
300091120,Childrens House of Bucks Co,Bucks,Pennsbury SD,0
300091245,Comprehensive Learning Center,Bucks,Council Rock SD,0
222091252,Conwell-Egan Catholic HS,Bucks,Bristol Township SD,0
322090073,Delaware Valley High School-Bucks,Bucks,Centennial SD,74.3
222091902,Faith Baptist Chrst Academy,Bucks,Pennsbury SD,0
222092002,Faith Christian Academy,Bucks,Pennridge SD,0
322090077,First Childrens Academy II Inc,Bucks,Centennial SD,0
222092252,George School,Bucks,Neshaminy SD,1.8
222092502,Grey Nun Academy,Bucks,Pennsbury SD,0
222096002,Holy Family Regional School,Bucks,Neshaminy SD,9.4
222092602,Holy Ghost Preparatory School,Bucks,Bensalem Township SD,1.7
222092802,Holy Trinity School,Bucks,Morrisville Borough SD,16.4
222092902,Hope Lutheran School,Bucks,Bristol Township SD,0
222090008,Kingdom Academy for Creative and Performing Arts,Bucks,Bensalem Township SD,100
322090074,Lifeworks Academy,Bucks,Central Bucks SD,34
322090071,Montessori Development Center,Bucks,Central Bucks SD,0
222094502,Nativity of Our Lord School,Bucks,Centennial SD,10.8
322090041,New Hope Academy,Bucks,Central Bucks SD,0
322090000,New Hope Academy,Bucks,Council Rock SD,0
222094752,Newtown Friends School,Bucks,Neshaminy SD,5.1
322090083,NHS School -- Warrington,Bucks,Central Bucks SD,0
222095002,Our Lady of Good Counsel,Bucks,Centennial SD,0
222095302,Our Lady of Grace School,Bucks,Neshaminy SD,0
222095402,Our Lady of Mount Carmel,Bucks,Central Bucks SD,0
222099202,Pen Ryn School,Bucks,Pennsbury SD,4.4
222095502,Philadelphia Christian Center Academy,Bucks,Bensalem Township SD,0
222090010,Plumstead Christian School,Bucks,Central Bucks SD,11.2
222095552,Plumstead Christian School,Bucks,Central Bucks SD,9.6
222095802,Quakertown Christian School,Bucks,Quakertown Community SD,17.5
222092352,River Valley Waldorf School,Bucks,Palisades SD,17.4
222097102,School of Saint Jude,Bucks,Central Bucks SD,4.5
222097202,Solebury School,Bucks,New Hope-Solebury SD,0
322090076,Springtime School,Bucks,Council Rock SD,20
222095102,St Agnes-Sacred Heart School,Bucks,Pennridge SD,5.8
222097402,St Andrew School,Bucks,Council Rock SD,3.2
300097300,St Andrews Nursery School,Bucks,Pennsbury SD,0
222097702,St Charles Borromeo School,Bucks,Bensalem Township SD,22.7
222098702,St Ephrem School,Bucks,Bensalem Township SD,8.4
222098002,St Ignatius School,Bucks,Pennsbury SD,0
222098102,St Isidore School,Bucks,Quakertown Community SD,3.6
222098402,St John the Baptist School,Bucks,Palisades SD,0
222098602,St Joseph-St Robert School,Bucks,Central Bucks SD,0.4
222097602,St Katharine Drexel Regional Catholic School,Bucks,Council Rock SD,3.1
222097902,St Katharine Drexel School,Bucks,Bensalem Township SD,100
222097002,St Mark School,Bucks,Bristol Borough SD,16.2
222098902,St Michael The Archangel School,Bucks,Pennsbury SD,13.8
222099430,Tinicum Art and Science,Bucks,Palisades SD,5
300098110,Trevose Day School,Bucks,Neshaminy SD,0
222099552,United Friends School,Bucks,Quakertown Community SD,0
222099652,Upper Bucks Christian School,Bucks,Pennridge SD,0
222099702,Villa Joseph Marie High School,Bucks,Council Rock SD,0
322090081,Woodbourne Academy,Bucks,Neshaminy SD,61.5
204101004,Butler Catholic School,Butler,Butler Area SD,24.3
204101154,Butler Wesleyan Academy,Butler,Butler Area SD,0
204101784,Evangel Heights Chr Academy,Butler,Freeport Area SD,10.6
204101804,First Baptist Christian School,Butler,Butler Area SD,1
300024055,Garden Montessori School LLC,Butler,Seneca Valley SD,0
204100001,His Kids Christian School,Butler,South Butler County SD,0
204102754,Holy Sepulcher School,Butler,Mars Area SD,21.1
204103504,Living Word Academy,Butler,Butler Area SD,0
304100015,Longmore Academy,Butler,Mars Area SD,97.8
306100000,Mid Atlantic Youth Services -- Western PA Child Care,Butler,Allegheny-Clarion Valley SD,91.6
304100012,Pace Learning Center,Butler,Mars Area SD,100
300104280,Penn Christian Academy,Butler,South Butler County SD,19.1
204106004,Portersville Christian School,Butler,Slippery Rock Area SD,0
204107504,St Gregory School,Butler,Seneca Valley SD,16.1
204100002,St Kilian Catholic School,Butler,Mars Area SD,3.9
204107604,St Lukes Lutheran School,Butler,South Butler County SD,20.2
300106380,St Stephens Lutheran Academy,Butler,Seneca Valley SD,72.2
204107804,St Wendelin School,Butler,Butler Area SD,42.3
300106290,Summit Academy,Butler,Butler Area SD,100
208117805,All Saints Catholic School,Cambria,Penn Cambria SD,26
208110505,Bishop Carroll High School,Cambria,Central Cambria SD,18.1
208110755,Bishop McCort High School,Cambria,Greater Johnstown SD,21.1
208115905,Cambria County Christian Sch,Cambria,Central Cambria SD,54.8
208117705,Cathedral Catholic Academy,Cambria,Westmont Hilltop SD,35.7
208112050,Genesis Christian Academy,Cambria,Greater Johnstown SD,0
208112755,Holy Name School,Cambria,Central Cambria SD,20.7
208114205,Northern Cambria Cath School,Cambria,Northern Cambria SD,27.9
208115005,Our Mother of Sorrow School,Cambria,Westmont Hilltop SD,20
308110012,Pressley Ridge Johnstown,Cambria,Richland SD,100
208117205,St Andrew School,Cambria,Conemaugh Township Area SD,36.1
208117405,St Benedict Catholic School,Cambria,Cambria Heights SD,19.8
208117305,St Benedict Elementary School,Cambria,Richland SD,25.7
208118405,St Michael School,Cambria,Penn Cambria SD,27.3
208110001,St Sophia Orthodox Christian Academy,Cambria,Westmont Hilltop SD,0
321130003,Behavioral Health Associates,Carbon,Lehighton Area SD,88
300451900,Educare Educational Services,Carbon,Lehighton Area SD,90
221137402,Our Lady of the Angels Acad -Pri,Carbon,Panther Valley SD,34
321130012,Packer Ridge Academy,Carbon,Lehighton Area SD,96.5
221137102,St John Neumann Regional Sch,Carbon,Palmerton Area SD,0
221137302,St Joseph Regional Academy,Carbon,Jim Thorpe Area SD,15.8
221137902,Sts Peter & Paul School,Carbon,Lehighton Area SD,19.8
210140493,Bower Hollow Parochial Sch,Centre,Penns Valley Area SD,0
210145503,Centre Co Christian Academy,Centre,Bellefonte Area SD,0
210141703,Elk Creek School,Centre,Penns Valley Area SD,0
210145515,Faith Christian Academy,Centre,Philipsburg-Osceola Area SD,0
210140002,Grace Prep High School,Centre,State College Area SD,0
210140003,Hill Side School,Centre,Penns Valley Area SD,0
210142003,Hubler Ridge School,Centre,Bellefonte Area SD,0
210143003,Kramer Gap School,Centre,Bellefonte Area SD,0
210140004,Little Nittany Amish Parochial School,Centre,Bellefonte Area SD,0
210140010,Middle Road School,Centre,Penns Valley Area SD,0
210140012,Misty Meadow School,Centre,Penns Valley Area SD,0
210144203,Mountain View School,Centre,Penns Valley Area SD,0
300140300,Nittany Christian School,Centre,State College Area SD,0
310140017,Northwestern Human Services,Centre,State College Area SD,76.5
210145003,Our Lady of Victory School,Centre,State College Area SD,8.1
210140000,Peach Lane Amish School,Centre,Penns Valley Area SD,0
210140008,Quarry Road School,Centre,Penns Valley Area SD,0
210145233,Rockville School,Centre,Penns Valley Area SD,0
210140005,Spring Bank School,Centre,Penns Valley Area SD,0
210147003,St John Evangelist School,Centre,Bellefonte Area SD,12.2
210140009,St Josephs Catholic Academy,Centre,State College Area SD,14.9
210146553,State College Friends School,Centre,State College Area SD,2.5
210146703,Sunny Meadow Parochial School,Centre,Bellefonte Area SD,0
210146753,Sunny Side School,Centre,Penns Valley Area SD,0
210146903,Sunset View School,Centre,Bellefonte Area SD,0
210140007,Sunset View School,Centre,Penns Valley Area SD,0
210140006,Windy Poplars School,Centre,Penns Valley Area SD,0
210145253,Woodside Amish School,Centre,Penns Valley Area SD,0
224150272,Ashville Parochial School,Chester,Oxford Area SD,0
224150502,Assumption BVM School,Chester,Avon Grove SD,8.5
224150922,Bethany Christian School,Chester,Oxford Area SD,0
224151502,Bishop Shanahan High School,Chester,Downingtown Area SD,13.4
214150000,Brandywine Special Ed School,Chester,Twin Valley SD,0
224150017,Breezewood Amish School,Chester,Octorara Area SD,0
224158702,CFS the School At Church Farm,Chester,West Chester Area SD,47.1
224158252,Cherri Knoll School,Chester,Oxford Area SD,0
300150540,Chesterbrook Academy Elem Sch,Chester,West Chester Area SD,0
224151632,Chestnut Hill Amish School,Chester,Octorara Area SD,0
224150027,Coaffroath School,Chester,Coatesville Area SD,0
300151120,Concept School,Chester,West Chester Area SD,0
224151572,Country Hillside School,Chester,Oxford Area SD,0
224151852,Cream School,Chester,Oxford Area SD,0
224150022,Delaware County Christian School - Elem,Chester,Tredyffrin-Easttown SD,4.5
223460982,Delaware Valley Friends School,Chester,Tredyffrin-Easttown SD,9.7
300151903,Devereux Brandywine,Chester,Downingtown Area SD,100
300151902,Devereux Mapleton Schools,Chester,Great Valley SD,89.4
224152002,Devon Preparatory School,Chester,Tredyffrin-Easttown SD,0
224150004,Edgewood View Amish School,Chester,Octorara Area SD,0
224150026,Elk Creek School,Chester,Oxford Area SD,0
224152242,Fairville Friends School Inc,Chester,Kennett Consolidated SD,0
224150005,Forge Road Amish School,Chester,Oxford Area SD,0
