,aun,percent
0,226510039,91.4
1,226510075,100.0
2,300260090,0.0
3,325230047,50.0
4,219357281,29.4
5,223460102,0.0
6,300460400,0.0
7,222090052,0.0
8,203020115,75.0
9,300020115,0.0
10,326510076,0.0
11,226515700,87.9
12,225230202,1.5
13,223460152,0.0
14,223460162,0.0
15,300020150,29.7
16,300181250,0.0
17,212010253,8.9
18,226511712,100.0
19,308070011,100.0
20,301260001,100.0
21,307650036,66.7
22,303020086,100.0
23,321130000,100.0
24,300650560,100.0
25,300020180,0.0
26,225239002,0.0
27,213360009,0.0
28,215210009,25.6
29,226510055,0.0
30,218400001,0.0
31,226510132,100.0
32,206160034,0.0
33,300460560,0.0
34,219359001,34.0
35,208117805,26.1
36,226510026,0.0
37,206330012,0.0
38,221390202,19.0
39,211440003,0.0
40,226510232,0.0
41,228320009,0.0
42,213360074,0.0
43,213360402,0.0
44,212280303,0.0
45,223460502,0.0
46,300240500,0.0
47,212280503,0.0
48,213360452,0.0
49,204370254,0.0
50,207650205,13.1
51,203020355,1.2
52,300157550,0.0
53,225230602,4.1
54,226510452,37.2
55,226510502,40.0
56,222090252,0.5
57,207650755,0.0
58,300460220,1.1
59,215220243,40.0
60,224150272,0.0
61,224150502,8.7
62,229548702,22.8
63,203020405,22.7
64,322090040,0.0
65,205200204,32.0
66,216490004,0.0
67,228320555,0.0
68,224150562,0.0
69,211441003,0.0
70,300460900,19.2
71,210180503,97.5
72,217410002,0.0
73,223469252,0.0
74,216550000,0.0
75,211440008,0.0
76,211441203,0.0
77,213360565,0.0
78,213360602,0.0
79,304100000,0.0
80,206330014,0.0
81,206160000,0.0
82,227040835,20.3
83,227040805,17.1
84,213360612,0.0
85,216490103,0.0
86,216600503,0.0
87,213360582,0.0
88,205620254,100.0
89,300041580,0.0
90,213360622,0.0
91,213360592,0.0
92,213360016,0.0
93,300140500,0.0
94,211441053,28.8
95,202020555,0.0
96,213360632,0.0
97,300230300,0.0
98,310140003,0.0
99,222090852,0.0
100,214062752,29.4
101,214060782,25.9
102,224150003,0.0
103,211441033,0.0
104,224150922,0.0
105,214060005,50.0
106,213360572,0.0
107,226510512,43.4
108,223460012,46.7
109,227041005,0.0
110,300250720,20.2
111,214060602,0.0
112,300650750,0.0
113,220480502,13.7
114,220480532,10.1
115,220480552,11.7
116,226510029,100.0
117,226510695,32.1
118,201260755,100.0
119,212671503,0.0
120,207650905,29.6
121,300518770,0.0
122,202021005,11.6
123,208110505,16.8
124,208071005,10.3
125,208110755,23.9
126,215221003,24.3
127,223460702,18.3
128,224151502,13.1
129,213360652,0.0
130,211341503,0.0
131,213360066,0.0
132,226510682,58.5
133,208071055,0.0
134,203025445,3.3
135,205250504,30.5
136,203027365,18.5
137,226519422,33.0
138,225231202,54.9
139,205201204,0.0
140,216190503,0.0
141,206330010,0.0
142,212670001,0.0
143,214061052,22.6
144,214061002,0.0
145,214061082,0.0
146,213383303,0.0
147,215210000,0.0
148,213360662,0.0
149,210140493,0.0
150,305250036,0.0
151,209420254,59.2
152,300630351,84.5
153,214150000,0.0
154,205250002,100.0
155,224150017,0.0
156,211340000,0.0
157,228321055,0.0
158,216470003,0.0
159,224151552,0.0
160,213360682,0.0
161,213360692,0.0
162,300512140,97.3
163,326510170,42.9
164,205201404,0.0
165,216600603,0.0
166,213360722,0.0
167,300461160,0.0
168,205201304,0.0
169,212670008,0.0
170,300061370,0.0
171,213380978,0.0
172,223460009,0.0
173,219644617,0.0
174,306330005,0.0
175,213360822,0.0
176,205611104,0.0
177,223460732,0.0
178,213360832,0.0
179,206330013,0.0
180,213360732,0.0
181,222099102,0.0
182,322090080,0.0
183,213360752,0.0
184,216601113,0.0
185,213380603,0.0
186,213360762,0.0
187,206170000,0.0
188,204101004,27.9
189,300100760,85.7
190,304100003,0.0
191,204101154,0.0
192,300391080,0.0
193,300090635,0.0
194,300091200,0.0
195,323460019,0.0
196,323460111,0.0
197,325230005,0.0
198,213360742,0.0
199,213360772,0.0
200,214062772,100.0
201,213360842,0.0
202,228321505,0.0
203,205201504,0.0
204,203021595,0.0
205,223460752,0.0
206,205624774,31.6
207,201633600,38.0
208,211311903,40.6
209,226510732,0.0
210,207651165,0.0
211,300090645,8.0
212,207651185,28.6
213,216600002,0.0
214,212280006,0.0
215,226510722,79.0
216,208115905,50.0
217,213360782,0.0
218,324150066,79.2
219,300150600,61.2
220,202021105,2.9
221,219641101,0.0
222,228320003,0.0
223,217080001,0.0
224,300218800,0.0
225,225237602,6.7
226,207658105,52.5
227,225231602,0.0
228,213360011,0.0
229,202024475,2.7
230,300425080,0.0
231,300514670,14.3
232,215210902,1.2
233,300461400,0.0
234,203020012,34.8
235,300021560,0.0
236,300502000,2.5
237,300461460,100.0
238,300461450,0.0
239,208117705,36.3
240,213360058,0.0
241,226510912,31.4
242,213360003,0.0
243,208110955,0.0
244,211340009,0.0
245,213365572,0.0
