2018-19 Low Income Schools Percent Low Income,,,,
Private and Nonpublic Schools,,,,
,,,,
AUN,School Name,County Name,School District,Percent
226510039,63rd Street Multicultural Academy of Academic Excellence,Philadelphia,Philadelphia City SD,100
300260090,A G Montessori School,Fayette,Laurel Highlands SD,0
325230047,Aardvark Child Care and Learning Center Inc,Delaware,Garnet Valley SD,0
219357281,Abington Christian Academy,Lackawanna,Valley View SD,30.8
223460102,Abington Friends School,Montgomery,Abington SD,0
300460400,Abington Presbyterian Nursery School,Montgomery,Abington SD,0
222090052,Abrams Hebrew Academy,Bucks,Pennsbury SD,0
203020115,Abundant Life International School,Allegheny,Northgate SD,100
225230202,Academy of Notre Dame,Delaware,Radnor Township SD,9.8
223460152,Academy of the New Ch Boys,Montgomery,Bryn Athyn SD,0
223460162,Academy of the New Church Girls,Montgomery,Bryn Athyn SD,0
300020150,ACLD Tillotson School,Allegheny,Baldwin-Whitehall SD,43.7
300181250,Acorn School,Clinton,Keystone Central SD,0
212010253,Adams Co Christian Academy,Adams,Gettysburg Area SD,0
226511712,Adelaide Educational Academy Center,Philadelphia,Philadelphia City SD,87.5
308070011,Adelphoi Education at Altoona,Blair,Altoona Area SD,100
304100017,Adelphoi Education at Butler,Butler,Butler Area SD,100
301260001,Adelphoi Education at Fairchance,Fayette,Connellsville Area SD,100
307650036,Adelphoi Education at Hartford Heights,Westmoreland,Norwin SD,100
328328469,Adelphoi Education at Indiana,Indiana,Indiana Area SD,100
328033370,Adelphoi Education at Kittanning,Armstrong,Armstrong SD,100
303020086,Adelphoi Education at Millvale,Allegheny,Shaler Area SD,100
307655266,Adelphoi Education Partial Hospitalization,Westmoreland,Greater Latrobe SD,100
321130000,Adventure Learning Center,Carbon,Jim Thorpe Area SD,0
225239002,Agnes Irwin School,Delaware,Radnor Township SD,0
213360009,Airport View Parochial Mennonite School,Lancaster,Warwick SD,0
215210009,Al Huda School,Cumberland,West Shore SD,6.8
226510055,Al Mosheh Shule of Positive Ed,Philadelphia,Philadelphia City SD,0
218400001,Al Noor Islamic Academy,Luzerne,Wilkes-Barre Area SD,6.9
226510132,Al-Aqsa Islamic School,Philadelphia,Philadelphia City SD,100
206160034,Alexander Amish School,Clarion,North Clarion County SD,0
300460560,All Hallows Episcopal Nursery School,Montgomery,Cheltenham SD,0
219359001,All Saints Academy,Lackawanna,Scranton SD,21.5
208117805,All Saints Catholic School,Cambria,Penn Cambria SD,22.7
226510026,All Saints Episcopal School,Philadelphia,Philadelphia City SD,0
208057235,Allegheny Valley Christian School,Bedford,Chestnut Ridge SD,0
206330012,Allens Mills School,Jefferson,Brockway Area SD,0
221390202,Allentown Central Catholic HS,Lehigh,Allentown City SD,16.6
211440003,Allison Gap School,Mifflin,Mifflin County SD,0
226510232,Alpha House Nursery & Kdg,Philadelphia,Philadelphia City SD,0
228320009,Ambrose Amish Par,Indiana,Marion Center Area SD,0
213360074,Amish Road School,Lancaster,Pequea Valley SD,0
212280303,Anchor Christian Day School,Franklin,Chambersburg Area SD,0
223460502,Ancillae Assumpta Academy,Montgomery,Cheltenham SD,0
300230110,Ancona Montessori School Drexel Hill,Delaware,Upper Darby SD,6.7
300240500,Anne Forbes Nursery School,Elk,Ridgway Area SD,0
212280503,Antrim Mennonite School,Franklin,Greencastle-Antrim SD,0
208561055,Apostolic Christian Academy,Somerset,Somerset Area SD,0
213360452,Apple Grove School,Lancaster,Eastern Lancaster County SD,0
204370254,Apple Grove School,Lawrence,Wilmington Area SD,0
207650205,Aquinas Academy,Westmoreland,Greensburg Salem SD,15.3
203020355,Aquinas Academy,Allegheny,Hampton Township SD,2.9
300157550,ARC of Chester County,Chester,West Chester Area SD,0
225230602,Archbishop John Carroll HS,Delaware,Radnor Township SD,3.3
226510452,Archbishop Ryan High School,Philadelphia,Philadelphia City SD,16.9
226510502,Archbishop Ryan Sch Deaf and Hard of Hearing Children,Philadelphia,Interboro SD,22.2
222090252,Archbishop Wood Catholic HS,Bucks,Centennial SD,3.9
207650755,Armbrust Wesleyan Chrst Acad,Westmoreland,Mount Pleasant Area SD,24
300460220,Armenian Sisters Academy,Montgomery,Upper Merion Area SD,2.3
215220243,Armstrong Valley Christian Sch,Dauphin,Halifax Area SD,62.5
224150262,Ashville,Lancaster,Solanco SD,5.3
224150272,Ashville Parochial School,Chester,Oxford Area SD,0
224150502,Assumption BVM School,Chester,Avon Grove SD,7
229548702,Assumption BVM School,Schuylkill,Pottsville Area SD,21.8
322090040,ATG Learning Academy,Bucks,Central Bucks SD,75
205200204,Atlantic Amish School,Crawford,Conneaut SD,0
228320555,Aultman Baptist Church Academy,Indiana,Homer-Center SD,0
224150562,Avon Grove Nazarene Academy,Chester,Avon Grove SD,0
211441003,Back Mountain Amish School,Mifflin,Mifflin County SD,0
218407265,Bais Menachem Youth Dev Prog,Luzerne,Wilkes-Barre Area SD,67.5
219350001,Bais Yaakov of Scranton,Lackawanna,Scranton SD,81.8
300460900,Bala House,Montgomery,Lower Merion SD,17.7
210180503,Bald Eagle Boys Camp School,Clinton,Keystone Central SD,10.3
217410002,Bald Eagle School,Lycoming,Montgomery Area SD,0
216190000,Bald Hill School,Columbia,Millville Area SD,0
223469252,Baldwin School,Montgomery,Lower Merion SD,1.4
216550000,Bannerville Hill Amish School,Snyder,Midd-West SD,0
211440008,Barefoot School,Mifflin,Mifflin County SD,0
211441203,Barrville Amish School,Mifflin,Mifflin County SD,0
213360565,Bartview School,Lancaster,Solanco SD,0
213360602,Bartville Amish School,Lancaster,Solanco SD,0
304100000,BCCC Childrens Creative Learning Center,Butler,Butler Area SD,0
206330014,Bear Lane School,Jefferson,Punxsutawney Area SD,0
206160000,Bear Run School,Clarion,Keystone SD,0
213366841,Beartown School,Lancaster,Eastern Lancaster County SD,0
205203703,Beaver Amish Parochial School,Crawford,Conneaut SD,0
227040835,Beaver Co Christian -West Park Elem,Beaver,Blackhawk SD,27.6
227040805,Beaver Co Christian Sch -Upper,Beaver,Big Beaver Falls Area SD,22.1
227042850,Beaver Co Christian School - Middle Campus,Beaver,Big Beaver Falls Area SD,22.7
213360612,Beaver Dam School,Lancaster,Pequea Valley SD,0
216490103,Beaver Run Parochial School,Montour,Warrior Run SD,0
216600503,Beaver Run School,Union,Lewisburg Area SD,0
213360582,Beaver Valley Amish Paroch Sch,Lancaster,Lampeter-Strasburg SD,0
205620254,Beaver Valley Amish School,Warren,Warren County SD,0
300041580,Beaver Valley Montessori School,Beaver,Beaver Area SD,0
307655947,Bee Me Center - A Merakey Program,Westmoreland,Greater Latrobe SD,0
213360622,Beilers School,Lancaster,Pequea Valley SD,0
213360592,Bell School,Lancaster,Solanco SD,0
213360016,Bellaire Ridge School,Lancaster,Elizabethtown Area SD,0
300140500,Bellefonte Playschool of FUMC,Centre,Bellefonte Area SD,0
211441053,Belleville Mennonite School,Mifflin,Mifflin County SD,34.3
202020555,Bellwood Kindergarten,Allegheny,North Allegheny SD,0
213360632,Belmont Special Education Sch,Lancaster,Pequea Valley SD,0
300230300,Benchmark School,Delaware,Rose Tree Media SD,11.8
310140003,Bennett Family Center,Centre,State College Area SD,0
222090852,Bensalem Baptist School,Bucks,Bensalem Township SD,6.9
214062752,Berks Catholic High School,Berks,Reading SD,37.4
214060782,Berks Christian School,Berks,Exeter Township SD,50.6
224150003,Beth Israel Kindergarten,Chester,Downingtown Area SD,0
224150922,Bethany Christian School,Chester,Oxford Area SD,0
213360572,Bethany Parochial School,Lancaster,Eastern Lancaster County SD,0
223460012,Bethel Christian Academy,Montgomery,Cheltenham SD,0
