,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
0,7691.0,135,87,64.4%,87,99,73.3%,12,8.9%,0
1,5091.0,297,257,86.5%,250,260,87.5%,3,1.0%,7
2,9999.0,1,0,0.0%,0,1,100.0%,1,100.0%,0
3,3241.0,582,521,89.5%,515,528,90.7%,7,1.2%,6
4,7846.0,59,40,67.8%,38,40,67.8%,0,0.0%,2
5,7824.0,129,26,20.2%,26,34,26.4%,8,6.2%,0
6,7858.0,881,296,33.6%,266,332,37.7%,36,4.1%,30
7,6001.0,261,121,46.4%,85,126,48.3%,5,1.9%,36
8,8086.0,72,40,55.6%,40,41,56.9%,1,1.4%,0
9,9999.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
10,9999.0,8,2,25.0%,0,2,25.0%,0,0.0%,2
11,29.0,83,65,78.3%,61,67,80.7%,2,2.4%,4
12,4664.0,66,41,62.1%,37,41,62.1%,0,0.0%,4
13,9999.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
14,9999.0,112,31,27.7%,29,38,33.9%,7,6.3%,2
15,2795.0,399,291,72.9%,270,306,76.7%,15,3.8%,21
16,2794.0,562,282,50.2%,274,300,53.4%,18,3.2%,8
17,913.0,506,329,65.0%,301,339,67.0%,10,2.0%,28
18,7425.0,9,0,0.0%,0,0,0.0%,0,0.0%,0
19,6555.0,167,112,67.1%,104,112,67.1%,0,0.0%,8
20,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
21,2725.0,110,65,59.1%,65,69,62.7%,4,3.6%,0
22,820.0,72,65,90.3%,56,65,90.3%,0,0.0%,9
23,9999.0,4,0,0.0%,0,0,0.0%,0,0.0%,0
24,2320.0,84,59,70.2%,52,63,75.0%,4,4.8%,7
25,9999.0,7,0,0.0%,0,0,0.0%,0,0.0%,0
26,582.0,45,29,64.4%,26,30,66.7%,1,2.2%,3
27,6575.0,90,69,76.7%,64,71,78.9%,2,2.2%,5
28,596.0,114,84,73.7%,75,85,74.6%,1,0.9%,9
29,7640.0,55,33,60.0%,33,33,60.0%,0,0.0%,0
30,8148.0,18,16,88.9%,16,17,94.4%,1,5.6%,0
31,958.0,140,66,47.1%,65,66,47.1%,0,0.0%,1
32,6222.0,16,10,62.5%,10,11,68.8%,1,6.3%,0
33,4165.0,51,38,74.5%,38,38,74.5%,0,0.0%,0
34,7721.0,45,41,91.1%,41,44,97.8%,3,6.7%,0
35,1367.0,415,320,77.1%,316,327,78.8%,7,1.7%,4
36,9999.0,3,0,0.0%,0,0,0.0%,0,0.0%,0
37,5199.0,99,82,82.8%,82,85,85.9%,3,3.0%,0
38,9999.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
39,1335.0,146,93,63.7%,78,96,65.8%,3,2.1%,15
40,50.0,363,311,85.7%,301,319,87.9%,8,2.2%,10
41,9999.0,3,0,0.0%,0,0,0.0%,0,0.0%,0
42,3434.0,268,203,75.7%,202,207,77.2%,4,1.5%,1
43,7847.0,18,8,44.4%,7,8,44.4%,0,0.0%,1
44,640.0,162,134,82.7%,129,136,84.0%,2,1.2%,5
45,9999.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
46,726.0,149,82,55.0%,79,84,56.4%,2,1.3%,3
47,4930.0,204,141,69.1%,135,149,73.0%,8,3.9%,6
48,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
49,1343.0,222,149,67.1%,134,158,71.2%,9,4.1%,15
50,917.0,104,69,66.3%,69,82,78.8%,13,12.5%,0
51,9999.0,18,0,0.0%,0,0,0.0%,0,0.0%,0
52,5116.0,428,341,79.7%,341,369,86.2%,28,6.5%,0
53,1595.0,49,26,53.1%,26,27,55.1%,1,2.0%,0
54,9999.0,4,0,0.0%,0,0,0.0%,0,0.0%,0
55,4188.0,85,61,71.8%,53,61,71.8%,0,0.0%,8
56,6207.0,70,41,58.6%,36,44,62.9%,3,4.3%,5
57,3.0,135,100,74.1%,99,100,74.1%,0,0.0%,1
58,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
59,1605.0,233,171,73.4%,170,175,75.1%,4,1.7%,1
60,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
61,62.0,395,356,90.1%,345,357,90.4%,1,0.3%,11
62,9999.0,17,0,0.0%,0,0,0.0%,0,0.0%,0
63,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
64,4957.0,453,402,88.7%,388,406,89.6%,4,0.9%,14
65,3465.0,615,498,81.0%,496,503,81.8%,5,0.8%,2
66,4181.0,86,55,64.0%,51,62,72.1%,7,8.1%,4
67,649.0,130,80,61.5%,70,81,62.3%,1,0.8%,10
68,9999.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
69,1677.0,205,121,59.0%,115,123,60.0%,2,1.0%,6
70,6707.0,206,163,79.1%,156,177,85.9%,14,6.8%,7
71,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
72,5135.0,40,28,70.0%,24,30,75.0%,2,5.0%,4
73,4706.0,104,78,75.0%,72,78,75.0%,0,0.0%,6
74,2353.0,43,27,62.8%,23,29,67.4%,2,4.7%,4
75,1612.0,94,71,75.5%,68,75,79.8%,4,4.3%,3
76,3891.0,229,160,69.9%,146,170,74.2%,10,4.4%,14
77,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
78,4034.0,77,39,50.6%,39,42,54.5%,3,3.9%,0
79,6306.0,538,432,80.3%,410,435,80.9%,3,0.6%,22
80,7981.0,72,69,95.8%,69,71,98.6%,2,2.8%,0
81,4691.0,203,142,70.0%,127,151,74.4%,9,4.4%,15
82,9999.0,7,0,0.0%,0,0,0.0%,0,0.0%,0
83,9999.0,4,0,0.0%,0,0,0.0%,0,0.0%,0
84,6308.0,148,110,74.3%,104,113,76.4%,3,2.0%,6
85,70.0,113,96,85.0%,90,98,86.7%,2,1.8%,6
86,9999.0,5,0,0.0%,0,0,0.0%,0,0.0%,0
87,1014.0,70,52,74.3%,52,60,85.7%,8,11.4%,0
88,9999.0,45,0,0.0%,0,0,0.0%,0,0.0%,0
89,1029.0,381,299,78.5%,279,308,80.8%,9,2.4%,20
90,2362.0,94,62,66.0%,60,62,66.0%,0,0.0%,2
91,6162.0,111,77,69.4%,75,82,73.9%,5,4.5%,2
92,4818.0,103,73,70.9%,67,73,70.9%,0,0.0%,6
93,1030.0,306,197,64.4%,193,215,70.3%,18,5.9%,4
94,4195.0,83,54,65.1%,54,61,73.5%,7,8.4%,0
95,4340.0,148,126,85.1%,120,128,86.5%,2,1.4%,6
96,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
97,6690.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
98,9999.0,42,3,7.1%,3,4,9.5%,1,2.4%,0
99,1147.0,556,449,80.8%,430,459,82.6%,10,1.8%,19
100,4203.0,63,46,73.0%,45,47,74.6%,1,1.6%,1
101,5212.0,112,76,67.9%,68,79,70.5%,3,2.7%,8
102,1299.0,53,31,58.5%,27,32,60.4%,1,1.9%,4
103,1682.0,106,101,95.3%,98,101,95.3%,0,0.0%,3
104,9999.0,6,1,16.7%,1,1,16.7%,0,0.0%,0
105,4217.0,335,280,83.6%,242,284,84.8%,4,1.2%,38
106,988.0,76,39,51.3%,39,39,51.3%,0,0.0%,0
107,4870.0,76,37,48.7%,37,48,63.2%,11,14.5%,0
108,2420.0,94,66,70.2%,63,75,79.8%,9,9.6%,3
109,7457.0,1,1,100.0%,1,1,100.0%,0,0.0%,0
110,7577.0,51,28,54.9%,26,29,56.9%,1,2.0%,2
