,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution,specialized associate degree granting institution %
0,3.0,167,86,51.50%,85,50.90%,89,53.29%,3,1.80%,1,0.60%
1,,167,86,51.50%,85,50.90%,89,53.29%,3,1.80%,1,0.60%
2,17.0,278,164,58.99%,163,58.63%,167,60.07%,3,1.08%,1,0.36%
3,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
4,,279,164,58.78%,163,58.42%,167,59.86%,3,1.08%,1,0.36%
5,6269.0,89,56,62.92%,54,60.67%,57,64.04%,1,1.12%,2,2.25%
6,,89,56,62.92%,54,60.67%,57,64.04%,1,1.12%,2,2.25%
7,6271.0,232,161,69.40%,155,66.81%,166,71.55%,5,2.16%,6,2.59%
8,,232,161,69.40%,155,66.81%,166,71.55%,5,2.16%,6,2.59%
9,14.0,143,71,49.65%,71,49.65%,77,53.85%,6,4.20%,0,0.00%
10,,143,71,49.65%,71,49.65%,77,53.85%,6,4.20%,0,0.00%
11,21.0,134,61,45.52%,61,45.52%,66,49.25%,5,3.73%,0,0.00%
12,9999.0,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
13,,140,61,43.57%,61,43.57%,66,47.14%,5,3.57%,0,0.00%
14,,"1,050",599,57.05%,589,56.10%,622,59.24%,23,2.19%,10,0.95%
15,7727.0,132,78,59.09%,73,55.30%,86,65.15%,8,6.06%,5,3.79%
16,,132,78,59.09%,73,55.30%,86,65.15%,8,6.06%,5,3.79%
17,7846.0,19,5,26.32%,5,26.32%,5,26.32%,0,0.00%,0,0.00%
18,,19,5,26.32%,5,26.32%,5,26.32%,0,0.00%,0,0.00%
19,7562.0,32,24,75.00%,22,68.75%,24,75.00%,0,0.00%,2,6.25%
20,9999.0,1,1,100.00%,1,100.00%,1,100.00%,0,0.00%,0,0.00%
21,,33,25,75.76%,23,69.70%,25,75.76%,0,0.00%,2,6.06%
22,8308.0,80,25,31.25%,25,31.25%,41,51.25%,16,20.00%,0,0.00%
23,,80,25,31.25%,25,31.25%,41,51.25%,16,20.00%,0,0.00%
24,409.0,331,228,68.88%,225,67.98%,244,73.72%,16,4.83%,3,0.91%
25,412.0,110,52,47.27%,43,39.09%,59,53.64%,7,6.36%,9,8.18%
26,416.0,63,36,57.14%,28,44.44%,38,60.32%,2,3.17%,8,12.70%
27,6047.0,10,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
28,6664.0,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
29,6811.0,17,0,0.00%,0,0.00%,1,5.88%,1,5.88%,0,0.00%
30,6915.0,253,136,53.75%,136,53.75%,156,61.66%,20,7.91%,0,0.00%
31,8105.0,100,86,86.00%,83,83.00%,93,93.00%,7,7.00%,3,3.00%
32,8106.0,121,104,85.95%,104,85.95%,108,89.26%,4,3.31%,0,0.00%
33,8107.0,100,80,80.00%,80,80.00%,80,80.00%,0,0.00%,0,0.00%
