,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution,specialized associate degree granting institution %
1237,,88,63,71.59%,61,69.32%,69,78.41%,6,6.82%,2,2.27%
1238,7737.0,140,69,49.29%,69,49.29%,84,60.00%,15,10.71%,0,0.00%
1239,,140,69,49.29%,69,49.29%,84,60.00%,15,10.71%,0,0.00%
1240,7750.0,77,51,66.23%,51,66.23%,59,76.62%,8,10.39%,0,0.00%
1241,,77,51,66.23%,51,66.23%,59,76.62%,8,10.39%,0,0.00%
1242,7777.0,69,41,59.42%,40,57.97%,45,65.22%,4,5.80%,1,1.45%
1243,,69,41,59.42%,40,57.97%,45,65.22%,4,5.80%,1,1.45%
1244,7909.0,131,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
1245,,131,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
1246,7910.0,94,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
1247,,94,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
1248,8359.0,90,73,81.11%,73,81.11%,81,90.00%,8,8.89%,0,0.00%
1249,,90,73,81.11%,73,81.11%,81,90.00%,8,8.89%,0,0.00%
1250,8216.0,112,61,54.46%,54,48.21%,69,61.61%,8,7.14%,7,6.25%
1251,,112,61,54.46%,54,48.21%,69,61.61%,8,7.14%,7,6.25%
1252,7510.0,122,80,65.57%,80,65.57%,86,70.49%,6,4.92%,0,0.00%
1253,,122,80,65.57%,80,65.57%,86,70.49%,6,4.92%,0,0.00%
1254,7513.0,144,9,6.25%,9,6.25%,10,6.94%,1,0.69%,0,0.00%
1255,,144,9,6.25%,9,6.25%,10,6.94%,1,0.69%,0,0.00%
1256,7540.0,129,67,51.94%,67,51.94%,80,62.02%,13,10.08%,0,0.00%
1257,,129,67,51.94%,67,51.94%,80,62.02%,13,10.08%,0,0.00%
1258,7542.0,139,88,63.31%,88,63.31%,100,71.94%,12,8.63%,0,0.00%
1259,,139,88,63.31%,88,63.31%,100,71.94%,12,8.63%,0,0.00%
1260,7546.0,53,46,86.79%,46,86.79%,50,94.34%,4,7.55%,0,0.00%
1261,,53,46,86.79%,46,86.79%,50,94.34%,4,7.55%,0,0.00%
1262,8360.0,76,57,75.00%,57,75.00%,65,85.53%,8,10.53%,0,0.00%
1263,,76,57,75.00%,57,75.00%,65,85.53%,8,10.53%,0,0.00%
1264,7574.0,107,94,87.85%,94,87.85%,97,90.65%,3,2.80%,0,0.00%
1265,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
1266,,108,94,87.04%,94,87.04%,97,89.81%,3,2.78%,0,0.00%
1267,7582.0,73,73,100.00%,73,100.00%,73,100.00%,0,0.00%,0,0.00%
1268,,73,73,100.00%,73,100.00%,73,100.00%,0,0.00%,0,0.00%
1269,7586.0,98,75,76.53%,71,72.45%,78,79.59%,3,3.06%,4,4.08%
1270,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
1271,,100,75,75.00%,71,71.00%,78,78.00%,3,3.00%,4,4.00%
1272,7587.0,104,71,68.27%,71,68.27%,76,73.08%,5,4.81%,0,0.00%
1273,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
1274,,105,71,67.62%,71,67.62%,76,72.38%,5,4.76%,0,0.00%
1275,7588.0,95,59,62.11%,59,62.11%,69,72.63%,10,10.53%,0,0.00%
1276,,95,59,62.11%,59,62.11%,69,72.63%,10,10.53%,0,0.00%
1277,7647.0,176,167,94.89%,167,94.89%,167,94.89%,0,0.00%,0,0.00%
1278,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
1279,,178,167,93.82%,167,93.82%,167,93.82%,0,0.00%,0,0.00%
1280,7649.0,189,144,76.19%,138,73.02%,151,79.89%,7,3.70%,6,3.17%
1281,,189,144,76.19%,138,73.02%,151,79.89%,7,3.70%,6,3.17%
1282,7665.0,169,98,57.99%,96,56.80%,115,68.05%,17,10.06%,2,1.18%
1283,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
1284,,170,98,57.65%,96,56.47%,115,67.65%,17,10.00%,2,1.18%
1285,7666.0,257,213,82.88%,189,73.54%,215,83.66%,2,0.78%,24,9.34%
1286,,257,213,82.88%,189,73.54%,215,83.66%,2,0.78%,24,9.34%
1287,7672.0,106,67,63.21%,67,63.21%,78,73.58%,11,10.38%,0,0.00%
1288,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
1289,,107,67,62.62%,67,62.62%,78,72.90%,11,10.28%,0,0.00%
1290,8207.0,183,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
1291,,183,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
1292,8358.0,126,96,76.19%,96,76.19%,114,90.48%,18,14.29%,0,0.00%
1293,,126,96,76.19%,96,76.19%,114,90.48%,18,14.29%,0,0.00%
1294,3728.0,9,1,11.11%,1,11.11%,1,11.11%,0,0.00%,0,0.00%
