,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
0,7691.0,125,72,57.6%,72,80,64.0%,8,6.4%,0
1,5091.0,279,246,88.2%,239,246,88.2%,0,0.0%,7
2,9999.0,1,0,0.0%,0,1,100.0%,1,100.0%,0
3,3241.0,588,521,88.6%,518,527,89.6%,6,1.0%,3
4,7846.0,48,21,43.8%,21,24,50.0%,3,6.3%,0
5,7824.0,190,0,0.0%,0,0,0.0%,0,0.0%,0
6,7858.0,1022,458,44.8%,433,509,49.8%,51,5.0%,25
7,6001.0,248,125,50.4%,91,136,54.8%,11,4.4%,34
8,8086.0,73,42,57.5%,42,49,67.1%,7,9.6%,0
9,9999.0,8,4,50.0%,3,4,50.0%,0,0.0%,1
10,29.0,79,62,78.5%,59,62,78.5%,0,0.0%,3
11,4664.0,71,51,71.8%,51,53,74.6%,2,2.8%,0
12,9999.0,112,37,33.0%,34,46,41.1%,9,8.0%,3
13,2795.0,356,247,69.4%,232,248,69.7%,1,0.3%,15
14,2794.0,547,324,59.2%,310,337,61.6%,13,2.4%,14
15,913.0,500,310,62.0%,310,332,66.4%,22,4.4%,0
16,7425.0,4,0,0.0%,0,0,0.0%,0,0.0%,0
17,6555.0,176,129,73.3%,119,133,75.6%,4,2.3%,10
18,9999.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
19,2725.0,113,71,62.8%,70,83,73.5%,12,10.6%,1
20,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
21,820.0,63,48,76.2%,45,49,77.8%,1,1.6%,3
22,9999.0,4,1,25.0%,1,1,25.0%,0,0.0%,0
23,2320.0,78,45,57.7%,40,48,61.5%,3,3.8%,5
24,9999.0,81,0,0.0%,0,0,0.0%,0,0.0%,0
25,6575.0,96,70,72.9%,66,72,75.0%,2,2.1%,4
26,596.0,138,111,80.4%,109,114,82.6%,3,2.2%,2
27,7640.0,78,50,64.1%,45,50,64.1%,0,0.0%,5
28,8148.0,14,3,21.4%,3,3,21.4%,0,0.0%,0
29,958.0,140,86,61.4%,86,89,63.6%,3,2.1%,0
30,6222.0,16,12,75.0%,12,12,75.0%,0,0.0%,0
31,4165.0,58,32,55.2%,32,39,67.2%,7,12.1%,0
32,7721.0,54,40,74.1%,37,43,79.6%,3,5.6%,3
33,1367.0,419,364,86.9%,362,379,90.5%,15,3.6%,2
34,9999.0,4,0,0.0%,0,0,0.0%,0,0.0%,0
35,5199.0,86,76,88.4%,76,80,93.0%,4,4.7%,0
36,9999.0,3,0,0.0%,0,1,33.3%,1,33.3%,0
