,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
0,7691.0,71,50,70.4%,50,62,87.3%,12,16.9%,0
1,3241.0,580,516,89.0%,508,521,89.8%,5,0.9%,8
2,5091.0,315,270,85.7%,259,276,87.6%,6,1.9%,11
3,7846.0,33,4,12.1%,1,6,18.2%,2,6.1%,3
4,7824.0,81,19,23.5%,15,23,28.4%,4,4.9%,4
5,7858.0,30,10,33.3%,9,10,33.3%,0,0.0%,1
6,6001.0,243,128,52.7%,111,148,60.9%,20,8.2%,17
7,6554.0,89,55,61.8%,47,61,68.5%,6,6.7%,8
8,29.0,98,85,86.7%,82,89,90.8%,4,4.1%,3
9,4664.0,86,39,45.3%,34,48,55.8%,9,10.5%,5
10,2795.0,387,260,67.2%,254,265,68.5%,5,1.3%,6
11,2794.0,693,399,57.6%,395,408,58.9%,9,1.3%,4
12,913.0,512,322,62.9%,299,343,67.0%,21,4.1%,23
13,7425.0,5,0,0.0%,0,0,0.0%,0,0.0%,0
14,6555.0,190,148,77.9%,137,152,80.0%,4,2.1%,11
15,2725.0,108,77,71.3%,77,82,75.9%,5,4.6%,0
16,820.0,98,70,71.4%,69,76,77.6%,6,6.1%,1
17,2320.0,91,68,74.7%,62,71,78.0%,3,3.3%,6
18,7578.0,131,0,0.0%,0,0,0.0%,0,0.0%,0
19,582.0,48,37,77.1%,30,37,77.1%,0,0.0%,7
20,6575.0,98,81,82.7%,74,83,84.7%,2,2.0%,7
21,596.0,132,104,78.8%,104,105,79.5%,1,0.8%,0
22,7640.0,73,50,68.5%,47,53,72.6%,3,4.1%,3
23,958.0,205,123,60.0%,119,127,62.0%,4,2.0%,4
24,6222.0,18,8,44.4%,8,9,50.0%,1,5.6%,0
25,4165.0,62,39,62.9%,39,47,75.8%,8,12.9%,0
26,7721.0,33,25,75.8%,25,25,75.8%,0,0.0%,0
27,1367.0,421,328,77.9%,328,345,81.9%,17,4.0%,0
28,5199.0,91,79,86.8%,74,79,86.8%,0,0.0%,5
29,1335.0,162,98,60.5%,87,99,61.1%,1,0.6%,11
30,50.0,400,332,83.0%,309,347,86.8%,15,3.8%,23
31,3434.0,309,193,62.5%,190,194,62.8%,1,0.3%,3
32,7847.0,9,0,0.0%,0,0,0.0%,0,0.0%,0
33,640.0,165,128,77.6%,128,134,81.2%,6,3.6%,0
34,726.0,128,67,52.3%,66,72,56.3%,5,3.9%,1
35,742.0,30,17,56.7%,17,19,63.3%,2,6.7%,0
36,4930.0,239,182,76.2%,168,184,77.0%,2,0.8%,14
37,1343.0,255,194,76.1%,174,195,76.5%,1,0.4%,20
38,917.0,102,67,65.7%,67,75,73.5%,8,7.8%,0
39,5116.0,466,346,74.2%,334,371,79.6%,25,5.4%,12
40,1595.0,54,35,64.8%,34,37,68.5%,2,3.7%,1
41,4188.0,92,79,85.9%,60,80,87.0%,1,1.1%,19
42,6207.0,82,60,73.2%,56,60,73.2%,0,0.0%,4
43,3.0,154,99,64.3%,76,101,65.6%,2,1.3%,23
44,1605.0,208,148,71.2%,144,150,72.1%,2,1.0%,4
45,62.0,460,453,98.5%,442,454,98.7%,1,0.2%,11
46,4957.0,468,407,87.0%,389,409,87.4%,2,0.4%,18
47,3465.0,655,552,84.3%,535,553,84.4%,1,0.2%,17
48,4181.0,95,63,66.3%,49,65,68.4%,2,2.1%,14
49,649.0,147,112,76.2%,93,114,77.6%,2,1.4%,19
50,1677.0,208,123,59.1%,120,136,65.4%,13,6.3%,3
51,6707.0,223,157,70.4%,157,176,78.9%,19,8.5%,0
52,5135.0,46,32,69.6%,28,35,76.1%,3,6.5%,4
53,4706.0,95,70,73.7%,60,73,76.8%,3,3.2%,10
54,2353.0,82,61,74.4%,52,64,78.0%,3,3.7%,9
55,1612.0,99,76,76.8%,73,78,78.8%,2,2.0%,3
56,3891.0,226,171,75.7%,163,183,81.0%,12,5.3%,8
57,4034.0,76,55,72.4%,52,55,72.4%,0,0.0%,3
58,6306.0,556,400,71.9%,378,412,74.1%,12,2.2%,22
59,4691.0,253,189,74.7%,181,199,78.7%,10,4.0%,8
60,6308.0,140,109,77.9%,107,110,78.6%,1,0.7%,2
61,70.0,103,81,78.6%,81,86,83.5%,5,4.9%,0
62,1014.0,99,67,67.7%,62,69,69.7%,2,2.0%,5
63,1029.0,352,268,76.1%,260,280,79.5%,12,3.4%,8
64,2362.0,67,48,71.6%,39,54,80.6%,6,9.0%,9
65,6162.0,140,85,60.7%,82,96,68.6%,11,7.9%,3
66,4818.0,106,56,52.8%,48,56,52.8%,0,0.0%,8
67,1030.0,312,199,63.8%,195,199,63.8%,0,0.0%,4
68,4195.0,116,84,72.4%,66,93,80.2%,9,7.8%,18
69,4340.0,165,141,85.5%,132,144,87.3%,3,1.8%,9
70,1147.0,610,505,82.8%,490,522,85.6%,17,2.8%,15
71,4203.0,76,63,82.9%,58,72,94.7%,9,11.8%,5
72,5212.0,110,81,73.6%,76,81,73.6%,0,0.0%,5
73,1299.0,83,52,62.7%,48,54,65.1%,2,2.4%,4
74,1682.0,85,74,87.1%,70,74,87.1%,0,0.0%,4
75,4217.0,329,282,85.7%,267,288,87.5%,6,1.8%,15
76,988.0,85,47,55.3%,46,50,58.8%,3,3.5%,1
77,4870.0,64,24,37.5%,22,24,37.5%,0,0.0%,2
78,2420.0,101,61,60.4%,54,65,64.4%,4,4.0%,7
