,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
0,3.0,159,82,51.57%,79,49.69%,84,52.83%,2,1.26%,3
1,9999.0,2,1,50.00%,1,50.00%,1,50.00%,0,0.00%,0
2,17.0,279,209,74.91%,194,69.53%,210,75.27%,1,0.36%,15
3,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4,6269.0,90,67,74.44%,67,74.44%,70,77.78%,3,3.33%,0
5,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
6,6271.0,232,173,74.57%,161,69.40%,181,78.02%,8,3.45%,12
7,9999.0,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
8,14.0,130,80,61.54%,80,61.54%,81,62.31%,1,0.77%,0
9,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
10,21.0,133,78,58.65%,78,58.65%,80,60.15%,2,1.50%,0
11,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
12,7727.0,125,101,80.80%,99,79.20%,104,83.20%,3,2.40%,2
13,7846.0,20,10,50.00%,10,50.00%,14,70.00%,4,20.00%,0
14,7562.0,35,23,65.71%,22,62.86%,23,65.71%,0,0.00%,1
15,409.0,356,104,29.21%,104,29.21%,105,29.49%,1,0.28%,0
16,412.0,174,57,32.76%,54,31.03%,60,34.48%,3,1.72%,3
17,416.0,112,5,4.46%,4,3.57%,6,5.36%,1,0.89%,1
18,6047.0,14,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
19,6664.0,8,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
20,6811.0,10,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
21,6915.0,289,1,0.35%,1,0.35%,1,0.35%,0,0.00%,0
22,8105.0,115,81,70.43%,81,70.43%,81,70.43%,0,0.00%,0
23,8106.0,125,119,95.20%,119,95.20%,120,96.00%,1,0.80%,0
24,8107.0,76,4,5.26%,4,5.26%,4,5.26%,0,0.00%,0
25,8110.0,74,8,10.81%,7,9.46%,9,12.16%,1,1.35%,1
26,8203.0,88,3,3.41%,3,3.41%,3,3.41%,0,0.00%,0
27,8300.0,31,1,3.23%,1,3.23%,1,3.23%,0,0.00%,0
28,9999.0,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
29,7772.0,33,26,78.79%,26,78.79%,29,87.88%,3,9.09%,0
30,29.0,65,47,72.31%,47,72.31%,47,72.31%,0,0.00%,0
31,5199.0,122,117,95.90%,116,95.08%,117,95.90%,0,0.00%,1
32,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
33,315.0,411,362,88.08%,362,88.08%,369,89.78%,7,1.70%,0
34,50.0,322,257,79.81%,251,77.95%,258,80.12%,1,0.31%,6
35,62.0,340,282,82.94%,282,82.94%,282,82.94%,0,0.00%,0
36,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
37,70.0,74,26,35.14%,25,33.78%,26,35.14%,0,0.00%,1
38,9999.0,5,3,60.00%,3,60.00%,3,60.00%,0,0.00%,0
39,79.0,90,52,57.78%,51,56.67%,54,60.00%,2,2.22%,1
40,6706.0,237,182,76.79%,179,75.53%,187,78.90%,5,2.11%,3
41,9999.0,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
42,8094.0,43,23,53.49%,19,44.19%,23,53.49%,0,0.00%,4
43,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
44,8087.0,38,26,68.42%,26,68.42%,27,71.05%,1,2.63%,0
45,513.0,130,88,67.69%,88,67.69%,98,75.38%,10,7.69%,0
46,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
47,8340.0,108,70,64.81%,70,64.81%,70,64.81%,0,0.00%,0
48,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
49,144.0,188,123,65.43%,119,63.30%,127,67.55%,4,2.13%,4
50,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
51,7648.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
52,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
53,156.0,325,287,88.31%,280,86.15%,288,88.62%,1,0.31%,7
54,170.0,258,187,72.48%,180,69.77%,190,73.64%,3,1.16%,7
55,9999.0,2,1,50.00%,1,50.00%,1,50.00%,0,0.00%,0
56,5190.0,253,224,88.54%,224,88.54%,224,88.54%,0,0.00%,0
57,5153.0,164,99,60.37%,88,53.66%,100,60.98%,1,0.61%,11
58,9999.0,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
59,5112.0,150,120,80.00%,114,76.00%,124,82.67%,4,2.67%,6
60,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
61,6105.0,196,113,57.65%,107,54.59%,121,61.73%,8,4.08%,6
62,5017.0,220,174,79.09%,174,79.09%,178,80.91%,4,1.82%,0
63,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
64,4951.0,298,243,81.54%,243,81.54%,244,81.88%,1,0.34%,0
65,9999.0,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
66,254.0,452,412,91.15%,409,90.49%,416,92.04%,4,0.88%,3
67,9999.0,3,1,33.33%,1,33.33%,1,33.33%,0,0.00%,0
68,8305.0,687,636,92.58%,636,92.58%,638,92.87%,2,0.29%,0
69,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
70,53.0,70,60,85.71%,60,85.71%,61,87.14%,1,1.43%,0
71,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
72,7101.0,334,266,79.64%,265,79.34%,275,82.34%,9,2.69%,1
73,309.0,300,235,78.33%,227,75.67%,244,81.33%,9,3.00%,8
74,9999.0,9,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
75,435.0,291,221,75.95%,217,74.57%,224,76.98%,3,1.03%,4
76,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
77,448.0,173,143,82.66%,143,82.66%,143,82.66%,0,0.00%,0
78,9999.0,5,1,20.00%,1,20.00%,1,20.00%,0,0.00%,0
79,6928.0,64,47,73.44%,44,68.75%,48,75.00%,1,1.56%,3
80,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
81,460.0,311,225,72.35%,223,71.70%,243,78.14%,18,5.79%,2
82,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
83,8392.0,33,27,81.82%,27,81.82%,29,87.88%,2,6.06%,0
84,440.0,116,83,71.55%,83,71.55%,88,75.86%,5,4.31%,0
85,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
86,470.0,203,188,92.61%,186,91.63%,195,96.06%,7,3.45%,2
87,9999.0,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
88,467.0,139,111,79.86%,111,79.86%,111,79.86%,0,0.00%,0
89,9999.0,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
90,196.0,96,63,65.63%,58,60.42%,63,65.63%,0,0.00%,5
91,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
92,477.0,70,30,42.86%,25,35.71%,30,42.86%,0,0.00%,5
93,492.0,344,319,92.73%,319,92.73%,325,94.48%,6,1.74%,0
94,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
95,509.0,265,209,78.87%,206,77.74%,217,81.89%,8,3.02%,3
96,523.0,229,191,83.41%,191,83.41%,191,83.41%,0,0.00%,0
97,536.0,252,171,67.86%,156,61.90%,172,68.25%,1,0.40%,15
98,9999.0,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
99,107.0,237,156,65.82%,142,59.92%,165,69.62%,9,3.80%,14
100,7821.0,59,36,61.02%,35,59.32%,40,67.80%,4,6.78%,1
101,8129.0,39,31,79.49%,30,76.92%,34,87.18%,3,7.69%,1
102,2320.0,75,48,64.00%,48,64.00%,51,68.00%,3,4.00%,0
103,9999.0,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
104,7640.0,84,47,55.95%,44,52.38%,49,58.33%,2,2.38%,3
105,8342.0,207,134,64.73%,133,64.25%,136,65.70%,2,0.97%,1
106,9999.0,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
107,594.0,142,121,85.21%,109,76.76%,121,85.21%,0,0.00%,12
108,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
109,7923.0,49,30,61.22%,25,51.02%,32,65.31%,2,4.08%,5
110,9999.0,1,1,100.00%,0,0.00%,1,100.00%,0,0.00%,1
111,4807.0,137,47,34.31%,43,31.39%,53,38.69%,6,4.38%,4
112,7859.0,143,122,85.31%,115,80.42%,122,85.31%,0,0.00%,7
113,8086.0,69,27,39.13%,27,39.13%,27,39.13%,0,0.00%,0
114,6555.0,174,114,65.52%,112,64.37%,120,68.97%,6,3.45%,2
115,9999.0,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
116,640.0,180,144,80.00%,142,78.89%,148,82.22%,4,2.22%,2
117,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
118,649.0,103,65,63.11%,63,61.17%,68,66.02%,3,2.91%,2
119,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
120,6707.0,150,120,80.00%,116,77.33%,122,81.33%,2,1.33%,4
121,9999.0,3,0,0.00%,0,0.00%,1,33.33%,1,33.33%,0
122,8044.0,149,101,67.79%,97,65.10%,105,70.47%,4,2.68%,4
123,6563.0,98,69,70.41%,63,64.29%,73,74.49%,4,4.08%,6
124,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
125,7650.0,"1,173",548,46.72%,465,39.64%,566,48.25%,18,1.53%,83
126,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
127,675.0,154,113,73.38%,113,73.38%,118,76.62%,5,3.25%,0
128,695.0,98,62,63.27%,55,56.12%,64,65.31%,2,2.04%,7
129,700.0,123,69,56.10%,63,51.22%,70,56.91%,1,0.81%,6
130,8000.0,52,32,61.54%,32,61.54%,40,76.92%,8,15.38%,0
131,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
132,714.0,70,50,71.43%,50,71.43%,50,71.43%,0,0.00%,0
133,719.0,52,33,63.46%,31,59.62%,34,65.38%,1,1.92%,2
134,726.0,137,67,48.91%,65,47.45%,73,53.28%,6,4.38%,2
135,732.0,115,68,59.13%,59,51.30%,73,63.48%,5,4.35%,9
136,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
137,7897.0,99,43,43.43%,43,43.43%,47,47.47%,4,4.04%,0
138,8436.0,54,31,57.41%,30,55.56%,32,59.26%,1,1.85%,1
139,8154.0,15,9,60.00%,9,60.00%,9,60.00%,0,0.00%,0
140,753.0,65,23,35.38%,22,33.85%,28,43.08%,5,7.69%,1
141,8155.0,89,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
142,820.0,61,41,67.21%,38,62.30%,43,70.49%,2,3.28%,3
143,6306.0,485,361,74.43%,359,74.02%,366,75.46%,5,1.03%,2
144,9999.0,23,4,17.39%,3,13.04%,4,17.39%,0,0.00%,1
145,6308.0,115,79,68.70%,74,64.35%,80,69.57%,1,0.87%,5
146,777.0,196,139,70.92%,133,67.86%,141,71.94%,2,1.02%,6
147,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
148,4810.0,283,212,74.91%,208,73.50%,213,75.27%,1,0.35%,4
149,9999.0,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
150,787.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
151,788.0,288,211,73.26%,209,72.57%,215,74.65%,4,1.39%,2
152,9999.0,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
153,5023.0,197,145,73.60%,144,73.10%,149,75.63%,4,2.03%,1
154,9999.0,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
155,802.0,326,228,69.94%,228,69.94%,234,71.78%,6,1.84%,0
156,808.0,164,118,71.95%,105,64.02%,121,73.78%,3,1.83%,13
157,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
158,816.0,108,77,71.30%,77,71.30%,79,73.15%,2,1.85%,0
159,6610.0,277,209,75.45%,204,73.65%,210,75.81%,1,0.36%,5
160,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
