,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
0,7691.0,131,72,55.0%,71,77,58.8%,5,3.8%,1
1,5091.0,290,255,87.9%,244,259,89.3%,4,1.4%,11
2,3241.0,596,521,87.4%,519,536,89.9%,15,2.5%,2
3,7846.0,41,24,58.5%,24,24,58.5%,0,0.0%,0
4,7824.0,98,27,27.6%,27,31,31.6%,4,4.1%,0
5,7858.0,400,120,30.0%,117,122,30.5%,2,0.5%,3
6,6001.0,273,148,54.2%,122,149,54.6%,1,0.4%,26
7,8086.0,89,44,49.4%,35,48,53.9%,4,4.5%,9
8,29.0,89,64,71.9%,63,66,74.2%,2,2.2%,1
9,4664.0,75,47,62.7%,47,48,64.0%,1,1.3%,0
10,2795.0,421,284,67.5%,277,290,68.9%,6,1.4%,7
11,2794.0,638,368,57.7%,364,372,58.3%,4,0.6%,4
12,913.0,536,333,62.1%,333,374,69.8%,41,7.6%,0
13,7425.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
14,6555.0,186,118,63.4%,105,119,64.0%,1,0.5%,13
15,2725.0,122,88,72.1%,87,98,80.3%,10,8.2%,1
16,820.0,74,50,67.6%,48,54,73.0%,4,5.4%,2
17,2320.0,91,67,73.6%,63,67,73.6%,0,0.0%,4
18,582.0,31,0,0.0%,0,0,0.0%,0,0.0%,0
19,6575.0,79,60,75.9%,60,60,75.9%,0,0.0%,0
20,596.0,145,0,0.0%,0,0,0.0%,0,0.0%,0
21,7640.0,84,48,57.1%,48,55,65.5%,7,8.3%,0
22,8148.0,6,1,16.7%,1,1,16.7%,0,0.0%,0
23,958.0,161,100,62.1%,96,105,65.2%,5,3.1%,4
24,6222.0,16,11,68.8%,10,11,68.8%,0,0.0%,1
25,4165.0,43,31,72.1%,30,35,81.4%,4,9.3%,1
26,7721.0,48,37,77.1%,37,41,85.4%,4,8.3%,0
27,1367.0,458,388,84.7%,377,389,84.9%,1,0.2%,11
28,5199.0,96,79,82.3%,79,81,84.4%,2,2.1%,0
29,1335.0,148,100,67.6%,81,103,69.6%,3,2.0%,19
30,50.0,338,284,84.0%,270,301,89.1%,17,5.0%,14
31,3434.0,264,206,78.0%,199,206,78.0%,0,0.0%,7
32,7847.0,20,10,50.0%,7,10,50.0%,0,0.0%,3
33,640.0,149,118,79.2%,114,120,80.5%,2,1.3%,4
34,726.0,145,73,50.3%,70,81,55.9%,8,5.5%,3
35,742.0,20,10,50.0%,10,14,70.0%,4,20.0%,0
36,4930.0,209,167,79.9%,154,167,79.9%,0,0.0%,13
37,1343.0,235,168,71.5%,160,174,74.0%,6,2.6%,8
38,917.0,90,63,70.0%,63,66,73.3%,3,3.3%,0
39,5116.0,422,350,82.9%,345,367,87.0%,17,4.0%,5
40,1595.0,51,41,80.4%,41,41,80.4%,0,0.0%,0
41,4188.0,79,55,69.6%,43,56,70.9%,1,1.3%,12
42,6207.0,55,34,61.8%,30,35,63.6%,1,1.8%,4
43,3.0,138,98,71.0%,87,104,75.4%,6,4.3%,11
44,1605.0,198,137,69.2%,132,140,70.7%,3,1.5%,5
45,62.0,423,391,92.4%,375,392,92.7%,1,0.2%,16
46,4957.0,423,363,85.8%,358,369,87.2%,6,1.4%,5
47,3465.0,605,486,80.3%,479,493,81.5%,7,1.2%,7
48,4181.0,81,49,60.5%,45,51,63.0%,2,2.5%,4
49,649.0,121,82,67.8%,66,83,68.6%,1,0.8%,16
50,1677.0,232,147,63.4%,134,149,64.2%,2,0.9%,13
51,6707.0,197,166,84.3%,156,171,86.8%,5,2.5%,10
52,5135.0,49,32,65.3%,31,37,75.5%,5,10.2%,1
53,4706.0,75,58,77.3%,55,60,80.0%,2,2.7%,3
54,2353.0,44,34,77.3%,29,37,84.1%,3,6.8%,5
55,1612.0,101,81,80.2%,74,82,81.2%,1,1.0%,7
56,3891.0,221,151,68.3%,146,171,77.4%,20,9.0%,5
57,4034.0,98,70,71.4%,63,74,75.5%,4,4.1%,7
58,6306.0,537,402,74.9%,381,403,75.0%,1,0.2%,21
59,7981.0,80,76,95.0%,75,76,95.0%,0,0.0%,1
60,4691.0,230,184,80.0%,184,189,82.2%,5,2.2%,0
61,6308.0,152,121,79.6%,111,126,82.9%,5,3.3%,10
62,70.0,85,70,82.4%,65,72,84.7%,2,2.4%,5
63,1014.0,70,51,72.9%,45,52,74.3%,1,1.4%,6
64,1029.0,361,282,78.1%,259,282,78.1%,0,0.0%,23
65,2362.0,78,44,56.4%,44,44,56.4%,0,0.0%,0
66,6162.0,116,67,57.8%,60,71,61.2%,4,3.4%,7
67,4818.0,109,70,64.2%,67,74,67.9%,4,3.7%,3
68,1030.0,292,184,63.0%,177,195,66.8%,11,3.8%,7
69,4195.0,100,64,64.0%,52,68,68.0%,4,4.0%,12
70,4340.0,138,125,90.6%,123,126,91.3%,1,0.7%,2
71,1147.0,621,502,80.8%,483,517,83.3%,15,2.4%,19
72,4203.0,69,54,78.3%,53,55,79.7%,1,1.4%,1
73,5212.0,125,86,68.8%,75,86,68.8%,0,0.0%,11
74,1299.0,64,46,71.9%,42,46,71.9%,0,0.0%,4
75,1682.0,74,62,83.8%,59,62,83.8%,0,0.0%,3
76,4217.0,369,312,84.6%,282,314,85.1%,2,0.5%,30
77,988.0,66,37,56.1%,36,37,56.1%,0,0.0%,1
78,4870.0,81,32,39.5%,24,36,44.4%,4,4.9%,8
79,2420.0,95,66,69.5%,61,67,70.5%,1,1.1%,5
80,7577.0,45,25,55.6%,18,25,55.6%,0,0.0%,7
81,1694.0,331,234,70.7%,216,235,71.0%,1,0.3%,18
82,79.0,94,76,80.9%,74,77,81.9%,1,1.1%,2
83,7112.0,78,57,73.1%,53,58,74.4%,1,1.3%,4
84,2798.0,120,91,75.8%,89,93,77.5%,2,1.7%,2
85,1040.0,435,352,80.9%,350,365,83.9%,13,3.0%,2
86,7293.0,203,139,68.5%,133,144,70.9%,5,2.5%,6
87,7726.0,30,12,40.0%,12,19,63.3%,7,23.3%,0
88,5133.0,541,506,93.5%,501,511,94.5%,5,0.9%,5
89,7790.0,598,530,88.6%,527,546,91.3%,16,2.7%,3
90,1043.0,499,424,85.0%,424,424,85.0%,0,0.0%,0
91,1208.0,149,100,67.1%,92,112,75.2%,12,8.1%,8
92,1619.0,146,119,81.5%,119,120,82.2%,1,0.7%,0
93,1746.0,367,275,74.9%,265,277,75.5%,2,0.5%,10
94,1745.0,453,385,85.0%,379,394,87.0%,9,2.0%,6
95,6252.0,46,30,65.2%,28,31,67.4%,1,2.2%,2
96,5118.0,149,81,54.4%,78,98,65.8%,17,11.4%,3
97,7720.0,8,3,37.5%,2,4,50.0%,1,12.5%,1
98,8044.0,216,182,84.3%,180,182,84.3%,0,0.0%,2
99,4545.0,397,323,81.4%,311,329,82.9%,6,1.5%,12
100,2191.0,553,283,51.2%,279,298,53.9%,15,2.7%,4
101,4715.0,124,92,74.2%,85,93,75.0%,1,0.8%,7
102,7578.0,140,119,85.0%,119,125,89.3%,6,4.3%,0
103,6706.0,256,222,86.7%,217,227,88.7%,5,2.0%,5
104,4235.0,82,64,78.0%,64,65,79.3%,1,1.2%,0
105,3260.0,352,312,88.6%,307,313,88.9%,1,0.3%,5
106,8022.0,3,3,100.0%,3,3,100.0%,0,0.0%,0
107,6492.0,227,140,61.7%,133,154,67.8%,14,6.2%,7
108,732.0,120,71,59.2%,59,87,72.5%,16,13.3%,12
109,1849.0,259,166,64.1%,161,192,74.1%,26,10.0%,5
110,7727.0,119,99,83.2%,98,100,84.0%,1,0.8%,1
111,8094.0,62,52,83.9%,50,52,83.9%,0,0.0%,2
112,1475.0,70,51,72.9%,49,53,75.7%,2,2.9%,2
113,1480.0,70,45,64.3%,44,49,70.0%,4,5.7%,1
114,921.0,67,33,49.3%,29,36,53.7%,3,4.5%,4
