,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution,specialized associate degree granting institution %
0,3.0,148,85,57.43%,80,54.05%,85,57.43%,0,0.00%,5,3.38%
1,9999.0,2,1,50.00%,1,50.00%,1,50.00%,0,0.00%,0,0.00%
2,,150,86,57.33%,81,54.00%,86,57.33%,0,0.00%,5,3.33%
3,17.0,278,151,54.32%,151,54.32%,162,58.27%,11,3.96%,0,0.00%
4,,278,151,54.32%,151,54.32%,162,58.27%,11,3.96%,0,0.00%
5,6269.0,72,44,61.11%,43,59.72%,44,61.11%,0,0.00%,1,1.39%
6,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
7,,74,44,59.46%,43,58.11%,44,59.46%,0,0.00%,1,1.35%
8,6271.0,246,170,69.11%,164,66.67%,176,71.54%,6,2.44%,6,2.44%
9,,246,170,69.11%,164,66.67%,176,71.54%,6,2.44%,6,2.44%
10,14.0,143,70,48.95%,70,48.95%,79,55.24%,9,6.29%,0,0.00%
11,9999.0,8,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
12,,151,70,46.36%,70,46.36%,79,52.32%,9,5.96%,0,0.00%
13,21.0,102,55,53.92%,55,53.92%,60,58.82%,5,4.90%,0,0.00%
14,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
15,,104,55,52.88%,55,52.88%,60,57.69%,5,4.81%,0,0.00%
16,,"1,003",576,57.43%,564,56.23%,607,60.52%,31,3.09%,12,1.20%
17,7727.0,86,62,72.09%,60,69.77%,67,77.91%,5,5.81%,2,2.33%
18,,86,62,72.09%,60,69.77%,67,77.91%,5,5.81%,2,2.33%
19,7846.0,19,7,36.84%,7,36.84%,9,47.37%,2,10.53%,0,0.00%
20,,19,7,36.84%,7,36.84%,9,47.37%,2,10.53%,0,0.00%
21,7562.0,31,18,58.06%,17,54.84%,24,77.42%,6,19.35%,1,3.23%
22,9999.0,1,1,100.00%,0,0.00%,1,100.00%,0,0.00%,1,100.00%
23,,32,19,59.38%,17,53.13%,25,78.13%,6,18.75%,2,6.25%
24,8308.0,15,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
25,,15,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
26,409.0,363,247,68.04%,244,67.22%,252,69.42%,5,1.38%,3,0.83%
27,412.0,118,49,41.53%,46,38.98%,62,52.54%,13,11.02%,3,2.54%
28,416.0,89,14,15.73%,12,13.48%,14,15.73%,0,0.00%,2,2.25%
29,6047.0,13,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
30,6664.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
31,6811.0,9,0,0.00%,0,0.00%,1,11.11%,1,11.11%,0,0.00%
32,6915.0,248,2,0.81%,2,0.81%,2,0.81%,0,0.00%,0,0.00%
33,8105.0,111,5,4.50%,5,4.50%,5,4.50%,0,0.00%,0,0.00%
34,8106.0,108,95,87.96%,95,87.96%,95,87.96%,0,0.00%,0,0.00%
35,8107.0,91,68,74.73%,68,74.73%,71,78.02%,3,3.30%,0,0.00%
36,8110.0,58,4,6.90%,4,6.90%,5,8.62%,1,1.72%,0,0.00%
37,8203.0,70,3,4.29%,2,2.86%,3,4.29%,0,0.00%,1,1.43%
38,8300.0,29,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
39,9999.0,22,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
40,,"1,332",487,36.56%,478,35.89%,510,38.29%,23,1.73%,9,0.68%
41,7772.0,36,24,66.67%,24,66.67%,26,72.22%,2,5.56%,0,0.00%
42,9999.0,1,1,100.00%,1,100.00%,1,100.00%,0,0.00%,0,0.00%
43,,37,25,67.57%,25,67.57%,27,72.97%,2,5.41%,0,0.00%
44,7832.0,38,27,71.05%,27,71.05%,33,86.84%,6,15.79%,0,0.00%
45,9999.0,1,1,100.00%,0,0.00%,1,100.00%,0,0.00%,1,100.00%
46,,39,28,71.79%,27,69.23%,34,87.18%,6,15.38%,1,2.56%
47,29.0,63,41,65.08%,34,53.97%,41,65.08%,0,0.00%,7,11.11%
48,,63,41,65.08%,34,53.97%,41,65.08%,0,0.00%,7,11.11%
49,5199.0,129,102,79.07%,101,78.29%,104,80.62%,2,1.55%,1,0.78%
50,,129,102,79.07%,101,78.29%,104,80.62%,2,1.55%,1,0.78%
51,315.0,383,327,85.38%,327,85.38%,333,86.95%,6,1.57%,0,0.00%
52,,383,327,85.38%,327,85.38%,333,86.95%,6,1.57%,0,0.00%
53,50.0,345,249,72.17%,249,72.17%,252,73.04%,3,0.87%,0,0.00%
54,9999.0,4,0,0.00%,0,0.00%,1,25.00%,1,25.00%,0,0.00%
55,,349,249,71.35%,249,71.35%,253,72.49%,4,1.15%,0,0.00%
56,62.0,349,268,76.79%,268,76.79%,268,76.79%,0,0.00%,0,0.00%
57,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
58,,351,268,76.35%,268,76.35%,268,76.35%,0,0.00%,0,0.00%
59,70.0,90,61,67.78%,58,64.44%,63,70.00%,2,2.22%,3,3.33%
60,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
61,,91,61,67.03%,58,63.74%,63,69.23%,2,2.20%,3,3.30%
62,79.0,88,47,53.41%,47,53.41%,47,53.41%,0,0.00%,0,0.00%
63,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
64,,89,47,52.81%,47,52.81%,47,52.81%,0,0.00%,0,0.00%
65,6706.0,236,171,72.46%,166,70.34%,176,74.58%,5,2.12%,5,2.12%
66,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
67,,237,171,72.15%,166,70.04%,176,74.26%,5,2.11%,5,2.11%
68,8094.0,37,14,37.84%,11,29.73%,14,37.84%,0,0.00%,3,8.11%
69,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
70,,39,14,35.90%,11,28.21%,14,35.90%,0,0.00%,3,7.69%
71,8087.0,40,31,77.50%,31,77.50%,32,80.00%,1,2.50%,0,0.00%
72,,40,31,77.50%,31,77.50%,32,80.00%,1,2.50%,0,0.00%
73,513.0,145,101,69.66%,101,69.66%,106,73.10%,5,3.45%,0,0.00%
74,,145,101,69.66%,101,69.66%,106,73.10%,5,3.45%,0,0.00%
75,8340.0,93,57,61.29%,51,54.84%,58,62.37%,1,1.08%,6,6.45%
76,,93,57,61.29%,51,54.84%,58,62.37%,1,1.08%,6,6.45%
77,144.0,144,93,64.58%,91,63.19%,97,67.36%,4,2.78%,2,1.39%
78,,144,93,64.58%,91,63.19%,97,67.36%,4,2.78%,2,1.39%
79,7648.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
80,,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
81,156.0,323,274,84.83%,274,84.83%,276,85.45%,2,0.62%,0,0.00%
82,,323,274,84.83%,274,84.83%,276,85.45%,2,0.62%,0,0.00%
83,170.0,272,153,56.25%,148,54.41%,161,59.19%,8,2.94%,5,1.84%
84,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
85,,275,153,55.64%,148,53.82%,161,58.55%,8,2.91%,5,1.82%
86,5190.0,241,199,82.57%,199,82.57%,200,82.99%,1,0.41%,0,0.00%
87,,241,199,82.57%,199,82.57%,200,82.99%,1,0.41%,0,0.00%
88,5153.0,182,100,54.95%,83,45.60%,106,58.24%,6,3.30%,17,9.34%
89,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
90,,185,100,54.05%,83,44.86%,106,57.30%,6,3.24%,17,9.19%
