,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution,specialized associate degree granting institution %
0,3.0,147,99,67.35%,99,67.35%,105,71.43%,6,4.08%,0,0.00%
1,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
2,17.0,267,176,65.92%,167,62.55%,186,69.66%,10,3.75%,9,3.37%
3,6269.0,89,73,82.02%,73,82.02%,75,84.27%,2,2.25%,0,0.00%
4,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
5,6271.0,263,201,76.43%,186,70.72%,205,77.95%,4,1.52%,15,5.70%
6,9999.0,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
7,14.0,155,105,67.74%,92,59.35%,107,69.03%,2,1.29%,13,8.39%
8,9999.0,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
9,21.0,114,74,64.91%,69,60.53%,75,65.79%,1,0.88%,5,4.39%
10,9999.0,7,0,0.00%,0,0.00%,1,14.29%,1,14.29%,0,0.00%
11,7727.0,132,95,71.97%,91,68.94%,98,74.24%,3,2.27%,4,3.03%
12,7846.0,15,7,46.67%,7,46.67%,10,66.67%,3,20.00%,0,0.00%
13,7562.0,41,37,90.24%,35,85.37%,39,95.12%,2,4.88%,2,4.88%
14,8308.0,83,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
15,409.0,333,199,59.76%,198,59.46%,203,60.96%,4,1.20%,1,0.30%
16,412.0,148,114,77.03%,101,68.24%,118,79.73%,4,2.70%,13,8.78%
17,416.0,81,56,69.14%,52,64.20%,59,72.84%,3,3.70%,4,4.94%
18,6047.0,8,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
19,6811.0,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
20,6915.0,269,163,60.59%,157,58.36%,178,66.17%,15,5.58%,6,2.23%
21,8105.0,114,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
22,8106.0,134,2,1.49%,2,1.49%,2,1.49%,0,0.00%,0,0.00%
23,8107.0,69,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
24,8110.0,72,3,4.17%,3,4.17%,4,5.56%,1,1.39%,0,0.00%
25,8203.0,75,5,6.67%,5,6.67%,7,9.33%,2,2.67%,0,0.00%
26,8300.0,29,8,27.59%,8,27.59%,8,27.59%,0,0.00%,0,0.00%
27,9999.0,11,1,9.09%,1,9.09%,1,9.09%,0,0.00%,0,0.00%
28,7772.0,39,33,84.62%,33,84.62%,33,84.62%,0,0.00%,0,0.00%
29,29.0,86,62,72.09%,57,66.28%,65,75.58%,3,3.49%,5,5.81%
30,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
31,5199.0,98,86,87.76%,86,87.76%,86,87.76%,0,0.00%,0,0.00%
32,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
33,315.0,363,334,92.01%,334,92.01%,341,93.94%,7,1.93%,0,0.00%
34,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
35,50.0,329,272,82.67%,268,81.46%,282,85.71%,10,3.04%,4,1.22%
36,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
37,62.0,416,338,81.25%,338,81.25%,338,81.25%,0,0.00%,0,0.00%
38,9999.0,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
39,70.0,109,94,86.24%,87,79.82%,96,88.07%,2,1.83%,7,6.42%
40,79.0,104,72,69.23%,65,62.50%,75,72.12%,3,2.88%,7,6.73%
41,6706.0,267,215,80.52%,215,80.52%,215,80.52%,0,0.00%,0,0.00%
42,9999.0,1,0,0.00%,0,0.00%,1,100.00%,1,100.00%,0,0.00%
43,8094.0,51,34,66.67%,28,54.90%,34,66.67%,0,0.00%,6,11.76%
44,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
45,8087.0,44,35,79.55%,35,79.55%,40,90.91%,5,11.36%,0,0.00%
46,513.0,160,122,76.25%,122,76.25%,138,86.25%,16,10.00%,0,0.00%
47,9999.0,4,1,25.00%,1,25.00%,1,25.00%,0,0.00%,0,0.00%
48,8340.0,103,79,76.70%,77,74.76%,79,76.70%,0,0.00%,2,1.94%
49,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
50,144.0,195,146,74.87%,137,70.26%,147,75.38%,1,0.51%,9,4.62%
51,7648.0,10,1,10.00%,1,10.00%,1,10.00%,0,0.00%,0,0.00%
52,156.0,346,303,87.57%,302,87.28%,305,88.15%,2,0.58%,1,0.29%
53,9999.0,1,1,100.00%,1,100.00%,1,100.00%,0,0.00%,0,0.00%
54,170.0,269,222,82.53%,216,80.30%,226,84.01%,4,1.49%,6,2.23%
55,9999.0,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
56,5190.0,263,243,92.40%,242,92.02%,244,92.78%,1,0.38%,1,0.38%
57,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
58,5153.0,159,101,63.52%,100,62.89%,107,67.30%,6,3.77%,1,0.63%
59,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
60,5112.0,139,109,78.42%,100,71.94%,109,78.42%,0,0.00%,9,6.47%
61,9999.0,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
62,6105.0,238,132,55.46%,132,55.46%,147,61.76%,15,6.30%,0,0.00%
63,5017.0,258,215,83.33%,212,82.17%,218,84.50%,3,1.16%,3,1.16%
64,9999.0,5,1,20.00%,1,20.00%,1,20.00%,0,0.00%,0,0.00%
65,4951.0,274,253,92.34%,242,88.32%,254,92.70%,1,0.36%,11,4.01%
66,9999.0,8,1,12.50%,0,0.00%,1,12.50%,0,0.00%,1,12.50%
67,254.0,437,422,96.57%,422,96.57%,423,96.80%,1,0.23%,0,0.00%
68,9999.0,2,1,50.00%,1,50.00%,1,50.00%,0,0.00%,0,0.00%
