,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
675,9999.0,18,6,33.33%,5,27.78%,7,38.89%,1,5.56%,1
676,3328.0,455,386,84.84%,382,83.96%,390,85.71%,4,0.88%,4
677,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
678,3338.0,249,157,63.05%,155,62.25%,164,65.86%,7,2.81%,2
679,3348.0,123,91,73.98%,80,65.04%,91,73.98%,0,0.00%,11
680,3354.0,556,443,79.68%,441,79.32%,444,79.86%,1,0.18%,2
681,9999.0,15,2,13.33%,2,13.33%,3,20.00%,1,6.67%,0
682,3376.0,158,131,82.91%,131,82.91%,132,83.54%,1,0.63%,0
683,3367.0,561,492,87.70%,492,87.70%,499,88.95%,7,1.25%,0
684,9999.0,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
685,5078.0,325,297,91.38%,297,91.38%,302,92.92%,5,1.54%,0
686,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
687,3395.0,276,247,89.49%,245,88.77%,247,89.49%,0,0.00%,2
688,9999.0,24,11,45.83%,11,45.83%,11,45.83%,0,0.00%,0
689,3401.0,239,189,79.08%,189,79.08%,192,80.33%,3,1.26%,0
690,9999.0,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
691,5081.0,201,134,66.67%,130,64.68%,135,67.16%,1,0.50%,4
692,9999.0,4,2,50.00%,2,50.00%,2,50.00%,0,0.00%,0
693,3247.0,318,296,93.08%,296,93.08%,298,93.71%,2,0.63%,0
694,9999.0,11,3,27.27%,3,27.27%,3,27.27%,0,0.00%,0
695,7858.0,734,369,50.27%,345,47.00%,433,58.99%,64,8.72%,24
696,3425.0,160,116,72.50%,116,72.50%,122,76.25%,6,3.75%,0
697,7681.0,59,55,93.22%,53,89.83%,56,94.92%,1,1.69%,2
698,3434.0,246,185,75.20%,185,75.20%,185,75.20%,0,0.00%,0
699,3465.0,639,498,77.93%,487,76.21%,501,78.40%,3,0.47%,11
700,4957.0,431,346,80.28%,340,78.89%,349,80.97%,3,0.70%,6
701,9999.0,13,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
702,7634.0,117,101,86.32%,101,86.32%,102,87.18%,1,0.85%,0
703,3482.0,667,548,82.16%,545,81.71%,561,84.11%,13,1.95%,3
704,3495.0,363,310,85.40%,309,85.12%,314,86.50%,4,1.10%,1
705,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
706,3505.0,396,321,81.06%,316,79.80%,328,82.83%,7,1.77%,5
707,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
708,6439.0,133,88,66.17%,86,64.66%,91,68.42%,3,2.26%,2
709,5352.0,170,139,81.76%,138,81.18%,140,82.35%,1,0.59%,1
710,3522.0,155,119,76.77%,118,76.13%,121,78.06%,2,1.29%,1
711,9999.0,4,2,50.00%,2,50.00%,3,75.00%,1,25.00%,0
712,3532.0,89,52,58.43%,49,55.06%,53,59.55%,1,1.12%,3
713,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
714,3541.0,153,95,62.09%,90,58.82%,95,62.09%,0,0.00%,5
715,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
716,6936.0,114,60,52.63%,58,50.88%,64,56.14%,4,3.51%,2
717,7893.0,162,103,63.58%,97,59.88%,105,64.81%,2,1.23%,6
718,3569.0,148,78,52.70%,75,50.68%,79,53.38%,1,0.68%,3
719,5103.0,102,64,62.75%,61,59.80%,64,62.75%,0,0.00%,3
720,6341.0,59,45,76.27%,45,76.27%,45,76.27%,0,0.00%,0
721,7930.0,63,35,55.56%,35,55.56%,39,61.90%,4,6.35%,0
722,3589.0,135,61,45.19%,60,44.44%,61,45.19%,0,0.00%,1
723,3596.0,191,115,60.21%,115,60.21%,119,62.30%,4,2.09%,0
724,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
725,7744.0,77,49,63.64%,49,63.64%,55,71.43%,6,7.79%,0
726,8083.0,42,42,100.00%,42,100.00%,42,100.00%,0,0.00%,0
727,7678.0,76,69,90.79%,69,90.79%,70,92.11%,1,1.32%,0
728,7737.0,128,85,66.41%,85,66.41%,93,72.66%,8,6.25%,0
729,7777.0,53,37,69.81%,37,69.81%,40,75.47%,3,5.66%,0
730,7909.0,116,101,87.07%,100,86.21%,104,89.66%,3,2.59%,1
731,7910.0,76,65,85.53%,65,85.53%,68,89.47%,3,3.95%,0
732,8216.0,27,24,88.89%,24,88.89%,26,96.30%,2,7.41%,0
733,7510.0,128,92,71.88%,92,71.88%,100,78.13%,8,6.25%,0
734,7513.0,131,13,9.92%,13,9.92%,15,11.45%,2,1.53%,0
735,7540.0,112,72,64.29%,72,64.29%,74,66.07%,2,1.79%,0
736,7542.0,114,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
737,7546.0,52,47,90.38%,45,86.54%,47,90.38%,0,0.00%,2
738,7574.0,100,96,96.00%,96,96.00%,97,97.00%,1,1.00%,0
739,7578.0,110,101,91.82%,100,90.91%,103,93.64%,2,1.82%,1
740,7582.0,77,73,94.81%,73,94.81%,77,100.00%,4,5.19%,0
741,7586.0,99,86,86.87%,86,86.87%,92,92.93%,6,6.06%,0
742,7587.0,105,82,78.10%,82,78.10%,90,85.71%,8,7.62%,0
743,7588.0,79,59,74.68%,58,73.42%,68,86.08%,9,11.39%,1
744,7647.0,188,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
