,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
362,695.0,124,96,77.4%,86,101,81.5%,5,4.0%,10
363,2704.0,212,142,67.0%,138,147,69.3%,5,2.4%,4
364,7762.0,43,17,39.5%,12,19,44.2%,2,4.7%,5
365,1084.0,106,99,93.4%,99,103,97.2%,4,3.8%,0
366,4469.0,133,100,75.2%,95,100,75.2%,0,0.0%,5
367,7829.0,67,64,95.5%,64,67,100.0%,3,4.5%,0
368,7930.0,81,47,58.0%,40,50,61.7%,3,3.7%,7
369,6729.0,365,0,0.0%,0,0,0.0%,0,0.0%,0
370,6998.0,23,0,0.0%,0,0,0.0%,0,0.0%,0
371,6793.0,676,624,92.3%,616,624,92.3%,0,0.0%,8
372,1489.0,59,42,71.2%,42,42,71.2%,0,0.0%,0
373,6145.0,141,100,70.9%,96,106,75.2%,6,4.3%,4
374,7101.0,417,336,80.6%,331,351,84.2%,15,3.6%,5
375,5345.0,986,883,89.6%,862,891,90.4%,8,0.8%,21
376,2446.0,244,156,63.9%,149,179,73.4%,23,9.4%,7
377,3883.0,158,108,68.4%,98,115,72.8%,7,4.4%,10
378,3988.0,119,77,64.7%,63,79,66.4%,2,1.7%,14
379,3505.0,420,355,84.5%,341,357,85.0%,2,0.5%,14
380,964.0,53,27,50.9%,27,31,58.5%,4,7.5%,0
381,4577.0,234,160,68.4%,145,172,73.5%,12,5.1%,15
382,747.0,66,28,42.4%,26,37,56.1%,9,13.6%,2
383,6201.0,97,59,60.8%,53,63,64.9%,4,4.1%,6
384,2760.0,180,115,63.9%,101,121,67.2%,6,3.3%,14
385,2818.0,169,127,75.1%,123,130,76.9%,3,1.8%,4
386,3875.0,41,21,51.2%,21,23,56.1%,2,4.9%,0
387,4058.0,60,43,71.7%,40,43,71.7%,0,0.0%,3
388,6372.0,46,31,67.4%,30,32,69.6%,1,2.2%,1
389,6373.0,79,48,60.8%,46,52,65.8%,4,5.1%,2
390,6345.0,254,187,73.6%,176,195,76.8%,8,3.1%,11
391,53.0,121,97,80.2%,82,98,81.0%,1,0.8%,15
392,7562.0,34,34,100.0%,32,34,100.0%,0,0.0%,2
393,2958.0,105,85,81.0%,85,91,86.7%,6,5.7%,0
394,6745.0,131,86,65.6%,66,86,65.6%,0,0.0%,20
395,2821.0,189,160,84.7%,157,161,85.2%,1,0.5%,3
396,4717.0,428,349,81.5%,325,351,82.0%,2,0.5%,24
397,1414.0,175,128,73.1%,109,128,73.1%,0,0.0%,19
398,4931.0,187,112,59.9%,98,119,63.6%,7,3.7%,14
399,2449.0,53,41,77.4%,41,46,86.8%,5,9.4%,0
400,6318.0,181,135,74.6%,134,146,80.7%,11,6.1%,1
401,3877.0,35,14,40.0%,14,19,54.3%,5,14.3%,0
402,3107.0,68,42,61.8%,35,45,66.2%,3,4.4%,7
403,1406.0,314,280,89.2%,273,284,90.4%,4,1.3%,7
404,1420.0,304,232,76.3%,208,237,78.0%,5,1.6%,24
405,7690.0,82,58,70.7%,51,59,72.0%,1,1.2%,7
406,1094.0,154,130,84.4%,127,131,85.1%,1,0.6%,3
407,4734.0,129,105,81.4%,104,108,83.7%,3,2.3%,1
408,2766.0,247,142,57.5%,140,150,60.7%,8,3.2%,2
409,6693.0,108,69,63.9%,60,75,69.4%,6,5.6%,9
410,2829.0,744,647,87.0%,642,651,87.5%,4,0.5%,5
411,6439.0,148,115,77.7%,115,120,81.1%,5,3.4%,0
412,1213.0,154,99,64.3%,86,99,64.3%,0,0.0%,13
413,309.0,390,308,79.0%,305,311,79.7%,3,0.8%,3
414,2633.0,459,331,72.1%,285,335,73.0%,4,0.9%,46
415,1629.0,98,61,62.2%,57,67,68.4%,6,6.1%,4
416,6942.0,101,64,63.4%,48,70,69.3%,6,5.9%,16
417,6136.0,105,70,66.7%,68,73,69.5%,3,2.9%,2
