AUN,AverageDailyMembership(ADM),BasedonInstruction,BasedonTotal,FacilitiesAcquisition&Construction,Federal Revenue,GeneralFundBalance,Instruction,Local Revenue,MV/PIAidRatio,Non-instructional,Other Revenue,OtherFinancingUses,State Revenue,SupportServices,TotalExpenditures,TotalRevenues
101638803,1553.863,10181.26,18921.18,0.0,1271051.73,1279944.0,15820288.46,11677966.65,0.6717,702665.04,1110040.04,4602954.87,15211095.37,8275020.63,29400929.0,29270153.79
101638907,212.144,14356.3,25616.34,0.0,655808.87,1964538.0,3045603.51,3775997.15,0.447,38957.87,34167.25,636347.0,1031717.05,1713443.76,5434352.14,5497690.32
101833400,488.642,9410.93,18017.94,1040729.58,400281.08,6128801.0,4598573.22,8664440.64,0.611,206937.74,0.0,22680.33,61754.06,2935403.48,8804324.35,9126475.78
102020001,550.529,11952.2,20420.04,0.0,344259.0,4037890.0,6580033.0,11271078.0,0.3101,314198.0,0.0,117732.0,93352.0,4229862.0,11241825.0,11708689.0
102020003,143.689,14844.55,27080.79,0.0,363847.0,-206577.0,2132999.0,3466270.0,0.3101,172616.0,0.0,0.0,10288.0,1585597.0,3891212.0,3840405.0
102023030,373.807,10843.77,22618.36,847703.0,513550.0,1716872.0,4053478.0,8966412.0,0.3101,519093.0,135766.0,11471.0,42040.0,3023158.0,8454903.0,9657768.0
102023080,324.332,12165.06,20033.3,0.0,275199.0,1867678.0,3945518.0,6685988.0,0.3101,33482.0,0.0,85293.0,84387.0,2433148.0,6497441.0,7045574.0
102023217,147.311,9099.97,21134.64,0.0,205380.0,518946.0,1340526.0,3218531.0,0.3101,73295.0,0.0,0.0,12593.0,1699544.0,3113365.0,3436504.0
102027451,26036.563,16372.85,26909.02,1627694.89,49168772.68,155535059.0,426292836.4,344955926.1,0.3101,5983239.01,259610.95,51204643.98,284373798.9,215510007.1,700618421.3,678758108.6
102027560,212.071,12485.61,24279.49,0.0,84800.57,1407441.0,2647836.03,6070897.33,0.3101,600.0,37065.15,213549.39,1432.31,2286989.52,5148974.94,6194195.36
103020002,565.477,10146.92,19350.58,0.0,266192.0,2037628.0,5737851.0,10909429.0,0.6193,134487.0,0.0,13151.0,108619.0,5056821.0,10942310.0,11284240.0
103020003,371.2,8360.5,14274.81,0.0,243744.0,445491.0,3103418.0,4813051.0,0.7702,43792.0,0.0,58.0,95835.0,2151541.0,5298809.0,5152630.0
103020004,663.543,9978.38,17512.58,0.0,309288.0,648660.0,6621084.0,11083692.0,0.2114,167060.0,0.0,138.0,48440.0,4832069.0,11620351.0,11441420.0
