AUN,AverageDailyMembership(ADM),BasedonInstruction,BasedonTotal,FacilitiesAcquisition&Construction,Federal Revenue,GeneralFundBalance,Instruction,Local Revenue,MV/PIAidRatio,Non-instructional,Other Revenue,OtherFinancingUses,State Revenue,SupportServices,TotalExpenditures,TotalRevenues
100510000,1856.865,6925.04,13537.07,155353,1765452,5023248,12858863,23950814,0.7314,360194,0,0,367932,11762093,25136503,26084198
101260303,3353.101,9014.57,15562.47,19591.04,1854756.54,4811781,30226754.19,12976146.16,0.7321,942869.77,163395.95,4130899.89,37360912.25,16862421.84,52182536.73,52355210.9
101260803,1718.603,10040.05,22291.56,0,910039.18,1393523,17254865.88,7191707.32,0.763,502142.25,10430000,12282653.76,19985642.05,8270676.8,38310338.69,38517388.55
101261302,4456.232,9611.11,16369.61,0,2976733.33,4327573,42829346.07,19913627.66,0.6996,1190306.37,350676.26,6751512.12,49878809.7,22175631.91,72946796.47,73119846.95
101262507,299.509,16517.75,25341.04,0,1538226.59,25991,4947214.75,4457959.32,0.6691,14207.04,88435.16,474917.91,1513239.65,2153529.63,7589869.33,7597860.72
101262903,1212.35,9330.51,15040.66,0,356625.13,720278,11311846.01,6184000.29,0.6842,426170.59,0,1504112.52,11142182.07,4992416.16,18234545.28,17682807.49
101264003,3066.246,9573.28,16142.19,0,1955904.65,2080827,29354038.08,22023957.47,0.6029,700781.27,0,4750765.78,25133003.44,14690353.8,49495938.93,49112865.56
101266007,334.123,8100.73,11477.06,0,99743,0,2706640.37,2729337.49,0.6996,20552.75,0,0,1005669.95,1107557.32,3834750.44,3834750.44
101268003,2859.086,9839.7,17140.04,0,2426200.55,1283060,28132551.97,16250459.74,0.6056,619017.86,0,5297921.01,26633486.72,14955367.7,49004858.54,45310147.01
101301303,1104.274,8625.45,15300.87,47708,452231.53,4817840,9524864.15,5124043.07,0.761,670318.41,0,1828418.72,11784401.95,4825040.23,16896349.51,17360676.55
101301403,1790.515,10921.28,19381.76,0,912515.32,5978374,19554722.37,20838775.15,0.5428,723598.21,6470,3507607.67,15281876.94,10917397.02,34703325.27,37039637.41
