AUN,AverageDailyMembership(ADM),BasedonInstruction,BasedonTotal,FacilitiesAcquisition&Construction,Federal Revenue,GeneralFundBalance,Instruction,Local Revenue,MV/PIAidRatio,Non-instructional,Other Revenue,OtherFinancingUses,RegularEducationStudent,SpecialEducationStudent,State Revenue,SupportServices,TotalExpenditures,TotalRevenues
125237603,3751.11,14002.72,24304.22,0.00,634342.61,19186506.00,52525747.15,77345414.00,0.15,1307521.05,5503.47,7733599.78,15923.14,38453.85,14425515.14,29600913.28,91167781.26,92410775.22
125237702,5621.30,12324.14,18504.63,592607.47,1003440.12,19522577.00,69277647.83,72568253.71,0.5629,1223186.59,0.00,5893950.47,12908.64,27661.02,29456598.17,27032684.14,104020076.50,103028292.00
125237903,3904.84,13019.82,22720.37,0.00,429092.60,10441734.00,50840252.89,73946696.88,0.15,1629689.19,76353.74,8654668.36,14945.00,33000.86,15524519.72,27594708.76,88719319.20,89976662.94
125238402,4608.31,10327.61,16648.25,0.00,3871190.00,7156506.00,47592808.42,38470256.00,0.7293,871467.00,250.00,7013611.00,9463.45,26974.76,34336262.00,21242363.16,76720249.58,76677958.00
125238502,4092.42,10278.94,17232.68,0.00,281184.00,10031384.00,42065748.02,57259219.00,0.3581,1668229.83,1000.00,5919515.03,11491.20,24941.42,12351013.00,20869869.98,70523362.86,69892416.00
125239452,13179.39,9512.10,14204.35,577587.16,5539378.96,23522521.00,125363669.15,103271650.85,0.6705,4743092.74,2501912.89,6387927.68,9186.90,26280.93,75522941.10,50132304.29,187204581.02,186835883.80
125239603,3628.46,12328.12,26858.47,65175.00,235765.24,9238193.00,44732102.09,61052325.74,0.3375,1513753.66,19728657.00,30194583.66,13644.37,32933.70,16629892.21,20949270.78,97454885.19,97646640.19
125239652,5489.76,11640.12,17456.72,0.00,4561691.85,1723658.00,63901404.11,47477546.73,0.7187,1492657.63,0.00,3988119.27,10923.95,31721.58,44530591.19,26450942.73,95833123.74,96569829.77
126510001,478.11,8441.58,14256.15,0.00,436066.01,1565744.00,4035971.11,6179347.64,0.745,208655.95,0.00,0.00,,,114123.48,2571325.70,6815952.76,6729537.13
126510002,574.7,14204.38,55908.38,0.00,6633141.00,893248.00,8163185.00,26315123.00,0.745,3573753.00,0.00,0.00,,,192767.00,20393330.00,32130268.00,33141031.00
126510004,533.24,8322.94,17681.30,0.00,2512072.00,-573704.00,4438125.00,6735564.00,0.745,459667.00,0.00,644.00,,,140951.00,4529938.00,9428374.00,9388587.00
126510005,741.35,5046.41,9477.13,0.00,588125.00,318142.00,3741159.00,6511535.00,0.745,24563.00,0.00,1380073.00,,,42411.00,1880086.00,7025881.00,7142071.00
126510006,687.05,5030.76,10263.29,0.00,569045.00,2622681.00,3456358.00,4496180.00,0.745,70577.00,0.00,673635.00,,,2420461.00,2850771.00,7051341.00,7485686.00
126510007,946.57,7110.23,14429.02,19000.00,1219843.00,724147.00,6730307.00,12288346.00,0.745,808633.00,140714.00,438182.00,,,188982.00,5661913.00,13658035.00,13837885.00
126510008,435.49,7124.31,14337.15,0.00,772038.00,1869872.00,3102565.00,5328656.00,0.745,299657.00,0.00,0.00,,,152822.00,2841465.00,6243687.00,6253516.00
126510009,607.35,6054.57,12762.03,0.00,910565.00,218761.00,3677232.00,6728746.00,0.745,62015.00,0.00,18824.00,,,158789.00,3992922.00,7750993.00,7798100.00
126510010,666.39,8052.34,13641.35,0.00,728418.00,-439922.00,5365996.44,7819048.00,0.745,0.00,38124.00,20969.84,,,135281.00,3703492.70,9090458.98,8720871.00
126510011,745.33,5554.37,11638.64,0.00,567178.00,1251883.00,4139840.00,8271085.00,0.745,353633.00,0.00,1080993.00,,,68550.00,3100163.00,8674629.00,8906813.00
126510013,794.78,9325.61,20093.98,3719919.00,818231.00,943145.00,7411792.00,10905208.00,0.745,57944.00,0.00,992044.00,,,124472.00,3788553.00,15970252.00,11847911.00
126510014,807.04,6793.76,11792.70,0.00,926956.84,1146610.00,5482825.63,8677815.01,0.745,80238.84,0.00,405923.68,,,64877.40,3548168.91,9517157.06,9669649.25
126510015,648.48,7116.13,11111.22,0.00,533138.00,741416.00,4614659.00,6772680.00,0.745,110512.00,0.00,0.00,,,125811.00,2480224.00,7205395.00,7431629.00
126510016,110.48,10603.81,20762.57,0.00,172321.00,-87057.00,1171509.00,2159765.00,0.745,124148.00,0.00,0.00,,,38420.00,998192.00,2293849.00,2370506.00
126510017,385.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.745,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00
126510019,776.95,7517.19,12216.03,0.00,737098.46,1973267.00,5840508.24,8719796.04,0.745,221538.49,58169.00,897927.00,,,74366.28,2531323.12,9491296.85,9589429.78
126510020,6810.69,11235.71,16419.79,0.00,2427623.00,-10540573.00,76522918.00,93851918.00,0.15,44469.00,6369559.00,6441763.00,,,0.00,28820882.00,111830032.00,102649100.00
126510021,484,7521.85,12348.44,0.00,421292.00,591241.00,3640573.07,5486764.00,0.745,0.00,0.00,84970.00,,,116075.00,2251100.00,5976643.07,6024131.00
126510022,776.42,9277.03,13879.52,0.00,599963.00,1381624.00,7202854.00,9997566.00,0.745,147522.00,0.00,0.00,,,204229.00,3425935.00,10776311.00,10801758.00
126510023,1330.52,8068.97,12099.92,0.00,1052513.00,1670198.00,10735890.00,14928992.00,0.745,208252.00,0.00,0.00,,,281715.00,5154990.00,16099132.00,16263220.00
126511530,288.58,5070.35,15158.56,0.00,400242.00,73695.00,1463203.00,4011238.00,0.745,61091.00,0.00,0.00,,,50708.00,2850164.00,4374458.00,4462188.00
126511563,183.71,6798.40,11805.39,75002.00,175741.00,348032.00,1248934.00,2249357.00,0.745,2322.00,0.00,0.00,,,10550.00,842510.00,2168768.00,2435648.00
126511748,545.6,9018.91,13040.35,0.00,434805.00,1308517.00,4920701.00,7276501.00,0.745,41224.00,0.00,0.00,,,54307.00,2152863.00,7114788.00,7765613.00
126512039,299.04,5560.39,10770.09,148475.00,35023.00,-2874.00,1662769.00,3571970.00,0.745,1496.00,0.00,0.00,,,40375.00,1407927.00,3220667.00,3647368.00
126512674,586.73,6868.05,12279.07,0.00,832496.00,-543562.00,4029719.00,5922991.00,0.745,298388.00,0.00,0.00,,,11397.00,2876439.00,7204546.00,6766884.00
