AUN,AverageDailyMembership(ADM),BasedonInstruction,BasedonTotal,FacilitiesAcquisition&Construction,Federal Revenue,GeneralFundBalance,Instruction,Local Revenue,MV/PIAidRatio,Non-instructional,Other Revenue,OtherFinancingUses,RegularEducationStudent,SpecialEducationStudent,State Revenue,SupportServices,TotalExpenditures,TotalRevenues
127042853,1471.23,8970.89,15732.42,112355.45,500851.82,6487176.00,13198202.13,8910973.35,0.6295,565914.12,58517.88,2773920.45,10506.34,21060.84,12884498.50,6495549.62,23145941.77,22354841.55
127043430,10264.78,8435.82,12822.39,53928.45,2623951.15,48439224.00,86591797.00,136627074.37,0.8213,278137.18,29372.00,0.00,,,1108167.93,44695099.26,131618961.89,140388565.45
127044103,2110.04,10954.40,18689.56,0.00,400329.99,6935741.00,23114190.52,19195148.81,0.5711,891275.78,15473.65,3528748.13,11694.95,24625.83,19156872.33,11901473.92,39435688.35,38767824.78
127045303,395.2,9197.68,13368.77,0.00,207177.90,2767615.00,3634906.28,1098660.37,0.8213,21054.60,0.00,208802.99,8839.83,21103.71,4614910.86,1418548.26,5283312.13,5920749.13
127045653,1478.34,9328.13,18456.61,5888.00,670059.00,4028900.00,13790163.00,6812962.00,0.7409,641747.00,4270000.00,5955954.00,10449.92,19665.86,16068953.00,6891428.00,27285180.00,27821974.00
127045853,1525.31,9044.58,15441.73,0.00,298615.16,2466133.00,13795741.43,9691683.27,0.6153,511029.17,0.00,1921346.42,10784.66,19483.49,13852328.60,7325234.61,23553351.63,23842627.03
127046517,538.76,6857.18,12178.03,0.00,159852.93,2029965.00,3694344.86,6980008.80,0.6138,22171.25,9845.19,213952.11,,,77763.68,2630516.91,6560985.13,7227470.60
127046903,787.84,13041.35,20752.67,0.00,482713.49,2528595.00,10274524.47,5814511.63,0.7025,312410.24,0.00,1283283.28,13301.34,33895.54,10739744.41,4479610.48,16349828.47,17036969.53
127047404,1084.35,12224.98,21294.51,110624.00,210965.00,4500311.00,13256173.00,8214969.00,0.5966,669744.00,21605.00,1462517.00,15187.62,28311.72,14560371.00,7591669.00,23090727.00,23007910.00
127049303,779.38,9926.43,16403.10,0.00,244971.02,2141527.00,7736503.61,4343375.96,0.6535,207831.75,328894.00,673417.67,11305.93,24037.69,8385441.87,4166562.43,12784315.46,13302682.85
128030603,1306.28,10344.38,17244.55,0.00,575732.59,11547613.00,13512645.42,8612200.84,0.7293,446768.71,0.00,1742154.40,10950.98,22518.74,14019916.28,6824624.70,22526193.23,23207849.71
128030852,5517.57,10483.66,17618.87,84963.07,4194869.00,10227410.00,57844252.52,37984571.00,0.6591,1323685.93,703.44,13056831.79,10961.16,24328.01,57600074.01,24903533.99,97213267.30,99780217.45
128033053,1920.95,8648.22,16202.65,0.00,251316.82,6984614.00,16612758.46,16515748.32,0.5755,616807.37,565.00,5008072.61,10937.44,18219.93,12986773.00,8886752.60,31124391.04,29754403.14
128034503,763.62,11376.00,17863.73,0.00,247287.33,4152096.00,8686976.00,6782156.88,0.7047,398670.06,2050.00,571101.04,12070.29,23125.73,7650864.71,3984404.63,13641151.73,14682358.92
128034607,451.4,9364.57,18133.69,0.00,141876.30,189701.00,4227175.56,6286950.24,0.6565,30749.64,0.00,0.00,,,1367217.85,3927641.24,8185566.44,7796044.39
128321103,1565.04,11765.19,20652.49,0.00,1666732.97,10405181.00,18413042.02,13014422.69,0.6526,866659.08,0.00,3250463.00,12686.52,24982.44,17817648.06,9791895.45,32322059.55,32498803.72
128323303,892.67,10634.69,17841.55,73602.67,266381.99,4243680.00,9493271.76,6659140.69,0.6726,368069.56,17791.55,1519228.75,12645.07,24771.95,9131761.70,4472439.84,15926612.58,16075075.93
128323703,2867.53,12104.99,18638.01,0.00,823381.65,6208905.00,34711390.67,34342898.15,0.4691,1079980.35,0.00,3778882.95,13937.72,26180.08,18549168.75,13874761.61,53445015.58,53715448.55
128324207,203.36,18452.72,28537.81,2695.00,232481.13,283274.00,3752618.47,4086258.99,0.6248,13880.31,0.00,359648.14,,,1085392.98,1674720.84,5803562.76,5404133.10
128325203,1359.06,9897.53,17884.97,0.00,706923.58,1396589.00,13451298.76,7822136.97,0.6498,577304.57,0.00,2386736.92,11787.43,22708.96,15779251.63,7891335.52,24306675.77,24308312.18
128326303,864.81,11353.31,18900.13,49116.56,432741.00,4338753.00,9818454.02,4688389.54,0.7408,455546.87,0.00,952497.07,12212.20,26952.44,11823694.96,5069405.26,16345019.78,16944825.50
128327303,918.78,11216.84,18993.20,160928.92,872793.70,8903598.00,10305774.83,3530069.75,0.7497,312320.95,0.00,404200.60,12908.31,27901.85,13747483.38,6267291.96,17450517.26,18150346.83
128328003,1101.13,12168.32,19236.84,0.00,768912.70,6849088.00,13398898.35,5938092.01,0.7027,444337.54,5160.00,1127060.70,12608.81,27910.16,15307154.09,6211962.04,21182258.63,22019318.80
129540803,2753.13,8076.94,14765.43,0.00,639012.62,8567101.00,22236852.37,23747030.03,0.5346,1159403.71,0.00,4024386.16,9667.40,20515.22,16417801.29,13230474.00,40651116.24,40803843.94
129544503,1065.76,9920.86,17012.40,0.00,642635.43,4326723.00,10573269.43,5425690.28,0.783,468446.98,1650.00,1318161.89,11489.83,24986.69,12073589.22,5771273.37,18131151.67,18143564.93
129544703,1257.62,8566.34,13842.64,6307.50,415931.72,4436796.00,10773223.45,7888684.20,0.7163,482560.39,0.00,1010867.96,8796.18,24184.51,9274583.12,5135850.31,17408809.61,17579199.04
129544907,214.11,8986.49,15054.24,0.00,194209.00,938174.00,1924080.00,3055747.00,0.6951,43008.00,0.00,47113.00,,,63584.00,1209033.00,3223234.00,3313540.00
129545003,1940.54,9165.87,19086.43,0.00,743921.48,6224216.00,17786734.78,11981024.72,0.6983,714502.19,8345000.00,10298317.75,9355.83,21842.07,15984056.94,8238414.89,37037969.61,37054003.14
129546003,1680.83,7600.77,14813.81,2306206.05,406119.00,6738987.00,12775600.00,10916541.18,0.6391,512555.64,1242.00,2018414.50,9133.43,17800.08,11805860.00,7286724.00,24899500.19,23129762.18
129546103,2646.04,10107.64,15882.58,0.00,1269191.72,-1215066.00,26745250.91,16641676.51,0.6951,1314058.81,339620.07,1975555.41,11371.83,25998.91,21217494.47,11991136.89,42026002.02,39467982.77
129546803,788.61,8023.85,13090.63,0.00,255942.93,2961426.00,6327654.71,5460481.02,0.6625,206363.68,38658.94,1497280.72,8126.80,20613.86,6007192.15,2292054.03,10323353.14,11762275.04
129546907,359.66,10855.08,21124.04,0.00,255868.54,385903.00,3904096.44,5922469.10,0.6671,32566.16,2381.88,73630.64,,,1463706.99,3587094.09,7597387.33,7644426.51
129547203,1175.26,9412.61,14336.50,0.00,774599.12,3729269.00,11062281.27,4791260.09,0.8328,358025.74,250000.00,1783373.76,9076.34,26737.22,12776470.51,3645458.95,16849139.72,18592329.72
129547303,1217.13,9171.52,15881.39,18398.71,359431.88,6319562.00,11162915.80,8339825.87,0.6843,484480.55,5373.76,1574387.30,10420.07,23129.54,10678375.25,6089497.04,19329679.40,19383006.76
129547603,2193.00,8333.83,13383.24,637576.54,904999.30,5368276.00,18276118.66,14943302.83,0.6101,509240.31,21625.00,2145869.27,8439.71,21884.91,13034981.91,7780684.81,29349489.59,28904909.04
129547803,938.56,8715.51,14234.54,1440.91,195964.87,560232.00,8180001.55,5646102.07,0.5852,375437.26,0.00,599283.62,10919.75,20289.48,7462824.79,4203763.87,13359927.21,13304891.73
129548803,1069.22,9821.45,17615.96,1726104.00,285638.97,7177708.00,10501279.46,4457263.47,0.7382,361111.02,5833000.00,1580897.81,9426.61,25197.46,10634196.81,4665929.95,18835322.24,21210099.25
133513315,903.23,7481.58,13324.18,0.00,1621819.47,1037070.00,6757601.11,10807239.36,0.745,785287.86,0.00,4266.54,,,40365.81,4487672.47,12034827.98,12469424.64
134677866,532.92,5987.87,13009.85,0.00,489016.75,-1060613.00,3191042.87,6724236.37,0.8518,97795.38,0.00,1160.62,,,99152.60,3643184.15,6933183.02,7312405.72
139481451,458.21,5806.79,10342.48,0.00,248285.16,470421.00,2660754.12,5088873.23,0.4786,73489.36,0.00,27716.45,,,64688.33,1977108.05,4739067.98,5401846.72
141019741,242.75,8920.56,12628.07,0.00,88536.00,755960.00,2165465.00,2966033.00,0.4139,48607.00,0.00,1273.00,,,37639.00,850119.00,3065464.00,3092208.00
147513703,907.1,6429.40,13762.53,99868.00,1082320.00,1750893.00,5832131.00,9629018.00,0.745,513046.00,0.00,1224508.00,,,103359.00,4814489.00,12484042.00,10814697.00
151514721,873.97,8906.34,13761.85,0.00,683084.00,1637206.00,7783835.00,10909094.00,0.745,211267.00,0.00,0.00,,,225599.00,4032286.00,12027388.00,11817777.00
160028259,864.91,9195.60,16073.41,0.00,453385.00,11762.00,7953378.00,13805274.00,0.5716,115371.00,0.00,151.00,,,148564.00,5833169.00,13902069.00,14407223.00
168513758,520.24,9131.77,15372.95,0.00,562470.00,-610878.00,4750751.00,6011247.00,0.745,0.00,0.00,0.00,,,28442.00,3246933.00,7997684.00,6602159.00
172510793,359.26,7699.51,11829.49,0.00,290114.00,425065.00,2766119.00,3916448.00,0.745,54935.00,0.00,3267.00,,,86789.00,1425529.00,4249850.00,4293351.00
173515368,727.98,8117.09,12007.99,0.00,729537.00,1281017.00,5909095.00,8107070.00,0.745,25341.00,0.00,23663.00,,,175015.00,2783499.00,8741598.00,9011622.00
175390169,691.11,5887.89,11400.54,0.00,580164.87,9555.00,4069184.05,8004892.38,0.774,602215.53,0.00,375503.00,,,138963.30,2832137.72,7879040.30,8724020.55
177518712,330.48,6647.60,13183.73,0.00,475747.00,349104.00,2196864.00,3843260.00,0.745,147391.00,0.00,7860.00,,,104541.00,2004777.00,4356892.00,4423548.00
181519176,270.68,13010.16,20257.85,0.00,606493.87,-5902.00,3521642.95,4186508.91,0.745,50547.47,0.00,0.00,,,7146.23,1911284.87,5483475.29,4800149.01
182514568,687.73,4823.36,10451.56,0.00,577580.00,1687527.00,3317156.00,7142353.00,0.745,46267.00,0.00,0.00,,,121064.00,3824400.00,7187823.00,7840997.00
185515523,795.88,6968.76,13619.88,117294.09,1204367.68,0.00,5546305.97,9717209.23,0.745,869599.20,0.00,224635.95,,,193558.09,4081964.79,10839800.00,11115135.00
188392660,297.74,7903.66,13947.98,0.00,286286.00,634147.00,2353196.00,3780235.00,0.4164,30302.00,0.00,33406.00,,,40261.00,1735899.00,4152803.00,4106782.00
189670676,587.72,6379.86,11836.75,0.00,412437.68,1206899.00,3749591.14,6941986.16,0.6455,15844.25,0.00,26838.56,,,97914.54,3164454.49,6956728.44,7452338.38
192518422,706.22,8812.15,19120.25,80236.00,839571.00,4171283.00,6223269.00,12169545.00,0.745,201255.00,0.00,0.00,,,238893.00,6998250.00,13503010.00,13248009.00
197010542,188.98,6845.92,15662.48,822846.00,49985.00,217633.00,1293728.76,2325338.00,0.3552,42593.00,1056498.00,73406.00,,,13121.44,727290.44,2959864.20,3444942.44
199025446,627.43,8573.10,16992.24,0.00,278446.00,2347749.00,5379014.00,10895962.00,0.3391,187311.00,0.00,824012.00,,,49891.00,4271088.00,10661425.00,11224299.00
