,school number,total enrollment,low income enrollment,percent of enrollment from low income families
0,7691,845,124,14.7%
1,5273,661,252,38.1%
2,5091,"1,034",127,12.3%
3,6839,"1,039",156,15.0%
4,7570,373,60,16.1%
5,2407,277,76,27.4%
6,6398,284,39,13.7%
7,2402,279,30,10.8%
8,3242,"1,731",376,21.7%
9,3241,"1,743",310,17.8%
10,7707,"1,081",229,21.2%
11,3229,507,105,20.7%
12,5075,638,116,18.2%
13,3232,548,158,28.8%
14,3234,464,98,21.1%
15,3226,581,55,9.5%
16,4910,381,151,39.6%
17,7846,167,77,46.1%
18,7824,885,613,69.3%
19,8217,110,110,100.0%
20,7825,586,586,100.0%
21,6661,458,273,59.6%
22,7858,"9,290","6,718",72.3%
23,2115,226,124,54.9%
24,6001,"1,097",617,56.2%
25,7607,417,253,60.7%
26,7608,406,274,67.5%
27,2116,243,139,57.2%
28,4922,208,132,63.5%
29,2129,304,200,65.8%
30,6002,234,193,82.5%
31,4921,300,179,59.7%
32,8085,694,685,98.7%
33,8086,462,438,94.8%
34,0000,523,240,45.9%
35,5296,279,138,49.5%
36,0000,11,8,72.7%
37,0024,212,100,47.2%
38,0029,441,203,46.0%
39,7467,339,149,44.0%
40,4664,330,133,40.3%
41,2790,844,507,60.1%
42,7102,287,216,75.3%
43,2792,827,676,81.7%
44,2791,853,704,82.5%
45,2768,663,408,61.5%
46,2774,671,508,75.7%
47,2775,311,174,55.9%
48,7131,342,29,8.5%
49,2795,"1,757","1,307",74.4%
50,8140,878,685,78.0%
51,2777,268,233,86.9%
52,2779,626,515,82.3%
53,2780,468,300,64.1%
54,2781,486,378,77.8%
55,2782,700,529,75.6%
56,6448,685,553,80.7%
57,2793,"1,017",830,81.6%
58,4929,850,673,79.2%
59,2785,722,524,72.6%
60,2786,455,394,86.6%
61,2794,"2,536","1,906",75.2%
62,7543,452,315,69.7%
63,0913,"1,739",985,56.6%
64,7986,"1,778","1,108",62.3%
65,0891,370,173,46.8%
66,0908,333,107,32.1%
67,0895,592,465,78.5%
68,0930,641,369,57.6%
69,7425,33,30,90.9%
70,0933,610,409,67.0%
71,7199,594,426,71.7%
72,8280,608,550,90.5%
73,0902,466,291,62.4%
74,6555,779,362,46.5%
75,0633,456,239,52.4%
76,0629,558,160,28.7%
77,0661,483,353,73.1%
78,0632,317,169,53.3%
79,2725,516,132,25.6%
80,2724,433,148,34.2%
81,8178,211,70,33.2%
82,2723,307,92,30.0%
83,0820,465,203,43.7%
84,5205,403,197,48.9%
85,7838,183,95,51.9%
86,8031,725,626,86.3%
87,7787,541,282,52.1%
88,2320,396,184,46.5%
89,6570,314,167,53.2%
90,0000,250,119,47.6%
91,0000,37,30,81.1%
92,8122,106,104,98.1%
93,0569,262,151,57.6%
94,6574,250,75,30.0%
95,6575,689,270,39.2%
96,6572,356,158,44.4%
97,0596,615,234,38.0%
98,5002,845,447,52.9%
99,6577,336,162,48.2%
100,7896,516,252,48.8%
101,7895,708,326,46.0%
102,7640,671,261,38.9%
103,8214,373,127,34.0%
104,8148,139,133,95.7%
105,0958,684,257,37.6%
106,4918,599,297,49.6%
107,8220,468,217,46.4%
108,8219,382,209,54.7%
109,6221,125,64,51.2%
110,6222,84,36,42.9%
111,4165,256,138,53.9%
112,7098,302,127,42.1%
113,7721,"1,664",319,19.2%
114,1367,"1,794",384,21.4%
115,1365,"1,501",445,29.6%
116,5216,847,202,23.8%
117,7323,870,256,29.4%
118,0034,392,71,18.1%
119,5199,400,62,15.5%
120,7669,376,48,12.8%
121,8320,389,52,13.4%
122,8211,460,222,48.3%
123,1335,956,370,38.7%
124,1333,82,27,32.9%
125,1334,141,47,33.3%
126,1331,131,44,33.6%
127,1330,374,164,43.9%
128,0050,"1,399",467,33.4%
129,6787,944,362,38.3%
130,0037,337,104,30.9%
131,5194,749,366,48.9%
132,0048,701,242,34.5%
133,3434,973,371,38.1%
134,5257,494,214,43.3%
135,7301,465,199,42.8%
136,5099,509,189,37.1%
137,3430,544,284,52.2%
138,7827,452,190,42.0%
139,7847,99,42,42.4%
140,7386,303,55,18.2%
141,0640,643,112,17.4%
142,8065,403,73,18.1%
143,7823,617,117,19.0%
144,6985,593,298,50.3%
145,0000,154,71,46.1%
146,7545,742,355,47.8%
147,7021,467,225,48.2%
148,0726,626,240,38.3%
149,7096,478,251,52.5%
150,4930,843,265,31.4%
151,8269,372,148,39.8%
152,4328,658,346,52.6%
153,4325,649,192,29.6%
154,1343,816,272,33.3%
155,1342,632,203,32.1%
156,1341,396,175,44.2%
157,1339,258,60,23.3%
158,1340,334,87,26.0%
159,6229,229,81,35.4%
160,7144,376,124,33.0%
161,0917,392,112,28.6%
162,0914,493,181,36.7%
163,7750,591,571,96.6%
164,5211,586,263,44.9%
165,4675,455,357,78.5%
166,5116,"1,879",889,47.3%
167,6451,437,215,49.2%
168,1006,545,280,51.4%
169,7030,566,317,56.0%
170,6896,539,223,41.4%
171,1008,651,500,76.8%
172,6788,701,267,38.1%
173,1594,384,159,41.4%
174,1595,311,122,39.2%
175,7987,444,209,47.1%
176,7988,352,144,40.9%
177,4188,358,121,33.8%
178,0000,154,77,50.0%
179,6304,872,279,32.0%
180,7068,836,275,32.9%
181,6206,266,114,42.9%
182,7645,237,108,45.6%
183,6207,286,105,36.7%
184,7302,718,295,41.1%
185,0003,642,227,35.4%
186,6921,649,231,35.6%
187,1605,767,311,40.5%
188,6808,714,384,53.8%
189,1602,252,138,54.8%
190,6349,227,96,42.3%
191,1604,472,349,73.9%
192,1597,467,272,58.2%
193,4802,316,51,16.1%
194,7326,327,52,15.9%
195,0055,346,49,14.2%
196,0062,"1,540",175,11.4%
197,4902,296,19,6.4%
198,0061,650,73,11.2%
199,7327,626,86,13.7%
200,0060,204,25,12.3%
201,5063,328,55,16.8%
202,3464,561,502,89.5%
203,3436,236,120,50.8%
204,3453,364,240,65.9%
205,6722,477,431,90.4%
206,4956,"1,075",380,35.3%
207,3456,480,112,23.3%
208,6723,546,467,85.5%
209,4957,"1,843",803,43.6%
210,3458,362,308,85.1%
211,3449,417,214,51.3%
212,3459,231,31,13.4%
213,3442,267,139,52.1%
214,3465,"2,759","1,518",55.0%
215,3443,360,275,76.4%
216,3454,378,355,93.9%
217,3455,433,121,27.9%
218,3463,793,290,36.6%
219,3462,764,554,72.5%
220,3452,522,200,38.3%
221,6633,249,183,73.5%
222,6634,236,180,76.3%
223,5286,"1,260",608,48.3%
224,6975,539,292,54.2%
225,5267,316,148,46.8%
226,4181,393,170,43.3%
227,0649,441,309,70.1%
228,0648,363,282,77.7%
229,0650,329,235,71.4%
230,0642,539,449,83.3%
231,1677,855,232,27.1%
232,6326,601,208,34.6%
233,7951,366,125,34.2%
234,1676,363,141,38.8%
235,7355,431,156,36.2%
236,8206,719,719,100.0%
237,6707,785,195,24.8%
238,7127,533,156,29.3%
239,6558,558,168,30.1%
240,6559,327,108,33.0%
241,6560,228,40,17.5%
242,6828,392,188,48.0%
243,5135,265,121,45.7%
244,7418,474,249,52.5%
245,2317,223,117,52.5%
246,4706,325,153,47.1%
247,2352,272,123,45.2%
248,2353,340,132,38.8%
249,0000,302,46,15.2%
250,1610,99,44,44.4%
251,1612,419,117,27.9%
252,1611,404,194,48.0%
253,1606,432,254,58.8%
254,1608,227,90,39.6%
255,7419,164,47,28.7%
256,4659,682,183,26.8%
257,3887,345,107,31.0%
258,3891,795,176,22.1%
259,5263,660,164,24.8%
260,6891,517,262,50.7%
261,4034,315,143,45.4%
262,7400,225,119,52.9%
263,6804,842,122,14.5%
264,6305,813,220,27.1%
265,6306,"1,614",303,18.8%
266,6307,649,186,28.7%
267,0762,343,110,32.1%
268,0763,312,70,22.4%
269,0754,797,130,16.3%
270,0755,773,79,10.2%
271,0761,300,108,36.0%
272,0766,588,126,21.4%
273,7981,747,742,99.3%
274,4691,774,326,42.1%
275,3092,579,296,51.1%
276,7037,669,464,69.4%
277,7281,563,338,60.0%
278,0768,403,118,29.3%
279,6308,525,115,21.9%
280,6309,332,93,28.0%
281,8191,233,61,26.2%
