,school number,total enrollment,low income enrollment,percent of enrollment from low income families
0,7691,1538,269,17.5%
1,5273,851,307,36.1%
2,5091,1082,201,18.6%
3,6839,1116,188,16.8%
4,7570,385,26,6.8%
5,2407,212,32,15.1%
6,6398,284,13,4.6%
7,2402,308,15,4.9%
8,3242,2017,520,25.8%
9,3241,1954,500,25.6%
10,7707,1060,255,24.1%
11,3229,480,133,27.7%
12,5075,696,158,22.7%
13,3232,526,178,33.8%
14,3234,492,131,26.6%
15,3226,590,111,18.8%
16,4910,477,190,39.8%
17,7824,907,542,59.8%
18,7825,607,607,100.0%
19,8471,259,44,17.0%
20,6661,611,290,47.5%
21,7858,5205,2232,42.9%
22,8364,358,208,58.1%
23,6001,999,473,47.3%
24,7607,364,190,52.2%
25,7608,365,206,56.4%
26,4922,176,112,63.6%
27,2129,337,203,60.2%
28,6002,255,180,70.6%
29,4921,260,130,50.0%
30,8085,541,536,99.1%
31,8086,475,474,99.8%
32,0,516,408,79.1%
33,5296,496,197,39.7%
34,29,389,166,42.7%
35,7467,324,135,41.7%
36,4664,260,93,35.8%
37,8484,810,701,86.5%
38,8412,446,347,77.8%
39,2790,696,603,86.6%
40,2792,1003,818,81.6%
41,2791,771,609,79.0%
42,2768,631,479,75.9%
43,8413,236,204,86.4%
44,2774,506,406,80.2%
45,2775,288,176,61.1%
46,2795,1880,1357,72.2%
47,8140,595,511,85.9%
48,2779,458,384,83.8%
49,2780,489,354,72.4%
50,2781,419,296,70.6%
51,2782,549,428,78.0%
52,6448,559,496,88.7%
53,2793,1136,804,70.8%
54,4929,825,644,78.1%
55,2785,647,493,76.2%
56,2786,333,281,84.4%
57,2794,2804,2072,73.9%
58,7543,564,486,86.2%
59,913,2224,1250,56.2%
60,7986,1730,1137,65.7%
61,891,291,135,46.4%
62,908,295,111,37.6%
63,895,453,353,77.9%
64,930,575,328,57.0%
65,933,444,264,59.5%
66,7199,421,273,64.8%
67,8280,341,276,80.9%
68,902,486,318,65.4%
69,6555,706,368,52.1%
70,633,509,267,52.5%
71,629,443,130,29.3%
72,661,320,234,73.1%
73,632,289,186,64.4%
74,2725,464,149,32.1%
75,2724,409,143,35.0%
76,8178,225,75,33.3%
77,2723,320,113,35.3%
78,820,547,297,54.3%
79,5205,320,188,58.8%
80,8482,265,167,63.0%
81,8031,682,515,75.5%
82,7787,516,328,63.6%
83,2320,314,159,50.6%
84,6570,284,192,67.6%
85,0,193,51,26.4%
86,0,37,23,62.2%
87,8342,1602,733,45.8%
88,569,204,99,48.5%
89,6574,220,69,31.4%
90,5002,750,436,58.1%
91,6577,340,169,49.7%
92,7896,498,276,55.4%
93,7895,560,304,54.3%
94,7640,582,245,42.1%
95,8214,341,178,52.2%
96,8336,410,335,81.7%
97,8148,529,331,62.6%
98,958,668,280,41.9%
99,4918,531,197,37.1%
100,8220,459,203,44.2%
101,8219,392,133,33.9%
102,6221,91,47,51.6%
103,6222,85,42,49.4%
104,4165,229,84,36.7%
105,7098,255,104,40.8%
106,7721,1904,610,32.0%
107,1367,1735,513,29.6%
108,1365,1428,426,29.8%
109,5216,818,219,26.8%
110,7323,1038,287,27.6%
111,34,602,82,13.6%
112,5199,534,78,14.6%
113,7669,287,46,16.0%
114,8320,469,66,14.1%
115,8211,563,312,55.4%
116,1335,846,314,37.1%
117,1333,92,37,40.2%
118,1334,109,37,33.9%
119,1331,95,34,35.8%
120,1330,367,180,49.0%
121,50,1981,754,38.1%
122,6787,1103,528,47.9%
123,37,433,184,42.5%
124,48,826,351,42.5%
125,3434,911,351,38.5%
126,5257,446,187,41.9%
127,8450,437,177,40.5%
128,8449,558,255,45.7%
129,3430,419,191,45.6%
130,7827,514,251,48.8%
131,7386,292,67,22.9%
132,640,682,173,25.4%
133,8065,448,91,20.3%
134,7823,586,116,19.8%
135,6985,629,283,45.0%
136,0,193,78,40.4%
137,7545,775,379,48.9%
138,7021,380,178,46.8%
139,726,559,245,43.8%
140,7096,291,139,47.8%
141,4930,764,235,30.8%
142,8269,348,137,39.4%
143,4328,635,324,51.0%
144,4325,618,210,34.0%
145,1343,894,224,25.1%
146,1342,598,151,25.3%
