,school number,total enrollment,low income enrollment,percent of enrollment from low income families
0,7691,"1,039",145,14.0%
1,5273,749,301,40.2%
2,5091,"1,048",183,17.5%
3,6839,"1,099",245,22.3%
4,7570,341,74,21.7%
5,2407,248,76,30.6%
6,6398,290,42,14.5%
7,2402,343,52,15.2%
8,3242,"1,928",447,23.2%
9,3241,"1,781",414,23.2%
10,7707,"1,128",224,19.9%
11,3229,512,148,28.9%
12,5075,736,136,18.5%
13,3232,548,174,31.8%
14,3234,510,133,26.1%
15,3226,607,96,15.8%
16,4910,409,178,43.5%
17,7846,104,64,61.5%
18,7824,447,302,67.6%
19,8217,104,32,30.8%
20,7825,589,383,65.0%
21,6661,544,332,61.0%
22,7858,"6,022","4,359",72.4%
23,8364,358,184,51.4%
24,6001,"1,073",522,48.6%
25,7607,406,223,54.9%
26,7608,371,207,55.8%
27,4922,206,136,66.0%
28,2129,326,191,58.6%
29,6002,241,183,75.9%
30,4921,317,170,53.6%
31,8085,596,595,99.8%
32,8086,455,455,100.0%
33,0,515,345,67.0%
34,5296,266,148,55.6%
35,24,222,118,53.2%
36,29,419,200,47.7%
37,7467,379,202,53.3%
38,4664,322,129,40.1%
39,8412,406,325,80.0%
40,2790,727,565,77.7%
41,7102,289,251,86.9%
42,2792,859,729,84.9%
43,2791,753,635,84.3%
44,2768,649,482,74.3%
45,8413,226,204,90.3%
46,2774,557,387,69.5%
47,2775,338,233,68.9%
48,2795,"1,839","1,431",77.8%
49,8140,697,644,92.4%
50,2777,240,223,92.9%
51,2779,549,483,88.0%
52,2780,448,356,79.5%
53,2781,604,507,83.9%
54,2782,670,601,89.7%
55,6448,642,641,99.8%
56,2793,972,835,85.9%
57,4929,768,680,88.5%
58,2785,669,598,89.4%
59,2786,427,408,95.6%
60,2794,"2,747","2,096",76.3%
61,7543,468,316,67.5%
62,913,"1,684",961,57.1%
63,7986,"1,745","1,060",60.7%
64,891,330,161,48.8%
65,908,352,119,33.8%
66,895,601,495,82.4%
67,930,693,406,58.6%
68,7425,38,35,92.1%
69,933,532,330,62.0%
70,7199,610,443,72.6%
71,8280,439,396,90.2%
72,902,582,406,69.8%
73,6555,773,348,45.0%
74,633,371,230,62.0%
75,629,504,179,35.5%
76,661,427,297,69.6%
77,632,280,162,57.9%
78,2725,464,147,31.7%
79,2724,436,163,37.4%
80,8178,250,92,36.8%
81,2723,290,105,36.2%
82,820,488,241,49.4%
83,5205,462,287,62.1%
84,7838,185,107,57.8%
85,8031,697,457,65.6%
86,7787,524,287,54.8%
87,2320,373,160,42.9%
88,6570,277,138,49.8%
89,0,182,79,43.4%
90,0,60,47,78.3%
91,8342,"1,631",776,47.6%
92,569,240,107,44.6%
93,6574,220,55,25.0%
94,5002,808,347,42.9%
95,6577,376,155,41.2%
96,7896,546,270,49.5%
97,7895,653,253,38.7%
98,7640,590,261,44.2%
99,8214,363,167,46.0%
100,8336,410,410,100.0%
101,8148,261,177,67.8%
102,958,607,244,40.2%
103,4918,575,285,49.6%
104,8220,504,252,50.0%
105,8219,358,195,54.5%
106,6221,104,60,57.7%
107,6222,79,48,60.8%
108,4165,261,98,37.5%
109,7098,282,127,45.0%
110,7721,"1,723",418,24.3%
111,1367,"1,724",421,24.4%
112,1365,"1,504",458,30.5%
113,5216,819,241,29.4%
114,7323,877,273,31.1%
115,34,548,80,14.6%
116,5199,465,78,16.8%
117,7669,241,32,13.3%
118,8320,423,56,13.2%
119,8211,567,270,47.6%
120,1335,931,394,42.3%
121,1333,79,35,44.3%
122,1334,128,47,36.7%
123,1331,117,45,38.5%
124,1330,353,153,43.3%
125,50,"1,414",531,37.6%
126,6787,979,418,42.7%
127,37,364,134,36.8%
128,5194,784,411,52.4%
129,48,744,307,41.3%
130,3434,975,388,39.8%
131,5257,478,226,47.3%
132,7301,471,210,44.6%
133,5099,494,193,39.1%
134,3430,550,292,53.1%
135,7827,468,198,42.3%
136,7386,338,81,24.0%
137,640,672,152,22.6%
138,8065,408,93,22.8%
139,7823,574,124,21.6%
140,6985,592,326,55.1%
141,0,148,88,59.5%
142,7545,733,315,43.0%
143,7021,433,197,45.5%
144,726,599,237,39.6%
145,7096,388,216,55.7%
146,4930,776,291,37.5%
147,8269,379,151,39.8%
148,4328,670,387,57.8%
149,4325,606,211,34.8%
150,1343,849,249,29.3%
151,1342,649,207,31.9%
152,1341,371,189,50.9%
153,1339,231,51,22.1%
154,1340,371,61,16.4%
155,6229,222,82,36.9%
156,7144,403,188,46.7%
157,917,391,158,40.4%
158,914,476,196,41.2%
159,7750,743,695,93.5%
160,5211,608,210,34.5%
161,4675,464,249,53.7%
162,5116,"1,914",828,43.3%
163,6451,444,214,48.2%
164,1006,515,219,42.5%
165,7030,568,272,47.9%
166,6896,499,144,28.9%
167,1008,658,397,60.3%
168,6788,716,220,30.7%
169,1594,387,168,43.4%
170,1595,277,119,43.0%
171,7987,432,216,50.0%
172,7988,357,183,51.3%
173,4188,349,140,40.1%
174,0,111,88,79.3%
175,6304,865,316,36.5%
176,7068,800,308,38.5%
177,6206,269,110,40.9%
178,7645,198,81,40.9%
179,6207,241,103,42.7%
180,7302,698,325,46.6%
181,3,616,225,36.5%
182,6921,631,246,39.0%
183,1605,751,377,50.2%
184,6808,953,550,57.7%
185,6349,192,82,42.7%
186,1597,390,253,64.9%
187,8378,530,401,75.7%
188,4802,271,46,17.0%
189,7326,332,49,14.8%
190,55,326,39,12.0%
191,62,"1,497",192,12.8%
192,4902,277,24,8.7%
193,61,639,101,15.8%
194,7327,629,108,17.2%
195,60,179,23,12.8%
196,5063,338,93,27.5%
197,3464,489,454,92.8%
198,3436,243,155,63.8%
199,3453,353,232,65.7%
200,6722,513,491,95.7%
201,4956,"1,047",445,42.5%
202,3456,415,108,26.0%
203,6723,515,462,89.7%
204,4957,"1,926",931,48.3%
205,3458,375,315,84.0%
206,3449,447,252,56.4%
207,3459,244,35,14.3%
208,3442,290,168,57.9%
209,3465,"2,726","1,596",58.5%
210,3443,339,264,77.9%
211,3454,323,299,92.6%
212,3455,419,124,29.6%
213,3463,808,356,44.1%
214,3462,786,597,76.0%
215,3452,529,223,42.2%
216,6633,238,176,73.9%
217,6634,253,195,77.1%
218,5286,"1,383",750,54.2%
219,6975,506,278,54.9%
220,5267,264,141,53.4%
221,4181,393,169,43.0%
222,649,458,328,71.6%
223,648,358,285,79.6%
224,650,316,194,61.4%
225,642,572,481,84.1%
226,1677,826,259,31.4%
227,6326,589,225,38.2%
228,7951,374,133,35.6%
229,1676,349,170,48.7%
230,7355,405,171,42.2%
231,6707,757,207,27.3%
232,7127,370,120,32.4%
233,6558,743,207,27.9%
234,6559,275,101,36.7%
235,6560,210,49,23.3%
236,6828,379,209,55.1%
237,5135,290,147,50.7%
238,7418,466,287,61.6%
239,2317,208,115,55.3%
240,4706,294,145,49.3%
241,2352,267,133,49.8%
242,2353,307,141,45.9%
243,0,320,122,38.1%
244,1610,102,39,38.2%
245,1612,410,135,32.9%
246,1611,388,200,51.5%
247,1606,420,243,57.9%
248,1608,185,68,36.8%
249,7419,164,56,34.1%
250,4659,625,194,31.0%
251,3887,294,94,32.0%
252,3891,900,249,27.7%
253,5263,660,199,30.2%
254,6891,503,271,53.9%
255,4034,273,116,42.5%
256,7400,219,112,51.1%
257,6804,907,170,18.7%
258,6305,798,280,35.1%
259,6306,"2,162",493,22.8%
260,6307,451,149,33.0%
261,762,269,115,42.8%
262,763,241,66,27.4%
263,754,678,122,18.0%
264,755,670,78,11.6%
265,761,257,89,34.6%
266,766,445,119,26.7%
267,7981,826,360,43.6%
