,school number,total enrollment,low income enrollment,percent of enrollment from low income families
0,7691,"2,503",301,12.0%
1,5273,822,310,37.7%
2,0,34,23,67.6%
3,8148,450,266,59.1%
4,5091,"1,058",199,18.8%
5,6839,"1,078",202,18.7%
6,7570,382,45,11.8%
7,2407,208,49,23.6%
8,6398,300,21,7.0%
9,2402,312,31,9.9%
10,3242,"2,037",464,22.8%
11,3241,"1,910",391,20.5%
12,7707,"1,087",230,21.2%
13,3229,501,141,28.1%
14,5075,701,150,21.4%
15,3232,529,144,27.2%
16,3234,499,116,23.2%
17,3226,634,99,15.6%
18,4910,451,161,35.7%
19,7824,928,556,59.9%
20,7825,651,412,63.3%
21,8471,246,14,5.7%
22,6661,580,328,56.6%
23,7858,"7,337","3,235",44.1%
24,8364,362,201,55.5%
25,6001,"1,032",462,44.8%
26,7607,345,169,49.0%
27,7608,348,183,52.6%
28,4922,183,101,55.2%
29,2129,335,198,59.1%
30,6002,220,147,66.8%
31,4921,263,122,46.4%
32,8085,516,428,82.9%
33,8086,424,403,95.0%
34,0,518,426,82.2%
35,5296,489,231,47.2%
36,29,391,172,44.0%
37,7467,338,147,43.5%
38,4664,258,104,40.3%
39,8484,707,599,84.7%
40,8412,414,302,72.9%
41,2790,663,584,88.1%
42,2792,970,761,78.5%
43,2791,841,655,77.9%
44,2768,632,450,71.2%
45,8413,206,163,79.1%
46,2774,513,408,79.5%
47,2775,300,177,59.0%
48,2795,"1,874","1,274",68.0%
49,8140,620,493,79.5%
50,2779,471,377,80.0%
51,2780,481,317,65.9%
52,2781,427,292,68.4%
53,2782,635,501,78.9%
54,6448,609,538,88.3%
55,2793,"1,214",855,70.4%
56,4929,818,627,76.7%
57,2785,649,489,75.3%
58,2786,389,332,85.3%
59,2794,"2,650","1,876",70.8%
60,7543,540,447,82.8%
61,913,"2,208","1,237",56.0%
62,7986,"1,759","1,148",65.3%
63,891,287,143,49.8%
64,908,278,99,35.6%
65,895,461,357,77.4%
66,930,529,304,57.5%
67,933,438,269,61.4%
68,7199,429,284,66.2%
69,8280,328,283,86.3%
70,902,510,322,63.1%
71,6555,728,353,48.5%
72,633,537,270,50.3%
73,629,424,103,24.3%
74,661,312,197,63.1%
75,632,285,144,50.5%
76,2725,475,152,32.0%
77,2724,405,142,35.1%
78,8178,240,76,31.7%
79,2723,323,129,39.9%
80,820,508,292,57.5%
81,5205,345,207,60.0%
82,8482,221,120,54.3%
83,8031,698,510,73.1%
84,7787,522,329,63.0%
85,2320,328,160,48.8%
86,6570,277,152,54.9%
87,0,171,61,35.7%
88,8342,"1,599",893,55.8%
89,569,202,86,42.6%
90,6574,222,48,21.6%
91,5002,730,268,36.7%
92,6577,331,116,35.0%
93,7896,499,203,40.7%
94,7895,574,199,34.7%
95,7640,593,329,55.5%
96,8214,334,175,52.4%
97,8336,432,326,75.5%
98,958,667,231,34.6%
99,4918,514,225,43.8%
100,8220,492,197,40.0%
101,8219,362,147,40.6%
102,6221,97,54,55.7%
103,6222,91,58,63.7%
104,4165,250,89,35.6%
105,7098,267,141,52.8%
106,7721,"1,843",601,32.6%
107,1367,"1,721",442,25.7%
108,1365,"1,422",380,26.7%
109,5216,826,192,23.2%
110,7323,932,258,27.7%
111,34,567,80,14.1%
112,5199,531,65,12.2%
113,7669,282,36,12.8%
114,8320,473,62,13.1%
115,0,313,186,59.4%
116,8211,577,295,51.1%
117,1335,856,284,33.2%
118,1333,92,35,38.0%
119,1334,119,34,28.6%
120,1331,93,31,33.3%
121,1330,364,154,42.3%
122,50,"2,093",819,39.1%
123,6787,"1,121",549,49.0%
124,37,442,156,35.3%
125,48,806,331,41.1%
126,3434,926,398,43.0%
127,5257,440,200,45.5%
128,8450,416,220,52.9%
129,8449,570,276,48.4%
130,3430,403,186,46.2%
131,7827,466,204,43.8%
132,7386,290,65,22.4%
133,640,685,165,24.1%
134,8065,447,85,19.0%
135,7823,550,121,22.0%
136,6985,627,243,38.8%
137,0,171,91,53.2%
138,7545,743,348,46.8%
139,7021,386,172,44.6%
140,726,572,277,48.4%
141,7096,299,169,56.5%
142,4930,784,304,38.8%
143,8269,358,148,41.3%
144,4328,595,336,56.5%
145,4325,587,205,34.9%
146,1343,897,263,29.3%
147,1342,619,173,27.9%
148,1341,345,163,47.2%
149,1339,201,38,18.9%
150,1340,389,59,15.2%
151,6229,213,78,36.6%
152,7144,391,158,40.4%
153,917,392,147,37.5%
154,914,425,153,36.0%
155,7750,973,866,89.0%
156,5211,556,295,53.1%
157,4675,431,323,74.9%
158,5116,"1,965","1,034",52.6%
159,6451,439,234,53.3%
160,1006,496,285,57.5%
161,7030,589,361,61.3%
162,6896,481,192,39.9%
163,1008,620,481,77.6%
164,6788,647,297,45.9%
165,1594,351,151,43.0%
166,8434,191,11,5.8%
167,8433,111,10,9.0%
168,7987,371,185,49.9%
169,7988,340,170,50.0%
170,4188,358,157,43.9%
171,6304,867,172,19.8%
172,7068,802,168,20.9%
173,0,142,121,85.2%
174,6206,267,104,39.0%
175,7645,236,100,42.4%
176,6207,217,75,34.6%
177,7302,618,282,45.6%
178,3,610,223,36.6%
179,6921,554,243,43.9%
180,1605,765,349,45.6%
181,6808,867,418,48.2%
182,6349,169,53,31.4%
183,1597,359,134,37.3%
184,8378,475,232,48.8%
185,4802,301,56,18.6%
186,7326,323,59,18.3%
187,55,321,62,19.3%
188,62,"1,382",242,17.5%
189,4902,252,25,9.9%
190,61,633,126,19.9%
191,7327,503,94,18.7%
192,60,187,20,10.7%
193,5286,"1,375",635,46.2%
194,5063,339,92,27.1%
195,3464,530,458,86.4%
196,3436,217,134,61.8%
197,3453,380,229,60.3%
198,6722,468,430,91.9%
199,4956,"1,038",469,45.2%
200,3456,394,113,28.7%
201,6723,485,423,87.2%
202,4957,"1,881",937,49.8%
203,3458,327,266,81.3%
204,3449,454,250,55.1%
205,3459,233,36,15.5%
206,3442,276,168,60.9%
207,3465,"2,663","1,562",58.7%
208,3443,331,243,73.4%
209,3454,272,256,94.1%
210,3455,328,97,29.6%
211,3463,744,342,46.0%
212,3462,723,520,71.9%
213,3452,481,209,43.5%
214,6633,215,152,70.7%
215,6634,200,139,69.5%
216,6975,430,240,55.8%
217,5267,228,113,49.6%
218,4181,332,161,48.5%
219,649,476,332,69.7%
220,648,392,287,73.2%
221,650,308,188,61.0%
222,642,472,355,75.2%
223,1677,764,261,34.2%
224,6326,581,241,41.5%
225,7951,355,125,35.2%
226,1676,349,166,47.6%
227,7355,374,142,38.0%
228,6707,736,210,28.5%
229,8476,665,199,29.9%
230,6558,734,225,30.7%
231,6560,151,47,31.1%
232,6828,315,179,56.8%
233,5135,320,146,45.6%
234,7418,396,240,60.6%
235,2317,196,92,46.9%
236,4706,264,128,48.5%
237,2352,219,104,47.5%
238,2353,269,122,45.4%
239,1610,103,35,34.0%
240,1612,459,157,34.2%
241,1611,353,147,41.6%
242,1606,421,222,52.7%
243,1608,209,59,28.2%
244,7419,221,81,36.7%
245,4659,589,158,26.8%
246,3891,857,228,26.6%
247,5263,572,187,32.7%
248,3887,208,52,25.0%
