,school number,total enrollment,low income enrollment,percent of enrollment from low income families
249,6891,456,265,58.1%
250,4034,278,83,29.9%
251,7400,220,105,47.7%
252,6804,911,227,24.9%
253,6305,693,253,36.5%
254,6306,"2,200",632,28.7%
255,6307,586,203,34.6%
256,762,277,138,49.8%
257,763,302,102,33.8%
258,754,523,134,25.6%
259,755,591,93,15.7%
260,766,447,162,36.2%
261,7981,843,367,43.5%
262,4691,797,466,58.5%
263,3092,579,376,64.9%
264,7037,589,412,69.9%
265,7281,538,384,71.4%
266,768,376,111,29.5%
267,6308,465,136,29.2%
268,8383,523,182,34.8%
269,7342,247,132,53.4%
270,70,373,203,54.4%
271,69,297,183,61.6%
272,68,207,101,48.8%
273,1014,321,218,67.9%
274,7743,222,170,76.6%
275,1013,653,464,71.1%
276,8368,892,537,60.2%
277,8369,886,609,68.7%
278,8367,"1,072",673,62.8%
279,8407,790,493,62.4%
280,1027,760,534,70.3%
281,1029,"1,620",987,60.9%
282,5148,476,202,42.4%
283,2362,458,221,48.3%
284,6162,652,277,42.5%
285,5231,435,223,51.3%
286,6163,119,61,51.3%
287,2368,190,100,52.6%
288,8384,704,401,57.0%
289,4818,431,230,53.4%
290,2154,348,204,58.6%
291,0,565,0,0.0%
292,7670,181,0,0.0%
293,1030,"1,465",636,43.4%
294,7477,463,226,48.8%
295,4195,558,234,41.9%
296,4333,490,184,37.6%
297,4340,591,203,34.3%
298,4339,425,162,38.1%
299,4336,274,98,35.8%
300,6690,"1,541",692,44.9%
301,8344,"1,479",574,38.8%
302,8343,895,467,52.2%
303,1148,644,307,47.7%
304,1150,238,61,25.6%
305,1134,231,173,74.9%
306,1138,420,249,59.3%
307,1142,312,146,46.8%
308,1184,234,120,51.3%
309,6999,911,411,45.1%
310,7290,787,416,52.9%
311,7221,323,163,50.5%
312,8051,126,61,48.4%
313,6939,134,65,48.5%
314,4203,264,110,41.7%
315,7347,531,259,48.8%
316,1199,325,153,47.1%
317,5212,434,169,38.9%
318,1299,224,113,50.4%
319,1298,295,133,45.1%
320,7509,297,55,18.5%
321,1682,422,67,15.9%
322,1678,268,50,18.7%
323,1680,227,31,13.7%
324,4211,278,45,16.2%
325,4217,"1,716",417,24.3%
326,7217,867,219,25.3%
327,7216,411,87,21.2%
328,4938,232,35,15.1%
329,8397,732,205,28.0%
330,7764,369,80,21.7%
331,4937,453,167,36.9%
332,4214,268,40,14.9%
333,5303,448,254,56.7%
334,988,408,210,51.5%
335,0,355,145,40.8%
336,8278,194,5,2.6%
337,4870,400,145,36.3%
338,0,506,223,44.1%
339,2420,739,536,72.5%
340,7457,718,531,74.0%
341,5109,605,261,43.1%
342,1692,383,205,53.5%
343,1694,"1,531",595,38.9%
344,1689,460,193,42.0%
345,1691,380,292,76.8%
346,7011,539,254,47.1%
347,1683,236,149,63.1%
348,1690,316,163,51.6%
349,1686,248,159,64.1%
350,1687,185,57,30.8%
351,7010,576,298,51.7%
352,79,605,284,46.9%
353,77,384,208,54.2%
354,78,319,106,33.2%
355,7315,446,254,57.0%
356,7112,327,168,51.4%
357,8345,224,120,53.6%
358,8472,95,72,75.8%
359,2797,445,298,67.0%
360,2798,491,289,58.9%
361,6593,516,309,59.9%
362,8222,698,238,34.1%
363,7271,630,251,39.8%
364,7274,581,247,42.5%
365,5007,785,411,52.4%
366,1040,"1,845",694,37.6%
367,8200,734,348,47.4%
368,7726,154,115,74.7%
369,4683,673,204,30.3%
370,7796,664,29,4.4%
371,1044,444,16,3.6%
372,1081,787,64,8.1%
373,5133,"1,498",107,7.1%
374,7790,"1,736",196,11.3%
375,1043,"1,491",193,12.9%
376,7435,463,17,3.7%
377,4852,446,63,14.1%
378,1048,406,13,3.2%
379,7653,839,148,17.6%
380,5307,947,58,6.1%
381,7520,545,27,5.0%
382,1047,490,18,3.7%
383,1041,889,107,12.0%
384,1057,378,31,8.2%
385,7654,693,32,4.6%
386,5306,468,37,7.9%
387,1042,853,135,15.8%
388,1131,575,54,9.4%
389,7715,866,115,13.3%
390,4678,847,63,7.4%
391,1132,506,48,9.5%
392,6646,472,192,40.7%
393,1208,539,185,34.3%
394,1202,366,134,36.6%
395,1205,188,62,33.0%
396,7201,676,226,33.4%
397,5390,616,202,32.8%
398,1619,595,120,20.2%
399,1744,792,560,70.7%
400,1746,"1,494",923,61.8%
401,7820,785,207,26.4%
402,1745,"1,825",423,23.2%
403,1812,217,140,64.5%
404,7306,317,216,68.1%
405,1777,386,106,27.5%
406,6783,794,291,36.6%
407,1791,248,61,24.6%
408,1782,387,184,47.5%
409,1781,625,290,46.4%
410,1795,195,128,65.6%
411,1778,631,178,28.2%
412,1779,398,281,70.6%
413,1811,401,289,72.1%
414,1780,807,609,75.5%
415,1742,594,428,72.1%
416,5320,410,336,82.0%
417,1817,491,98,20.0%
418,2248,454,242,53.3%
419,6252,245,101,41.2%
420,7734,231,115,49.8%
421,6010,229,105,45.9%
422,7476,760,366,48.2%
423,5118,516,194,37.6%
424,0,40,10,25.0%
425,4967,931,608,65.3%
426,7720,182,82,45.1%
427,5094,446,217,48.7%
428,0,396,0,0.0%
429,8045,463,151,32.6%
430,8044,712,222,31.2%
431,8043,529,167,31.6%
432,8046,517,172,33.3%
433,6172,"1,108",414,37.4%
434,4545,"1,799",513,28.5%
435,4544,930,297,31.9%
436,4537,521,281,53.9%
437,4540,646,274,42.4%
438,4539,582,118,20.3%
439,7696,607,178,29.3%
440,5088,453,166,36.6%
441,7552,67,18,26.9%
442,8047,511,426,83.4%
443,2192,232,167,72.0%
444,8244,725,306,42.2%
445,2190,"1,104",654,59.2%
446,6615,"1,063",678,63.8%
447,2191,"2,182","1,212",55.5%
448,4825,252,116,46.0%
449,6273,409,282,68.9%
450,2208,282,166,58.9%
451,2215,242,105,43.4%
452,6274,558,372,66.7%
453,2225,125,81,64.8%
454,8375,181,105,58.0%
455,8324,198,125,63.1%
456,2209,362,132,36.5%
457,2216,250,111,44.4%
458,2196,354,301,85.0%
459,7258,598,374,62.5%
460,4715,467,244,52.2%
461,7157,348,203,58.3%
462,6706,981,286,29.2%
463,7415,772,227,29.4%
464,94,690,217,31.4%
465,7445,845,226,26.7%
466,4234,624,193,30.9%
467,4235,506,147,29.1%
468,5250,731,287,39.3%
469,3250,389,177,45.5%
470,3260,"1,372",540,39.4%
471,3257,652,268,41.1%
472,3256,376,130,34.6%
473,3252,293,139,47.4%
474,3255,348,108,31.0%
475,8258,693,624,90.0%
476,7514,72,59,81.9%
477,7539,"4,469","4,469",100.0%
478,0,823,408,49.6%
479,7292,982,271,27.6%
480,7860,822,317,38.6%
481,7293,397,120,30.2%
482,6492,861,668,77.6%
483,8020,398,346,86.9%
484,1958,313,259,82.7%
485,8303,450,321,71.3%
486,1829,273,231,84.6%
487,8302,326,274,84.0%
488,730,283,145,51.2%
489,729,457,214,46.8%
490,732,515,204,39.6%
491,1843,263,123,46.8%
492,7276,"1,006",730,72.6%
493,1849,916,635,69.3%
494,5322,291,154,52.9%
495,1847,258,206,79.8%
496,1893,284,230,81.0%
497,7575,900,310,34.4%
498,8262,418,88,21.1%
499,7727,507,319,62.9%
500,7371,354,328,92.7%
501,8094,429,385,89.7%
502,5217,378,207,54.8%
503,1475,346,134,38.7%
504,6909,340,159,46.8%
505,1480,378,130,34.4%
506,1479,440,150,34.1%
507,7374,394,242,61.4%
508,921,402,246,61.2%
509,8315,"1,057",929,87.9%
510,6236,"1,046",539,51.5%
511,5276,375,225,60.0%
512,1376,377,251,66.6%
513,8415,162,3,1.9%
514,5012,"1,314",539,41.0%
515,8416,800,394,49.3%
516,1374,365,220,60.3%
517,1375,466,242,51.9%
518,8467,397,372,93.7%
519,1370,693,435,62.8%
520,7334,348,239,68.7%
521,7767,385,196,50.9%
522,2510,385,136,35.3%
523,6289,715,272,38.0%
524,6290,997,353,35.4%
525,2506,455,198,43.5%
526,5053,368,126,34.2%
527,7628,"3,040","1,103",36.3%
528,0,"1,473",775,52.6%
529,7143,829,195,23.5%
530,5077,"1,193",314,26.3%
531,3261,178,72,40.4%
532,4711,577,133,23.1%
533,3333,"1,503",376,25.0%
534,3332,492,88,17.9%
535,3411,408,34,8.3%
536,2515,375,211,56.3%
537,8326,397,241,60.7%
538,7056,477,332,69.6%
539,5178,614,281,45.8%
540,6122,205,91,44.4%
541,7450,252,148,58.7%
542,7774,"16,419","8,038",49.0%
543,7510,"1,227","1,018",83.0%
544,3977,364,168,46.2%
545,3978,504,207,41.1%
546,5213,380,210,55.3%
547,5136,308,153,49.7%
548,2517,421,113,26.8%
549,2532,"1,280",392,30.6%
550,5113,914,404,44.2%
551,2531,647,244,37.7%
552,2522,292,144,49.3%
553,2521,454,165,36.3%
554,6268,452,160,35.4%
555,7822,786,367,46.7%
556,6267,575,278,48.3%
557,6898,580,252,43.4%
558,17,"1,154",435,37.7%
559,8224,605,306,50.6%
560,8225,314,186,59.2%
561,6132,327,141,43.1%
562,6133,316,158,50.0%
563,8226,278,144,51.8%
564,6643,515,363,70.5%
565,2097,371,185,49.9%
566,2105,990,548,55.4%
567,5228,"1,139",581,51.0%
568,5048,635,389,61.3%
569,2172,310,190,61.3%
570,4939,474,319,67.3%
571,7284,446,124,27.8%
572,777,816,270,33.1%
573,7651,800,296,37.0%
574,5203,398,198,49.7%
575,6944,291,207,71.1%
576,8087,248,149,60.1%
577,4800,"1,548",557,36.0%
578,6301,"1,213",464,38.3%
579,6302,505,119,23.6%
580,2728,558,242,43.4%
581,2729,614,206,33.6%
582,7300,416,187,45.0%
583,1998,611,389,63.7%
584,1997,417,257,61.6%
585,7793,437,317,72.5%
586,8311,395,267,67.6%
587,3868,371,189,50.9%
588,3869,357,130,36.4%
589,1088,531,64,12.1%
590,5096,"1,588",166,10.5%
591,7749,"2,013",276,13.7%
592,1086,726,65,9.0%
593,7208,467,51,10.9%
594,4680,449,47,10.5%
595,8447,913,115,12.6%
596,7657,506,46,9.1%
597,7432,616,55,8.9%
598,6453,853,78,9.1%
599,1087,361,37,10.2%
600,5308,381,62,16.3%
601,1130,698,29,4.2%
602,8469,379,39,10.3%
603,4098,514,255,49.6%
604,6595,583,276,47.3%
605,5037,348,158,45.4%
606,1632,373,169,45.3%
607,1651,353,239,67.7%
608,1654,793,387,48.8%
609,1653,404,304,75.2%
610,1650,301,158,52.5%
611,1645,311,228,73.3%
612,7194,317,159,50.2%
613,5179,449,190,42.3%
614,8446,"1,362",308,22.6%
615,2858,612,174,28.4%
616,5341,790,180,22.8%
617,7624,71,71,100.0%
618,5277,"1,151",0,0.0%
619,1701,"2,827",606,21.4%
620,6714,905,210,23.2%
621,1700,495,86,17.4%
622,5020,477,76,15.9%
623,1697,341,152,44.6%
624,1698,492,109,22.2%
625,4849,"1,367",285,20.8%
626,1696,522,71,13.6%
627,1699,452,100,22.1%
628,1695,557,140,25.1%
629,8438,951,217,22.8%
630,6238,535,253,47.3%
631,1529,486,251,51.6%
632,2868,574,170,29.6%
633,5150,574,146,25.4%
634,2869,796,190,23.9%
635,7596,481,126,26.2%
636,8132,"1,496",556,37.2%
637,6598,"1,108",421,38.0%
638,4553,"1,922",653,34.0%
639,4546,147,69,46.9%
640,4701,132,39,29.5%
641,4547,452,99,21.9%
642,4551,557,209,37.5%
643,4549,481,186,38.7%
644,4810,"1,077",246,22.8%
645,8285,655,208,31.8%
646,7544,736,192,26.1%
647,8007,589,206,35.0%
648,3424,495,156,31.5%
649,3425,636,160,25.2%
650,8201,518,205,39.6%
651,4833,505,174,34.5%
652,7627,32,0,0.0%
653,5278,"1,011",572,56.6%
654,8425,365,131,35.9%
655,511,355,156,43.9%
656,513,604,191,31.6%
657,7595,447,154,34.5%
658,6695,416,162,38.9%
659,0,353,195,55.2%
660,7058,543,132,24.3%
661,7057,659,289,43.9%
662,7162,438,180,41.1%
663,5261,"1,478",543,36.7%
664,3865,500,182,36.4%
665,3864,464,226,48.7%
666,7408,521,228,43.8%
667,7625,484,228,47.1%
668,3866,400,143,35.8%
669,4351,467,202,43.3%
670,4352,573,210,36.6%
671,6927,778,380,48.8%
672,7731,437,102,23.3%
673,4801,"1,209",264,21.8%
674,7186,463,106,22.9%
675,6678,820,184,22.4%
676,1749,467,116,24.8%
677,7775,634,352,55.5%
678,2539,904,315,34.8%
679,8228,867,344,39.7%
680,7165,468,185,39.5%
681,7786,566,223,39.4%
682,8229,377,122,32.4%
683,4558,"1,038",303,29.2%
684,8475,842,335,39.8%
685,4557,398,162,40.7%
686,7555,370,128,34.6%
687,4556,382,130,34.0%
688,1391,471,81,17.2%
689,7266,541,89,16.5%
690,1431,478,45,9.4%
691,7759,"1,729",251,14.5%
692,1387,"1,813",291,16.1%
693,7517,"1,093",143,13.1%
694,8174,855,38,4.4%
695,5011,511,97,19.0%
696,6476,629,92,14.6%
697,7516,"1,038",107,10.3%
698,8309,"1,079",100,9.3%
699,1432,413,19,4.6%
700,7265,578,24,4.2%
701,7990,592,45,7.6%
702,6621,480,40,8.3%
703,6477,609,49,8.0%
704,7550,172,160,93.0%
705,2385,310,179,57.7%
706,1541,"1,106",601,54.3%
707,6156,993,466,46.9%
708,6157,299,154,51.5%
709,1532,280,133,47.5%
710,6918,414,267,64.5%
711,6591,737,299,40.6%
712,8312,718,246,34.3%
713,7908,357,316,88.5%
714,8340,706,424,60.1%
715,8339,749,504,67.3%
716,3021,186,75,40.3%
717,3018,150,58,38.7%
718,6364,758,287,37.9%
719,3019,532,247,46.4%
720,2799,324,95,29.3%
721,2809,"2,871",767,26.7%
722,7560,880,203,23.1%
723,2808,277,108,39.0%
724,2802,396,160,40.4%
725,7559,"1,120",389,34.7%
726,2804,500,124,24.8%
727,5239,594,127,21.4%
728,4827,529,151,28.5%
729,8133,619,142,22.9%
730,5220,563,202,35.9%
731,1707,746,241,32.3%
732,1705,589,205,34.8%
733,4850,507,192,37.9%
734,7536,313,177,56.5%
735,8016,610,306,50.2%
736,7641,964,458,47.5%
737,6935,"1,319",572,43.4%
738,3204,412,269,65.3%
739,7366,927,457,49.3%
740,7642,635,331,52.1%
741,3201,384,242,63.0%
742,7411,402,216,53.7%
743,3202,341,176,51.6%
744,4822,583,176,30.2%
745,2552,426,182,42.7%
746,2500,443,138,31.2%
747,7209,452,174,38.5%
748,2554,936,306,32.7%
749,4707,508,215,42.3%
750,8137,545,228,41.8%
751,6612,585,261,44.6%
752,2740,744,281,37.8%
753,6611,293,125,42.7%
754,2735,207,69,33.3%
755,6174,491,215,43.8%
756,4559,370,177,47.8%
757,4564,674,306,45.4%
758,7439,567,258,45.5%
759,6285,328,144,43.9%
760,4563,330,172,52.1%
761,4915,594,436,73.4%
762,3482,"2,875","1,692",58.9%
763,8351,"2,024",967,47.8%
764,3477,308,88,28.6%
765,3478,289,149,51.6%
766,3473,518,210,40.5%
767,5350,647,524,81.0%
768,8058,602,161,26.7%
769,5064,432,138,31.9%
770,8391,347,189,54.5%
771,136,291,68,23.4%
772,4804,567,207,36.5%
773,144,695,251,36.1%
774,8115,201,84,41.8%
775,142,200,81,40.5%
776,139,329,158,48.0%
777,2555,180,48,26.7%
778,8190,834,290,34.8%
779,2561,516,193,37.4%
780,6862,640,202,31.6%
781,2562,"1,236",337,27.3%
782,2558,131,52,39.7%
783,2559,154,37,24.0%
784,6417,561,308,54.9%
785,6418,534,298,55.8%
786,8166,245,131,53.5%
787,2675,730,323,44.2%
788,8167,368,203,55.2%
789,8165,252,138,54.8%
790,8028,965,325,33.7%
791,2564,279,136,48.7%
792,2568,433,170,39.3%
793,8458,634,320,50.5%
794,6712,688,320,46.5%
795,6293,"1,315",562,42.7%
796,2563,324,182,56.2%
797,2570,448,218,48.7%
798,2003,454,369,81.3%
799,8419,672,590,87.8%
800,2004,403,337,83.6%
801,8417,"2,267","1,672",73.8%
802,2001,554,368,66.4%
803,2009,560,405,72.3%
804,2011,438,323,73.7%
805,2021,581,371,63.9%
806,2013,408,296,72.5%
807,2016,489,395,80.8%
808,7515,806,330,40.9%
809,2018,440,318,72.3%
810,7035,541,446,82.4%
811,8420,860,599,69.7%
812,2025,800,591,73.9%
813,5045,696,399,57.3%
814,8163,373,373,100.0%
815,7665,"1,660","1,355",81.6%
816,8216,786,734,93.4%
817,7564,504,333,66.1%
818,735,84,46,54.8%
819,7006,440,241,54.8%
820,7897,397,213,53.7%
821,7898,299,175,58.5%
822,7866,100,0,0.0%
823,8325,"1,338",932,69.7%
824,787,591,202,34.2%
825,788,"1,292",378,29.3%
826,6731,360,160,44.4%
827,786,431,163,37.8%
828,783,545,142,26.1%
829,7755,621,213,34.3%
830,6270,307,67,21.8%
831,6269,317,80,25.2%
832,7322,268,65,24.3%
833,7466,678,124,18.3%
834,6737,543,122,22.5%
835,2032,580,118,20.3%
836,6826,157,84,53.5%
837,7508,117,54,46.2%
838,2201,135,62,45.9%
839,7119,358,356,99.4%
840,5248,277,276,99.6%
841,4842,570,362,63.5%
842,7746,123,90,73.2%
843,1225,260,147,56.5%
844,1223,319,159,49.8%
845,7744,"1,852","1,119",60.4%
846,791,215,76,35.3%
847,6311,700,238,34.0%
848,5023,826,254,30.8%
849,8057,555,188,33.9%
850,7857,490,252,51.4%
851,5016,692,249,36.0%
852,6840,205,73,35.6%
853,2246,149,45,30.2%
854,6160,70,39,55.7%
855,6159,70,36,51.4%
856,6701,117,56,47.9%
857,6161,131,62,47.3%
858,6420,427,245,57.4%
859,6419,323,139,43.0%
860,6899,962,446,46.4%
861,8382,827,400,48.4%
862,7187,435,194,44.6%
863,4242,452,193,42.7%
864,5328,508,264,52.0%
865,2037,669,316,47.2%
866,5226,123,64,52.0%
867,2036,376,144,38.3%
868,2035,348,195,56.0%
869,147,942,241,25.6%
870,149,397,32,8.1%
871,156,"1,303",289,22.2%
872,6780,373,90,24.1%
873,153,399,149,37.3%
874,461,671,95,14.2%
875,4667,407,312,76.7%
876,4106,836,407,48.7%
877,4101,306,134,43.8%
878,6166,214,114,53.3%
879,5119,497,205,41.2%
880,7602,760,120,15.8%
881,4360,"1,119",175,15.6%
882,7163,590,131,22.2%
883,4354,215,34,15.8%
884,4357,601,67,11.1%
885,7666,"1,229",766,62.3%
886,8123,950,488,51.4%
887,6686,462,218,47.2%
888,2126,331,120,36.3%
889,7176,265,127,47.9%
890,8150,705,632,89.6%
891,8357,436,224,51.4%
892,8356,404,238,58.9%
893,6563,399,178,44.6%
894,591,556,87,15.6%
895,8346,446,103,23.1%
896,594,556,105,18.9%
897,592,251,96,38.2%
898,7586,"1,017",811,79.7%
899,7192,124,1,0.8%
900,6223,321,180,56.1%
901,7714,457,39,8.5%
902,6506,710,70,9.9%
903,7486,718,71,9.9%
904,1869,"1,549",174,11.2%
905,7313,"1,140",120,10.5%
906,161,284,181,63.7%
907,157,250,101,40.4%
908,167,559,248,44.4%
909,170,"1,107",473,42.7%
910,169,530,246,46.4%
911,5191,358,152,42.5%
912,165,308,118,38.3%
913,2038,401,117,29.2%
914,2040,686,187,27.3%
915,5225,657,212,32.3%
916,2039,320,92,28.8%
917,8176,361,151,41.8%
918,6271,"1,012",385,38.0%
919,10,753,366,48.6%
920,5126,360,189,52.5%
921,7592,381,163,42.8%
922,8147,179,62,34.6%
923,8161,243,149,61.3%
924,2042,562,327,58.2%
925,2043,507,267,52.7%
926,6777,482,299,62.0%
927,6952,341,167,49.0%
928,5219,376,166,44.1%
929,7639,685,508,74.2%
930,8390,575,575,100.0%
931,793,505,197,39.0%
932,794,405,210,51.9%
933,801,673,334,49.6%
934,802,"1,472",652,44.3%
935,6794,626,305,48.7%
936,8096,475,248,52.2%
937,1368,356,25,7.0%
938,7695,591,65,11.0%
939,1424,"1,367",248,18.1%
940,1422,"1,108",177,16.0%
941,6479,585,120,20.5%
942,1461,503,103,20.5%
943,6193,"1,004",543,54.1%
944,5288,389,270,69.4%
945,8405,"1,185","1,095",92.4%
946,1252,650,635,97.7%
947,1251,984,914,92.9%
948,8314,19,19,100.0%
949,4379,515,229,44.5%
950,6957,596,212,35.6%
951,4845,"1,200",360,30.0%
952,4386,655,363,55.4%
953,4380,579,112,19.3%
954,7768,493,348,70.6%
955,8430,532,381,71.6%
956,5242,675,419,62.1%
957,8429,462,338,73.2%
958,7748,691,163,23.6%
959,2202,638,244,38.2%
960,5117,765,257,33.6%
961,7427,613,213,34.7%
962,2206,983,305,31.0%
963,5282,319,317,99.4%
964,7329,551,131,23.8%
965,4373,817,321,39.3%
966,4372,624,340,54.5%
967,5166,301,135,44.9%
968,5165,297,65,21.9%
969,8428,611,354,57.9%
970,3137,617,312,50.6%
971,7062,337,123,36.5%
972,6341,240,65,27.1%
973,7468,173,52,30.1%
974,8409,5,5,100.0%
975,6125,138,138,100.0%
976,7316,45,45,100.0%
