,school number,total enrollment,low income enrollment,percent of enrollment from low income families
0,7691.0,594,195,32.8%
1,5273.0,622,108,17.4%
2,9999.0,96,60,62.5%
3,8122.0,180,180,100.0%
4,3242.0,"1,733",285,16.4%
5,3241.0,"1,915",246,12.8%
6,7707.0,984,137,13.9%
7,3229.0,402,53,13.2%
8,5075.0,596,85,14.3%
9,3232.0,451,112,24.8%
10,3234.0,455,100,22.0%
11,3226.0,546,33,6.0%
12,4910.0,341,117,34.3%
13,5091.0,"1,189",109,9.2%
14,6839.0,"1,062",109,10.3%
15,7570.0,397,29,7.3%
16,2407.0,281,41,14.6%
17,6398.0,267,15,5.6%
18,2402.0,278,18,6.5%
19,7846.0,145,91,62.8%
20,7824.0,272,143,52.6%
21,7825.0,232,105,45.3%
22,6661.0,473,252,53.3%
23,7858.0,"4,484","2,821",62.9%
24,2115.0,268,145,54.1%
25,6001.0,"1,166",693,59.4%
26,7607.0,496,246,49.6%
27,7608.0,384,247,64.3%
28,2116.0,234,129,55.1%
29,4922.0,207,129,62.3%
30,2129.0,346,221,63.9%
31,6002.0,251,198,78.9%
32,4921.0,325,200,61.5%
33,8085.0,687,588,85.6%
34,8086.0,509,385,75.6%
35,9999.0,542,193,35.6%
36,5296.0,302,131,43.4%
37,24.0,256,96,37.5%
38,29.0,562,205,36.5%
39,7467.0,398,195,49.0%
40,4664.0,472,181,38.3%
41,2790.0,730,681,93.3%
42,7102.0,274,254,92.7%
43,2792.0,884,758,85.7%
44,2791.0,833,689,82.7%
45,2768.0,736,594,80.7%
46,2773.0,383,343,89.6%
47,2774.0,646,527,81.6%
48,2775.0,250,176,70.4%
49,7131.0,394,359,91.1%
50,2795.0,"1,734","1,159",66.8%
51,2777.0,227,213,93.8%
52,2778.0,351,279,79.5%
53,2779.0,700,586,83.7%
54,2780.0,610,378,62.0%
55,2781.0,590,446,75.6%
56,2782.0,644,560,87.0%
57,6448.0,654,604,92.4%
58,2793.0,"1,105",880,79.6%
59,4929.0,903,767,84.9%
60,2785.0,808,653,80.8%
61,2786.0,585,537,91.8%
62,2794.0,"3,124","2,025",64.8%
63,7543.0,283,215,76.0%
64,913.0,"1,789",787,44.0%
65,7986.0,"1,806",969,53.7%
66,891.0,305,141,46.2%
67,908.0,326,130,39.9%
68,895.0,400,239,59.8%
69,930.0,596,315,52.9%
70,7425.0,62,49,79.0%
71,933.0,591,304,51.4%
72,7199.0,531,307,57.8%
73,909.0,397,342,86.1%
74,902.0,549,272,49.5%
75,6708.0,346,278,80.3%
76,5302.0,297,260,87.5%
77,6555.0,852,297,34.9%
78,633.0,430,180,41.9%
79,629.0,670,164,24.5%
80,661.0,544,331,60.8%
81,632.0,306,132,43.1%
