,school number,total enrollment,low income enrollment,percent of enrollment from low income families
0,7691.0,686,221,32.2%
1,5273.0,610,157,25.7%
2,9999.0,103,72,69.9%
3,8122.0,214,74,34.6%
4,5091.0,"1,193",148,12.4%
5,6839.0,"1,044",149,14.3%
6,7570.0,362,64,17.7%
7,2407.0,284,57,20.1%
8,6398.0,270,27,10.0%
9,2402.0,299,46,15.4%
10,3242.0,"1,700",311,18.3%
11,3241.0,"1,913",285,14.9%
12,7707.0,"1,023",180,17.6%
13,3229.0,439,73,16.6%
14,5075.0,621,82,13.2%
15,3232.0,447,106,23.7%
16,3234.0,426,102,23.9%
17,3226.0,540,40,7.4%
18,4910.0,356,122,34.3%
19,7846.0,175,141,80.6%
20,7824.0,536,173,32.3%
21,7825.0,329,156,47.4%
22,6661.0,437,241,55.1%
23,7858.0,"5,861","3,726",63.6%
24,2115.0,251,123,49.0%
25,6001.0,"1,111",549,49.4%
26,7607.0,484,254,52.5%
27,7608.0,396,249,62.9%
28,2116.0,233,150,64.4%
29,4922.0,239,154,64.4%
30,2129.0,342,226,66.1%
31,6002.0,238,190,79.8%
32,4921.0,302,169,56.0%
33,8085.0,685,599,87.4%
34,8086.0,514,443,86.2%
35,9999.0,592,240,40.5%
36,5296.0,302,124,41.1%
37,24.0,243,78,32.1%
38,29.0,522,181,34.7%
39,7467.0,365,155,42.5%
40,4664.0,424,141,33.3%
41,2790.0,701,676,96.4%
42,7102.0,259,252,97.3%
43,2792.0,902,838,92.9%
44,2791.0,889,833,93.7%
45,2768.0,751,671,89.3%
46,2774.0,656,600,91.5%
47,2775.0,305,238,78.0%
48,7131.0,279,269,96.4%
49,2795.0,"1,844","1,567",85.0%
50,8140.0,809,732,90.5%
51,2777.0,244,233,95.5%
52,2778.0,309,269,87.1%
53,2779.0,651,597,91.7%
54,2780.0,550,380,69.1%
55,2781.0,573,461,80.5%
56,2782.0,771,693,89.9%
57,6448.0,627,609,97.1%
58,2793.0,"1,075",963,89.6%
59,4929.0,922,831,90.1%
60,2785.0,767,661,86.2%
61,2786.0,547,526,96.2%
62,2794.0,"2,923","2,377",81.3%
63,7543.0,328,240,73.2%
64,913.0,"1,741",764,43.9%
65,7986.0,"1,801",940,52.2%
66,891.0,314,123,39.2%
67,908.0,335,113,33.7%
68,895.0,410,251,61.2%
69,930.0,594,318,53.5%
70,7425.0,43,31,72.1%
71,933.0,620,329,53.1%
72,7199.0,549,325,59.2%
73,909.0,384,342,89.1%
74,902.0,565,279,49.4%
75,6708.0,319,262,82.1%
76,5302.0,309,265,85.8%
77,6555.0,800,306,38.3%
78,633.0,410,181,44.1%
79,629.0,696,185,26.6%
80,661.0,571,349,61.1%
81,632.0,308,146,47.4%
82,2725.0,787,152,19.3%
83,2724.0,456,129,28.3%
84,2723.0,319,95,29.8%
85,820.0,480,159,33.1%
86,5205.0,412,179,43.4%
87,7838.0,154,58,37.7%
88,8031.0,735,674,91.7%
89,7787.0,611,308,50.4%
90,2320.0,417,176,42.2%
91,6570.0,369,170,46.1%
92,9999.0,406,0,0.0%
93,569.0,282,145,51.4%
94,6574.0,269,88,32.7%
95,582.0,287,88,30.7%
96,6575.0,700,252,36.0%
97,6572.0,353,155,43.9%
98,596.0,653,227,34.8%
99,580.0,171,77,45.0%
100,5002.0,717,338,47.1%
101,6577.0,361,155,42.9%
102,7896.0,525,219,41.7%
103,7895.0,642,278,43.3%
104,7640.0,584,245,42.0%
105,958.0,511,158,30.9%
106,4918.0,601,285,47.4%
107,972.0,144,81,56.3%
108,6732.0,349,135,38.7%
109,6362.0,104,38,36.5%
110,7211.0,376,155,41.2%
111,952.0,186,102,54.8%
112,6221.0,88,43,48.9%
113,6222.0,110,41,37.3%
114,4165.0,311,129,41.5%
115,7098.0,317,138,43.5%
116,7721.0,"1,463",157,10.7%
117,1367.0,"1,837",314,17.1%
118,1365.0,"1,640",346,21.1%
119,5216.0,902,163,18.1%
120,7323.0,"1,012",238,23.5%
121,34.0,705,76,10.8%
122,5199.0,425,49,11.5%
123,7669.0,311,29,9.3%
124,9999.0,342,21,6.1%
125,1335.0,893,339,38.0%
126,1333.0,105,30,28.6%
127,1334.0,211,91,43.1%
128,1331.0,178,58,32.6%
129,1330.0,474,188,39.7%
130,50.0,"1,496",386,25.8%
131,6787.0,909,313,34.4%
132,37.0,371,107,28.8%
133,5194.0,716,293,40.9%
134,48.0,735,231,31.4%
135,3434.0,"1,120",388,34.6%
136,5257.0,535,203,37.9%
137,7301.0,488,200,41.0%
138,5099.0,585,206,35.2%
139,3430.0,592,278,47.0%
140,7827.0,420,156,37.1%
141,7847.0,80,35,43.8%
142,7386.0,293,64,21.8%
143,640.0,668,80,12.0%
144,8065.0,425,61,14.4%
145,7823.0,598,117,19.6%
146,6985.0,621,273,44.0%
147,9999.0,175,73,41.7%
148,7545.0,792,340,42.9%
149,7021.0,444,174,39.2%
150,726.0,598,212,35.5%
151,742.0,228,120,52.6%
152,741.0,178,103,57.9%
153,7096.0,853,308,36.1%
154,4930.0,865,210,24.3%
155,4329.0,339,126,37.2%
156,4328.0,575,239,41.6%
157,4325.0,582,156,26.8%
158,4330.0,316,80,25.3%
159,1343.0,953,222,23.3%
160,1342.0,623,175,28.1%
161,1341.0,437,177,40.5%
162,1339.0,261,52,19.9%
163,1340.0,383,104,27.2%
164,6229.0,252,100,39.7%
165,7144.0,397,144,36.3%
166,917.0,403,126,31.3%
167,914.0,458,161,35.2%
168,7557.0,106,105,99.1%
169,7750.0,445,438,98.4%
170,5211.0,533,182,34.1%
171,4675.0,370,243,65.7%
172,5116.0,"1,921",699,36.4%
173,6451.0,437,159,36.4%
174,1006.0,591,242,40.9%
175,7030.0,574,233,40.6%
176,6896.0,518,140,27.0%
177,1008.0,514,309,60.1%
178,6788.0,662,182,27.5%
179,1594.0,368,142,38.6%
180,1595.0,341,117,34.3%
181,7987.0,466,207,44.4%
182,7988.0,379,153,40.4%
183,4188.0,373,103,27.6%
184,6304.0,952,205,21.5%
185,7068.0,813,197,24.2%
186,9999.0,233,122,52.4%
187,6206.0,287,139,48.4%
188,7645.0,314,123,39.2%
189,6207.0,288,96,33.3%
190,7302.0,788,240,30.5%
191,3.0,646,134,20.7%
192,6921.0,649,188,29.0%
193,1605.0,915,301,32.9%
194,6808.0,758,322,42.5%
195,1602.0,219,110,50.2%
196,6349.0,283,96,33.9%
197,1604.0,384,240,62.5%
198,1597.0,455,218,47.9%
199,4802.0,327,36,11.0%
200,7326.0,405,49,12.1%
201,55.0,324,40,12.3%
202,62.0,"1,711",120,7.0%
203,4902.0,302,22,7.3%
204,61.0,729,91,12.5%
205,7327.0,732,94,12.8%
206,60.0,166,12,7.2%
207,5286.0,"1,157",455,39.3%
208,5063.0,403,43,10.7%
209,3464.0,618,522,84.5%
210,3436.0,301,136,45.2%
211,3453.0,366,174,47.5%
212,6722.0,390,339,86.9%
213,4956.0,"1,105",292,26.4%
214,3456.0,542,42,7.7%
215,6723.0,623,508,81.5%
216,4957.0,"1,994",660,33.1%
217,3458.0,432,315,72.9%
218,3449.0,442,156,35.3%
219,3459.0,260,16,6.2%
220,3442.0,265,135,50.9%
221,3465.0,"2,893","1,295",44.8%
222,3443.0,407,263,64.6%
223,3454.0,348,310,89.1%
224,3455.0,489,86,17.6%
225,3463.0,904,262,29.0%
226,3462.0,859,576,67.1%
227,3452.0,525,137,26.1%
228,6633.0,273,162,59.3%
229,6634.0,234,155,66.2%
230,6975.0,614,272,44.3%
231,5267.0,325,130,40.0%
232,4181.0,401,134,33.4%
233,649.0,558,369,66.1%
234,648.0,334,229,68.6%
235,650.0,347,231,66.6%
236,642.0,482,373,77.4%
237,1677.0,979,233,23.8%
238,6326.0,694,198,28.5%
239,7951.0,269,84,31.2%
240,1676.0,329,120,36.5%
241,7355.0,390,129,33.1%
242,1675.0,184,48,26.1%
243,6707.0,"1,017",227,22.3%
244,7127.0,563,161,28.6%
245,6558.0,408,94,23.0%
246,6559.0,336,87,25.9%
247,6560.0,191,7,3.7%
248,6828.0,398,209,52.5%
249,5135.0,291,130,44.7%
250,7418.0,445,240,53.9%
251,2317.0,255,118,46.3%
252,4706.0,388,156,40.2%
253,2352.0,343,171,49.9%
254,2353.0,370,165,44.6%
255,1610.0,133,51,38.3%
256,1612.0,358,115,32.1%
257,1611.0,360,132,36.7%
258,1606.0,495,305,61.6%
259,1608.0,299,103,34.4%
260,4659.0,720,145,20.1%
261,7419.0,234,61,26.1%
262,3891.0,978,164,16.8%
263,5263.0,630,123,19.5%
264,3887.0,309,70,22.7%
265,6891.0,529,276,52.2%
266,4034.0,357,149,41.7%
267,7400.0,256,143,55.9%
268,6804.0,852,102,12.0%
269,6305.0,798,161,20.2%
270,6306.0,"1,699",240,14.1%
271,6307.0,672,109,16.2%
272,762.0,354,94,26.6%
273,763.0,300,45,15.0%
274,754.0,738,79,10.7%
275,755.0,722,48,6.6%
276,761.0,299,67,22.4%
277,766.0,665,91,13.7%
278,7981.0,463,226,48.8%
279,4691.0,883,271,30.7%
280,3092.0,567,279,49.2%
281,7037.0,653,353,54.1%
282,7281.0,551,263,47.7%
283,6308.0,623,96,15.4%
284,6309.0,554,108,19.5%
285,768.0,375,77,20.5%
286,8111.0,207,55,26.6%
287,7342.0,278,119,42.8%
288,70.0,415,144,34.7%
289,69.0,327,154,47.1%
290,68.0,235,66,28.1%
291,1014.0,359,213,59.3%
292,1013.0,642,379,59.0%
293,7743.0,317,202,63.7%
294,5305.0,493,242,49.1%
295,1021.0,520,250,48.1%
296,1015.0,476,232,48.7%
297,1017.0,442,192,43.4%
298,1020.0,362,168,46.4%
299,1018.0,319,124,38.9%
300,1023.0,393,246,62.6%
301,1024.0,348,188,54.0%
302,1022.0,345,156,45.2%
303,1027.0,545,286,52.5%
304,1029.0,"1,620",752,46.4%
305,1025.0,365,139,38.1%
306,5148.0,549,266,48.5%
307,2362.0,484,191,39.5%
308,6162.0,747,293,39.2%
309,5231.0,489,243,49.7%
310,6163.0,128,52,40.6%
311,2368.0,246,132,53.7%
312,4818.0,572,332,58.0%
313,2154.0,456,299,65.6%
314,2153.0,273,195,71.4%
315,4725.0,216,128,59.3%
316,5145.0,368,274,74.5%
317,9999.0,967,192,19.9%
318,7670.0,183,0,0.0%
319,1030.0,"1,355",387,28.6%
320,7477.0,579,233,40.2%
321,4195.0,791,283,35.8%
322,4333.0,440,135,30.7%
323,4340.0,614,129,21.0%
324,4339.0,462,122,26.4%
325,4336.0,377,104,27.6%
326,1135.0,238,190,79.8%
327,6690.0,"1,309",337,25.7%
328,6119.0,"1,153",372,32.3%
329,1147.0,"1,251",240,19.2%
330,1137.0,212,153,72.2%
331,1148.0,699,142,20.3%
332,1149.0,210,62,29.5%
333,1150.0,271,63,23.2%
334,1134.0,433,207,47.8%
335,1138.0,460,107,23.3%
336,1143.0,424,91,21.5%
337,1142.0,418,126,30.1%
338,1165.0,296,89,30.1%
339,1184.0,242,69,28.5%
340,6999.0,904,255,28.2%
341,7290.0,607,255,42.0%
342,7221.0,319,133,41.7%
343,8051.0,177,61,34.5%
344,6939.0,144,65,45.1%
345,4203.0,294,115,39.1%
346,7347.0,624,204,32.7%
347,1199.0,316,86,27.2%
348,5212.0,525,145,27.6%
349,1299.0,375,162,43.2%
350,1298.0,356,196,55.1%
351,7509.0,278,25,9.0%
352,1682.0,393,22,5.6%
353,1678.0,256,23,9.0%
354,1680.0,271,16,5.9%
355,4211.0,315,38,12.1%
356,4217.0,"1,478",296,20.0%
357,7217.0,740,151,20.4%
358,4205.0,236,53,22.5%
359,7216.0,401,93,23.2%
360,4207.0,297,104,35.0%
361,4938.0,222,37,16.7%
362,4210.0,224,26,11.6%
363,7764.0,378,69,18.3%
364,4937.0,461,128,27.8%
365,4214.0,202,27,13.4%
366,5303.0,543,255,47.0%
367,988.0,481,225,46.8%
368,9999.0,250,57,22.8%
369,4870.0,330,87,26.4%
370,9999.0,597,330,55.3%
371,2420.0,628,319,50.8%
372,7457.0,933,643,68.9%
373,7577.0,263,181,68.8%
374,5109.0,632,221,35.0%
375,1692.0,404,151,37.4%
376,1694.0,"1,479",325,22.0%
377,1689.0,518,119,23.0%
378,1691.0,368,224,60.9%
379,7011.0,516,116,22.5%
380,1683.0,246,128,52.0%
381,1690.0,291,59,20.3%
382,1686.0,234,98,41.9%
383,1687.0,208,14,6.7%
384,7010.0,539,168,31.2%
385,79.0,634,246,38.8%
386,77.0,432,250,57.9%
387,78.0,358,144,40.2%
388,7315.0,616,329,53.4%
389,7112.0,510,214,42.0%
390,2797.0,520,190,36.5%
391,2798.0,506,141,27.9%
392,6593.0,540,207,38.3%
393,7271.0,647,164,25.3%
394,1034.0,367,113,30.8%
395,7274.0,704,212,30.1%
396,1038.0,351,68,19.4%
397,5007.0,931,345,37.1%
398,4676.0,469,63,13.4%
399,1040.0,"1,867",406,21.7%
400,5210.0,464,162,34.9%
401,7860.0,563,131,23.3%
402,7292.0,535,118,22.1%
403,7293.0,517,110,21.3%
404,7726.0,147,82,55.8%
405,4683.0,537,105,19.6%
406,7796.0,903,38,4.2%
407,1044.0,554,17,3.1%
408,1081.0,816,58,7.1%
409,5133.0,"1,633",40,2.4%
410,7790.0,"1,836",85,4.6%
411,1043.0,"1,469",112,7.6%
412,7435.0,834,7,0.8%
413,4852.0,494,60,12.1%
414,1048.0,539,23,4.3%
415,7653.0,"1,015",111,10.9%
416,5307.0,"1,216",34,2.8%
417,7520.0,732,25,3.4%
418,1047.0,594,12,2.0%
419,1041.0,883,59,6.7%
420,1057.0,511,42,8.2%
421,7654.0,"1,147",49,4.3%
422,5306.0,566,60,10.6%
423,1042.0,971,78,8.0%
424,1131.0,633,42,6.6%
425,7715.0,"1,093",61,5.6%
426,4678.0,946,51,5.4%
427,1132.0,510,42,8.2%
428,6646.0,522,175,33.5%
429,1208.0,587,182,31.0%
430,1202.0,402,153,38.1%
431,1205.0,281,119,42.3%
432,7201.0,743,197,26.5%
