,school number,total enrollment,low income enrollment,percent of enrollment from low income families
0,7691,"1,270",258,20.3%
1,5273,792,308,38.9%
2,5091,"1,075",196,18.2%
3,6839,"1,096",218,19.9%
4,7570,381,66,17.3%
5,2407,243,66,27.2%
6,6398,295,41,13.9%
7,2402,324,42,13.0%
8,3242,"1,998",497,24.9%
9,3241,"1,886",367,19.5%
10,7707,"1,190",279,23.4%
11,3229,504,130,25.8%
12,5075,747,151,20.2%
13,3232,574,165,28.7%
14,3234,519,130,25.0%
15,3226,657,93,14.2%
16,4910,448,171,38.2%
17,7824,588,361,61.4%
18,7825,662,556,84.0%
19,6661,541,295,54.5%
20,7858,"5,135","2,083",40.6%
21,8364,393,205,52.2%
22,6001,"1,041",461,44.3%
23,7607,373,182,48.8%
24,7608,370,171,46.2%
25,4922,215,117,54.4%
26,2129,348,192,55.2%
27,6002,229,145,63.3%
28,4921,319,136,42.6%
29,8085,555,481,86.7%
30,8086,405,394,97.3%
31,0,538,433,80.5%
32,5296,524,276,52.7%
33,29,397,189,47.6%
34,7467,343,128,37.3%
35,4664,274,111,40.5%
36,8412,460,265,57.6%
37,2790,760,380,50.0%
38,7102,249,190,76.3%
39,2792,952,717,75.3%
40,2791,831,615,74.0%
41,2768,702,295,42.0%
42,8413,254,100,39.4%
43,2774,590,348,59.0%
44,2775,309,171,55.3%
45,2795,"1,914","1,340",70.0%
46,8140,704,518,73.6%
47,2777,256,191,74.6%
48,2779,539,382,70.9%
49,2780,497,287,57.7%
50,2781,561,323,57.6%
51,2782,660,495,75.0%
52,6448,597,527,88.3%
53,2793,"1,185",890,75.1%
54,4929,850,646,76.0%
55,2785,704,405,57.5%
56,2786,445,326,73.3%
57,2794,"2,584","1,795",69.5%
58,7543,517,413,79.9%
59,913,"1,663",933,56.1%
60,7986,"1,697","1,039",61.2%
61,891,341,183,53.7%
62,908,353,136,38.5%
63,895,589,475,80.6%
64,930,707,434,61.4%
65,7425,24,20,83.3%
66,933,517,325,62.9%
67,7199,598,434,72.6%
68,8280,379,350,92.3%
69,902,617,462,74.9%
70,6555,749,372,49.7%
71,633,550,296,53.8%
72,629,435,134,30.8%
73,661,375,284,75.7%
74,632,250,143,57.2%
75,2725,479,132,27.6%
76,2724,414,142,34.3%
77,8178,222,67,30.2%
78,2723,318,105,33.0%
79,820,487,262,53.8%
80,5205,437,265,60.6%
81,7838,153,80,52.3%
82,8031,719,598,83.2%
83,7787,533,331,62.1%
84,2320,317,145,45.7%
85,6570,288,156,54.2%
86,0,204,85,41.7%
87,0,46,27,58.7%
88,8342,"1,618",706,43.6%
89,569,231,114,49.4%
90,6574,233,63,27.0%
91,5002,730,315,43.2%
92,6577,347,139,40.1%
93,7896,521,224,43.0%
94,7895,643,297,46.2%
95,7640,609,240,39.4%
96,8214,361,186,51.5%
97,8336,425,302,71.1%
98,8148,345,196,56.8%
99,958,647,236,36.5%
100,4918,557,235,42.2%
101,8220,534,248,46.4%
102,8219,348,135,38.8%
103,6221,105,48,45.7%
104,6222,91,49,53.8%
105,4165,249,72,28.9%
106,7098,246,118,48.0%
107,7721,"1,846",517,28.0%
108,1367,"1,713",447,26.1%
109,1365,"1,484",433,29.2%
110,5216,857,258,30.1%
111,7323,997,297,29.8%
112,34,582,83,14.3%
113,5199,493,77,15.6%
114,7669,298,50,16.8%
115,8320,484,50,10.3%
116,8211,597,272,45.6%
117,1335,870,348,40.0%
118,1333,90,38,42.2%
119,1334,121,31,25.6%
120,1331,92,32,34.8%
121,1330,353,158,44.8%
122,50,"1,504",577,38.4%
123,6787,935,380,40.6%
124,37,488,185,37.9%
125,5194,813,398,49.0%
126,48,799,314,39.3%
127,3434,981,358,36.5%
128,5257,475,207,43.6%
129,8450,460,203,44.1%
130,8449,619,298,48.1%
131,3430,434,200,46.1%
132,7827,465,187,40.2%
133,7386,302,57,18.9%
134,640,694,136,19.6%
135,8065,453,77,17.0%
136,7823,590,125,21.2%
137,6985,663,230,34.7%
138,0,179,155,86.6%
139,7545,760,362,47.6%
140,7021,417,194,46.5%
141,726,599,280,46.7%
142,7096,381,195,51.2%
143,4930,767,300,39.1%
144,8269,386,149,38.6%
145,4328,627,362,57.7%
146,4325,621,220,35.4%
147,1343,882,244,27.7%
148,1342,634,170,26.8%
149,1341,358,154,43.0%
150,1339,220,45,20.5%
151,1340,374,51,13.6%
152,6229,213,82,38.5%
153,7144,402,168,41.8%
154,917,388,141,36.3%
155,914,454,179,39.4%
156,7750,938,836,89.1%
157,5211,572,310,54.2%
158,4675,474,369,77.8%
159,5116,"2,001","1,127",56.3%
160,6451,447,227,50.8%
161,1006,521,309,59.3%
162,7030,585,363,62.1%
163,6896,516,216,41.9%
164,1008,630,496,78.7%
165,6788,681,309,45.4%
166,1594,374,122,32.6%
167,8434,181,45,24.9%
168,8433,111,30,27.0%
169,7987,369,189,51.2%
170,7988,376,193,51.3%
171,4188,344,143,41.6%
172,0,148,96,64.9%
173,6304,872,339,38.9%
174,7068,789,290,36.8%
175,6206,273,99,36.3%
176,7645,218,80,36.7%
177,6207,213,85,39.9%
178,7302,704,322,45.7%
179,3,597,209,35.0%
180,6921,612,256,41.8%
181,1605,762,290,38.1%
182,6808,933,442,47.4%
183,6349,192,55,28.6%
184,1597,358,124,34.6%
185,8378,512,273,53.3%
186,4802,293,40,13.7%
187,7326,344,45,13.1%
188,55,324,35,10.8%
189,62,"1,381",169,12.2%
190,4902,256,15,5.9%
191,61,632,125,19.8%
192,7327,614,88,14.3%
193,60,188,25,13.3%
194,5063,354,103,29.1%
195,3464,519,463,89.2%
196,3436,249,167,67.1%
197,3453,376,233,62.0%
198,6722,461,437,94.8%
199,4956,"1,050",466,44.4%
200,3456,421,124,29.5%
201,6723,536,463,86.4%
202,4957,"1,875",963,51.4%
203,3458,357,299,83.8%
204,3449,466,253,54.3%
205,3459,239,30,12.6%
206,3442,293,177,60.4%
207,3465,"2,665","1,610",60.4%
208,3443,358,275,76.8%
209,3454,281,270,96.1%
210,3455,377,109,28.9%
211,3463,773,343,44.4%
212,3462,768,564,73.4%
213,3452,525,233,44.4%
214,6633,223,157,70.4%
215,6634,232,177,76.3%
216,5286,"1,311",613,46.8%
217,6975,490,265,54.1%
218,5267,250,145,58.0%
219,4181,386,198,51.3%
220,649,458,339,74.0%
221,648,369,288,78.0%
222,650,359,223,62.1%
223,642,501,420,83.8%
224,1677,794,281,35.4%
225,6326,570,233,40.9%
226,7951,401,143,35.7%
227,1676,388,212,54.6%
228,7355,401,147,36.7%
229,6707,733,188,25.6%
230,7127,317,102,32.2%
231,6558,764,229,30.0%
232,6559,328,107,32.6%
233,6560,177,50,28.2%
234,6828,349,132,37.8%
235,5135,325,160,49.2%
236,7418,451,275,61.0%
237,2317,227,117,51.5%
238,4706,284,148,52.1%
239,2352,256,125,48.8%
240,2353,276,124,44.9%
241,0,325,188,57.8%
242,1610,98,37,37.8%
243,1612,418,159,38.0%
244,1611,370,198,53.5%
245,1606,402,218,54.2%
246,1608,209,66,31.6%
247,7419,168,56,33.3%
248,4659,615,176,28.6%
249,3887,294,103,35.0%
250,3891,862,228,26.5%
251,5263,606,170,28.1%
252,6891,495,261,52.7%
253,4034,278,126,45.3%
254,7400,227,107,47.1%
255,6804,926,182,19.7%
256,6305,759,301,39.7%
257,6306,"2,183",577,26.4%
258,6307,439,171,39.0%
259,762,265,129,48.7%
260,763,225,68,30.2%
261,754,725,163,22.5%
262,755,659,83,12.6%
263,761,214,70,32.7%
264,766,519,177,34.1%
265,7981,825,420,50.9%
266,4691,750,422,56.3%
267,3092,598,351,58.7%
268,7037,654,447,68.3%
269,7281,579,397,68.6%
270,768,410,143,34.9%
271,6308,482,156,32.4%
272,8383,528,187,35.4%
273,7342,269,136,50.6%
274,70,383,196,51.2%
275,69,325,196,60.3%
276,68,234,114,48.7%
277,1014,291,201,69.1%
