,school number,total enrollment,low income enrollment,percent of enrollment from low income families
0,7691.0,"1,235",213,17.2%
1,5273.0,779,294,37.7%
2,8217.0,76,35,46.1%
3,0.0,57,39,68.4%
4,8148.0,365,178,48.8%
5,5091.0,"1,031",198,19.2%
6,6839.0,"1,119",243,21.7%
7,7570.0,339,71,20.9%
8,2407.0,253,82,32.4%
9,6398.0,259,52,20.1%
10,2402.0,356,55,15.4%
11,3242.0,"1,960",508,25.9%
12,3241.0,"1,808",407,22.5%
13,7707.0,"1,156",273,23.6%
14,3229.0,500,135,27.0%
15,5075.0,754,176,23.3%
16,3232.0,587,201,34.2%
17,3234.0,511,135,26.4%
18,3226.0,636,87,13.7%
19,4910.0,425,165,38.8%
20,7824.0,494,329,66.6%
21,7825.0,634,278,43.8%
22,6661.0,531,361,68.0%
23,7858.0,"5,499","2,654",48.3%
24,8364.0,390,186,47.7%
25,6001.0,"1,052",511,48.6%
26,7607.0,388,180,46.4%
27,7608.0,385,192,49.9%
28,4922.0,220,124,56.4%
29,2129.0,330,187,56.7%
30,6002.0,236,164,69.5%
31,4921.0,312,153,49.0%
32,8085.0,591,589,99.7%
33,8086.0,419,418,99.8%
34,0.0,496,405,81.7%
35,5296.0,503,258,51.3%
36,29.0,414,207,50.0%
37,7467.0,359,177,49.3%
38,4664.0,302,114,37.7%
39,8412.0,480,370,77.1%
40,2790.0,754,561,74.4%
41,7102.0,292,262,89.7%
42,2792.0,918,839,91.4%
43,2791.0,838,694,82.8%
44,2768.0,684,470,68.7%
45,8413.0,270,161,59.6%
46,2774.0,562,414,73.7%
47,2775.0,348,232,66.7%
48,2795.0,"1,907","1,335",70.0%
49,8140.0,770,653,84.8%
50,2777.0,255,228,89.4%
51,2779.0,578,439,76.0%
52,2780.0,474,313,66.0%
53,2781.0,601,432,71.9%
54,2782.0,711,610,85.8%
55,6448.0,624,610,97.8%
56,2793.0,"1,136",972,85.6%
57,4929.0,841,718,85.4%
58,2785.0,734,573,78.1%
59,2786.0,439,353,80.4%
60,2794.0,"2,605","1,680",64.5%
61,7543.0,529,291,55.0%
62,913.0,"1,678",948,56.5%
63,7986.0,"1,744","1,078",61.8%
64,891.0,320,158,49.4%
65,908.0,352,124,35.2%
66,895.0,599,481,80.3%
67,930.0,690,417,60.4%
68,7425.0,27,26,96.3%
69,933.0,525,324,61.7%
70,7199.0,605,445,73.6%
71,8280.0,392,354,90.3%
72,902.0,585,423,72.3%
73,6555.0,764,377,49.3%
74,633.0,567,293,51.7%
75,629.0,435,158,36.3%
76,661.0,350,257,73.4%
77,632.0,266,160,60.2%
78,2725.0,455,155,34.1%
79,2724.0,444,167,37.6%
80,8178.0,242,82,33.9%
81,2723.0,303,112,37.0%
82,820.0,493,256,51.9%
83,5205.0,476,301,63.2%
84,7838.0,172,104,60.5%
85,8031.0,715,436,61.0%
86,7787.0,525,304,57.9%
87,2320.0,363,178,49.0%
88,6570.0,265,137,51.7%
89,0.0,181,70,38.7%
90,8342.0,"1,628",800,49.1%
