,school number,total enrollment,low income enrollment,percent of enrollment from low income families
122,7669.0,311,24,7.7%
123,1335.0,968,244,25.2%
124,1333.0,106,23,21.7%
125,1334.0,208,57,27.4%
126,1331.0,161,39,24.2%
127,1330.0,457,139,30.4%
128,50.0,"1,521",328,21.6%
129,6787.0,955,291,30.5%
130,37.0,538,152,28.3%
131,5194.0,677,271,40.0%
132,48.0,489,153,31.3%
133,3434.0,"1,156",255,22.1%
134,5257.0,566,180,31.8%
135,7301.0,501,167,33.3%
136,5099.0,610,154,25.2%
137,3430.0,589,199,33.8%
138,7827.0,403,137,34.0%
139,7847.0,66,23,34.8%
140,7386.0,331,34,10.3%
141,640.0,665,57,8.6%
142,639.0,380,81,21.3%
143,7823.0,616,77,12.5%
144,6985.0,569,169,29.7%
145,7545.0,840,336,40.0%
146,7021.0,441,162,36.7%
147,726.0,624,162,26.0%
148,742.0,225,98,43.6%
149,741.0,193,91,47.2%
150,7096.0,842,293,34.8%
151,4930.0,994,242,24.3%
152,4329.0,333,100,30.0%
153,4328.0,600,233,38.8%
154,4325.0,562,129,23.0%
155,4330.0,316,71,22.5%
156,1343.0,"1,019",246,24.1%
157,1342.0,655,177,27.0%
158,1341.0,431,181,42.0%
159,1339.0,244,59,24.2%
160,1340.0,367,82,22.3%
161,6229.0,254,95,37.4%
162,7144.0,417,136,32.6%
163,917.0,430,93,21.6%
164,914.0,481,159,33.1%
165,7557.0,118,85,72.0%
166,7750.0,405,349,86.2%
167,5211.0,567,157,27.7%
168,4675.0,402,224,55.7%
169,5116.0,"1,946",584,30.0%
170,6451.0,438,153,34.9%
171,1006.0,472,157,33.3%
172,7030.0,564,215,38.1%
173,6896.0,505,118,23.4%
174,1008.0,511,292,57.1%
175,6788.0,592,127,21.5%
176,1594.0,401,182,45.4%
177,1595.0,343,116,33.8%
178,7987.0,436,138,31.7%
179,7988.0,391,110,28.1%
180,4188.0,358,55,15.4%
181,6304.0,952,181,19.0%
182,7068.0,799,154,19.3%
183,6206.0,327,151,46.2%
184,7645.0,317,111,35.0%
185,6207.0,271,88,32.5%
186,7302.0,766,223,29.1%
187,3.0,654,113,17.3%
188,6921.0,647,141,21.8%
189,1605.0,947,273,28.8%
190,6808.0,847,328,38.7%
191,1602.0,226,103,45.6%
192,6349.0,280,78,27.9%
193,1604.0,382,221,57.9%
194,1597.0,446,187,41.9%
195,4802.0,365,36,9.9%
196,7326.0,404,29,7.2%
197,55.0,331,37,11.2%
198,62.0,"1,732",108,6.2%
199,4902.0,318,16,5.0%
200,61.0,803,68,8.5%
201,7327.0,686,60,8.7%
202,60.0,183,10,5.5%
203,5286.0,"1,121",464,41.4%
204,5063.0,453,38,8.4%
205,3464.0,645,508,78.8%
206,3436.0,274,113,41.2%
207,3453.0,390,181,46.4%
208,6722.0,507,372,73.4%
209,4956.0,"1,137",296,26.0%
210,3456.0,546,52,9.5%
211,6723.0,703,522,74.3%
212,4957.0,"2,217",708,31.9%
213,3458.0,389,289,74.3%
214,3449.0,447,137,30.6%
215,3459.0,263,8,3.0%
216,3442.0,289,124,42.9%
217,3465.0,"2,876","1,017",35.4%
218,3443.0,409,268,65.5%
219,3454.0,326,306,93.9%
220,3455.0,518,71,13.7%
221,3463.0,860,236,27.4%
222,3462.0,836,488,58.4%
223,3452.0,561,127,22.6%
224,6633.0,285,142,49.8%
225,6634.0,235,139,59.1%
226,6975.0,608,276,45.4%
227,5267.0,320,137,42.8%
228,4181.0,422,172,40.8%
229,649.0,580,314,54.1%
230,648.0,368,263,71.5%
231,650.0,344,214,62.2%
232,642.0,468,358,76.5%
233,1677.0,"1,057",198,18.7%
234,6326.0,722,177,24.5%
235,7951.0,274,60,21.9%
236,1676.0,349,106,30.4%
237,7355.0,445,136,30.6%
238,1675.0,217,67,30.9%
239,6707.0,"1,098",166,15.1%
240,7127.0,608,137,22.5%
241,6558.0,396,70,17.7%
242,6559.0,303,70,23.1%
243,6560.0,208,23,11.1%
244,6828.0,323,177,54.8%
245,5135.0,342,162,47.4%
246,7418.0,462,202,43.7%
247,2317.0,294,119,40.5%
248,4706.0,417,132,31.7%
249,2352.0,366,180,49.2%
250,2353.0,373,135,36.2%
251,1610.0,117,45,38.5%
252,1612.0,460,143,31.1%
253,1611.0,417,170,40.8%
254,1606.0,428,229,53.5%
255,1608.0,260,95,36.5%
256,4659.0,742,132,17.8%
257,7419.0,242,63,26.0%
258,3891.0,984,122,12.4%
259,5263.0,711,140,19.7%
260,3887.0,336,78,23.2%
261,6891.0,522,296,56.7%
262,4034.0,388,159,41.0%
263,7400.0,244,111,45.5%
264,6804.0,923,79,8.6%
265,6305.0,792,113,14.3%
266,6306.0,"1,647",159,9.7%
267,6307.0,674,78,11.6%
268,762.0,314,73,23.2%
269,763.0,296,39,13.2%
270,754.0,685,62,9.1%
271,755.0,744,33,4.4%
272,761.0,275,41,14.9%
273,766.0,663,69,10.4%
274,7981.0,268,251,93.7%
275,4691.0,"1,032",295,28.6%
276,3092.0,576,226,39.2%
277,7037.0,667,341,51.1%
278,7281.0,550,265,48.2%
279,6308.0,636,58,9.1%
280,6309.0,571,67,11.7%
281,768.0,369,39,10.6%
282,769.0,110,7,6.4%
283,770.0,103,3,2.9%
284,7342.0,295,93,31.5%
285,70.0,445,126,28.3%
286,69.0,322,121,37.6%
287,68.0,196,55,28.1%
288,1014.0,360,202,56.1%
289,7743.0,169,108,63.9%
290,1013.0,668,405,60.6%
291,5305.0,544,252,46.3%
292,1021.0,521,281,53.9%
293,1015.0,491,274,55.8%
294,1017.0,418,204,48.8%
295,1020.0,353,168,47.6%
296,1018.0,333,163,48.9%
297,1023.0,406,254,62.6%
298,1024.0,351,215,61.3%
299,1022.0,349,178,51.0%
300,1027.0,457,251,54.9%
301,1029.0,"1,761",796,45.2%
302,1025.0,350,153,43.7%
303,5148.0,562,265,47.2%
304,2362.0,514,182,35.4%
305,6162.0,763,244,32.0%
306,5231.0,515,206,40.0%
307,6163.0,125,53,42.4%
308,2368.0,258,107,41.5%
309,4818.0,572,332,58.0%
310,2154.0,476,311,65.3%
311,2153.0,265,179,67.5%
312,4725.0,211,129,61.1%
313,5145.0,361,235,65.1%
314,7670.0,177,10,5.6%
315,1030.0,"1,418",236,16.6%
316,7477.0,791,316,39.9%
317,4195.0,730,214,29.3%
318,4333.0,486,131,27.0%
319,4340.0,641,141,22.0%
320,4339.0,456,110,24.1%
321,4336.0,359,77,21.4%
322,1135.0,264,190,72.0%
323,6690.0,"1,331",339,25.5%
324,6119.0,"1,266",340,26.9%
325,1147.0,"1,259",209,16.6%
326,1137.0,228,174,76.3%
327,1148.0,708,118,16.7%
328,1149.0,204,48,23.5%
329,1150.0,285,46,16.1%
330,1134.0,417,193,46.3%
331,1138.0,475,69,14.5%
332,1143.0,411,62,15.1%
333,1142.0,402,81,20.1%
334,1165.0,295,70,23.7%
335,1184.0,256,45,17.6%
336,6999.0,860,228,26.5%
337,7290.0,654,158,24.2%
338,7221.0,421,163,38.7%
339,6939.0,234,82,35.0%
340,4203.0,323,119,36.8%
341,7347.0,609,245,40.2%
342,1199.0,366,112,30.6%
343,5212.0,503,138,27.4%
344,1299.0,411,168,40.9%
345,1298.0,376,194,51.6%
346,7509.0,272,16,5.9%
347,1682.0,377,8,2.1%
348,1678.0,276,13,4.7%
349,1680.0,242,12,5.0%
350,4211.0,277,19,6.9%
351,4217.0,"1,439",262,18.2%
352,7217.0,691,153,22.1%
353,4205.0,238,47,19.7%
354,7216.0,377,83,22.0%
355,4207.0,251,93,37.1%
356,4938.0,214,30,14.0%
357,4210.0,234,29,12.4%
358,7764.0,361,71,19.7%
359,4937.0,409,109,26.7%
360,4214.0,195,30,15.4%
361,5303.0,532,251,47.2%
362,988.0,521,217,41.7%
363,4870.0,335,88,26.3%
364,2420.0,686,309,45.0%
365,7457.0,894,544,60.9%
366,7577.0,248,182,73.4%
367,5109.0,650,205,31.5%
368,1692.0,382,132,34.6%
369,1694.0,"1,484",253,17.0%
370,1689.0,484,83,17.1%
371,1691.0,308,175,56.8%
372,7011.0,540,136,25.2%
373,1683.0,208,117,56.3%
374,1690.0,302,62,20.5%
375,1686.0,219,76,34.7%
376,1687.0,206,12,5.8%
377,7010.0,529,147,27.8%
378,79.0,668,210,31.4%
379,77.0,444,229,51.6%
380,78.0,349,112,32.1%
381,7315.0,619,318,51.4%
382,7112.0,554,232,41.9%
383,2797.0,506,183,36.2%
384,2798.0,514,134,26.1%
385,6593.0,588,187,31.8%
386,1039.0,315,60,19.0%
387,7271.0,701,139,19.8%
388,1034.0,377,94,24.9%
389,7274.0,719,178,24.8%
390,1038.0,392,63,16.1%
391,5007.0,657,252,38.4%
392,4676.0,407,26,6.4%
393,1040.0,"1,992",366,18.4%
394,5210.0,478,136,28.5%
395,5003.0,402,73,18.2%
396,654.0,620,74,11.9%
397,7949.0,350,57,16.3%
398,5300.0,409,74,18.1%
399,7292.0,598,29,4.8%
400,7293.0,567,104,18.3%
401,7860.0,433,36,8.3%
402,7726.0,109,46,42.2%
403,4683.0,577,94,16.3%
404,7796.0,"1,084",36,3.3%
405,1044.0,422,12,2.8%
406,1081.0,810,42,5.2%
407,5133.0,"1,592",37,2.3%
408,7790.0,"1,782",63,3.5%
409,1043.0,"1,461",92,6.3%
410,7435.0,926,8,0.9%
411,4852.0,517,59,11.4%
412,1048.0,588,19,3.2%
413,7653.0,"1,092",91,8.3%
414,5307.0,"1,161",19,1.6%
415,7520.0,778,18,2.3%
416,1047.0,571,15,2.6%
417,1041.0,829,62,7.5%
418,1057.0,488,27,5.5%
419,7654.0,"1,174",24,2.0%
420,5306.0,553,45,8.1%
421,1042.0,963,68,7.1%
422,1131.0,619,31,5.0%
423,7715.0,"1,081",53,4.9%
424,4678.0,908,44,4.8%
425,1132.0,388,20,5.2%
426,6646.0,532,135,25.4%
427,1208.0,608,177,29.1%
428,1202.0,393,104,26.5%
429,1205.0,259,76,29.3%
430,7201.0,707,177,25.0%
431,5390.0,682,153,22.4%
432,1619.0,648,98,15.1%
433,1744.0,602,283,47.0%
434,1746.0,"1,610",637,39.6%
435,7820.0,791,134,16.9%
436,1745.0,"1,854",181,9.8%
437,1812.0,182,32,17.6%
438,7306.0,248,86,34.7%
439,1777.0,376,45,12.0%
440,6783.0,650,125,19.2%
441,1791.0,276,48,17.4%
442,1782.0,342,42,12.3%
443,1781.0,528,125,23.7%
444,1795.0,233,100,42.9%
445,1778.0,673,87,12.9%
446,1779.0,316,143,45.3%
447,1811.0,318,136,42.8%
448,1780.0,521,250,48.0%
449,1742.0,489,213,43.6%
450,5320.0,385,194,50.4%
451,1817.0,387,34,8.8%
452,2248.0,500,188,37.6%
453,6252.0,264,74,28.0%
454,7734.0,204,72,35.3%
455,6010.0,495,197,39.8%
456,2269.0,105,35,33.3%
457,7476.0,844,371,44.0%
458,5118.0,726,252,34.7%
459,4967.0,629,224,35.6%
460,7720.0,139,37,26.6%
461,5094.0,504,210,41.7%
462,6172.0,"1,200",291,24.3%
463,4545.0,"1,673",324,19.4%
464,4544.0,903,160,17.7%
465,4537.0,637,211,33.1%
466,4540.0,556,142,25.5%
467,4539.0,557,32,5.7%
468,7696.0,705,107,15.2%
469,5088.0,525,147,28.0%
470,7552.0,101,27,26.7%
471,2192.0,278,154,55.4%
472,6615.0,"1,319",492,37.3%
473,2191.0,"1,950",463,23.7%
474,2193.0,135,34,25.2%
475,4825.0,269,75,27.9%
476,2190.0,"1,330",435,32.7%
477,6273.0,441,178,40.4%
478,2198.0,152,120,78.9%
479,2208.0,257,109,42.4%
480,2215.0,275,49,17.8%
481,6274.0,516,147,28.5%
482,6275.0,90,86,95.6%
483,2225.0,247,93,37.7%
484,6276.0,137,41,29.9%
485,2212.0,111,41,36.9%
486,2209.0,418,86,20.6%
487,6277.0,153,68,44.4%
488,2216.0,294,78,26.5%
489,2196.0,261,232,88.9%
490,7258.0,708,325,45.9%
491,4715.0,548,155,28.3%
492,7157.0,382,142,37.2%
493,6706.0,"1,121",201,17.9%
494,7415.0,746,189,25.3%
495,94.0,798,198,24.8%
496,7445.0,737,160,21.7%
497,4234.0,570,169,29.6%
498,4235.0,544,158,29.0%
499,5250.0,653,72,11.0%
500,3250.0,374,68,18.2%
501,3260.0,"1,480",109,7.4%
502,3257.0,647,88,13.6%
503,3256.0,356,41,11.5%
504,3252.0,365,45,12.3%
505,3255.0,389,35,9.0%
506,7514.0,55,49,89.1%
507,7539.0,"2,376","2,129",89.6%
508,8022.0,91,73,80.2%
509,6492.0,"1,717","1,218",70.9%
510,8023.0,120,99,82.5%
511,8020.0,194,171,88.1%
512,6491.0,744,693,93.1%
513,1958.0,328,303,92.4%
514,8019.0,209,175,83.7%
515,1829.0,270,252,93.3%
516,8021.0,473,384,81.2%
517,1842.0,535,485,90.7%
518,730.0,456,191,41.9%
519,729.0,502,238,47.4%
520,732.0,532,198,37.2%
521,731.0,257,121,47.1%
522,1843.0,263,97,36.9%
523,7276.0,"1,035",461,44.5%
524,1849.0,"1,196",406,33.9%
525,5322.0,413,110,26.6%
526,1847.0,303,177,58.4%
527,1893.0,260,178,68.5%
528,7575.0,779,490,62.9%
529,7727.0,549,329,59.9%
530,7371.0,348,298,85.6%
531,7156.0,250,189,75.6%
532,7370.0,195,152,77.9%
533,5217.0,429,90,21.0%
534,1475.0,438,84,19.2%
535,6909.0,360,139,38.6%
536,1480.0,543,150,27.6%
537,1479.0,492,190,38.6%
538,7374.0,482,228,47.3%
539,921.0,433,210,48.5%
540,1507.0,161,81,50.3%
541,1521.0,144,90,62.5%
542,6236.0,983,358,36.4%
543,6649.0,798,381,47.7%
544,7537.0,458,242,52.8%
545,7761.0,89,54,60.7%
546,5276.0,352,190,54.0%
547,1376.0,606,177,29.2%
548,5012.0,"2,133",672,31.5%
549,1374.0,348,80,23.0%
550,1377.0,448,134,29.9%
551,7989.0,123,31,25.2%
552,1375.0,538,110,20.4%
553,6473.0,476,132,27.7%
554,1370.0,628,272,43.3%
555,7334.0,465,155,33.3%
556,7767.0,459,222,48.4%
557,6474.0,552,214,38.8%
558,2510.0,414,61,14.7%
559,6289.0,793,143,18.0%
560,6290.0,"1,185",181,15.3%
561,2506.0,473,92,19.5%
562,5053.0,495,93,18.8%
563,2508.0,104,10,9.6%
564,7628.0,"1,293",213,16.5%
565,7143.0,666,87,13.1%
566,5077.0,"1,060",150,14.2%
567,3261.0,139,61,43.9%
568,4711.0,468,52,11.1%
569,3333.0,"1,618",206,12.7%
570,3332.0,347,29,8.4%
571,3411.0,426,21,4.9%
572,2515.0,607,249,41.0%
573,7056.0,472,330,69.9%
574,2514.0,297,133,44.8%
575,5178.0,669,168,25.1%
576,6122.0,316,118,37.3%
577,7450.0,290,121,41.7%
578,7774.0,"2,736","1,474",53.9%
579,7510.0,"1,251",928,74.2%
580,3977.0,282,121,42.9%
581,3978.0,539,181,33.6%
582,3976.0,221,93,42.1%
583,5213.0,343,156,45.5%
584,5136.0,429,162,37.8%
585,1218.0,207,101,48.8%
586,2517.0,430,76,17.7%
587,2531.0,645,161,25.0%
588,2532.0,"1,291",251,19.4%
589,5113.0,568,114,20.1%
590,2522.0,438,148,33.8%
591,2521.0,635,176,27.7%
592,6268.0,538,107,19.9%
593,7822.0,893,259,29.0%
594,6267.0,560,143,25.5%
595,6898.0,590,152,25.8%
596,17.0,"1,283",253,19.7%
597,7110.0,425,207,48.7%
598,1637.0,502,181,36.1%
599,6132.0,463,140,30.2%
600,6133.0,346,183,52.9%
601,1639.0,357,154,43.1%
602,1644.0,470,222,47.2%
603,6643.0,441,309,70.1%
604,2097.0,442,213,48.2%
605,5047.0,253,143,56.5%
606,5228.0,"1,333",652,48.9%
607,2105.0,704,369,52.4%
608,2113.0,488,270,55.3%
609,2103.0,133,72,54.1%
610,2107.0,224,144,64.3%
611,5048.0,625,322,51.5%
612,4819.0,306,179,58.5%
613,2172.0,334,230,68.9%
614,4939.0,377,305,80.9%
615,7284.0,574,86,15.0%
616,777.0,"1,077",220,20.4%
617,7651.0,886,261,29.5%
618,5203.0,448,121,27.0%
619,6944.0,333,179,53.8%
620,6945.0,100,53,53.0%
621,6946.0,243,121,49.8%
622,4800.0,"1,562",249,15.9%
623,6301.0,"1,160",252,21.7%
624,6302.0,506,65,12.8%
625,2728.0,627,130,20.7%
626,2729.0,482,118,24.5%
627,7300.0,402,143,35.6%
628,1997.0,247,104,42.1%
629,1994.0,250,98,39.2%
630,1998.0,855,392,45.8%
631,7793.0,358,181,50.6%
632,7935.0,523,343,65.6%
633,6141.0,146,76,52.1%
634,3868.0,460,139,30.2%
635,3869.0,416,100,24.0%
636,1088.0,660,18,2.7%
637,5096.0,"2,253",46,2.0%
638,7749.0,"2,122",53,2.5%
639,1086.0,811,12,1.5%
640,7208.0,534,18,3.4%
641,4680.0,492,10,2.0%
642,6833.0,726,27,3.7%
643,7657.0,687,12,1.7%
644,7432.0,688,12,1.7%
645,6453.0,894,16,1.8%
646,1087.0,477,11,2.3%
647,6454.0,453,14,3.1%
648,5308.0,426,8,1.9%
649,1130.0,789,13,1.6%
650,1133.0,356,5,1.4%
651,4098.0,634,199,31.4%
652,6595.0,476,178,37.4%
653,4095.0,83,27,32.5%
654,4094.0,65,28,43.1%
655,5037.0,464,169,36.4%
656,1632.0,413,134,32.4%
657,1645.0,310,199,64.2%
658,1651.0,325,166,51.1%
659,1654.0,"1,043",366,35.1%
660,1653.0,468,194,41.5%
661,1650.0,320,115,35.9%
662,6135.0,260,230,88.5%
663,7194.0,456,152,33.3%
664,5179.0,537,147,27.4%
665,2860.0,"1,076",139,12.9%
666,7655.0,516,80,15.5%
667,2858.0,748,72,9.6%
668,5341.0,787,85,10.8%
669,7624.0,83,79,95.2%
670,1701.0,"2,570",204,7.9%
671,6714.0,961,138,14.4%
672,4849.0,887,76,8.6%
673,1700.0,420,48,11.4%
674,5020.0,670,48,7.2%
675,1697.0,390,79,20.3%
676,1698.0,326,51,15.6%
677,1696.0,531,28,5.3%
678,1699.0,454,69,15.2%
679,1695.0,463,83,17.9%
680,5277.0,957,99,10.3%
681,6238.0,481,195,40.5%
682,1529.0,606,192,31.7%
683,6613.0,101,53,52.5%
684,2868.0,661,69,10.4%
685,5150.0,679,92,13.5%
686,2869.0,867,63,7.3%
687,7596.0,574,84,14.6%
688,6598.0,"1,468",225,15.3%
689,4553.0,"1,840",187,10.2%
690,4546.0,243,68,28.0%
691,4701.0,268,23,8.6%
692,4547.0,619,75,12.1%
693,4551.0,801,155,19.4%
694,4549.0,702,118,16.8%
695,7729.0,692,43,6.2%
696,781.0,340,27,7.9%
697,7272.0,494,148,30.0%
698,4810.0,"1,210",154,12.7%
699,7544.0,882,122,13.8%
700,8007.0,263,46,17.5%
701,3424.0,512,129,25.2%
702,3425.0,776,121,15.6%
703,6846.0,244,143,58.6%
704,4833.0,441,128,29.0%
705,3419.0,204,56,27.5%
706,3421.0,184,40,21.7%
707,5278.0,839,187,22.3%
708,511.0,419,93,22.2%
709,513.0,632,132,20.9%
710,7595.0,444,113,25.5%
711,6695.0,477,111,23.3%
712,7058.0,374,25,6.7%
713,7057.0,661,149,22.5%
714,7671.0,659,601,91.2%
715,7162.0,596,151,25.3%
716,5261.0,"1,887",303,16.1%
717,3865.0,443,72,16.3%
718,3864.0,667,154,23.1%
719,7408.0,726,161,22.2%
720,7625.0,703,170,24.2%
721,3866.0,688,113,16.4%
722,4351.0,566,245,43.3%
723,4352.0,893,264,29.6%
724,6927.0,807,387,48.0%
725,4344.0,120,63,52.5%
726,4346.0,121,61,50.4%
727,7731.0,512,78,15.2%
728,4801.0,"1,158",101,8.7%
729,7186.0,521,72,13.8%
730,6678.0,850,103,12.1%
731,1749.0,514,64,12.5%
732,7775.0,487,258,53.0%
733,8011.0,208,19,9.1%
734,7165.0,583,154,26.4%
735,2539.0,888,180,20.3%
736,7786.0,613,222,36.2%
737,6291.0,285,52,18.2%
738,5234.0,238,73,30.7%
739,4554.0,320,88,27.5%
740,4558.0,"1,027",196,19.1%
741,6283.0,588,148,25.2%
742,4555.0,112,20,17.9%
743,4557.0,529,130,24.6%
744,7555.0,577,138,23.9%
745,4556.0,470,133,28.3%
746,1391.0,445,43,9.7%
747,7266.0,499,40,8.0%
748,1431.0,383,6,1.6%
749,7517.0,"1,265",59,4.7%
750,7759.0,"1,968",65,3.3%
751,1387.0,"1,708",68,4.0%
752,5011.0,620,57,9.2%
753,6476.0,602,28,4.7%
754,7516.0,"1,498",59,3.9%
755,1432.0,641,14,2.2%
756,7265.0,537,11,2.0%
757,7990.0,529,8,1.5%
758,6621.0,593,11,1.9%
759,6477.0,539,7,1.3%
760,7550.0,192,173,90.1%
761,2385.0,345,163,47.2%
762,1541.0,977,389,39.8%
763,6156.0,"1,241",363,29.3%
764,6919.0,120,77,64.2%
765,6157.0,370,111,30.0%
766,1530.0,159,68,42.8%
767,1532.0,370,119,32.2%
768,1540.0,86,59,68.6%
769,2389.0,85,42,49.4%
770,6918.0,339,214,63.1%
771,6591.0,860,242,28.1%
772,2429.0,571,115,20.1%
773,7712.0,248,57,23.0%
774,7908.0,500,457,91.4%
775,5193.0,690,325,47.1%
776,542.0,541,317,58.6%
777,7926.0,657,369,56.2%
778,3021.0,228,91,39.9%
779,3018.0,149,21,14.1%
780,6364.0,822,247,30.0%
781,3019.0,505,160,31.7%
782,2799.0,545,85,15.6%
783,2809.0,"2,736",237,8.7%
784,7560.0,777,53,6.8%
785,2808.0,283,53,18.7%
786,2802.0,429,90,21.0%
787,2803.0,426,7,1.6%
788,7559.0,"1,042",174,16.7%
789,2804.0,484,44,9.1%
790,5239.0,710,39,5.5%
791,4827.0,624,70,11.2%
792,5220.0,795,185,23.3%
793,1707.0,923,179,19.4%
794,1705.0,574,137,23.9%
795,4850.0,531,126,23.7%
796,7536.0,634,350,55.2%
797,8016.0,812,320,39.4%
798,7641.0,"1,313",565,43.0%
799,6935.0,"1,488",558,37.5%
800,3204.0,370,180,48.6%
801,7366.0,"1,085",441,40.6%
802,7642.0,911,457,50.2%
803,3201.0,613,291,47.5%
804,7411.0,584,234,40.1%
805,3202.0,331,130,39.3%
806,4822.0,494,49,9.9%
807,2552.0,587,137,23.3%
808,2500.0,472,92,19.5%
809,7209.0,494,103,20.9%
810,2554.0,"1,150",203,17.7%
811,4707.0,541,153,28.3%
812,6612.0,582,102,17.5%
813,2740.0,808,84,10.4%
814,6611.0,269,67,24.9%
815,2735.0,288,28,9.7%
816,2739.0,304,90,29.6%
817,2738.0,259,32,12.4%
818,6174.0,582,110,18.9%
819,4559.0,408,144,35.3%
820,4564.0,779,137,17.6%
821,7439.0,605,142,23.5%
822,6285.0,397,120,30.2%
823,4563.0,397,118,29.7%
824,4915.0,466,310,66.5%
825,3482.0,"2,829",837,29.6%
826,7008.0,"1,280",444,34.7%
827,6925.0,"1,335",428,32.1%
828,3477.0,544,37,6.8%
829,3478.0,352,133,37.8%
830,3473.0,719,183,25.5%
831,5350.0,610,435,71.3%
832,5064.0,695,92,13.2%
833,136.0,287,45,15.7%
834,140.0,122,66,54.1%
835,4804.0,657,193,29.4%
836,144.0,992,202,20.4%
837,7495.0,178,53,29.8%
838,142.0,195,60,30.8%
839,139.0,248,103,41.5%
840,2555.0,267,41,15.4%
841,2561.0,583,114,19.6%
842,6862.0,917,175,19.1%
843,2562.0,"1,346",180,13.4%
844,2557.0,117,8,6.8%
845,2558.0,272,40,14.7%
846,2559.0,448,64,14.3%
847,6417.0,697,316,45.3%
848,6418.0,698,233,33.4%
849,2674.0,306,179,58.5%
850,2675.0,955,318,33.3%
851,2664.0,329,142,43.2%
852,2668.0,283,109,38.5%
853,2665.0,141,44,31.2%
854,2564.0,311,101,32.5%
855,2568.0,455,96,21.1%
856,6712.0,"1,246",328,26.3%
