,school number,total enrollment,low income enrollment,percent of enrollment from low income families
0,7691.0,512,143,27.9%
1,5273.0,610,77,12.6%
2,3242.0,"1,773",264,14.9%
3,3241.0,"1,971",226,11.5%
4,7707.0,951,124,13.0%
5,3229.0,402,52,12.9%
6,5075.0,605,80,13.2%
7,3232.0,415,106,25.5%
8,3234.0,440,93,21.1%
9,3226.0,513,16,3.1%
10,4910.0,333,105,31.5%
11,5091.0,"1,220",98,8.0%
12,6839.0,"1,073",116,10.8%
13,7570.0,394,53,13.5%
14,2407.0,267,47,17.6%
15,6398.0,282,28,9.9%
16,2402.0,311,31,10.0%
17,7846.0,151,126,83.4%
18,7824.0,267,105,39.3%
19,7825.0,186,91,48.9%
20,6661.0,487,231,47.4%
21,7858.0,"4,202","2,463",58.6%
22,2115.0,280,145,51.8%
23,6001.0,"1,243",708,57.0%
24,7607.0,485,259,53.4%
25,7608.0,395,250,63.3%
26,2116.0,254,172,67.7%
27,4922.0,206,110,53.4%
28,2129.0,363,231,63.6%
29,6002.0,230,165,71.7%
30,4921.0,329,191,58.1%
31,615.0,468,405,86.5%
32,7338.0,334,281,84.1%
33,6554.0,334,269,80.5%
34,5296.0,303,107,35.3%
35,24.0,244,82,33.6%
36,29.0,598,178,29.8%
37,7467.0,398,174,43.7%
38,4664.0,468,184,39.3%
39,2790.0,812,757,93.2%
40,7102.0,292,274,93.8%
41,2792.0,979,813,83.0%
42,2791.0,763,647,84.8%
43,2768.0,740,505,68.2%
44,2773.0,393,351,89.3%
45,2774.0,640,512,80.0%
46,2775.0,355,257,72.4%
47,7131.0,361,336,93.1%
48,2795.0,"1,839","1,226",66.7%
49,2777.0,233,214,91.8%
50,2778.0,363,309,85.1%
51,2779.0,667,571,85.6%
52,2780.0,609,348,57.1%
53,2781.0,565,409,72.4%
54,2782.0,545,455,83.5%
55,6448.0,675,626,92.7%
56,2793.0,"1,119",865,77.3%
57,4929.0,956,792,82.8%
58,2785.0,810,630,77.8%
59,2786.0,570,535,93.9%
60,2794.0,"3,480","2,163",62.2%
61,7543.0,290,258,89.0%
62,913.0,"1,800",756,42.0%
63,7986.0,"1,833",961,52.4%
64,891.0,298,131,44.0%
65,908.0,348,128,36.8%
66,895.0,428,252,58.9%
67,930.0,595,304,51.1%
68,7425.0,72,58,80.6%
69,933.0,556,288,51.8%
70,7199.0,501,266,53.1%
71,909.0,411,352,85.6%
72,902.0,530,257,48.5%
73,6708.0,369,297,80.5%
74,5302.0,291,261,89.7%
75,6555.0,874,294,33.6%
76,633.0,430,159,37.0%
77,629.0,636,128,20.1%
78,661.0,606,250,41.3%
79,632.0,308,83,26.9%
80,2725.0,771,87,11.3%
81,2724.0,371,72,19.4%
82,2723.0,197,53,26.9%
83,2722.0,222,55,24.8%
84,820.0,511,164,32.1%
85,5205.0,423,149,35.2%
86,7838.0,136,32,23.5%
87,8031.0,726,661,91.0%
88,7787.0,668,286,42.8%
89,2320.0,446,156,35.0%
90,6570.0,379,156,41.2%
91,7578.0,538,221,41.1%
92,569.0,306,173,56.5%
93,6574.0,246,71,28.9%
94,582.0,370,123,33.2%
95,6575.0,669,251,37.5%
96,6572.0,372,151,40.6%
97,596.0,648,195,30.1%
98,580.0,216,93,43.1%
99,5002.0,752,316,42.0%
100,6577.0,367,156,42.5%
101,7896.0,509,224,44.0%
102,7895.0,676,283,41.9%
103,7640.0,599,257,42.9%
104,958.0,614,187,30.5%
105,4918.0,606,271,44.7%
106,972.0,149,71,47.7%
107,6732.0,331,132,39.9%
108,6362.0,108,40,37.0%
109,7211.0,341,151,44.3%
110,952.0,187,108,57.8%
111,6221.0,84,35,41.7%
112,6222.0,109,40,36.7%
113,4165.0,320,102,31.9%
114,7098.0,333,133,39.9%
115,7721.0,"1,275",132,10.4%
116,1367.0,"1,814",184,10.1%
117,1365.0,"1,652",261,15.8%
118,5216.0,886,129,14.6%
119,7323.0,"1,049",168,16.0%
120,34.0,671,2,0.3%
121,5199.0,413,37,9.0%
