,school number,total enrollment,low income enrollment,percent of enrollment from low income families
0,7691,754,132,17.5%
1,5273,613,194,31.6%
2,8217,89,58,65.2%
3,0000,8,1,12.5%
4,8122,158,158,100.0%
5,8148,148,146,98.6%
6,5091,"1,078",149,13.8%
7,6839,"1,047",180,17.2%
8,7570,356,47,13.2%
9,2407,289,84,29.1%
10,6398,258,31,12.0%
11,2402,288,40,13.9%
12,3242,"1,731",329,19.0%
13,3241,"1,799",307,17.1%
14,7707,"1,086",194,17.9%
15,3229,468,81,17.3%
16,5075,628,82,13.1%
17,3232,500,124,24.8%
18,3234,439,93,21.2%
19,3226,567,46,8.1%
20,4910,368,143,38.9%
21,7846,186,153,82.3%
22,7824,802,456,56.9%
23,7825,407,270,66.3%
24,6661,436,228,52.3%
25,7858,"9,175","6,563",71.5%
26,2115,249,139,55.8%
27,6001,"1,144",598,52.3%
28,7607,424,236,55.7%
29,7608,413,257,62.2%
30,2116,250,168,67.2%
31,4922,220,139,63.2%
32,2129,279,181,64.9%
33,6002,237,188,79.3%
34,4921,315,182,57.8%
35,8085,710,603,84.9%
36,8086,485,428,88.2%
37,0000,541,229,42.3%
38,5296,303,165,54.5%
39,9999,14,5,35.7%
40,0024,216,107,49.5%
41,0029,476,197,41.4%
42,7467,340,146,42.9%
43,4664,368,131,35.6%
44,9999,253,222,87.7%
45,2790,617,585,94.8%
46,7102,279,260,93.2%
47,2792,846,796,94.1%
48,2791,873,803,92.0%
49,2768,685,557,81.3%
50,2774,700,632,90.3%
51,2775,282,198,70.2%
52,7131,358,331,92.5%
53,2795,"1,741","1,510",86.7%
54,8140,865,796,92.0%
55,2777,316,289,91.5%
56,2779,860,778,90.5%
57,2780,480,335,69.8%
58,2781,510,405,79.4%
59,2782,755,691,91.5%
60,6448,653,620,94.9%
61,2793,"1,099",971,88.4%
62,4929,913,824,90.3%
63,2785,751,640,85.2%
64,2786,535,514,96.1%
65,2794,"2,595","2,184",84.2%
66,7543,395,290,73.4%
67,0913,"1,646",807,49.0%
68,7986,"1,865","1,104",59.2%
69,0891,329,144,43.8%
70,0908,317,91,28.7%
71,0895,408,266,65.2%
72,0930,610,374,61.3%
73,7425,43,40,93.0%
74,0933,600,345,57.5%
75,7199,475,290,61.1%
76,0909,366,335,91.5%
77,0902,596,335,56.2%
78,6708,242,200,82.6%
79,5302,319,270,84.6%
80,6555,770,330,42.9%
81,0633,389,186,47.8%
82,0629,639,193,30.2%
83,0661,508,366,72.0%
84,0632,333,172,51.7%
85,2725,520,98,18.8%
86,2724,422,130,30.8%
87,8178,249,56,22.5%
88,9999,22,3,13.6%
89,2723,304,96,31.6%
90,0820,476,183,38.4%
91,9999,22,5,22.7%
92,5205,387,172,44.4%
93,7838,180,88,48.9%
94,8031,730,674,92.3%
95,7787,568,294,51.8%
96,2320,402,183,45.5%
97,6570,324,166,51.2%
98,0000,362,113,31.2%
99,9999,20,9,45.0%
100,0569,262,95,36.3%
101,6574,286,106,37.1%
102,6575,746,294,39.4%
103,6572,379,159,42.0%
104,0596,604,232,38.4%
105,5002,825,432,52.4%
106,6577,348,159,45.7%
107,7896,515,236,45.8%
108,7895,698,319,45.7%
109,7640,722,284,39.3%
110,8214,369,121,32.8%
111,0958,673,252,37.4%
112,4918,608,310,51.0%
113,8220,523,268,51.2%
114,8219,405,209,51.6%
115,6221,122,52,42.6%
116,6222,95,37,38.9%
117,4165,285,120,42.1%
118,9999,4,2,50.0%
119,7098,299,129,43.1%
120,9999,8,1,12.5%
121,7721,"1,581",252,15.9%
122,1367,"1,790",359,20.1%
123,1365,"1,527",379,24.8%
124,9999,4,0,0.0%
125,5216,884,173,19.6%
126,7323,965,248,25.7%
127,0034,762,118,15.5%
128,5199,396,51,12.9%
129,7669,367,32,8.7%
130,0000,290,23,7.9%
131,8211,210,52,24.8%
132,1335,"1,035",334,32.3%
133,9999,2,0,0.0%
134,1333,78,20,25.6%
135,1334,164,55,33.5%
136,1331,148,44,29.7%
137,1330,399,158,39.6%
138,0050,"1,475",409,27.7%
139,6787,874,298,34.1%
140,0037,322,92,28.6%
141,5194,719,279,38.8%
142,0048,745,216,29.0%
143,3434,"1,040",392,37.7%
144,5257,482,181,37.6%
145,7301,489,209,42.7%
146,5099,574,212,36.9%
147,3430,533,255,47.8%
148,7827,421,155,36.8%
149,7847,92,37,40.2%
150,7386,320,57,17.8%
151,0640,662,119,18.0%
152,8065,430,75,17.4%
153,7823,598,118,19.7%
154,6985,609,150,24.6%
155,0000,159,61,38.4%
156,7545,790,343,43.4%
157,7021,447,173,38.7%
158,0726,635,205,32.3%
159,7096,477,143,30.0%
160,4930,880,243,27.6%
161,4329,309,134,43.4%
162,4328,558,268,48.0%
163,4325,580,190,32.8%
164,4330,287,80,27.9%
165,1343,853,224,26.3%
166,1342,643,201,31.3%
167,1341,428,197,46.0%
168,1339,263,61,23.2%
169,1340,373,102,27.3%
170,6229,251,93,37.1%
171,7144,397,144,36.3%
172,0917,393,114,29.0%
173,0914,458,172,37.6%
174,7557,116,113,97.4%
175,7750,487,485,99.6%
176,5211,541,225,41.6%
177,4675,417,286,68.6%
178,9999,40,11,27.5%
179,5116,"1,961",792,40.4%
180,6451,412,198,48.1%
181,1006,588,274,46.6%
182,7030,532,281,52.8%
183,6896,548,195,35.6%
184,1008,608,420,69.1%
185,6788,701,237,33.8%
186,1594,394,136,34.5%
187,1595,313,83,26.5%
188,7987,441,203,46.0%
189,7988,354,141,39.8%
190,9999,5,2,40.0%
191,4188,391,120,30.7%
192,6304,845,215,25.4%
193,7068,821,210,25.6%
194,0000,226,104,46.0%
195,6206,267,115,43.1%
196,7645,256,119,46.5%
197,9999,3,2,66.7%
198,6207,307,104,33.9%
199,7302,751,256,34.1%
200,0003,642,136,21.2%
201,6921,631,236,37.4%
202,1605,879,348,39.6%
203,6808,708,353,49.9%
204,9999,4,1,25.0%
205,1602,248,122,49.2%
206,6349,286,111,38.8%
207,1604,456,324,71.1%
208,1597,468,251,53.6%
209,4802,329,71,21.6%
210,7326,339,66,19.5%
211,0055,366,73,19.9%
212,0062,"1,624",205,12.6%
213,4902,293,29,9.9%
214,0061,737,119,16.1%
215,7327,643,111,17.3%
216,0060,226,51,22.6%
217,5286,"1,315",666,50.6%
218,5063,397,59,14.9%
219,9999,76,12,15.8%
220,3464,554,473,85.4%
221,3436,248,114,46.0%
222,3453,398,225,56.5%
