,school number,total enrollment,low income enrollment,percent of enrollment from low income families
0,7691,964,103,10.7%
1,5273,676,267,39.5%
2,8217,146,113,77.4%
3,0,86,51,59.3%
4,8148,261,214,82.0%
5,5091,"1,042",181,17.4%
6,6839,"1,079",208,19.3%
7,7570,359,79,22.0%
8,2407,247,72,29.1%
9,6398,287,38,13.2%
10,2402,291,51,17.5%
11,3242,"1,855",439,23.7%
12,3241,"1,748",443,25.3%
13,7707,"1,089",230,21.1%
14,3229,517,143,27.7%
15,5075,726,139,19.1%
16,3232,527,166,31.5%
17,3234,512,139,27.1%
18,3226,592,63,10.6%
19,4910,404,182,45.0%
20,7846,110,49,44.5%
21,7824,458,318,69.4%
22,7825,672,292,43.5%
23,6661,494,313,63.4%
24,7858,"5,883","4,414",75.0%
25,8364,402,217,54.0%
26,6001,"1,100",536,48.7%
27,7607,407,220,54.1%
28,7608,390,219,56.2%
29,4922,208,111,53.4%
30,2129,346,220,63.6%
31,6002,240,177,73.8%
32,4921,320,171,53.4%
33,8085,637,637,100.0%
34,8086,442,440,99.5%
35,0,522,283,54.2%
36,5296,284,148,52.1%
37,24,209,113,54.1%
38,29,450,214,47.6%
39,7467,367,190,51.8%
40,4664,330,143,43.3%
41,8341,278,245,88.1%
42,2790,784,647,82.5%
43,7102,284,258,90.8%
44,2792,890,788,88.5%
45,2791,788,716,90.9%
46,2768,633,518,81.8%
47,2774,554,478,86.3%
48,2775,321,258,80.4%
49,7131,173,135,78.0%
50,2795,"1,894","1,373",72.5%
51,8140,793,773,97.5%
52,2777,273,266,97.4%
53,2779,575,508,88.3%
54,2780,457,388,84.9%
55,2781,588,499,84.9%
56,2782,721,647,89.7%
57,6448,682,665,97.5%
58,2793,"1,006",833,82.8%
59,4929,735,664,90.3%
60,2785,700,616,88.0%
61,2786,438,424,96.8%
62,2794,"2,918","2,368",81.2%
63,7543,446,343,76.9%
64,913,"1,774","1,013",57.1%
65,7986,"1,805","1,109",61.4%
66,891,330,164,49.7%
67,908,358,131,36.6%
68,895,608,489,80.4%
69,930,689,419,60.8%
70,7425,23,23,100.0%
71,933,564,363,64.4%
72,7199,575,419,72.9%
73,8280,469,429,91.5%
74,902,569,418,73.5%
75,6555,779,251,32.2%
76,633,392,157,40.1%
77,629,498,112,22.5%
78,661,433,328,75.8%
79,632,316,120,38.0%
80,2725,485,143,29.5%
81,2724,450,152,33.8%
82,8178,223,72,32.3%
83,2723,274,97,35.4%
84,820,436,194,44.5%
85,5205,449,233,51.9%
86,7838,169,86,50.9%
87,8031,713,517,72.5%
88,7787,539,328,60.9%
89,2320,356,168,47.2%
90,6570,294,172,58.5%
91,0,194,82,42.3%
92,8342,"1,641",791,48.2%
93,569,233,123,52.8%
94,6574,221,68,30.8%
95,5002,845,471,55.7%
96,6577,357,186,52.1%
97,7896,540,281,52.0%
98,7895,662,352,53.2%
99,7640,616,276,44.8%
100,8214,383,138,36.0%
101,8336,409,409,100.0%
102,958,628,254,40.4%
103,4918,554,278,50.2%
104,8220,483,221,45.8%
105,8219,352,200,56.8%
106,6221,106,70,66.0%
107,6222,93,59,63.4%
108,4165,261,96,36.8%
109,7098,293,129,44.0%
110,7721,"1,685",382,22.7%
111,1367,"1,795",399,22.2%
112,1365,"1,497",422,28.2%
113,5216,811,218,26.9%
114,7323,844,183,21.7%
115,34,408,72,17.6%
116,5199,472,114,24.2%
117,7669,379,86,22.7%
118,8320,417,68,16.3%
119,0,305,46,15.1%
120,8211,539,210,39.0%
121,1335,942,347,36.8%
122,1333,91,37,40.7%
123,1334,134,43,32.1%
124,1331,125,41,32.8%
125,1330,351,153,43.6%
126,50,"1,406",544,38.7%
127,6787,974,397,40.8%
128,37,378,139,36.8%
129,5194,770,414,53.8%
130,48,709,297,41.9%
131,3434,"1,042",375,36.0%
132,5257,537,208,38.7%
133,7301,442,187,42.3%
134,5099,518,144,27.8%
135,3430,556,229,41.2%
136,7827,466,201,43.1%
137,7386,334,79,23.7%
138,640,692,136,19.7%
139,8065,424,86,20.3%
140,7823,608,138,22.7%
