,aun,records,compensation,netprofits,miscellaneousincome,dividends&interest,outofstatetaxrecords,outofstatetaxcredit,outofstateincome(calculated),totalpersonalincome,adjustedpersonalincome
41,103028833.0,7522.0,304053866.0,15199032.0,10359333.0,7872397.0,28.0,31635.0,1030456.0,337484628.0,336454172.0
42,103028853.0,5309.0,155491230.0,6042789.0,2062422.0,3341439.0,7.0,9302.0,302997.0,166937880.0,166634883.0
43,103029203.0,9762.0,1034121502.0,236123965.0,241353234.0,114617955.0,367.0,2411434.0,78548339.0,1626216656.0,1547668317.0
44,103029403.0,11729.0,756942035.0,49121174.0,30077478.0,20304467.0,114.0,173812.0,5661629.0,856445154.0,850783525.0
45,103029553.0,10015.0,648634592.0,69732523.0,30838574.0,30384090.0,86.0,314369.0,10240033.0,779589779.0,769349746.0
46,103029603.0,10736.0,432147715.0,16238518.0,9868016.0,12081755.0,42.0,27722.0,902997.0,470336004.0,469433007.0
47,103029803.0,7811.0,278494818.0,22609603.0,13386965.0,8073406.0,50.0,113490.0,3696743.0,322564792.0,318868049.0
48,103029902.0,21564.0,966958160.0,83613784.0,52427566.0,58678363.0,166.0,293053.0,9545700.0,1161677873.0,1152132173.0
49,128030603.0,4382.0,171758046.0,8440199.0,5058738.0,4595343.0,21.0,12108.0,394397.0,189852326.0,189457929.0
50,128030852.0,18944.0,774397597.0,76000758.0,37050460.0,37232488.0,99.0,134635.0,4385505.0,924681303.0,920295798.0
51,128033053.0,5868.0,340690522.0,51669370.0,30577524.0,12041940.0,42.0,84356.0,2747752.0,434979356.0,432231604.0
52,128034503.0,3037.0,116655386.0,5437170.0,3805619.0,5127631.0,14.0,4717.0,153648.0,131025806.0,130872158.0
53,127040503.0,4203.0,131865621.0,4842737.0,2907790.0,2477535.0,10.0,5010.0,163192.0,142093683.0,141930491.0
54,127040703.0,12047.0,545979703.0,33226409.0,26615607.0,17597527.0,58.0,70031.0,2281140.0,623419246.0,621138106.0
55,127041203.0,7305.0,413170323.0,39967077.0,26980343.0,23821309.0,71.0,127528.0,4154007.0,503939052.0,499785045.0
56,127041503.0,5859.0,199032248.0,10616777.0,6283883.0,4167899.0,19.0,16014.0,521629.0,220100807.0,219579178.0
57,127041603.0,8431.0,443742160.0,48034808.0,23352813.0,17376531.0,64.0,180428.0,5877134.0,532506312.0,526629178.0
58,127042003.0,8893.0,467333373.0,38139299.0,15575242.0,13938474.0,65.0,148481.0,4836515.0,534986388.0,530149873.0
59,127042853.0,5401.0,228661795.0,15665414.0,15474491.0,10253788.0,31.0,40242.0,1310814.0,270055488.0,268744674.0
60,127044103.0,9198.0,468294037.0,26582960.0,20451873.0,14661095.0,50.0,43474.0,1416091.0,529989965.0,528573874.0
61,127045303.0,1223.0,41103081.0,909021.0,739120.0,637062.0,3.0,3334.0,108599.0,43388284.0,43279685.0
62,127045653.0,4894.0,186617870.0,8706609.0,2738196.0,3400204.0,19.0,15058.0,490489.0,201462879.0,200972390.0
63,127045853.0,5174.0,243620744.0,24887404.0,13152784.0,21513782.0,42.0,39193.0,1276645.0,303174714.0,301898069.0
64,127046903.0,3505.0,127910251.0,3684633.0,2937052.0,2274238.0,12.0,21048.0,685603.0,136806174.0,136120571.0
65,127047404.0,3047.0,168353508.0,15578805.0,16473115.0,3875782.0,36.0,66002.0,2149902.0,204281210.0,202131308.0
66,127049303.0,2542.0,120697860.0,6258245.0,3295338.0,2999728.0,9.0,3246.0,105733.0,133251171.0,133145438.0
67,108051003.0,8048.0,304459888.0,44862495.0,23283570.0,15181085.0,101.0,176733.0,5756775.0,387787038.0,382030263.0
68,108051503.0,4772.0,179123403.0,20501052.0,6039600.0,6924325.0,33.0,39701.0,1293192.0,212588380.0,211295188.0
69,108053003.0,4312.0,149467799.0,18210865.0,6989701.0,5118280.0,35.0,40576.0,1321694.0,179786645.0,178464951.0
70,108056004.0,2945.0,111345947.0,18761852.0,11956952.0,3332673.0,18.0,27170.0,885016.0,145397424.0,144512408.0
71,108058003.0,3004.0,110147933.0,6121630.0,2935937.0,2180887.0,25.0,15726.0,512248.0,121386387.0,120874139.0
72,114060503.0,3505.0,151561317.0,8271946.0,3906212.0,4249284.0,30.0,15156.0,493681.0,167988759.0,167495078.0
73,114060753.0,24716.0,1520731219.0,138979065.0,90597524.0,61573830.0,297.0,923142.0,30069772.0,1811881638.0,1781811866.0
74,114060853.0,6264.0,326047456.0,24513171.0,17054884.0,15582403.0,55.0,84185.0,2742182.0,383197914.0,380455732.0
75,114061103.0,9802.0,468331793.0,44175470.0,23204520.0,22273641.0,99.0,121276.0,3950358.0,557985424.0,554035066.0
76,114061503.0,10919.0,677969956.0,50087703.0,27769968.0,23109879.0,144.0,226389.0,7374235.0,778937506.0,771563271.0
77,114062003.0,13434.0,759304572.0,57027847.0,35747895.0,27652964.0,162.0,279760.0,9112704.0,879733278.0,870620574.0
78,114062503.0,8567.0,447436973.0,32993046.0,14282657.0,16070330.0,76.0,77733.0,2532020.0,510783006.0,508250986.0
79,114063003.0,16131.0,849503173.0,99096204.0,68814786.0,63636670.0,179.0,300291.0,9781466.0,1081050833.0,1071269367.0
80,114063503.0,9013.0,411108495.0,37887620.0,30174890.0,15249399.0,65.0,89752.0,2923518.0,494420404.0,491496886.0
81,114064003.0,6958.0,320671886.0,35060845.0,38638707.0,19455666.0,73.0,113702.0,3703648.0,413827104.0,410123456.0
82,114065503.0,13308.0,558170311.0,23702908.0,10983428.0,17435352.0,75.0,90064.0,2933681.0,610291999.0,607358318.0
83,114066503.0,6483.0,359954982.0,58352029.0,35347275.0,22209286.0,75.0,253858.0,8268990.0,475863572.0,467594582.0
84,114067002.0,38727.0,1085636354.0,49952210.0,20686754.0,13443283.0,237.0,250982.0,8175309.0,1169718601.0,1161543292.0
85,114067503.0,7094.0,401018413.0,48660480.0,25699460.0,16553410.0,67.0,105753.0,3444723.0,491931763.0,488487040.0
86,114068003.0,6147.0,273741056.0,51553825.0,17173265.0,10411882.0,67.0,78600.0,2560261.0,352880028.0,350319767.0
87,114068103.0,12275.0,671087466.0,98261037.0,48538156.0,30618024.0,214.0,354313.0,11541140.0,848504683.0,836963543.0
88,114069103.0,19649.0,1160828415.0,132541326.0,87795184.0,70700261.0,266.0,610588.0,19888860.0,1451865186.0,1431976326.0
89,114069353.0,6702.0,456638073.0,88184672.0,101285546.0,71853144.0,139.0,392853.0,12796515.0,717961435.0,705164920.0
90,108070502.0,26079.0,945568333.0,77411906.0,55975503.0,36255395.0,116.0,171511.0,5586678.0,1115211137.0,1109624459.0
91,108071003.0,3913.0,172427347.0,20977340.0,7949888.0,6939531.0,23.0,48671.0,1585375.0,208294106.0,206708731.0
92,108071504.0,2937.0,123199288.0,25251889.0,7207515.0,5965868.0,40.0,31006.0,1009967.0,161624560.0,160614593.0
93,108073503.0,13011.0,655065770.0,149865662.0,74773549.0,48316171.0,122.0,511058.0,16646840.0,928021152.0,911374312.0
94,108077503.0,6164.0,233767325.0,41219942.0,24149312.0,11484097.0,36.0,38982.0,1269772.0,310620676.0,309350904.0
95,108078003.0,6003.0,239019421.0,19175816.0,17658598.0,7455200.0,33.0,61070.0,1989251.0,283309035.0,281319784.0
96,108079004.0,1602.0,57646734.0,5652489.0,1945575.0,1368617.0,5.0,7081.0,230651.0,66613415.0,66382764.0
97,117080503.0,6366.0,284076086.0,26856754.0,28430478.0,13572057.0,1334.0,2036988.0,66351401.0,352935375.0,286583974.0
98,117081003.0,2613.0,96877807.0,13946625.0,18040240.0,3229945.0,88.0,111429.0,3629609.0,132094617.0,128465008.0
