,aun,records,compensation,netprofits,miscellaneousincome,dividends&interest,outofstatetaxrecords,outofstatetaxcredit,outofstateincome(calculated),totalpersonalincome,adjustedpersonalincome
0,112011103.0,6749.0,277239805.0,27213360.0,12477304.0,8321899.0,60.0,61398.0,1999935.0,325252368.0,323252433.0
1,112011603.0,14039.0,540236342.0,56733005.0,20747324.0,18646922.0,117.0,197084.0,6419674.0,636363593.0,629943919.0
2,112013054.0,4239.0,183305277.0,13358761.0,5836605.0,5101976.0,70.0,80547.0,2623681.0,207602619.0,204978938.0
3,112013753.0,12405.0,483303680.0,63521791.0,73702759.0,44592855.0,168.0,293367.0,9555928.0,665121085.0,655565157.0
4,112015203.0,7065.0,299487780.0,24868831.0,23243749.0,8556265.0,83.0,71262.0,2321238.0,356156625.0,353835387.0
5,112018523.0,5998.0,213611619.0,18312528.0,10173922.0,7170681.0,67.0,103988.0,3387231.0,249268750.0,245881519.0
6,103020603.0,5952.0,223550017.0,18385489.0,19141922.0,14887995.0,66.0,82372.0,2683127.0,275965423.0,273282296.0
7,103020753.0,5538.0,440281966.0,58642097.0,39161911.0,23430859.0,112.0,570965.0,18598208.0,561516833.0,542918625.0
8,103021102.0,18647.0,803220405.0,44406917.0,42266709.0,34860766.0,115.0,70353.0,2291629.0,924754797.0,922463168.0
9,103021252.0,17072.0,878465282.0,92640746.0,45163169.0,48912945.0,156.0,366690.0,11944300.0,1065182142.0,1053237842.0
10,103021453.0,5122.0,196888392.0,7749801.0,2774490.0,3539338.0,19.0,9976.0,324951.0,210952021.0,210627070.0
11,103021603.0,7225.0,310743678.0,26694450.0,16489701.0,11068542.0,48.0,84811.0,2762573.0,364996371.0,362233798.0
12,103021752.0,15909.0,910569256.0,89167162.0,112244760.0,63300472.0,181.0,770500.0,25097720.0,1175281650.0,1150183930.0
13,103021903.0,2778.0,76044386.0,3307184.0,1658610.0,2070653.0,6.0,3695.0,120358.0,83080833.0,82960475.0
14,103022103.0,3352.0,116194951.0,5195449.0,2961745.0,2257829.0,18.0,12514.0,407622.0,126609974.0,126202352.0
15,103022253.0,7162.0,327910698.0,22369257.0,15577018.0,11628727.0,47.0,28078.0,914593.0,377485700.0,376571107.0
16,103022503.0,2034.0,50106790.0,1358957.0,416241.0,1028283.0,7.0,102056.0,3324300.0,52910271.0,49585971.0
17,103022803.0,6990.0,220437831.0,8124006.0,5427717.0,5473337.0,19.0,15431.0,502638.0,239462891.0,238960253.0
18,103023153.0,8962.0,372159978.0,27954137.0,25975301.0,13681508.0,33.0,18888.0,615244.0,439770924.0,439155680.0
19,103023912.0,14008.0,1249340712.0,310782011.0,320726644.0,184575945.0,521.0,1764048.0,57460847.0,2065425312.0,2007964465.0
20,103024102.0,15329.0,654845429.0,59439310.0,30940794.0,35161215.0,120.0,104323.0,3398143.0,780386748.0,776988605.0
21,103024603.0,9088.0,636438269.0,97752704.0,48123079.0,62015892.0,159.0,308605.0,10052280.0,844329944.0,834277664.0
22,103024753.0,9830.0,348596951.0,26649639.0,14144825.0,13650145.0,35.0,47638.0,1551726.0,403041560.0,401489834.0
23,103025002.0,10559.0,452565644.0,26882987.0,13787472.0,14361352.0,89.0,81326.0,2649055.0,507597455.0,504948400.0
24,103026002.0,12693.0,379587646.0,14718677.0,13837010.0,12249159.0,32.0,19463.0,633974.0,420392492.0,419758518.0
25,103026303.0,13839.0,741109647.0,70430070.0,33010205.0,32009988.0,138.0,228220.0,7433876.0,876559910.0,869126034.0
26,103026343.0,12873.0,815872494.0,90816295.0,45362118.0,37931278.0,162.0,338394.0,11022606.0,989982185.0,978959579.0
27,103026402.0,16701.0,1245268565.0,209938206.0,146371351.0,118467084.0,475.0,953678.0,31064430.0,1720045206.0,1688980776.0
28,103026852.0,24399.0,2023426803.0,325767210.0,200829162.0,145776649.0,601.0,1413785.0,46051629.0,2695799824.0,2649748195.0
29,103026902.0,20274.0,993458663.0,69638491.0,52147727.0,45135550.0,164.0,115924.0,3776026.0,1160380431.0,1156604405.0
30,103026873.0,6780.0,245684214.0,11100775.0,4583298.0,6645364.0,23.0,17327.0,564397.0,268013651.0,267449254.0
31,103027352.0,19181.0,680663989.0,33055641.0,21563692.0,22681531.0,65.0,62502.0,2035896.0,757964853.0,755928957.0
32,103021003.0,11107.0,1104049825.0,146180446.0,83457626.0,60997546.0,280.0,714775.0,23282573.0,1394685443.0,1371402870.0
33,102027451.0,130095.0,5684528523.0,556180206.0,591167251.0,382215225.0,1656.0,4315357.0,140565375.0,7214091205.0,7073525830.0
34,103027503.0,13124.0,644581137.0,48904983.0,28541561.0,28254988.0,93.0,62135.0,2023941.0,750282669.0,748258728.0
35,103027753.0,6953.0,714186139.0,222138980.0,207727626.0,116582874.0,291.0,1627020.0,52997394.0,1260635619.0,1207638225.0
36,103028203.0,4562.0,229511688.0,21555257.0,28227456.0,13494774.0,54.0,61834.0,2014137.0,292789175.0,290775038.0
37,103028302.0,20051.0,885269968.0,53703548.0,29102323.0,34567725.0,100.0,88187.0,2872541.0,1002643564.0,999771023.0
38,103028653.0,5252.0,176838043.0,5504916.0,5032032.0,3993804.0,9.0,2292.0,74658.0,191368795.0,191294137.0
39,103028703.0,7300.0,527956255.0,49208849.0,28842680.0,18661660.0,118.0,97059.0,3161531.0,624669444.0,621507913.0
40,103028753.0,7002.0,354728302.0,26461195.0,9645974.0,10325885.0,39.0,31525.0,1026873.0,401161356.0,400134483.0
41,103028833.0,7589.0,266726081.0,9881352.0,6625983.0,7767264.0,32.0,13906.0,452964.0,291000680.0,290547716.0
42,103028853.0,5496.0,140409507.0,6056250.0,1892764.0,3411244.0,12.0,7648.0,249121.0,151769765.0,151520644.0
43,103029203.0,9478.0,893787675.0,190978880.0,152860866.0,105941388.0,380.0,1034062.0,33682801.0,1343568809.0,1309886008.0
44,103029403.0,10896.0,635525200.0,36242040.0,19975877.0,24713575.0,139.0,136185.0,4435993.0,716456692.0,712020699.0
45,103029553.0,9649.0,540223740.0,51773702.0,30752173.0,23398428.0,94.0,186864.0,6086775.0,646148043.0,640061268.0
46,103029603.0,10262.0,366552871.0,14208471.0,7167192.0,10216861.0,30.0,21307.0,694039.0,398145395.0,397451356.0
47,103029803.0,6992.0,219250644.0,16862333.0,23483912.0,7405544.0,47.0,298796.0,9732769.0,267002433.0,257269664.0
48,103029902.0,21384.0,851932889.0,84324430.0,51957226.0,45373625.0,152.0,266438.0,8678762.0,1033588170.0,1024909408.0
49,128030603.0,4304.0,151382553.0,8693245.0,6432438.0,4104092.0,13.0,19201.0,625440.0,170612328.0,169986888.0
50,128030852.0,19215.0,688855209.0,59690050.0,41825905.0,29468280.0,64.0,67763.0,2207264.0,819839444.0,817632180.0
51,128033053.0,5766.0,290061728.0,32848409.0,16946019.0,9032852.0,40.0,81393.0,2651238.0,348889008.0,346237770.0
52,128034503.0,2871.0,100010324.0,4943004.0,2749916.0,4050746.0,5.0,3981.0,129674.0,111753990.0,111624316.0
53,127040503.0,4190.0,108434726.0,5921383.0,2226256.0,2339521.0,11.0,11677.0,380358.0,118921886.0,118541528.0
54,127040703.0,11525.0,479882545.0,26141978.0,17030047.0,14597945.0,65.0,95738.0,3118502.0,537652515.0,534534013.0
55,127041203.0,7259.0,355171075.0,30806392.0,22042723.0,18376196.0,85.0,120073.0,3911173.0,426396386.0,422485213.0
56,127041503.0,5758.0,172710974.0,8524726.0,3402612.0,3049493.0,20.0,12216.0,397915.0,187687805.0,187289890.0
57,127041603.0,8347.0,384315546.0,36536458.0,20283306.0,14855609.0,66.0,207985.0,6774756.0,455990919.0,449216163.0
58,127042003.0,8959.0,410391565.0,36606447.0,18176337.0,10556482.0,64.0,304087.0,9905114.0,475730831.0,465825717.0
59,127042853.0,5381.0,205951701.0,14040627.0,10900153.0,8235245.0,34.0,50677.0,1650717.0,239127726.0,237477009.0
60,127044103.0,9064.0,403813169.0,19858757.0,17870675.0,11776885.0,73.0,36272.0,1181498.0,453319486.0,452137988.0
61,127045303.0,1164.0,33250682.0,729316.0,620232.0,624668.0,2.0,3135.0,102117.0,35224898.0,35122781.0
62,127045653.0,4830.0,163034910.0,9537133.0,28612740.0,2701699.0,24.0,23483.0,764919.0,203886482.0,203121563.0
63,127045853.0,5014.0,217165197.0,22016401.0,18573495.0,13846201.0,25.0,33062.0,1076938.0,271601294.0,270524356.0
64,127046903.0,3368.0,106710903.0,4819459.0,2277969.0,1957674.0,13.0,30842.0,1004625.0,115766005.0,114761380.0
65,127047404.0,3119.0,149731436.0,8854477.0,9718812.0,3163663.0,29.0,35054.0,1141824.0,171468388.0,170326564.0
66,127049303.0,2490.0,105547328.0,4450311.0,3197090.0,2456700.0,15.0,15783.0,514104.0,115651429.0,115137325.0
67,108051003.0,7669.0,249293612.0,35314446.0,17782665.0,10582046.0,79.0,169979.0,5536775.0,312972769.0,307435994.0
68,108051503.0,4738.0,153293090.0,16045662.0,5641926.0,5861872.0,19.0,14817.0,482638.0,180842550.0,180359912.0
69,108053003.0,4370.0,129357628.0,17885702.0,7415891.0,4508259.0,47.0,29299.0,954365.0,159167480.0,158213115.0
70,108056004.0,2953.0,98333992.0,19410004.0,8724664.0,2542997.0,10.0,4980.0,162215.0,129011657.0,128849442.0
