,aun,records,compensation,netprofits,miscellaneousincome,dividends&interest,outofstatetaxrecords,outofstatetaxcredit,outofstateincome(calculated),totalpersonalincome,adjustedpersonalincome
0,112011103.0,7187.0,325135599.0,41590198.0,12699747.0,10087061.0,73.0,76598.0,2495049.0,389512605.0,387017556.0
1,112011603.0,14759.0,632427046.0,65171924.0,97006293.0,27032284.0,127.0,218365.0,7112866.0,821637547.0,814524681.0
2,112013054.0,4877.0,228118682.0,14155320.0,9413724.0,7583566.0,77.0,81496.0,2654593.0,259271292.0,256616699.0
3,112013753.0,12841.0,540466480.0,72424101.0,70602026.0,58475958.0,197.0,422389.0,13758599.0,741968565.0,728209966.0
4,112015203.0,7399.0,347021131.0,26417869.0,50793191.0,12105729.0,97.0,98068.0,3194397.0,436337920.0,433143523.0
5,112018523.0,6140.0,241920548.0,20428692.0,13917763.0,9337261.0,56.0,56335.0,1835016.0,285604264.0,283769248.0
6,103020603.0,6244.0,252158373.0,20926753.0,23140681.0,19263817.0,47.0,68454.0,2229772.0,315489624.0,313259852.0
7,103020753.0,6047.0,532139634.0,70055836.0,35450077.0,33686325.0,94.0,942781.0,30709479.0,671331872.0,640622393.0
8,103021102.0,18842.0,903565315.0,57214577.0,41389053.0,45764183.0,100.0,208935.0,6805700.0,1047933128.0,1041127428.0
9,103021252.0,17277.0,974535517.0,90956267.0,61066483.0,64320299.0,145.0,192379.0,6266417.0,1190878566.0,1184612149.0
10,103021453.0,5165.0,215436995.0,9069131.0,3418622.0,4630643.0,21.0,19095.0,621987.0,232555391.0,231933404.0
11,103021603.0,7612.0,356628971.0,39815708.0,30737608.0,12917531.0,57.0,187882.0,6119935.0,440099818.0,433979883.0
12,103021752.0,15971.0,892908340.0,119408954.0,103888892.0,95004804.0,185.0,483412.0,15746319.0,1211210990.0,1195464671.0
13,103021903.0,2836.0,80974512.0,4353984.0,1766839.0,2354683.0,8.0,67553.0,2200423.0,89450018.0,87249595.0
14,103022103.0,3246.0,125360091.0,5085781.0,3662230.0,2658183.0,19.0,23650.0,770358.0,136766285.0,135995927.0
15,103022253.0,7315.0,357871008.0,25062047.0,19132511.0,17424045.0,34.0,56730.0,1847883.0,419489611.0,417641728.0
