,aun,records,compensation,netprofits,miscellaneousincome,dividends&interest,outofstatetaxrecords,outofstatetaxcredit,outofstateincome(calculated),totalpersonalincome,adjustedpersonalincome
0,112011103.0,6956.0,293410710.0,29586053.0,14017273.0,7748553.0,58.0,54053.0,1760684.0,344762589.0,343001905.0
1,112011603.0,14216.0,574074366.0,72007090.0,19725435.0,17980072.0,107.0,338456.0,11024625.0,683786963.0,672762338.0
2,112013054.0,4235.0,192438981.0,10348333.0,9546636.0,8964646.0,55.0,55508.0,1808078.0,221298596.0,219490518.0
3,112013753.0,12632.0,502804894.0,171749965.0,71141849.0,45726271.0,192.0,1025055.0,33389414.0,791422979.0,758033565.0
4,112015203.0,7171.0,318928661.0,27027063.0,24107459.0,8139538.0,81.0,81754.0,2662997.0,378202721.0,375539724.0
5,112018523.0,5960.0,224304116.0,18055405.0,7549510.0,7092793.0,55.0,48380.0,1575896.0,257001824.0,255425928.0
6,103020603.0,5924.0,223852972.0,18958396.0,15487033.0,13476733.0,57.0,83486.0,2719414.0,271775134.0,269055720.0
7,103020753.0,5683.0,443069623.0,53335037.0,30078742.0,20643426.0,94.0,390148.0,12708404.0,547126828.0,534418424.0
8,103021102.0,19160.0,868152675.0,46778936.0,25599228.0,31227381.0,92.0,173715.0,5658469.0,971758220.0,966099751.0
9,103021252.0,16609.0,884887621.0,72318324.0,33198080.0,38396444.0,141.0,175516.0,5717134.0,1028800469.0,1023083335.0
10,103021453.0,4987.0,198807768.0,7072989.0,2347410.0,2932183.0,14.0,12683.0,413127.0,211160350.0,210747223.0
11,103021603.0,7294.0,321464461.0,25106698.0,11455978.0,8536348.0,62.0,70407.0,2293388.0,366563485.0,364270097.0
12,103021752.0,15703.0,953117137.0,88821030.0,68219964.0,61494439.0,170.0,1166015.0,37980945.0,1171652570.0,1133671625.0
13,103021903.0,2655.0,69550560.0,2014289.0,1451333.0,1326625.0,7.0,3564.0,116091.0,74342807.0,74226716.0
14,103022103.0,3139.0,111123241.0,4167042.0,2240841.0,1864486.0,11.0,19800.0,644951.0,119395610.0,118750659.0
15,103022253.0,7252.0,335894999.0,22994670.0,12227958.0,10394415.0,41.0,34572.0,1126124.0,381512042.0,380385918.0
16,103022503.0,2130.0,51591659.0,1425516.0,647607.0,918633.0,5.0,44629.0,1453713.0,54583415.0,53129702.0
17,103022803.0,6682.0,222145126.0,8859544.0,4044944.0,4003767.0,14.0,11703.0,381205.0,239053381.0,238672176.0
18,103023153.0,8934.0,380863903.0,25780657.0,21037075.0,11101632.0,46.0,221407.0,7211954.0,438783267.0,431571313.0
19,103023912.0,13718.0,1228624947.0,304931121.0,196680926.0,169106338.0,433.0,1368902.0,44589642.0,1899343332.0,1854753690.0
20,103024102.0,15249.0,677066673.0,48233900.0,25501053.0,27815240.0,110.0,98579.0,3211042.0,778616866.0,775405824.0
21,103024603.0,9184.0,670558526.0,106770863.0,41704785.0,42448334.0,162.0,408611.0,13309805.0,861482508.0,848172703.0
22,103024753.0,9814.0,353883440.0,23017046.0,10725071.0,11525131.0,44.0,49547.0,1613909.0,399150688.0,397536779.0
23,103025002.0,11062.0,501158403.0,48571642.0,24312962.0,15923969.0,86.0,539984.0,17589055.0,589966976.0,572377921.0
24,103026002.0,13057.0,394770722.0,18015445.0,9171352.0,10406952.0,22.0,40295.0,1312541.0,432364471.0,431051930.0
25,103026303.0,13886.0,804221877.0,68286352.0,27444138.0,26049709.0,110.0,152289.0,4960554.0,926002076.0,921041522.0
26,103026343.0,13150.0,859139665.0,83006599.0,36924250.0,30392053.0,148.0,223434.0,7277980.0,1009462567.0,1002184587.0
27,103026402.0,16570.0,1281748932.0,233664620.0,105555372.0,101324000.0,435.0,1123696.0,36602476.0,1722292924.0,1685690448.0
28,103026852.0,25027.0,2181212990.0,319825346.0,286630946.0,124961491.0,560.0,1543417.0,50274169.0,2912630773.0,2862356604.0
29,103026902.0,20324.0,1050296331.0,66718713.0,31433211.0,35502566.0,147.0,204057.0,6646808.0,1183950821.0,1177304013.0
30,103026873.0,6905.0,264509742.0,14305117.0,5893076.0,4410960.0,28.0,38888.0,1266710.0,289118895.0,287852185.0
31,103027352.0,18786.0,676679479.0,28156347.0,38856168.0,16467134.0,64.0,38416.0,1251336.0,760159128.0,758907792.0
32,103021003.0,11307.0,1177379125.0,159415312.0,78403664.0,56847277.0,283.0,1100887.0,35859511.0,1472045378.0,1436185867.0
33,102027451.0,131464.0,6094496261.0,622099780.0,719769035.0,357741712.0,1637.0,3197682.0,104159023.0,7794106788.0,7689947765.0
34,103027503.0,13182.0,665342049.0,50468686.0,24118798.0,25039128.0,73.0,98148.0,3197003.0,764968661.0,761771658.0
35,103027753.0,6615.0,685865768.0,157991663.0,205121671.0,114348779.0,238.0,942278.0,30693094.0,1163327881.0,1132634787.0
36,103028203.0,4507.0,244851180.0,20746309.0,14597759.0,16476897.0,53.0,105046.0,3421694.0,296672145.0,293250451.0
37,103028302.0,20037.0,922887702.0,55064919.0,27232214.0,29078647.0,114.0,92098.0,2999935.0,1034263482.0,1031263547.0
38,103028653.0,5196.0,179552735.0,5235536.0,5143285.0,3415190.0,12.0,3209.0,104528.0,193346746.0,193242218.0
39,103028703.0,7365.0,557289372.0,47399239.0,21557979.0,14987244.0,100.0,154880.0,5044951.0,641233834.0,636188883.0
40,103028753.0,6837.0,356609791.0,19737625.0,9276994.0,8245864.0,40.0,43909.0,1430261.0,393870274.0,392440013.0
41,103028833.0,7409.0,268716470.0,11600159.0,4225352.0,5965895.0,26.0,15457.0,503485.0,290507876.0,290004391.0
42,103028853.0,5329.0,140381642.0,6757671.0,2205933.0,2075960.0,9.0,7691.0,250521.0,151421206.0,151170685.0
43,103029203.0,9289.0,902997331.0,215691281.0,224797644.0,83356877.0,299.0,1030882.0,33579218.0,1426843133.0,1393263915.0
44,103029403.0,10926.0,642610621.0,41894049.0,16496117.0,11952161.0,99.0,189529.0,6173583.0,712952948.0,706779365.0
45,103029553.0,9685.0,565759024.0,53764487.0,33113914.0,22064967.0,85.0,209516.0,6824625.0,674702392.0,667877767.0
46,103029603.0,10336.0,384903555.0,13079491.0,6618188.0,8505826.0,39.0,28463.0,927134.0,413107060.0,412179926.0
47,103029803.0,6575.0,216955441.0,16263440.0,8278269.0,6554270.0,51.0,72796.0,2371205.0,248051420.0,245680215.0
48,103029902.0,20988.0,849480953.0,72505097.0,40132994.0,37254475.0,154.0,156299.0,5091173.0,999373519.0,994282346.0
49,128030603.0,4318.0,152519642.0,8296236.0,5280503.0,3673234.0,25.0,37581.0,1224137.0,169769615.0,168545478.0
50,128030852.0,18685.0,668989755.0,51637107.0,32466709.0,25803009.0,89.0,107787.0,3510977.0,778896580.0,775385603.0
51,128033053.0,5742.0,297263572.0,31208985.0,26420641.0,8612926.0,38.0,73305.0,2387785.0,363506124.0,361118339.0
