,aun,marketvalue,personalincome,wadm,mvperwadm,market_value_aid_ratio,piperwadm,personal_income_aid_ratio,mvpi
128,108112003.0,"$94,055,236","$70,696,330",750.701,"$125,289",0.8623,"$94,173",0.7695,0.8251
129,108112203.0,"$544,713,978","$289,092,504","2,089.109","$260,739",0.7133,"$138,380",0.6612,0.6923
130,108112502.0,"$682,346,696","$286,560,525","3,464.501","$196,953",0.7835,"$82,713",0.7975,0.7891
131,108114503.0,"$234,180,234","$152,907,338","1,228.375","$190,642",0.7904,"$124,479",0.6953,0.7523
132,108116003.0,"$546,041,089","$283,460,310","1,927.579","$283,278",0.6885,"$147,055",0.64,0.6691
133,108116303.0,"$202,099,652","$116,608,867","1,013.298","$199,447",0.7807,"$115,078",0.7183,0.7557
134,108116503.0,"$1,003,281,296","$368,848,048","1,819.465","$551,415",0.3937,"$202,723",0.5037,0.4376
135,108118503.0,"$559,545,531","$384,981,146","1,828.584","$305,999",0.6636,"$210,535",0.4846,0.5919
136,109122703.0,"$197,252,813","$78,251,043",638.220,"$309,067",0.6602,"$122,608",0.6998,0.676
137,121135003.0,"$1,495,947,651","$349,635,290","2,672.607","$559,733",0.3845,"$130,821",0.6797,0.5025
138,121135503.0,"$954,011,586","$407,219,727","2,884.441","$330,744",0.6363,"$141,178",0.6544,0.6434
139,121136503.0,"$785,209,746","$358,652,137","2,206.735","$355,824",0.6088,"$162,526",0.6021,0.606
140,121136603.0,"$339,535,154","$206,876,325","2,174.542","$156,140",0.8284,"$95,135",0.7671,0.8038
141,121139004.0,"$321,297,004","$107,109,584",781.373,"$411,195",0.5479,"$137,078",0.6644,0.5944
142,110141003.0,"$700,723,526","$296,842,348","1,860.982","$376,534",0.586,"$159,508",0.6095,0.5954
143,110141103.0,"$1,570,515,430","$637,299,964","3,327.732","$471,947",0.4811,"$191,511",0.5311,0.501
144,110147003.0,"$881,295,683","$299,158,128","1,763.433","$499,761",0.4505,"$169,645",0.5847,0.5041
145,110148002.0,"$7,493,880,003","$2,430,828,437","8,379.107","$894,353",0.1,"$290,105",0.2897,0.1758
146,124150503.0,"$2,822,012,783","$1,031,332,901","6,863.669","$411,152",0.5479,"$150,259",0.6321,0.5815
147,124151902.0,"$4,440,906,403","$1,788,898,128","10,273.279","$432,277",0.5247,"$174,131",0.5737,0.5442
148,124152003.0,"$8,730,821,292","$4,107,300,895","15,828.057","$551,604",0.3935,"$259,494",0.3647,0.3819
149,124153503.0,"$6,557,281,997","$2,535,841,652","5,310.251","$1,234,834",0.1,"$477,537",0.1,0.15
150,124154003.0,"$3,138,030,453","$1,050,640,465","5,125.248","$612,268",0.3268,"$204,993",0.4981,0.3952
151,124156503.0,"$1,365,302,547","$616,267,692","2,871.481","$475,469",0.4772,"$214,616",0.4746,0.4761
152,124156603.0,"$3,587,372,629","$1,870,887,308","6,531.652","$549,228",0.3961,"$286,434",0.2987,0.357
153,124156703.0,"$1,780,366,184","$636,657,016","4,895.531","$363,671",0.6001,"$130,048",0.6816,0.6326
154,124157203.0,"$3,413,214,183","$1,803,108,764","5,211.003","$655,001",0.2798,"$346,019",0.1528,0.2289
155,124157802.0,"$9,058,087,615","$3,997,578,392","8,413.547","$1,076,607",0.1,"$475,135",0.1,0.15
156,124158503.0,"$3,878,553,865","$1,749,351,698","4,642.032","$835,529",0.1,"$376,850",0.1,0.15
157,124159002.0,"$14,366,083,784","$5,616,886,135","14,901.815","$964,049",0.1,"$376,926",0.1,0.15
158,106160303.0,"$297,855,454","$116,656,013",764.600,"$389,557",0.5717,"$152,571",0.6265,0.5936
159,106161203.0,"$380,968,231","$158,097,506",896.108,"$425,136",0.5325,"$176,426",0.5681,0.5467
160,106161703.0,"$311,288,465","$135,571,234",976.655,"$318,729",0.6496,"$138,811",0.6602,0.6537
161,106166503.0,"$299,595,723","$153,519,238","1,124.677","$266,383",0.7071,"$136,500",0.6658,0.6905
162,106167504.0,"$263,943,816","$105,160,266",699.048,"$377,576",0.5848,"$150,433",0.6317,0.6034
163,106168003.0,"$313,510,126","$159,637,907","1,333.036","$235,185",0.7414,"$119,755",0.7068,0.7275
164,106169003.0,"$115,212,703","$68,858,671",692.628,"$166,341",0.8171,"$99,416",0.7566,0.7928
165,110171003.0,"$881,254,225","$363,914,666","2,580.693","$341,479",0.6245,"$141,014",0.6548,0.6366
166,110171803.0,"$282,352,266","$146,829,492","1,235.054","$228,615",0.7487,"$118,885",0.709,0.7328
167,106172003.0,"$1,566,450,700","$696,408,459","4,315.306","$362,998",0.6009,"$161,381",0.6049,0.6024
168,110173003.0,"$187,629,664","$95,089,240",873.319,"$214,846",0.7638,"$108,882",0.7335,0.7516
169,110173504.0,"$91,229,537","$39,202,863",298.860,"$305,258",0.6644,"$131,174",0.6789,0.6701
170,110175003.0,"$237,500,313","$127,616,324","1,018.106","$233,276",0.7435,"$125,346",0.6931,0.7233
171,110177003.0,"$570,176,378","$283,865,941","2,000.411","$285,029",0.6866,"$141,903",0.6526,0.6729
172,110179003.0,"$294,792,861","$149,169,081","1,144.462","$257,582",0.7168,"$130,339",0.6809,0.7023
173,110183602.0,"$1,980,975,106","$743,889,050","4,983.489","$397,507",0.5629,"$149,270",0.6346,0.5915
174,116191004.0,"$368,241,404","$124,177,168",837.679,"$439,597",0.5166,"$148,239",0.6371,0.5647
175,116191103.0,"$1,241,919,442","$463,417,931","3,512.910","$353,530",0.6113,"$131,918",0.6771,0.6375
176,116191203.0,"$1,014,806,102","$334,845,062","1,978.656","$512,876",0.4361,"$169,228",0.5857,0.4958
177,116191503.0,"$1,103,069,143","$425,591,125","2,315.269","$476,432",0.4761,"$183,819",0.55,0.5056
178,116195004.0,"$356,097,240","$119,247,737",823.812,"$432,255",0.5247,"$144,751",0.6456,0.573
179,116197503.0,"$706,539,262","$288,010,807","1,584.862","$445,804",0.5098,"$181,726",0.5551,0.5278
180,105201033.0,"$962,636,517","$321,322,944","2,317.276","$415,417",0.5432,"$138,664",0.6605,0.5901
181,105201352.0,"$1,245,566,947","$633,948,172","4,222.868","$294,957",0.6757,"$150,122",0.6325,0.6584
182,105204703.0,"$986,475,993","$479,050,116","3,225.084","$305,876",0.6637,"$148,538",0.6364,0.6527
183,115210503.0,"$1,511,387,582","$538,018,932","3,063.730","$493,316",0.4576,"$175,609",0.5701,0.5025
184,115211003.0,"$711,040,334","$452,411,623","1,542.950","$460,831",0.4933,"$293,212",0.2821,0.4087
185,115211103.0,"$2,859,637,206","$975,890,227","6,223.471","$459,492",0.4948,"$156,808",0.6161,0.5432
186,115211603.0,"$7,068,431,710","$2,678,560,205","11,032.788","$640,675",0.2955,"$242,781",0.4056,0.3395
187,115212503.0,"$1,604,777,623","$592,678,556","3,205.768","$500,590",0.4496,"$184,878",0.5474,0.4886
188,115216503.0,"$2,501,923,922","$1,105,669,888","5,285.103","$473,391",0.4795,"$209,204",0.4878,0.4828
189,115218003.0,"$1,800,237,849","$631,117,207","4,213.588","$427,245",0.5302,"$149,781",0.6333,0.5714
190,115218303.0,"$1,674,116,853","$488,598,636","2,560.223","$653,894",0.281,"$190,842",0.5328,0.3817
191,115221402.0,"$7,638,225,287","$2,941,828,070","15,081.456","$506,464",0.4431,"$195,062",0.5224,0.4747
192,115221753.0,"$2,799,266,916","$1,200,852,024","4,279.881","$654,052",0.2808,"$280,580",0.3131,0.2936
193,115222504.0,"$458,618,183","$202,389,041","1,185.807","$386,756",0.5748,"$170,676",0.5822,0.5776
194,115222752.0,"$2,087,946,736","$874,814,647","9,013.802","$231,638",0.7453,"$97,052",0.7624,0.752
195,115224003.0,"$2,153,647,260","$926,066,695","4,530.599","$475,355",0.4773,"$204,402",0.4996,0.4861
196,115226003.0,"$1,373,589,744","$434,351,808","3,077.532","$446,328",0.5092,"$141,136",0.6545,0.5673
197,115226103.0,"$329,823,615","$165,236,267",933.287,"$353,399",0.6114,"$177,047",0.5666,0.5934
