,aun,marketvalue,personalincome,wadm,mvperwadm,market_value_aid_ratio,piperwadm,personal_income_aid_ratio,mvpi
0,112011103,"$730,431,393","$308,725,361",2440.054,"$299,350",0.6198,"$126,523",0.6029,0.6129
1,112011603,"$1,622,342,750","$582,786,011",4733.458,"$342,739",0.5647,"$123,120",0.6135,0.5842
2,112013054,"$636,501,107","$194,706,971",1416.709,"$449,281",0.4294,"$137,436",0.5686,0.485
3,112013753,"$2,146,636,817","$592,962,052",3571.64,"$601,022",0.2366,"$166,019",0.4789,0.3334
4,112015203,"$943,085,461","$337,021,760",2526.966,"$373,208",0.526,"$133,370",0.5814,0.5481
5,112018523,"$628,937,518","$224,811,144",2017.864,"$311,684",0.6042,"$111,410",0.6503,0.6226
6,103020603,"$569,701,581","$251,575,039",1209.857,"$470,883",0.4019,"$207,937",0.3473,0.38
7,103020753,"$749,716,702","$503,468,353",1817.414,"$412,518",0.4761,"$277,024",0.1304,0.3377
8,103021102,"$1,348,677,149","$855,705,497",4993.465,"$270,088",0.657,"$171,365",0.4621,0.579
9,103021252,"$1,954,383,525","$1,006,782,371",5399.509,"$361,955",0.5403,"$186,458",0.4147,0.4899
10,103021453,"$278,660,752","$190,616,172",1469.128,"$189,677",0.7591,"$129,747",0.5927,0.6924
11,103021603,"$529,063,603","$339,950,140",1734.242,"$305,069",0.6126,"$196,022",0.3847,0.5213
12,103021752,"$1,662,383,080","$1,073,137,830",4121.032,"$403,389",0.4877,"$260,405",0.1826,0.3656
13,103021903,"$94,800,375","$83,072,492",1060.454,"$89,396",0.8865,"$78,336",0.7541,0.8335
14,103022103,"$273,779,653","$117,866,730",805.985,"$339,683",0.5686,"$146,239",0.541,0.5575
15,103022253,"$891,852,282","$353,761,669",2323.683,"$383,809",0.5125,"$152,241",0.5221,0.5163
16,103022503,"$69,673,605","$45,401,898",895.801,"$77,777",0.9013,"$50,683",0.8409,0.877
17,103022803,"$439,715,570","$227,762,171",2203.806,"$199,525",0.7466,"$103,349",0.6756,0.7181
18,103023153,"$630,364,886","$399,536,608",2901.317,"$217,268",0.7241,"$137,708",0.5677,0.6614
19,103023912,"$2,775,440,142","$2,112,739,982",5142.462,"$539,710",0.3145,"$410,842",0.1,0.2287
20,103024102,"$1,999,878,364","$757,651,460",4551.938,"$439,346",0.442,"$166,445",0.4775,0.4562
21,103024603,"$1,303,997,120","$843,287,623",3660.075,"$356,276",0.5475,"$230,401",0.2767,0.4391
22,103024753,"$580,939,900","$388,532,663",3061.843,"$189,735",0.7591,"$126,895",0.6017,0.696
23,103025002,"$1,011,338,829","$524,960,358",2363.754,"$427,852",0.4566,"$222,087",0.3028,0.395
24,103026002,"$657,056,100","$417,841,545",4646.484,"$141,409",0.8204,"$89,926",0.7177,0.7792
25,103026303,"$2,139,345,778","$839,063,280",3529.234,"$606,178",0.2301,"$237,746",0.2537,0.2394
26,103026343,"$1,836,917,092","$965,691,867",4518.801,"$406,505",0.4837,"$213,705",0.3292,0.4218
27,103026402,"$2,227,695,480","$1,631,070,053",6056.901,"$367,794",0.5329,"$269,291",0.1547,0.3815
28,103026852,"$4,153,688,721","$2,555,695,636",9549.764,"$434,951",0.4476,"$267,618",0.1599,0.3324
29,103026902,"$2,193,558,934","$1,037,093,640",5079.185,"$431,872",0.4515,"$204,185",0.359,0.4145
30,103026873,"$352,372,790","$249,752,521",1458.505,"$241,598",0.6932,"$171,238",0.4625,0.6009
31,103027352,"$1,259,153,807","$758,811,970",5549.716,"$226,886",0.7119,"$136,729",0.5708,0.6554
32,103021003,"$1,925,623,850","$1,323,873,156",5423.378,"$355,059",0.5491,"$244,104",0.2337,0.4228
