,aun,marketvalue,personalincome,wadm,mvperwadm,market_value_aid_ratio,piperwadm,personal_income_aid_ratio,mvpi
0,112011103.0,"$841,942,472","$450,869,549","2,268.017","$371,224",0.6181,"$198,794",0.5755,0.601
1,112011603.0,"$1,813,008,246","$854,891,109","4,699.005","$385,828",0.6031,"$181,930",0.6116,0.6064
2,112013054.0,"$675,657,323","$281,043,098","1,206.093","$560,203",0.4236,"$233,019",0.5025,0.4551
3,112013753.0,"$2,265,894,089","$866,026,347","3,700.536","$612,315",0.37,"$234,027",0.5003,0.4221
4,112015203.0,"$1,038,511,448","$458,293,174","2,446.996","$424,402",0.5634,"$187,288",0.6001,0.578
5,112018523.0,"$666,599,066","$325,364,466","2,052.447","$324,782",0.6659,"$158,525",0.6615,0.6641
6,103020603.0,"$706,289,339","$354,178,339","1,069.764","$660,229",0.3207,"$331,080",0.2931,0.3096
7,103020753.0,"$1,205,183,957","$709,802,013","2,168.295","$555,821",0.4282,"$327,354",0.301,0.3773
8,103021102.0,"$1,917,006,724","$1,130,280,327","5,354.743","$358,001",0.6317,"$211,080",0.5493,0.5987
9,103021252.0,"$2,489,055,344","$1,301,912,475","4,638.892","$536,562",0.448,"$280,651",0.4007,0.429
10,103021453.0,"$374,229,152","$267,377,212","1,400.071","$267,292",0.725,"$190,974",0.5922,0.6718
11,103021603.0,"$701,101,181","$436,944,681","1,609.436","$435,619",0.5518,"$271,489",0.4203,0.4991
12,103021752.0,"$2,251,387,499","$1,386,645,424","3,932.061","$572,571",0.4109,"$352,651",0.247,0.3453
13,103021903.0,"$133,799,086","$86,678,184","1,129.444","$118,464",0.8782,"$76,744",0.8362,0.8613
14,103022103.0,"$365,236,295","$156,604,622",669.580,"$545,470",0.4388,"$233,884",0.5006,0.4634
15,103022253.0,"$961,101,612","$460,039,057","2,192.796","$438,299",0.5491,"$209,795",0.5521,0.5502
16,103022503.0,"$92,150,058","$56,601,996","1,076.472","$85,603",0.912,"$52,581",0.8878,0.9023
17,103022803.0,"$505,708,493","$294,022,579","1,963.857","$257,507",0.7351,"$149,716",0.6803,0.7131
18,103023153.0,"$824,134,696","$558,680,519","2,789.427","$295,449",0.6961,"$200,285",0.5724,0.6465
19,103023912.0,"$3,451,853,360","$2,590,605,293","4,922.119","$701,294",0.2785,"$526,319",0.1,0.2071
20,103024102.0,"$2,238,022,985","$894,866,458","4,275.784","$523,418",0.4615,"$209,287",0.5531,0.4981
21,103024603.0,"$1,760,082,000","$1,169,818,742","3,163.781","$556,322",0.4276,"$369,753",0.2105,0.3407
22,103024753.0,"$762,465,156","$434,095,356","2,696.412","$282,770",0.7091,"$160,989",0.6563,0.6879
23,103025002.0,"$1,324,283,858","$714,888,168","2,248.943","$588,847",0.3942,"$317,877",0.3213,0.365
24,103026002.0,"$796,443,737","$474,637,915","4,445.712","$179,148",0.8157,"$106,763",0.7721,0.7982
25,103026303.0,"$2,770,874,553","$1,208,378,792","3,647.673","$759,628",0.2184,"$331,273",0.2927,0.248
26,103026343.0,"$2,465,516,433","$1,258,587,579","4,747.208","$519,361",0.4657,"$265,121",0.4339,0.4529
27,103026402.0,"$2,827,473,143","$2,191,228,103","6,236.120","$453,402",0.5335,"$351,376",0.2497,0.4199
28,103026852.0,"$6,184,560,877","$3,710,298,659","9,854.133","$627,610",0.3543,"$376,522",0.196,0.2909
29,103026902.0,"$2,877,228,333","$1,559,711,944","5,426.091","$530,258",0.4545,"$287,446",0.3862,0.4271
30,103026873.0,"$472,044,499","$360,491,703","1,289.736","$366,000",0.6235,"$279,508",0.4032,0.5353
31,103027352.0,"$1,524,247,674","$886,295,525","4,730.006","$322,250",0.6685,"$187,377",0.5999,0.641
32,103021003.0,"$3,163,567,019","$2,182,966,506","5,246.380","$602,999",0.3796,"$416,090",0.1115,0.2723
33,102027451.0,"$20,782,732,268","$9,757,478,956","28,111.190","$739,304",0.2394,"$347,103",0.2588,0.2471
34,103027503.0,"$1,547,257,668","$920,495,470","4,214.913","$367,091",0.6223,"$218,390",0.5337,0.5867
35,103027753.0,"$1,954,857,846","$2,155,585,348","2,208.218","$885,264",0.1,"$976,165",0.1,0.15
36,103028203.0,"$688,665,325","$374,201,868","1,129.662","$609,620",0.3728,"$331,251",0.2927,0.3406
37,103028302.0,"$2,193,882,497","$1,274,408,654","4,812.149","$455,904",0.531,"$264,831",0.4345,0.4924
38,103028653.0,"$323,321,862","$219,561,227","1,846.342","$175,114",0.8199,"$118,916",0.7461,0.7903
39,103028703.0,"$1,486,954,968","$929,928,124","3,994.209","$372,277",0.617,"$232,819",0.5029,0.5713
40,103028753.0,"$790,207,694","$474,729,162","2,165.475","$364,911",0.6246,"$219,226",0.5319,0.5874
41,103028833.0,"$679,730,007","$328,852,654","1,920.620","$353,911",0.6359,"$171,222",0.6344,0.6352
42,103028853.0,"$317,841,734","$174,868,254","2,100.710","$151,302",0.8444,"$83,242",0.8223,0.8355
43,103029203.0,"$2,256,172,509","$1,647,653,305","4,532.961","$497,725",0.4879,"$363,482",0.2239,0.3822
44,103029403.0,"$2,560,187,278","$987,856,153","3,956.754","$647,042",0.3343,"$249,663",0.4669,0.3872
45,103029553.0,"$1,520,054,517","$854,174,660","3,921.568","$387,613",0.6012,"$217,814",0.5349,0.5746
46,103029603.0,"$939,870,271","$463,989,505","2,827.207","$332,437",0.658,"$164,115",0.6496,0.6546
47,103029803.0,"$428,703,631","$315,384,365","1,310.416","$327,150",0.6634,"$240,674",0.4861,0.5924
48,103029902.0,"$1,905,313,496","$1,257,319,826","5,194.207","$366,815",0.6226,"$242,061",0.4832,0.5667
49,128030603.0,"$317,139,698","$193,494,663","1,412.941","$224,453",0.7691,"$136,944",0.7076,0.7444
50,128030852.0,"$1,736,731,598","$997,748,804","6,149.166","$282,433",0.7094,"$162,257",0.6536,0.687
51,128033053.0,"$902,195,776","$444,274,227","2,263.198","$398,637",0.5899,"$196,303",0.5809,0.5862
52,128034503.0,"$215,869,287","$131,444,919",836.083,"$258,191",0.7344,"$157,215",0.6643,0.7063
53,127040503.0,"$268,583,309","$142,882,261","1,460.645","$183,879",0.8109,"$97,821",0.7912,0.8029
54,127040703.0,"$1,133,236,794","$618,214,759","3,106.506","$364,794",0.6247,"$199,006",0.5751,0.6048
55,127041203.0,"$1,023,408,057","$559,862,914","2,452.156","$417,350",0.5706,"$228,314",0.5125,0.5473
56,127041503.0,"$373,890,039","$217,238,224","2,099.262","$178,105",0.8168,"$103,483",0.7791,0.8016
57,127041603.0,"$1,115,692,456","$575,699,044","2,861.850","$389,850",0.5989,"$201,163",0.5705,0.5875
58,127042003.0,"$1,346,176,331","$573,810,991","2,751.021","$489,336",0.4966,"$208,581",0.5546,0.5197
59,127042853.0,"$626,212,098","$294,750,536","1,563.110","$400,619",0.5878,"$188,566",0.5974,0.5915
60,127044103.0,"$1,010,109,657","$559,691,347","2,529.463","$399,337",0.5892,"$221,268",0.5276,0.5645
61,127045303.0,"$69,986,027","$41,873,720",410.751,"$170,385",0.8247,"$101,944",0.7824,0.8077
62,127045653.0,"$356,590,408","$205,756,940","1,637.091","$217,819",0.7759,"$125,684",0.7317,0.7581
63,127045853.0,"$624,368,588","$308,018,714","1,684.812","$370,586",0.6187,"$182,820",0.6097,0.615
64,127046903.0,"$223,802,366","$136,191,688",942.398,"$237,481",0.7557,"$144,516",0.6915,0.73
65,127047404.0,"$571,979,318","$205,171,917","1,217.326","$469,865",0.5166,"$168,543",0.6401,0.5659
66,127049303.0,"$272,647,495","$138,768,425",846.893,"$321,938",0.6688,"$163,855",0.6502,0.6612
67,108051003.0,"$1,206,541,033","$412,737,129","2,230.095","$541,026",0.4434,"$185,076",0.6048,0.5079
68,108051503.0,"$655,420,164","$229,359,834","1,513.996","$432,907",0.5546,"$151,493",0.6766,0.6033
69,108053003.0,"$612,872,527","$203,397,312","1,422.749","$430,766",0.5568,"$142,960",0.6948,0.6119
70,108056004.0,"$400,364,605","$154,505,499","1,018.391","$393,134",0.5955,"$151,715",0.6761,0.6277
71,108058003.0,"$396,797,560","$134,522,258","1,123.580","$353,154",0.6367,"$119,726",0.7444,0.6797
72,114060503.0,"$342,131,879","$214,414,908","1,370.466","$249,646",0.7432,"$156,454",0.666,0.7123
73,114060753.0,"$4,081,117,991","$2,069,495,402","8,031.311","$508,150",0.4772,"$257,678",0.4498,0.4662
74,114060853.0,"$901,223,549","$422,557,385","1,598.174","$563,908",0.4198,"$264,400",0.4355,0.426
75,114061103.0,"$1,414,324,513","$622,739,577","2,948.114","$479,738",0.5064,"$211,233",0.549,0.5234
76,114061503.0,"$1,563,048,205","$806,379,286","3,790.386","$412,371",0.5758,"$212,743",0.5458,0.5637
77,114062003.0,"$1,865,262,141","$939,561,476","4,700.391","$396,831",0.5917,"$199,890",0.5732,0.5842
78,114062503.0,"$1,209,771,463","$618,853,333","2,791.339","$433,401",0.5541,"$221,704",0.5266,0.543
79,114063003.0,"$2,142,987,307","$1,204,053,059","5,043.691","$424,884",0.5629,"$238,724",0.4903,0.5338
80,114063503.0,"$1,612,319,049","$531,962,814","2,543.718","$633,843",0.3479,"$209,128",0.5535,0.4301
81,114064003.0,"$1,103,344,439","$445,582,882","1,696.296","$650,443",0.3308,"$262,679",0.4391,0.374
82,114065503.0,"$1,705,615,370","$684,206,183","4,993.975","$341,534",0.6486,"$137,006",0.7075,0.6721
83,114066503.0,"$1,080,492,952","$484,967,859","1,783.682","$605,765",0.3768,"$271,891",0.4195,0.3938
84,114067002.0,"$1,759,835,931","$1,149,291,223","21,543.874","$81,686",0.916,"$53,346",0.8861,0.904
85,114067503.0,"$1,392,631,114","$638,998,976","2,448.835","$568,691",0.4149,"$260,939",0.4428,0.426
86,114068003.0,"$1,361,387,039","$422,878,079","1,626.884","$836,806",0.139,"$259,931",0.445,0.2614
87,114068103.0,"$2,155,602,725","$937,685,614","3,834.832","$562,111",0.4217,"$244,518",0.4779,0.4441
88,114069103.0,"$3,842,174,452","$1,653,994,665","7,564.492","$507,922",0.4774,"$218,652",0.5331,0.4996
89,114069353.0,"$1,184,663,604","$844,899,994","2,152.087","$550,471",0.4337,"$392,595",0.1617,0.3248
90,108070502.0,"$2,561,011,674","$1,196,525,971","8,791.647","$291,300",0.7003,"$136,098",0.7094,0.7038
91,108071003.0,"$488,332,000","$234,835,743","1,424.605","$342,784",0.6474,"$164,842",0.648,0.6476
92,108071504.0,"$270,512,969","$120,594,473",934.804,"$289,379",0.7023,"$129,005",0.7246,0.7111
93,108073503.0,"$1,907,376,576","$1,052,782,699","3,855.267","$494,745",0.491,"$273,076",0.4169,0.4613
94,108077503.0,"$830,063,468","$322,618,208","2,049.077","$405,091",0.5832,"$157,445",0.6638,0.6154
95,108078003.0,"$744,708,470","$302,244,409","2,094.776","$355,507",0.6343,"$144,284",0.6919,0.6572
96,108079004.0,"$154,956,515","$71,970,041",620.905,"$249,565",0.7433,"$115,911",0.7525,0.7469
97,117080503.0,"$768,998,080","$308,234,160","2,461.509","$312,409",0.6786,"$125,221",0.7327,0.7001
98,117081003.0,"$312,859,092","$122,948,544","1,008.111","$310,341",0.6807,"$121,959",0.7396,0.7042
99,117083004.0,"$320,672,573","$117,661,082",842.055,"$380,821",0.6082,"$139,730",0.7017,0.6455
100,117086003.0,"$378,155,003","$147,129,427","1,162.186","$325,382",0.6653,"$126,597",0.7297,0.6909
101,117086503.0,"$688,604,182","$229,378,831","1,799.557","$382,652",0.6063,"$127,464",0.7279,0.6548
102,117086653.0,"$620,601,038","$212,054,286","1,706.920","$363,579",0.626,"$124,232",0.7348,0.6695
103,117089003.0,"$565,555,292","$302,898,942","1,531.612","$369,254",0.6201,"$197,764",0.5777,0.603
104,122091002.0,"$5,645,526,342","$1,977,479,651","9,199.194","$613,697",0.3686,"$214,962",0.541,0.4375
105,122091303.0,"$609,245,152","$232,349,838","1,575.619","$386,670",0.6022,"$147,465",0.6852,0.6353
106,122091352.0,"$3,628,608,657","$1,373,042,875","8,291.046","$437,653",0.5497,"$165,605",0.6464,0.5883
107,122092002.0,"$4,870,738,438","$1,887,455,420","6,398.418","$761,241",0.2168,"$294,987",0.3701,0.278
108,122092102.0,"$16,997,383,053","$7,847,921,811","20,707.951","$820,814",0.1555,"$378,981",0.1908,0.1696
109,122092353.0,"$11,661,497,297","$6,940,706,195","12,307.694","$947,496",0.1,"$563,932",0.1,0.15
110,122097203.0,"$519,609,075","$348,601,165","1,123.752","$462,387",0.5243,"$310,211",0.3376,0.4495
111,122097502.0,"$7,263,677,331","$2,799,514,172","11,512.601","$630,932",0.3509,"$243,169",0.4808,0.4028
112,122097604.0,"$2,872,102,319","$1,531,635,691","1,577.508","$1,820,657",0.1,"$970,921",0.1,0.15
113,122098003.0,"$2,494,849,004","$789,605,026","1,737.618","$1,435,786",0.1,"$454,418",0.1,0.15
114,122098103.0,"$5,644,493,305","$2,423,889,817","7,990.164","$706,430",0.2732,"$303,359",0.3523,0.3048
115,122098202.0,"$8,469,028,092","$3,701,983,379","12,158.309","$696,562",0.2833,"$304,481",0.3499,0.3098
116,122098403.0,"$3,823,444,381","$1,346,218,778","5,908.242","$647,137",0.3342,"$227,854",0.5135,0.4059
117,104101252.0,"$3,583,535,624","$1,437,202,935","7,491.234","$478,363",0.5078,"$191,851",0.5904,0.5407
118,104103603.0,"$515,816,513","$223,792,918","1,607.252","$320,930",0.6698,"$139,239",0.7027,0.6828
119,104107803.0,"$1,539,956,796","$663,644,935","2,460.466","$625,880",0.3561,"$269,723",0.4241,0.3832
120,104105003.0,"$3,004,748,530","$1,631,635,644","4,034.019","$744,852",0.2337,"$404,469",0.1363,0.1947
121,104105353.0,"$560,529,312","$211,667,591","1,441.184","$388,936",0.5999,"$146,870",0.6864,0.6344
122,104107903.0,"$6,357,778,584","$2,806,825,384","8,555.877","$743,089",0.2355,"$328,058",0.2995,0.2611
123,104107503.0,"$1,261,754,250","$494,003,351","2,343.263","$538,460",0.446,"$210,818",0.5499,0.4875
124,108110603.0,"$147,497,748","$85,994,976",754.416,"$195,512",0.7989,"$113,988",0.7566,0.7819
125,108111203.0,"$391,341,536","$223,689,345","1,561.155","$250,674",0.7421,"$143,284",0.6941,0.7228
126,108111303.0,"$873,667,809","$362,487,316","1,911.928","$456,956",0.5299,"$189,592",0.5952,0.5559
127,108111403.0,"$195,712,282","$127,019,714",846.148,"$231,297",0.7621,"$150,115",0.6795,0.729
128,108112003.0,"$94,901,770","$71,763,521",759.270,"$124,990",0.8714,"$94,516",0.7982,0.842
129,108112203.0,"$553,025,560","$309,792,495","2,069.620","$267,211",0.7251,"$149,685",0.6804,0.7071
130,108112502.0,"$672,079,204","$305,303,417","3,542.775","$189,704",0.8049,"$86,176",0.816,0.8093
131,108114503.0,"$238,621,929","$160,088,635","1,118.420","$213,356",0.7805,"$143,138",0.6944,0.746
132,108116003.0,"$569,624,480","$311,938,882","1,890.450","$301,316",0.69,"$165,007",0.6477,0.673
