,aun,marketvalue,personalincome,wadm,mvperwadm,market_value_aid_ratio,piperwadm,personal_income_aid_ratio,mvpi
0,112011103,"$750,254,271","$289,319,082",2424.229,"$309,481",0.5936,"$119,344",0.6019,0.5968
1,112011603,"$1,611,144,631","$551,638,818",4719.528,"$341,378",0.5517,"$116,884",0.6102,0.575
2,112013054,"$648,496,454","$190,469,911",1439.047,"$450,642",0.4082,"$132,358",0.5585,0.4683
3,112013753,"$2,191,828,888","$574,779,450",3584.654,"$611,447",0.1971,"$160,344",0.4652,0.3042
4,112015203,"$956,665,470","$323,421,832",2562.647,"$373,311",0.5098,"$126,206",0.5791,0.5374
5,112018523,"$631,153,452","$219,982,778",2014.138,"$313,361",0.5885,"$109,219",0.6357,0.6073
6,102027451,"$13,453,306,398","$6,177,533,018",32860.233,"$409,409",0.4624,"$187,994",0.3729,0.4265
7,103020603,"$596,208,026","$219,635,086",1230.793,"$484,409",0.3639,"$178,450",0.4048,0.3802
8,103020753,"$729,544,314","$468,892,085",1768.309,"$412,566",0.4582,"$265,164",0.1155,0.3211
9,103021003,"$1,857,389,628","$1,187,455,559",5383.469,"$345,017",0.547,"$220,574",0.2643,0.4339
10,103021102,"$1,313,685,172","$817,519,076",5093.908,"$257,893",0.6614,"$160,489",0.4647,0.5826
11,103021252,"$1,932,449,781","$967,834,112",5423.028,"$356,341",0.5321,"$178,467",0.4047,0.481
12,103021453,"$272,085,531","$183,583,652",1534.432,"$177,320",0.7672,"$119,642",0.601,0.7007
13,103021603,"$517,625,444","$319,065,142",1741.942,"$297,154",0.6098,"$183,166",0.389,0.5214
14,103021752,"$1,594,478,422","$990,922,711",4083.806,"$390,439",0.4873,"$242,646",0.1906,0.3685
15,103021903,"$90,530,895","$79,580,333",1091.608,"$82,933",0.8911,"$72,901",0.7569,0.8373
16,103022103,"$263,236,383","$114,017,237",825.882,"$318,733",0.5815,"$138,055",0.5395,0.5647
17,103022253,"$878,438,986","$336,221,111",2371.96,"$370,343",0.5137,"$141,748",0.5272,0.519
18,103022503,"$66,040,956","$45,633,665",863.581,"$76,473",0.8996,"$52,842",0.8238,0.8692
19,103022803,"$425,413,473","$230,378,501",2262.603,"$188,019",0.7531,"$101,820",0.6604,0.7159
20,103023153,"$607,825,637","$390,282,535",2930.842,"$207,389",0.7277,"$133,163",0.5558,0.6589
21,103023912,"$2,690,039,034","$1,814,935,176",5185.418,"$518,769",0.3188,"$350,007",0.1,0.2312
22,103024102,"$2,006,745,833","$737,580,010",4531.63,"$442,830",0.4185,"$162,762",0.4571,0.4339
23,103024603,"$1,259,210,484","$795,430,047",3634.627,"$346,448",0.5451,"$218,847",0.27,0.435
24,103024753,"$567,496,510","$375,417,510",3095.211,"$183,346",0.7593,"$121,289",0.5955,0.6937
25,103025002,"$986,152,139","$470,370,466",2393.844,"$411,953",0.4591,"$196,491",0.3446,0.4132
26,103026002,"$637,508,172","$403,664,708",4943.719,"$128,953",0.8307,"$81,652",0.7277,0.7894
27,103026303,"$2,000,970,867","$784,780,065",3564.171,"$561,412",0.2628,"$220,185",0.2656,0.2638
28,103026343,"$1,771,277,784","$866,748,437",4373.883,"$404,966",0.4682,"$198,164",0.339,0.4165
29,103026402,"$2,149,370,980","$1,538,724,978",6073.939,"$353,867",0.5353,"$253,332",0.155,0.3831
30,103026852,"$3,902,085,698","$2,334,096,456",9556.443,"$408,319",0.4638,"$244,243",0.1853,0.3523
31,103026873,"$341,284,320","$235,477,260",1447.696,"$235,743",0.6905,"$162,656",0.4575,0.5973
32,103026902,"$2,147,932,866","$1,069,427,415",5090.841,"$421,921",0.446,"$210,068",0.2993,0.3873
33,103027352,"$1,270,129,744","$723,596,361",5564.514,"$228,255",0.7003,"$130,037",0.5663,0.6466
34,103027503,"$1,104,105,419","$691,237,125",4874.215,"$226,519",0.7026,"$141,815",0.527,0.6323
35,103027753,"$1,452,397,356","$981,974,782",2233.763,"$650,202",0.1462,"$439,605",0.1,0.15
36,103028203,"$443,717,393","$244,420,891",1254.958,"$353,571",0.5357,"$194,764",0.3504,0.4615
37,103028302,"$1,498,339,228","$901,946,576",5802.995,"$258,201",0.661,"$155,427",0.4816,0.5892
38,103028653,"$239,382,186","$185,395,662",1936.889,"$123,591",0.8377,"$95,718",0.6808,0.7749
39,103028703,"$849,388,946","$515,661,517",2874.961,"$295,443",0.6121,"$179,362",0.4017,0.5278
40,103028753,"$524,059,103","$347,505,722",2431.671,"$215,513",0.717,"$142,908",0.5233,0.6395
41,103028833,"$609,895,719","$264,198,458",2378.293,"$256,442",0.6633,"$111,087",0.6295,0.6497
42,103028853,"$257,484,006","$135,998,331",1975.758,"$130,321",0.8289,"$68,833",0.7704,0.8054
43,103029203,"$1,599,460,490","$1,222,326,039",4808.169,"$332,654",0.5632,"$254,218",0.152,0.3987
44,103029403,"$1,404,152,123","$597,481,040",3804.942,"$369,033",0.5154,"$157,027",0.4762,0.4996
45,103029553,"$1,010,713,057","$545,420,141",3253.763,"$310,628",0.5921,"$167,627",0.4409,0.5315
46,103029603,"$943,436,042","$373,015,120",3424.936,"$275,460",0.6383,"$108,911",0.6367,0.6375
47,103029803,"$308,752,591","$211,348,664",1633.217,"$189,045",0.7518,"$129,406",0.5684,0.6783
48,103029902,"$1,493,743,997","$964,970,147",5944.947,"$251,262",0.6701,"$162,317",0.4586,0.5854
49,128030603,"$304,116,206","$161,859,370",1708.443,"$178,007",0.7663,"$94,740",0.684,0.7333
50,128030852,"$1,543,858,419","$774,464,097",6651.83,"$232,095",0.6952,"$116,428",0.6117,0.6617
