,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
0,3.0,150,102,68.0,94,111,74.0,9,6.0,8
2,17.0,282,216,76.6,188,216,76.6,0,0.0,28
4,6269.0,99,74,74.75,73,78,78.79,4,4.04,1
5,6271.0,229,177,77.29,166,183,79.91,6,2.62,11
7,14.0,141,72,51.06,69,81,57.45,9,6.38,3
9,21.0,112,86,76.79,76,88,78.57,2,1.79,10
11,7727.0,132,108,81.82,97,108,81.82,0,0.0,11
12,7846.0,58,21,36.21,21,28,48.28,7,12.07,0
13,7562.0,38,37,97.37,34,37,97.37,0,0.0,3
14,409.0,328,170,51.83,122,170,51.83,0,0.0,48
15,412.0,143,72,50.35,53,72,50.35,0,0.0,19
16,416.0,182,83,45.6,60,83,45.6,0,0.0,23
17,6047.0,18,12,66.67,11,12,66.67,0,0.0,1
18,6664.0,3,2,66.67,2,2,66.67,0,0.0,0
19,6811.0,14,6,42.86,2,6,42.86,0,0.0,4
20,6915.0,299,140,46.82,96,140,46.82,0,0.0,44
21,8105.0,107,52,48.6,35,52,48.6,0,0.0,17
22,8106.0,117,61,52.14,46,61,52.14,0,0.0,15
23,8107.0,88,48,54.55,37,48,54.55,0,0.0,11
24,8110.0,91,49,53.85,39,49,53.85,0,0.0,10
25,8203.0,73,35,47.95,26,35,47.95,0,0.0,9
26,8300.0,9,5,55.56,2,5,55.56,0,0.0,3
28,7772.0,44,33,75.0,33,33,75.0,0,0.0,0
29,29.0,68,59,86.76,52,61,89.71,2,2.94,7
31,5199.0,107,95,88.79,94,96,89.72,1,0.93,1
33,315.0,373,331,88.74,331,331,88.74,0,0.0,0
35,50.0,376,309,82.18,297,314,83.51,5,1.33,12
37,62.0,420,367,87.38,363,367,87.38,0,0.0,4
39,70.0,80,68,85.0,68,69,86.25,1,1.25,0
40,79.0,100,73,73.0,62,73,73.0,0,0.0,11
42,6706.0,277,229,82.67,229,233,84.12,4,1.44,0
43,8094.0,44,29,65.91,29,30,68.18,1,2.27,0
45,8087.0,42,30,71.43,24,30,71.43,0,0.0,6
46,513.0,139,111,79.86,111,119,85.61,8,5.76,0
48,5193.0,115,81,70.43,74,84,73.04,3,2.61,7
50,144.0,214,140,65.42,133,149,69.63,9,4.21,7
51,7648.0,8,2,25.0,2,2,25.0,0,0.0,0
52,156.0,325,273,84.0,272,286,88.0,13,4.0,1
54,170.0,333,270,81.08,266,270,81.08,0,0.0,4
56,5190.0,287,259,90.24,256,260,90.59,1,0.35,3
58,5153.0,168,112,66.67,112,129,76.79,17,10.12,0
59,5112.0,172,131,76.16,127,137,79.65,6,3.49,4
61,6105.0,218,107,49.08,103,118,54.13,11,5.05,4
62,5017.0,255,230,90.2,230,230,90.2,0,0.0,0
64,4951.0,232,205,88.36,197,205,88.36,0,0.0,8
66,254.0,417,389,93.29,389,393,94.24,4,0.96,0
68,8305.0,618,578,93.53,570,578,93.53,0,0.0,8
70,53.0,80,68,85.0,63,68,85.0,0,0.0,5
72,7101.0,317,268,84.54,268,274,86.44,6,1.89,0
73,309.0,304,212,69.74,202,227,74.67,15,4.93,10
75,435.0,341,283,82.99,277,292,85.63,9,2.64,6
77,448.0,173,139,80.35,139,148,85.55,9,5.2,0
79,6928.0,89,74,83.15,74,76,85.39,2,2.25,0
80,460.0,376,302,80.32,301,321,85.37,19,5.05,1
82,440.0,137,115,83.94,100,115,83.94,0,0.0,15
83,470.0,180,166,92.22,157,168,93.33,2,1.11,9
85,467.0,162,133,82.1,133,134,82.72,1,0.62,0
87,196.0,124,88,70.97,82,92,74.19,4,3.23,6
89,477.0,76,43,56.58,41,43,56.58,0,0.0,2
91,492.0,353,329,93.2,328,331,93.77,2,0.57,1
92,509.0,270,196,72.59,196,211,78.15,15,5.56,0
93,523.0,223,200,89.69,195,200,89.69,0,0.0,5
95,536.0,291,206,70.79,193,210,72.16,4,1.37,13
97,555.0,29,4,13.79,3,4,13.79,0,0.0,1
98,107.0,266,208,78.2,201,218,81.95,10,3.76,7
100,7821.0,33,11,33.33,11,11,33.33,0,0.0,0
101,8129.0,61,40,65.57,40,44,72.13,4,6.56,0
102,2320.0,75,49,65.33,43,52,69.33,3,4.0,6
103,596.0,101,71,70.3,70,75,74.26,4,3.96,1
104,6575.0,100,66,66.0,59,68,68.0,2,2.0,7
105,7640.0,86,57,66.28,52,60,69.77,3,3.49,5
107,594.0,143,119,83.22,114,130,90.91,11,7.69,5
108,7923.0,45,39,86.67,34,39,86.67,0,0.0,5
109,4807.0,181,80,44.2,66,94,51.93,14,7.73,14
110,7847.0,22,11,50.0,11,17,77.27,6,27.27,0
111,7859.0,120,99,82.5,99,103,85.83,4,3.33,0
112,8086.0,62,38,61.29,38,38,61.29,0,0.0,0
113,6555.0,183,122,66.67,122,122,66.67,0,0.0,0
114,640.0,154,120,77.92,120,123,79.87,3,1.95,0
115,649.0,111,63,56.76,56,65,58.56,2,1.8,7
116,6707.0,218,189,86.7,175,190,87.16,1,0.46,14
118,8044.0,167,133,79.64,131,138,82.63,5,2.99,2
119,6563.0,113,81,71.68,81,81,71.68,0,0.0,0
121,7650.0,1628,1021,62.71,936,1058,64.99,37,2.27,85
122,675.0,190,156,82.11,154,156,82.11,0,0.0,2
124,695.0,128,92,71.88,76,98,76.56,6,4.69,16
126,700.0,128,85,66.41,85,99,77.34,14,10.94,0
127,8000.0,61,38,62.3,37,42,68.85,4,6.56,1
128,714.0,92,77,83.7,73,77,83.7,0,0.0,4
130,719.0,70,47,67.14,37,47,67.14,0,0.0,10
131,726.0,149,72,48.32,71,80,53.69,8,5.37,1
133,732.0,106,61,57.55,51,63,59.43,2,1.89,10
135,7897.0,115,59,51.3,59,61,53.04,2,1.74,0
136,747.0,75,45,60.0,41,47,62.67,2,2.67,4
137,8154.0,33,19,57.58,17,22,66.67,3,9.09,2
138,753.0,83,46,55.42,38,54,65.06,8,9.64,8
139,8155.0,87,59,67.82,58,63,72.41,4,4.6,1
140,820.0,57,48,84.21,46,52,91.23,4,7.02,2
141,6306.0,542,414,76.38,360,447,82.47,33,6.09,54
143,6308.0,136,97,71.32,93,102,75.0,5,3.68,4
145,777.0,191,153,80.1,140,155,81.15,2,1.05,13
147,4810.0,253,0,0.0,0,0,0.0,0,0.0,0
149,788.0,311,255,81.99,244,268,86.17,13,4.18,11
151,5023.0,199,157,78.89,155,163,81.91,6,3.02,2
152,802.0,271,188,69.37,174,194,71.59,6,2.21,14
154,808.0,171,137,80.12,125,138,80.7,1,0.58,12
156,816.0,130,90,69.23,84,92,70.77,2,1.54,6
157,6610.0,259,195,75.29,189,207,79.92,12,4.63,6
158,6318.0,121,88,72.73,88,96,79.34,8,6.61,0
160,8116.0,816,505,61.89,503,579,70.96,74,9.07,2
162,864.0,150,115,76.67,106,117,78.0,2,1.33,9
164,4670.0,115,73,63.48,73,79,68.7,6,5.22,0
165,873.0,244,191,78.28,179,191,78.28,0,0.0,12
166,6980.0,454,0,0.0,0,0,0.0,0,0.0,0
168,887.0,135,111,82.22,111,120,88.89,9,6.67,0
170,7720.0,12,9,75.0,8,9,75.0,0,0.0,1
171,913.0,484,311,64.26,297,324,66.94,13,2.69,14
172,7425.0,7,0,0.0,0,0,0.0,0,0.0,0
173,917.0,84,70,83.33,70,70,83.33,0,0.0,0
174,921.0,77,51,66.23,44,53,68.83,2,2.6,7
175,5207.0,275,174,63.27,168,190,69.09,16,5.82,6
176,941.0,132,76,57.58,76,89,67.42,13,9.85,0
177,949.0,109,80,73.39,61,84,77.06,4,3.67,19
178,951.0,44,25,56.82,20,28,63.64,3,6.82,5
179,958.0,138,97,70.29,96,103,74.64,6,4.35,1
180,988.0,87,41,47.13,37,41,47.13,0,0.0,4
181,964.0,45,28,62.22,28,33,73.33,5,11.11,0
182,965.0,72,48,66.67,48,49,68.06,1,1.39,0
183,5208.0,130,62,47.69,60,77,59.23,15,11.54,2
184,1000.0,112,67,59.82,65,73,65.18,6,5.36,2
185,1005.0,100,56,56.0,56,61,61.0,5,5.0,0
186,7726.0,25,12,48.0,12,15,60.0,3,12.0,0
187,5116.0,417,342,82.01,339,352,84.41,10,2.4,3
189,1014.0,68,51,75.0,51,54,79.41,3,4.41,0
191,1029.0,318,251,78.93,233,258,81.13,7,2.2,18
193,1030.0,308,162,52.6,153,163,52.92,1,0.32,9
194,1040.0,468,377,80.56,376,393,83.97,16,3.42,1
196,1043.0,495,440,88.89,439,442,89.29,2,0.4,1
197,5133.0,561,524,93.4,524,524,93.4,0,0.0,0
198,7790.0,632,565,89.4,565,570,90.19,5,0.79,0
200,5096.0,505,482,95.45,478,485,96.04,3,0.59,4
201,7749.0,537,511,95.16,509,514,95.72,3,0.56,2
203,8114.0,38,23,60.53,23,24,63.16,1,2.63,0
204,6455.0,632,536,84.81,535,544,86.08,8,1.27,1
206,1084.0,110,105,95.45,105,105,95.45,0,0.0,0
208,1094.0,149,118,79.19,116,121,81.21,3,2.01,2
210,1100.0,549,474,86.34,474,482,87.8,8,1.46,0
212,4682.0,767,674,87.87,670,690,89.96,16,2.09,4
213,1128.0,343,282,82.22,281,293,85.42,11,3.21,1
215,1147.0,593,489,82.46,467,524,88.36,35,5.9,22
216,6690.0,1,0,0.0,0,0,0.0,0,0.0,0
218,1154.0,104,69,66.35,66,81,77.88,12,11.54,3
220,1159.0,244,217,88.93,214,218,89.34,1,0.41,3
222,1164.0,99,69,69.7,47,69,69.7,0,0.0,22
224,1172.0,128,64,50.0,55,64,50.0,0,0.0,9
225,1177.0,231,186,80.52,186,194,83.98,8,3.46,0
227,1183.0,543,473,87.11,460,478,88.03,5,0.92,13
229,5135.0,54,35,64.81,33,36,66.67,1,1.85,2
230,5212.0,127,91,71.65,83,91,71.65,0,0.0,8
231,1208.0,131,100,76.34,91,102,77.86,2,1.53,9
232,5136.0,62,46,74.19,46,46,74.19,0,0.0,0
234,1225.0,51,30,58.82,29,34,66.67,4,7.84,1
236,1191.0,164,103,62.8,97,118,71.95,15,9.15,6
237,1251.0,170,99,58.24,80,99,58.24,0,0.0,19
238,6201.0,106,68,64.15,65,70,66.04,2,1.89,3
239,1213.0,128,94,73.44,92,98,76.56,4,3.12,2
241,1270.0,57,42,73.68,40,45,78.95,3,5.26,2
242,7941.0,148,112,75.68,105,114,77.03,2,1.35,7
243,1293.0,144,112,77.78,111,116,80.56,4,2.78,1
244,1299.0,46,29,63.04,27,32,69.57,3,6.52,2
246,4870.0,96,33,34.38,28,51,53.12,18,18.75,5
247,1307.0,154,115,74.68,114,117,75.97,2,1.3,1
249,1315.0,144,110,76.39,108,118,81.94,8,5.56,2
250,4734.0,108,80,74.07,80,88,81.48,8,7.41,0
252,6693.0,72,52,72.22,50,52,72.22,0,0.0,2
253,1327.0,52,34,65.38,31,35,67.31,1,1.92,3
254,1335.0,152,93,61.18,79,101,66.45,8,5.26,14
256,1343.0,179,125,69.83,114,135,75.42,10,5.59,11
257,6231.0,113,75,66.37,71,78,69.03,3,2.65,4
258,1364.0,592,509,85.98,500,513,86.66,4,0.68,9
259,7691.0,129,56,43.41,56,69,53.49,13,10.08,0
260,7721.0,56,44,78.57,44,47,83.93,3,5.36,0
261,7819.0,264,198,75.0,170,200,75.76,2,0.76,28
262,1367.0,437,372,85.13,372,390,89.24,18,4.12,0
264,7293.0,157,54,34.39,52,58,36.94,4,2.55,2
265,5012.0,526,372,70.72,369,421,80.04,49,9.32,3
266,1387.0,380,3,0.79,3,3,0.79,0,0.0,0
267,7759.0,406,10,2.46,10,10,2.46,0,0.0,0
268,8174.0,174,0,0.0,0,0,0.0,0,0.0,0
270,7628.0,48,45,93.75,45,45,93.75,0,0.0,0
271,7636.0,47,43,91.49,43,43,91.49,0,0.0,0
272,1424.0,307,278,90.55,278,280,91.21,2,0.65,0
274,6482.0,295,233,78.98,230,234,79.32,1,0.34,3
