,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
670,1892.0,378,187,49.5%,182,193,51.1%,6,1.6%,5
671,3914.0,83,60,72.3%,47,61,73.5%,1,1.2%,13
672,951.0,45,23,51.1%,15,24,53.3%,1,2.2%,8
673,6368.0,357,217,60.8%,212,226,63.3%,9,2.5%,5
674,2721.0,125,91,72.8%,88,103,82.4%,12,9.6%,3
675,6980.0,454,367,80.8%,363,395,87.0%,28,6.2%,4
676,3522.0,179,153,85.5%,151,158,88.3%,5,2.8%,2
677,4026.0,118,81,68.6%,63,87,73.7%,6,5.1%,18
678,3247.0,375,349,93.1%,344,350,93.3%,1,0.3%,5
679,107.0,330,240,72.7%,234,262,79.4%,22,6.7%,6
680,7512.0,67,67,100.0%,60,67,100.0%,0,0.0%,7
681,1005.0,96,74,77.1%,72,74,77.1%,0,0.0%,2
682,6390.0,205,182,88.8%,169,182,88.8%,0,0.0%,13
683,6391.0,328,250,76.2%,249,268,81.7%,18,5.5%,1
684,887.0,141,129,91.5%,126,132,93.6%,3,2.1%,3
685,4647.0,262,5,1.9%,5,5,1.9%,0,0.0%,0
686,5168.0,276,8,2.9%,6,10,3.6%,2,0.7%,2
687,7345.0,196,73,37.2%,55,83,42.3%,10,5.1%,18
688,4658.0,203,174,85.7%,165,175,86.2%,1,0.5%,9
689,4735.0,219,170,77.6%,143,171,78.1%,1,0.5%,27
690,7513.0,134,79,59.0%,72,84,62.7%,5,3.7%,7
691,,,,,,,,,,
692,,"130,647","95,939",73.4%,"91,496","99,456",76.1%,"3,517",2.7%,"4,443"
693,,,,,,,,,,
694,,,,,,,,,,
