,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
659,3155.0,86,46,53.49%,46,53.49%,56,65.12%,10,11.63%,0
660,3158.0,78,40,51.28%,37,47.44%,42,53.85%,2,2.56%,3
662,3165.0,70,49,70.00%,43,61.43%,49,70.00%,0,0.00%,6
663,8093.0,103,59,57.28%,59,57.28%,59,57.28%,0,0.00%,0
664,3124.0,91,49,53.85%,46,50.55%,52,57.14%,3,3.30%,3
665,6129.0,73,54,73.97%,53,72.60%,54,73.97%,0,0.00%,1
666,8187.0,372,132,35.48%,122,32.80%,143,38.44%,11,2.96%,10
668,7866.0,16,14,87.50%,14,87.50%,14,87.50%,0,0.00%,0
669,6935.0,314,224,71.34%,220,70.06%,228,72.61%,4,1.27%,4
670,7641.0,236,149,63.14%,147,62.29%,160,67.80%,11,4.66%,2
672,3210.0,342,258,75.44%,254,74.27%,258,75.44%,0,0.00%,4
673,3216.0,325,146,44.92%,146,44.92%,151,46.46%,5,1.54%,0
674,7738.0,412,190,46.12%,183,44.42%,191,46.36%,1,0.24%,7
676,3224.0,418,145,34.69%,145,34.69%,147,35.17%,2,0.48%,0
677,7687.0,210,50,23.81%,50,23.81%,58,27.62%,8,3.81%,0
678,3241.0,596,488,81.88%,481,80.70%,488,81.88%,0,0.00%,7
679,3260.0,332,213,64.16%,208,62.65%,213,64.16%,0,0.00%,5
681,3333.0,376,325,86.44%,324,86.17%,330,87.77%,5,1.33%,1
683,3272.0,397,337,84.89%,337,84.89%,339,85.39%,2,0.50%,0
685,8049.0,47,43,91.49%,42,89.36%,43,91.49%,0,0.00%,1
686,3295.0,361,329,91.14%,329,91.14%,335,92.80%,6,1.66%,0
687,3296.0,293,265,90.44%,265,90.44%,266,90.78%,1,0.34%,0
689,4960.0,174,161,92.53%,158,90.80%,161,92.53%,0,0.00%,3
690,3305.0,345,305,88.41%,305,88.41%,307,88.99%,2,0.58%,0
692,6729.0,320,137,42.81%,131,40.94%,137,42.81%,0,0.00%,6
693,6998.0,60,15,25.00%,11,18.33%,15,25.00%,0,0.00%,4
695,5345.0,"1,005",863,85.87%,849,84.48%,868,86.37%,5,0.50%,14
697,3328.0,431,322,74.71%,311,72.16%,324,75.17%,2,0.46%,11
698,3338.0,245,69,28.16%,67,27.35%,69,28.16%,0,0.00%,2
700,3348.0,182,61,33.52%,61,33.52%,69,37.91%,8,4.40%,0
702,3354.0,502,408,81.27%,408,81.27%,409,81.47%,1,0.20%,0
704,3376.0,165,122,73.94%,122,73.94%,123,74.55%,1,0.61%,0
705,3367.0,613,533,86.95%,527,85.97%,533,86.95%,0,0.00%,6
707,5078.0,292,272,93.15%,271,92.81%,272,93.15%,0,0.00%,1
709,3395.0,284,99,34.86%,95,33.45%,99,34.86%,0,0.00%,4
711,3401.0,211,153,72.51%,151,71.56%,156,73.93%,3,1.42%,2
713,5081.0,238,156,65.55%,151,63.45%,157,65.97%,1,0.42%,5
715,3247.0,353,321,90.93%,321,90.93%,326,92.35%,5,1.42%,0
717,7858.0,602,273,45.35%,266,44.19%,328,54.49%,55,9.14%,7
719,3425.0,157,118,75.16%,109,69.43%,120,76.43%,2,1.27%,9
720,7681.0,87,79,90.80%,79,90.80%,81,93.10%,2,2.30%,0
722,3434.0,215,113,52.56%,113,52.56%,113,52.56%,0,0.00%,0
723,3465.0,600,418,69.67%,410,68.33%,420,70.00%,2,0.33%,8
724,4957.0,430,305,70.93%,297,69.07%,313,72.79%,8,1.86%,8
726,7634.0,146,100,68.49%,100,68.49%,103,70.55%,3,2.05%,0
727,3482.0,669,451,67.41%,449,67.12%,459,68.61%,8,1.20%,2
728,3495.0,366,302,82.51%,301,82.24%,314,85.79%,12,3.28%,1
729,3505.0,414,327,78.99%,311,75.12%,327,78.99%,0,0.00%,16
730,6439.0,111,77,69.37%,76,68.47%,80,72.07%,3,2.70%,1
731,5352.0,184,142,77.17%,141,76.63%,143,77.72%,1,0.54%,1
733,3522.0,159,111,69.81%,111,69.81%,111,69.81%,0,0.00%,0
735,3532.0,106,60,56.60%,60,56.60%,69,65.09%,9,8.49%,0
737,3541.0,164,80,48.78%,79,48.17%,80,48.78%,0,0.00%,1
738,6936.0,127,67,52.76%,66,51.97%,68,53.54%,1,0.79%,1
739,7893.0,171,87,50.88%,83,48.54%,87,50.88%,0,0.00%,4
740,3569.0,181,101,55.80%,92,50.83%,104,57.46%,3,1.66%,9
741,5103.0,119,35,29.41%,34,28.57%,35,29.41%,0,0.00%,1
742,6341.0,56,28,50.00%,28,50.00%,28,50.00%,0,0.00%,0
743,7930.0,61,33,54.10%,32,52.46%,33,54.10%,0,0.00%,1
744,3589.0,114,65,57.02%,65,57.02%,65,57.02%,0,0.00%,0
746,3596.0,153,80,52.29%,79,51.63%,81,52.94%,1,0.65%,1
748,7744.0,68,45,66.18%,41,60.29%,52,76.47%,7,10.29%,4
749,8083.0,36,36,100.00%,35,97.22%,36,100.00%,0,0.00%,1
750,7678.0,72,52,72.22%,52,72.22%,57,79.17%,5,6.94%,0
751,7685.0,15,10,66.67%,10,66.67%,10,66.67%,0,0.00%,0
752,7737.0,131,92,70.23%,76,58.02%,95,72.52%,3,2.29%,16
754,7777.0,56,40,71.43%,39,69.64%,44,78.57%,4,7.14%,1
755,7909.0,129,102,79.07%,99,76.74%,109,84.50%,7,5.43%,3
756,7910.0,106,72,67.92%,72,67.92%,88,83.02%,16,15.09%,0
757,8359.0,95,65,68.42%,64,67.37%,69,72.63%,4,4.21%,1
758,8216.0,41,15,36.59%,15,36.59%,25,60.98%,10,24.39%,0
759,7510.0,128,77,60.16%,77,60.16%,92,71.88%,15,11.72%,0
760,7513.0,173,32,18.50%,31,17.92%,36,20.81%,4,2.31%,1
761,7540.0,135,105,77.78%,105,77.78%,113,83.70%,8,5.93%,0
762,7542.0,114,87,76.32%,87,76.32%,93,81.58%,6,5.26%,0
763,7546.0,43,40,93.02%,40,93.02%,40,93.02%,0,0.00%,0
764,7574.0,105,86,81.90%,86,81.90%,89,84.76%,3,2.86%,0
765,7578.0,127,104,81.89%,97,76.38%,105,82.68%,1,0.79%,7
766,7582.0,78,69,88.46%,68,87.18%,75,96.15%,6,7.69%,1
767,7586.0,94,82,87.23%,81,86.17%,85,90.43%,3,3.19%,1
769,7587.0,104,69,66.35%,69,66.35%,73,70.19%,4,3.85%,0
770,7588.0,87,47,54.02%,47,54.02%,49,56.32%,2,2.30%,0
771,7647.0,153,149,97.39%,149,97.39%,152,99.35%,3,1.96%,0
772,7649.0,138,81,58.70%,81,58.70%,81,58.70%,0,0.00%,0
773,7665.0,177,92,51.98%,83,46.89%,97,54.80%,5,2.82%,9
774,7666.0,268,175,65.30%,175,65.30%,179,66.79%,4,1.49%,0
775,8205.0,474,176,37.13%,175,36.92%,203,42.83%,27,5.70%,1
776,7672.0,138,86,62.32%,86,62.32%,94,68.12%,8,5.80%,0
778,8207.0,217,147,67.74%,145,66.82%,148,68.20%,1,0.46%,2
779,8358.0,110,78,70.91%,78,70.91%,96,87.27%,18,16.36%,0
780,3728.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
781,3808.0,116,109,93.97%,109,93.97%,109,93.97%,0,0.00%,0
782,3816.0,187,107,57.22%,98,52.41%,114,60.96%,7,3.74%,9
783,3818.0,144,80,55.56%,78,54.17%,81,56.25%,1,0.69%,2
784,3841.0,125,43,34.40%,34,27.20%,48,38.40%,5,4.00%,9
785,3842.0,127,36,28.35%,28,22.05%,39,30.71%,3,2.36%,8
786,3843.0,223,78,34.98%,78,34.98%,78,34.98%,0,0.00%,0
787,3844.0,135,69,51.11%,60,44.44%,71,52.59%,2,1.48%,9
788,3845.0,308,115,37.34%,107,34.74%,121,39.29%,6,1.95%,8
789,3847.0,142,75,52.82%,61,42.96%,83,58.45%,8,5.63%,14
790,3848.0,537,406,75.61%,405,75.42%,409,76.16%,3,0.56%,1
791,3849.0,167,31,18.56%,23,13.77%,33,19.76%,2,1.20%,8
792,3850.0,183,48,26.23%,39,21.31%,52,28.42%,4,2.19%,9
793,3851.0,59,22,37.29%,21,35.59%,24,40.68%,2,3.39%,1
794,3855.0,748,156,20.86%,151,20.19%,156,20.86%,0,0.00%,5
795,3857.0,93,58,62.37%,50,53.76%,61,65.59%,3,3.23%,8
796,3859.0,89,21,23.60%,19,21.35%,23,25.84%,2,2.25%,2
797,3860.0,96,54,56.25%,49,51.04%,54,56.25%,0,0.00%,5
