,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
0,3.0,160,102,63.75%,93,58.13%,107,66.88%,5,3.13%,9
1,17.0,277,209,75.45%,195,70.40%,217,78.34%,8,2.89%,14
3,6269.0,91,65,71.43%,61,67.03%,67,73.63%,2,2.20%,4
5,6271.0,222,167,75.23%,154,69.37%,173,77.93%,6,2.70%,13
7,14.0,154,81,52.60%,73,47.40%,89,57.79%,8,5.19%,8
9,21.0,121,84,69.42%,78,64.46%,90,74.38%,6,4.96%,6
11,7727.0,141,113,80.14%,111,78.72%,116,82.27%,3,2.13%,2
12,7846.0,25,11,44.00%,11,44.00%,11,44.00%,0,0.00%,0
13,7562.0,34,32,94.12%,32,94.12%,33,97.06%,1,2.94%,0
14,409.0,314,221,70.38%,221,70.38%,222,70.70%,1,0.32%,0
15,412.0,162,114,70.37%,107,66.05%,118,72.84%,4,2.47%,7
16,416.0,164,110,67.07%,103,62.80%,112,68.29%,2,1.22%,7
17,6047.0,13,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
18,6664.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
19,6811.0,21,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
20,6915.0,256,208,81.25%,207,80.86%,220,85.94%,12,4.69%,1
21,8105.0,78,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
22,8106.0,138,136,98.55%,134,97.10%,136,98.55%,0,0.00%,2
23,8107.0,66,59,89.39%,58,87.88%,59,89.39%,0,0.00%,1
24,8110.0,89,79,88.76%,79,88.76%,79,88.76%,0,0.00%,0
25,8203.0,53,28,52.83%,28,52.83%,31,58.49%,3,5.66%,0
26,8300.0,18,11,61.11%,11,61.11%,13,72.22%,2,11.11%,0
28,7772.0,46,1,2.17%,1,2.17%,1,2.17%,0,0.00%,0
29,29.0,71,48,67.61%,47,66.20%,52,73.24%,4,5.63%,1
30,5199.0,80,75,93.75%,72,90.00%,75,93.75%,0,0.00%,3
32,315.0,381,334,87.66%,334,87.66%,341,89.50%,7,1.84%,0
33,50.0,349,282,80.80%,274,78.51%,293,83.95%,11,3.15%,8
35,62.0,383,322,84.07%,311,81.20%,322,84.07%,0,0.00%,11
36,70.0,109,97,88.99%,96,88.07%,100,91.74%,3,2.75%,1
38,0.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
39,79.0,87,59,67.82%,58,66.67%,61,70.11%,2,2.30%,1
41,6706.0,252,219,86.90%,217,86.11%,222,88.10%,3,1.19%,2
43,8094.0,42,30,71.43%,28,66.67%,30,71.43%,0,0.00%,2
45,8087.0,45,40,88.89%,33,73.33%,40,88.89%,0,0.00%,7
46,513.0,139,107,76.98%,107,76.98%,121,87.05%,14,10.07%,0
48,5193.0,124,104,83.87%,102,82.26%,107,86.29%,3,2.42%,2
50,144.0,195,134,68.72%,123,63.08%,139,71.28%,5,2.56%,11
51,7648.0,3,1,33.33%,1,33.33%,1,33.33%,0,0.00%,0
52,156.0,338,296,87.57%,285,84.32%,298,88.17%,2,0.59%,11
54,0.0,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
55,170.0,292,135,46.23%,135,46.23%,136,46.58%,1,0.34%,0
56,5190.0,278,239,85.97%,237,85.25%,245,88.13%,6,2.16%,2
58,5153.0,159,94,59.12%,94,59.12%,108,67.92%,14,8.81%,0
59,5112.0,171,136,79.53%,126,73.68%,136,79.53%,0,0.00%,10
60,6105.0,257,162,63.04%,153,59.53%,224,87.16%,62,24.12%,9
61,5017.0,247,211,85.43%,206,83.40%,212,85.83%,1,0.40%,5
63,4951.0,269,225,83.64%,220,81.78%,227,84.39%,2,0.74%,5
65,254.0,430,404,93.95%,398,92.56%,406,94.42%,2,0.47%,6
67,8305.0,680,630,92.65%,621,91.32%,634,93.24%,4,0.59%,9
69,53.0,74,65,87.84%,60,81.08%,67,90.54%,2,2.70%,5
71,7101.0,343,283,82.51%,275,80.17%,294,85.71%,11,3.21%,8
72,309.0,312,252,80.77%,239,76.60%,268,85.90%,16,5.13%,13
74,435.0,305,250,81.97%,242,79.34%,258,84.59%,8,2.62%,8
75,448.0,151,138,91.39%,138,91.39%,138,91.39%,0,0.00%,0
77,6928.0,74,66,89.19%,64,86.49%,66,89.19%,0,0.00%,2
79,460.0,358,291,81.28%,282,78.77%,304,84.92%,13,3.63%,9
