,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
0,3.0,157,92,58.60%,85,54.14%,96,61.15%,4,2.55%,7
1,17.0,285,200,70.18%,181,63.51%,200,70.18%,0,0.00%,19
2,6269.0,92,60,65.22%,59,64.13%,67,72.83%,7,7.61%,1
3,6271.0,228,179,78.51%,168,73.68%,180,78.95%,1,0.44%,11
4,14.0,133,76,57.14%,69,51.88%,83,62.41%,7,5.26%,7
5,21.0,119,88,73.95%,85,71.43%,89,74.79%,1,0.84%,3
6,7727.0,124,101,81.45%,96,77.42%,102,82.26%,1,0.81%,5
7,7846.0,23,19,82.61%,19,82.61%,19,82.61%,0,0.00%,0
8,7562.0,39,31,79.49%,30,76.92%,31,79.49%,0,0.00%,1
9,409.0,304,257,84.54%,252,82.89%,262,86.18%,5,1.64%,5
10,412.0,188,137,72.87%,124,65.96%,139,73.94%,2,1.06%,13
11,416.0,138,82,59.42%,73,52.90%,82,59.42%,0,0.00%,9
12,6047.0,15,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
13,6664.0,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
14,6811.0,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
15,6915.0,332,241,72.59%,234,70.48%,248,74.70%,7,2.11%,7
16,8105.0,109,99,90.83%,99,90.83%,99,90.83%,0,0.00%,0
17,8106.0,140,133,95.00%,133,95.00%,133,95.00%,0,0.00%,0
18,8107.0,79,64,81.01%,64,81.01%,64,81.01%,0,0.00%,0
19,8110.0,107,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
20,8203.0,65,41,63.08%,41,63.08%,43,66.15%,2,3.08%,0
21,8300.0,30,24,80.00%,24,80.00%,24,80.00%,0,0.00%,0
22,7772.0,45,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
23,29.0,72,50,69.44%,50,69.44%,51,70.83%,1,1.39%,0
24,5199.0,93,81,87.10%,81,87.10%,84,90.32%,3,3.23%,0
25,315.0,377,349,92.57%,349,92.57%,351,93.10%,2,0.53%,0
26,50.0,320,266,83.13%,257,80.31%,277,86.56%,11,3.44%,9
27,62.0,357,293,82.07%,293,82.07%,293,82.07%,0,0.00%,0
28,70.0,82,68,82.93%,65,79.27%,70,85.37%,2,2.44%,3
29,79.0,95,69,72.63%,66,69.47%,73,76.84%,4,4.21%,3
30,6706.0,262,224,85.50%,220,83.97%,230,87.79%,6,2.29%,4
31,8094.0,40,24,60.00%,24,60.00%,24,60.00%,0,0.00%,0
32,8087.0,44,28,63.64%,28,63.64%,28,63.64%,0,0.00%,0
33,513.0,169,148,87.57%,148,87.57%,148,87.57%,0,0.00%,0
34,8340.0,113,83,73.45%,77,68.14%,84,74.34%,1,0.88%,6
35,144.0,199,129,64.82%,119,59.80%,132,66.33%,3,1.51%,10
36,7648.0,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
37,156.0,363,329,90.63%,323,88.98%,334,92.01%,5,1.38%,6
38,170.0,296,231,78.04%,228,77.03%,234,79.05%,3,1.01%,3
39,5190.0,261,231,88.51%,230,88.12%,237,90.80%,6,2.30%,1
40,5153.0,190,112,58.95%,100,52.63%,120,63.16%,8,4.21%,12
41,5112.0,164,122,74.39%,112,68.29%,123,75.00%,1,0.61%,10
42,6105.0,239,143,59.83%,136,56.90%,163,68.20%,20,8.37%,7
43,5017.0,217,183,84.33%,173,79.72%,183,84.33%,0,0.00%,10
44,4951.0,289,263,91.00%,257,88.93%,263,91.00%,0,0.00%,6
45,254.0,379,355,93.67%,355,93.67%,357,94.20%,2,0.53%,0
46,8305.0,665,615,92.48%,611,91.88%,624,93.83%,9,1.35%,4
47,53.0,79,63,79.75%,56,70.89%,66,83.54%,3,3.80%,7
48,7101.0,336,277,82.44%,273,81.25%,287,85.42%,10,2.98%,4
49,309.0,322,263,81.68%,253,78.57%,266,82.61%,3,0.93%,10
50,435.0,308,261,84.74%,256,83.12%,267,86.69%,6,1.95%,5
51,448.0,143,118,82.52%,118,82.52%,122,85.31%,4,2.80%,0
52,6928.0,66,61,92.42%,60,90.91%,61,92.42%,0,0.00%,1
53,460.0,385,311,80.78%,305,79.22%,322,83.64%,11,2.86%,6
54,440.0,128,86,67.19%,84,65.63%,94,73.44%,8,6.25%,2
55,470.0,200,187,93.50%,186,93.00%,191,95.50%,4,2.00%,1
56,467.0,150,129,86.00%,129,86.00%,131,87.33%,2,1.33%,0
57,196.0,113,85,75.22%,79,69.91%,88,77.88%,3,2.65%,6
58,477.0,76,43,56.58%,43,56.58%,43,56.58%,0,0.00%,0
59,492.0,314,294,93.63%,291,92.68%,298,94.90%,4,1.27%,3
60,509.0,249,185,74.30%,174,69.88%,188,75.50%,3,1.20%,11
61,523.0,241,204,84.65%,193,80.08%,213,88.38%,9,3.73%,11
62,536.0,236,162,68.64%,152,64.41%,168,71.19%,6,2.54%,10
63,555.0,21,9,42.86%,9,42.86%,9,42.86%,0,0.00%,0
64,107.0,253,167,66.01%,162,64.03%,174,68.77%,7,2.77%,5
65,7821.0,52,22,42.31%,16,30.77%,22,42.31%,0,0.00%,6
66,8129.0,67,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
67,2320.0,91,63,69.23%,60,65.93%,64,70.33%,1,1.10%,3
68,7640.0,66,50,75.76%,48,72.73%,50,75.76%,0,0.00%,2
69,8342.0,181,125,69.06%,125,69.06%,125,69.06%,0,0.00%,0
70,594.0,132,111,84.09%,106,80.30%,111,84.09%,0,0.00%,5
71,7923.0,60,35,58.33%,34,56.67%,38,63.33%,3,5.00%,1
72,4807.0,183,51,27.87%,47,25.68%,73,39.89%,22,12.02%,4
73,7859.0,149,112,75.17%,112,75.17%,122,81.88%,10,6.71%,0
74,8086.0,76,50,65.79%,44,57.89%,50,65.79%,0,0.00%,6
75,6555.0,184,124,67.39%,109,59.24%,127,69.02%,3,1.63%,15
76,640.0,179,137,76.54%,132,73.74%,139,77.65%,2,1.12%,5
77,649.0,95,58,61.05%,57,60.00%,60,63.16%,2,2.11%,1
78,6707.0,195,162,83.08%,152,77.95%,167,85.64%,5,2.56%,10
79,8044.0,160,125,78.13%,121,75.63%,129,80.63%,4,2.50%,4
80,6563.0,104,74,71.15%,74,71.15%,75,72.12%,1,0.96%,0
81,7650.0,"1,390",785,56.47%,635,45.68%,819,58.92%,34,2.45%,150
82,675.0,196,154,78.57%,141,71.94%,156,79.59%,2,1.02%,13
83,695.0,105,76,72.38%,69,65.71%,77,73.33%,1,0.95%,7
84,700.0,104,86,82.69%,81,77.88%,86,82.69%,0,0.00%,5
85,8000.0,33,24,72.73%,21,63.64%,24,72.73%,0,0.00%,3
86,714.0,82,67,81.71%,67,81.71%,67,81.71%,0,0.00%,0
87,719.0,60,40,66.67%,36,60.00%,42,70.00%,2,3.33%,4
88,726.0,165,101,61.21%,98,59.39%,103,62.42%,2,1.21%,3
89,732.0,116,65,56.03%,52,44.83%,69,59.48%,4,3.45%,13
90,7897.0,121,65,53.72%,65,53.72%,69,57.02%,4,3.31%,0
91,747.0,85,38,44.71%,33,38.82%,44,51.76%,6,7.06%,5
92,8154.0,27,18,66.67%,18,66.67%,19,70.37%,1,3.70%,0
93,753.0,68,32,47.06%,25,36.76%,35,51.47%,3,4.41%,7
94,8155.0,127,95,74.80%,87,68.50%,99,77.95%,4,3.15%,8
95,820.0,59,45,76.27%,41,69.49%,45,76.27%,0,0.00%,4
96,6306.0,487,347,71.25%,337,69.20%,360,73.92%,13,2.67%,10
97,6308.0,150,105,70.00%,100,66.67%,106,70.67%,1,0.67%,5
98,777.0,225,165,73.33%,157,69.78%,171,76.00%,6,2.67%,8
99,4810.0,252,198,78.57%,198,78.57%,198,78.57%,0,0.00%,0
100,788.0,342,256,74.85%,254,74.27%,270,78.95%,14,4.09%,2
101,5023.0,229,159,69.43%,153,66.81%,160,69.87%,1,0.44%,6
102,802.0,296,186,62.84%,176,59.46%,187,63.18%,1,0.34%,10
103,808.0,154,111,72.08%,103,66.88%,112,72.73%,1,0.65%,8
104,816.0,105,76,72.38%,74,70.48%,76,72.38%,0,0.00%,2
105,6610.0,293,227,77.47%,215,73.38%,228,77.82%,1,0.34%,12
106,6318.0,113,88,77.88%,87,76.99%,90,79.65%,2,1.77%,1
107,8116.0,779,405,51.99%,404,51.86%,423,54.30%,18,2.31%,1
108,864.0,147,108,73.47%,104,70.75%,114,77.55%,6,4.08%,4
109,4670.0,100,55,55.00%,55,55.00%,63,63.00%,8,8.00%,0
110,873.0,217,171,78.80%,157,72.35%,171,78.80%,0,0.00%,14
111,6980.0,453,362,79.91%,356,78.59%,374,82.56%,12,2.65%,6
112,887.0,143,127,88.81%,124,86.71%,129,90.21%,2,1.40%,3
113,7720.0,20,5,25.00%,5,25.00%,5,25.00%,0,0.00%,0
114,913.0,521,323,62.00%,321,61.61%,344,66.03%,21,4.03%,2
115,7425.0,6,0,0.00%,0,0.00%,1,16.67%,1,16.67%,0
116,917.0,86,52,60.47%,52,60.47%,54,62.79%,2,2.33%,0
117,921.0,60,26,43.33%,26,43.33%,32,53.33%,6,10.00%,0
118,5207.0,264,176,66.67%,169,64.02%,191,72.35%,15,5.68%,7
119,941.0,101,55,54.46%,51,50.50%,56,55.45%,1,0.99%,4
120,949.0,127,74,58.27%,70,55.12%,79,62.20%,5,3.94%,4
121,951.0,29,12,41.38%,10,34.48%,14,48.28%,2,6.90%,2
122,958.0,169,88,52.07%,87,51.48%,93,55.03%,5,2.96%,1
123,988.0,65,35,53.85%,31,47.69%,41,63.08%,6,9.23%,4
124,964.0,52,37,71.15%,35,67.31%,37,71.15%,0,0.00%,2
125,965.0,64,42,65.63%,42,65.63%,46,71.88%,4,6.25%,0
126,5208.0,101,53,52.48%,51,50.50%,55,54.46%,2,1.98%,2
127,1000.0,103,54,52.43%,54,52.43%,58,56.31%,4,3.88%,0
128,1005.0,87,55,63.22%,55,63.22%,56,64.37%,1,1.15%,0
129,7726.0,23,11,47.83%,11,47.83%,12,52.17%,1,4.35%,0
130,5116.0,451,370,82.04%,366,81.15%,378,83.81%,8,1.77%,4
131,1014.0,75,46,61.33%,46,61.33%,53,70.67%,7,9.33%,0
132,1029.0,318,237,74.53%,221,69.50%,246,77.36%,9,2.83%,16
133,1030.0,369,236,63.96%,223,60.43%,237,64.23%,1,0.27%,13
134,1040.0,402,321,79.85%,320,79.60%,336,83.58%,15,3.73%,1
135,1043.0,476,416,87.39%,415,87.18%,416,87.39%,0,0.00%,1
136,5133.0,557,530,95.15%,530,95.15%,533,95.69%,3,0.54%,0
137,7790.0,593,538,90.73%,535,90.22%,544,91.74%,6,1.01%,3
138,5096.0,425,394,92.71%,393,92.47%,396,93.18%,2,0.47%,1
139,7749.0,540,485,89.81%,485,89.81%,490,90.74%,5,0.93%,0
140,8114.0,46,30,65.22%,29,63.04%,31,67.39%,1,2.17%,1
141,6455.0,622,541,86.98%,541,86.98%,563,90.51%,22,3.54%,0
142,1084.0,110,105,95.45%,105,95.45%,105,95.45%,0,0.00%,0
143,1094.0,121,91,75.21%,89,73.55%,94,77.69%,3,2.48%,2
144,1100.0,541,440,81.33%,436,80.59%,444,82.07%,4,0.74%,4
145,4682.0,790,667,84.43%,664,84.05%,682,86.33%,15,1.90%,3
146,1128.0,370,304,82.16%,304,82.16%,308,83.24%,4,1.08%,0
