Schl,Federal - Non-Personnel,Federal - Personnel,Local - Non-Personnel,Local - Personnel,State - Non-Personnel,State - Personnel
1906,26.99,5.23,2113.24,12560.92,534.29,3175.74
1908,9.71,7.31,2219.75,12335.01,561.21,3118.63
1910,88.51,108.55,1875.5,8765.63,720.17,3365.9
1911,88.56,108.6,1876.45,8770.05,720.53,3367.59
1912,88.4,108.41,1873.17,8754.73,719.28,3361.71
1915,88.27,108.26,1870.42,8741.88,718.22,3356.78
1921,55.79,118.89,2867.8,16411.77,534.49,3058.77
1925,299.27,0,2190.35,21330.73,9.84,2.91
1926,298.53,0,2070.59,21283.98,9.9,73.19
1928,298.76,0,2157.04,21291.14,9.86,278.21
1930,298.43,0,2073.92,21303.7,10.18,0
1932,298.87,1404.87,2079.36,21318.73,9.95,0
1934,300.91,0,2328.2,12212.09,10.29,282.68
1937,24.4,200.26,1575.9,12931.47,333.48,2736.5
1940,24.07,380.28,1554.48,12891.85,328.95,2728.12
1942,30.08,249.32,1942.2,16099.26,411,3406.85
1943,8.82,405.96,77.23,3554.19,65.45,3012.06
1949,143.5,1.41,2531.78,9455.42,548.62,2048.92
1950,147.05,1.45,151.25,9775.25,32.77,2118.23
1952,19.87,2.05,2108.58,11347.32,533.11,2868.91
1958,37.34,522.37,654.04,11184.35,40.02,1550.02
1959,0,0,1157.38,8201.97,854.35,6054.52
1960,106.5,828.95,1026.14,5965.94,757.47,4403.94
1964,0,0,1091.3,7505.36,805.57,5540.3
1965,110.01,863.55,1056.92,6165.52,780.19,4551.26
1966,0,5.67,1099.97,6710.62,811.98,4953.64
1968,188.96,1139.98,1121.99,6596.52,828.23,4869.41
1969,108.85,701.14,1092.92,6893.76,806.77,5088.83
1970,273.82,701.52,536.88,3879.25,396.31,2863.58
1971,0,7.39,638.74,4056.56,471.5,2994.47
1972,0,5.04,1270.91,7309.1,938.16,5395.43
1974,185.36,564.96,1919.87,5851.69,1758.68,5360.37
1978,89.9,1151.54,2248.89,7086.83,1702.9,5388.52
1989,0,0,1219.1,5181.16,2000.93,8503.88
1991,64.58,609.17,1968.78,5906.7,1490.79,4491.2
1992,1.1,200.83,1812.15,5310.91,1372.19,4038.18
1997,64.1,1161.37,711.67,2812.72,1977.63,7816.19
1998,53.26,183.42,609.38,3232.68,1693.39,8983.2
2001,131.87,1682.67,3.67,0,111.34,5554.83
2003,176.59,1904.6,0,0,130.03,5886.43
2004,372.18,2109.99,0.51,0,131.62,5131.51
2009,154.81,1687.96,0.25,0,194.29,6346.16
2011,162.53,2080.03,0.77,0,120.42,5804.86
2013,143.05,1823.37,4.14,0,147.45,6437.61
2016,168.72,1585.71,0,0,86.15,5390.94
2018,149.66,1790.22,6.09,0,134.72,6593.84
2021,141.61,1894.72,2.54,0,118.92,6402.83
2025,143.59,1260.4,2.26,0,138.01,6076.26
2032,418.18,0,1327.01,6617,531.29,2649.21
2035,80.52,658.44,657.75,6290.72,498.43,4766.97
2036,46.49,596.55,625.62,5779.03,474.08,4820.82
2037,115.44,276.85,958.14,7033.4,726.06,5329.75
2038,73.99,398.51,1531.01,11326.19,0,404.71
2039,96.76,486.55,1822.21,12851.96,0,494.95
2040,2.52,6.9,2495.25,12960.49,0,0
2042,42.59,1730.34,735.39,4398.26,1127.85,6613.17
2043,18.27,123.17,1237.46,5759.37,1852.77,8654.82
2046,93.5,570.17,786.57,5743.1,676.95,4942.74
2047,101.29,510.31,893.64,5834.65,769.1,5021.53
2048,79.1,150.36,207.14,6423.71,178.27,5528.5
2052,265.73,231.06,268.82,2881.2,619.04,6634.81
2053,72.14,33.3,1404.4,6264.59,432.91,4344.42
2054,118.64,1154.11,1370.27,6034.13,432.16,4336.85
2059,76.19,1150.86,1331.6,5834.93,432.88,4344.08
2062,32.6,184.52,1527.57,6064.57,456.1,4577.12
2070,86.93,738.56,867.74,3021.86,2067.28,7199.24
2075,65.1,193.9,920.35,2837.9,3293.43,10157.72
2097,190.89,455.43,1302.49,3107.49,3253.18,7761.46
2105,193.91,437.53,1323.12,2985.36,3304.72,7456.42
2126,85.64,0,1622.36,4111.66,2617.15,6632.8
2129,108.38,999.43,521.46,2302.3,1409.88,6224.74
2137,113.89,1072.99,1039.38,4431.35,1528.5,6923.08
2139,53.66,497.34,959.93,4646.77,1399.94,7264.67
2146,0,715.5,412.15,4588.73,476.36,5303.56
2154,55.17,463.06,239.08,2006.6,625.28,5248.02
2163,0,676.93,400.78,4207.05,396.59,4862.43
2172,202.21,468.07,1379.72,3193.78,3446.08,7976.98
2182,31.24,732.39,928.54,3964.61,1342.31,6199
2184,49.5,78.04,1793.92,5197.77,2672.86,8489.74
2185,87.25,883.8,1003.17,4814.57,1468.9,7524.54
2201,40.75,790.43,1391.12,4708.26,1748.4,5917.46
2202,12.79,102.15,1270.98,5674.24,631.93,2794.77
2206,15.38,0,1539.34,6218.11,770.54,3062.65
2221,89.66,5.68,2060.1,5396.74,1812.86,4749.08
2222,44.05,608.54,2121.25,4450.99,1866.68,3916.83
2226,203.67,652.49,2049.15,4743.7,1803.23,4174.41
2233,0,286.13,874.74,4683.69,722.9,3870.68
2234,0,282.34,895.35,4591.46,739.93,3794.46
2238,0,279.55,901.46,6150.38,744.98,5082.78
2243,0,0,1103.78,4943.35,912.18,4085.27
2246,0,0,0,0,0,0
2248,0,0,1.46,8.39,2.24,12.89
2253,0,0,3029.07,5725.37,5263.25,9948.28
2271,0,0,0,0,0,0
2280,110.02,315.09,1730.47,4956.13,2823.33,8086.11
2284,0,0,0,0,0,0
2291,191.72,756.78,862.76,3405.51,2140.92,8450.7
2295,190.22,750.83,855.97,3378.73,2124.08,8384.25
2297,192.2,758.65,864.89,3413.94,2146.22,8471.63
2305,2.25,95.79,1559.14,4948.35,1845.84,5858.27
2308,135.61,154.99,715.68,3227.41,1570.56,7082.53
2309,0,573.24,553.68,2147.78,1124.14,4360.64
2310,0,591.39,551.57,2360.63,1119.86,4792.79
2312,0,376.74,321.4,2278.63,652.53,4626.3
2313,0,243.1,5137.5,2530.41,2507.47,1235.02
2314,29.03,640.92,1418.73,8971.17,786.95,4976.17
2317,0,0,0,0,0,0
2320,27.34,613.42,1414.14,4813.98,2168.35,7381.46
2321,29.03,374.82,1489.2,10073.91,826.03,5587.84
2322,29.03,374.82,1511.97,8140.9,838.67,4515.63
2324,3.9,216.22,1555.04,8891.29,862.56,4931.87
2325,3.9,9.35,1702.21,9513.22,944.19,5276.84
2331,0,0,907.51,4637.48,1620.36,8280.29
2339,52.89,315.55,1131.81,4519.04,2583.92,10316.94
2345,26.52,199.7,1324.58,4901.84,2633.75,9746.61
2350,27.07,579.39,885.55,3638.37,3445.93,14157.97
2352,0,0,0,0,0,0
2353,0,0,0,0,0,0
2358,0,53.88,2327.81,4447.37,5465.03,10802.15
2362,18.63,0,612.6,3787.64,1631.83,10089.44
2368,174.7,504.53,729.83,3506.73,1381.74,6639.01
2385,388.96,816.05,850.89,4968.45,973.15,5630.2
2390,0,0,0,0,0,0
2391,0,0,0,0,0,0
2393,0,0,0,0,0,0
2394,0,0,0,0,0,0
2395,0,0,0,0,0,0
2399,0,0,0,0,0,0
2400,0,0,0,0,0,0
2402,77.95,201.49,2697.38,6972.79,1222.1,3159.16
2407,79.38,205.21,2747.09,7101.27,1244.62,3217.37
2420,8.84,899.49,1472.26,4416.79,2627.06,7881.18
2423,100.68,569.43,1421.28,5760.36,654.95,2654.47
2446,0,0,2786.43,7626.03,1558.03,4264.09
2448,5.39,442.13,0,0,0,0
2449,0,0,0,0,0,0
2455,122.73,944.9,676.1,4360.64,836.94,5398.02
2474,312.29,865.85,681.1,4786.67,843.14,5925.41
2476,47.47,1154.91,731.51,6198.11,905.53,7672.62
2481,17.9,686.03,697.06,5254.84,862.89,6504.96
2487,94.93,476.8,709.26,5379.07,878,6658.73
2489,17.77,656.2,763.02,5829.02,944.54,7215.73
2496,15.66,564.27,2581.39,10387.15,41.44,163.63
2500,49.99,578.26,2858.75,8247.38,946.75,2731.32
2506,52.3,388.02,1434.14,8077.36,611.12,3441.98
2510,47.49,264.65,1355.33,8799.66,577.54,3749.77
2515,320.74,872.07,2358.67,6433.82,2517.86,6868.03
2516,115.7,284.7,1230.55,6686.58,527.38,2865.68
2517,4.55,493.48,2305.33,7398.77,661.18,2122.02
2521,154.72,754.55,2137.23,7796.4,612.97,2236.06
2522,271.9,903.96,2676.17,8173.91,767.54,2344.33
2531,56.79,178.3,2135.33,8464.34,612.43,2427.63
2532,31.82,73.32,2675.86,9023.25,767.45,2587.93
2539,55.83,48.13,1681.41,7735.02,842.86,3877.43
2552,50.31,852.97,3003.12,7875.86,994.56,2608.29
2554,53.82,340.77,4284.3,8117.12,1418.85,2688.18
2555,57.85,282.64,1597.39,7804.16,718.4,3509.78
2558,57.81,282.47,1596.46,7799.63,717.98,3507.74
2559,56.17,274.45,1551.15,7578.28,697.6,3408.19
2561,57.25,279.7,1580.82,7723.21,710.94,3473.37
2562,60.6,296.1,1673.48,8175.9,752.62,3676.96
2563,76.51,629.58,1670.76,7915.95,716.04,3392.55
2564,28.49,607.93,1524.76,7720.86,653.47,3308.94
2568,23.38,545.6,1462,7463.68,626.57,3198.72
2570,78.58,612.52,1471.08,7826.51,630.46,3354.22
2574,4.63,810.62,1375.12,8463.66,510.5,3142.07
2575,4.6,2.33,1401.8,9539.22,520.41,3541.36
2576,4.7,673.74,1350.71,8734.14,501.44,3242.48
2577,4.7,598.6,1349.13,8721.45,500.85,3237.77
2578,4.87,2.46,1649.19,10143.57,612.25,3765.72
2581,600.77,1063.22,1478.51,5020.97,1875.69,6369.79
2584,572.37,1152.97,1589.78,5275.54,2016.85,6692.74
2587,465.05,854.09,1422.06,5074.14,1804.07,6437.24
2589,495.5,875.87,1551.14,5600.94,1967.83,7105.56
2590,478.57,567.88,1336.33,4969.18,1695.32,6304.09
2591,548.42,1089.09,1427.46,4420.79,1810.93,5608.38
2592,456.55,1119.31,1345.61,4239.72,1707.1,5378.67
2593,514.37,798.92,1371.62,7070.32,1740.09,8969.67
2594,519.59,848.94,1863.22,7461.13,2363.75,9465.47
2595,522.68,534.64,1520.3,8120.45,1928.71,10301.91
2596,640.39,578.38,1665.23,5670.77,2112.58,7194.15
2597,518.64,953.24,1370.02,4866.5,1738.06,6173.82
2598,521.74,681,1720.04,5483.87,2182.11,6957.04
2599,498.33,654.6,1498.13,5431.31,1900.58,6890.37
2600,519.98,1034.06,1394.6,6317.05,1769.24,8014.05
2606,19.35,451.5,1078.5,7420.02,233.76,3622.31
2607,0.84,178.56,1804.66,10063.27,176.33,3354.83
2618,11.56,0,2291.07,8571.99,968.84,3624.89
2619,44.08,213.18,1645.77,9544.15,435.6,2526.15
2620,43.8,5.99,1720.39,8497.91,455.35,2249.23
2621,43.66,5.97,1770.75,8539.1,468.68,2260.13
2623,57.71,244.53,2203.49,8775.13,583.22,2322.61
2626,56.94,560.8,1223.36,6732.02,524.3,2885.15
2627,92.14,0,1208.44,6552.57,517.9,2808.24
2628,107.72,763.26,1227.86,6714.31,526.23,2877.56
2629,83.15,0,1240.56,6669.34,531.67,2858.29
2633,18.8,0,1650.76,8727.09,707.47,3740.18
2634,83.92,221.54,1194.54,6521.78,511.95,2795.05
2648,497.84,626.88,4516.2,6545.79,0,0
2649,0,0,3531.46,6386.74,0,11.59
2654,139,1248.58,1660.9,6209.46,981.74,3670.35
2655,104.81,1239.41,1673.53,5765.77,989.21,3408.09
2656,86.77,998.8,1770.78,6380.18,1046.69,3771.26
2657,12.29,84.51,1835.77,6913.18,1085.11,4086.31
2658,12.65,39.78,2467.95,7380.32,1458.78,4362.43
2660,23.32,149.28,1280.44,8196.82,532.28,3407.44
2661,22.68,143.01,1245.35,7852.45,517.7,3264.29
2663,26.07,158.03,1431.58,8677.07,595.11,3607.09
2675,5.27,394.8,982.55,5346.57,1785.19,9714.19
2680,56.58,64.73,2292.02,2762.25,4787.26,5769.43
2686,51.64,0,2331.52,968.03,61.17,14331.55
2688,0,0,0,0,0,0
2689,0,0,0,0,0,0
2704,341.04,1056.86,776.82,2407.35,2426.07,7518.33
2706,40.47,973.67,1014.24,3072.59,2105.86,6379.6
2708,0,0,2101.12,4653.96,2851.89,9662.98
2709,0,0,0,0,0,0
2712,0,0,0,0,0,0
2721,0,0,1156.75,4052.45,1216,4260.01
2723,25.04,613.88,2419.14,9659.89,0,0
2724,25.14,50.72,2477.49,8796.41,0,0
2725,26.58,16.71,4606.98,13912.48,0,0
2728,54.23,550.97,1145.12,6858.5,348.69,3565.55
2729,58.14,108.6,1139.44,7262.08,346.96,3798.3
2735,0,184.73,1744.67,7658,739.93,3247.84
2740,0,0,2815.66,11069.78,1194.15,4694.81
2743,66.1,778.62,390.45,2564.35,786.81,5355.83
2746,111.6,799.16,399.34,2651.23,802.75,5534.52
2754,42.43,717.66,361.01,2609.25,768.25,5523.21
2755,78.39,446.24,1567.76,7017.79,1039.27,4652.08
2756,34.49,444.8,1526.03,7259.18,1011.61,4812.1
2757,15.5,446.36,1390.26,6150.08,921.6,4076.88
2758,48.61,442.15,1566.93,8313.13,1038.72,5510.76
2760,7.25,30.89,1959.51,8262.38,1298.96,5477.12
2761,10.02,349.84,851.21,5443.77,523.7,3522.98
2764,9.58,374.88,892.22,6480.82,548.37,4168.81
2765,6.11,0,852.34,6132,522.01,3728.74
2766,8.63,18.13,1215.56,6214.37,744.41,3789.85
2768,119.93,832.06,549.32,3811.02,991.07,6875.7
2774,124.21,856.11,568.93,3921.18,1026.44,7074.45
2775,124.72,798.32,571.26,3656.47,1030.65,6596.88
2777,120.74,981.56,553.03,4495.76,997.76,8111.09
2779,128.99,963.75,590.82,4414.18,1065.94,7963.9
2780,128.03,776.17,586.39,3555.01,1057.95,6413.82
2781,121.18,743.21,555.03,3404.06,1001.36,6141.49
2782,122.18,769.25,559.59,3523.35,1009.6,6356.7
2785,119.9,738.85,549.18,3384.12,990.81,6105.51
2786,116.1,868.73,531.75,3978.96,959.36,7178.7
2790,124.7,816.37,571.15,3739.16,1030.44,6746.05
2791,160.26,1107.53,734.05,5072.73,1324.35,9152.04
2792,163.5,1035.63,748.87,4743.43,1351.08,8557.92
2793,164.58,1054.52,753.82,4829.94,1360.02,8714.01
2794,136.24,988.21,624,4526.23,1125.79,8166.05
2795,133.23,945.58,610.2,4330.98,1100.91,7813.79
2797,20.79,307.91,1571.85,8866.41,723.21,3963.01
2798,21.79,376.54,1622.24,11159.82,746.25,4988.09
2799,35.02,705.1,1528.35,10032.91,479.13,3145.28
2802,50.91,376.8,1436.2,10136.8,450.24,3177.85
2804,34.82,577.08,1418.7,9014.63,444.76,2826.05
2808,73.28,448.82,1486.24,8728.36,465.93,2736.31
2809,14.93,309.39,1688.99,8746.74,529.49,2742.07
2813,17.37,761.38,1695.49,7522.18,1135.52,5037.81
2818,61.34,508.33,1823.81,11906.26,1221.45,7973.96
2819,29.24,185,1629.07,11112.89,661.09,4509.68
2821,25.12,185.49,2133.9,9891.18,865.95,4013.9
2823,21.54,372.7,1259.8,12208.24,291.82,2827.91
2824,21.4,382.1,1145.32,12022.46,265.3,2784.88
2825,21.1,610.69,1312.49,11927.95,304.02,2762.98
2826,21.54,411.97,1214.97,12093.13,281.43,2801.25
2827,21.56,383.01,1208.03,12471.21,279.83,2888.82
2829,0,71.82,1607.12,11313.97,372.27,2620.76
2832,77.57,376.62,6812.31,11461.5,1896.02,3190
2833,89.11,692.48,9276.27,13759.22,2581.8,3829.51
2839,23.72,66.8,3673.33,10344.66,1059.47,2983.62
2848,6.46,76.99,1175.76,8606.8,591.88,3933.63
2858,0,476.5,1431.51,5901.65,851.35,3509.84
2868,0,0,0,308.17,0,0
2869,0,0,0,0,0,0
2874,135.3,1322.01,1402.46,6069.57,1099.81,4759.75
2875,135.3,365.66,1417.09,6695.62,1111.28,5250.7
2878,52.99,905.25,1085.49,6215.54,969.58,5550.9
2888,4.85,428.44,1603.93,5855.06,1508.57,5506.97
2891,5,441.42,912.12,5898.47,865.83,5547.8
2917,52.65,899.48,1087.63,6227.8,971.5,5561.85
2918,53.18,908.52,1094.9,6269.42,977.99,5599.02
2920,0,1072.5,1318.74,9134.42,965.18,6685.39
2922,0,77.61,1227.39,7169.7,898.31,5247.43
2924,0,92.8,1446.21,6800.93,1058.46,4977.53
2955,19.61,436.65,1575.89,4686.48,2604.22,7744.58
2956,94.56,443.07,1599.06,4755.37,2642.5,7858.43
2958,19.46,433.29,1563.75,4650.38,2584.16,7684.93
2995,114.08,1075.79,779.97,3494.85,599.3,5469.01
3007,0,230.59,1432.68,5975.39,935.6,7245.2
3008,42.88,357.03,1323.6,5035.93,895.15,6401.07
3009,48.01,375.84,1431.25,5758.93,969.72,7196.5
3018,1.17,190.44,955.28,4280.43,1215.82,5447.81
3019,5.16,464.05,826.28,4219.63,1051.63,5370.43
3021,1.17,548.94,1172.33,4878.18,1492.06,6208.59
3031,22,473.6,894.23,5474.24,1144.84,7008.44
3033,21.24,457.37,832.72,5286.67,1066.09,6768.3
3034,21.21,456.57,986.88,5277.4,1263.46,6756.43
3036,51.41,550.77,505.99,5181.44,218.5,2237.43
3037,0,0,838.51,6671.84,362.08,2881.01
3039,56.61,1053.19,876.03,5197.56,1012.84,6009.31
3040,0,0,1871.51,6393.68,2163.8,7392.23
3042,0.89,745.6,2144.9,5059.44,1675.33,3951.82
3044,0.9,912.34,2503.18,5838.42,1955.18,4560.26
3045,0.9,29.6,2493.6,6653.18,1947.7,5196.65
3047,76.25,239.08,1058.41,5280.3,963.73,5270.85
3048,83.12,156.41,1339.27,7047.35,1219.47,7034.73
3054,0.15,1.81,1.09,8.5,1.37,10.72
3056,0.08,0.32,1.43,9.89,1.8,12.47
3057,215.5,1280.33,793.26,4727.45,1019.91,6078.15
3058,216.16,1367.61,815.08,4742.37,1047.96,6097.33
3073,217.05,1412.96,845.75,5543.2,1087.39,7126.97
3092,32.16,0,491.03,4089.73,959.93,7995.23
3100,105.58,70.27,424.22,3273.87,1093.97,8442.54
3106,79.68,311.8,471.06,2564.4,1975.27,10753.23
3107,82.54,323,363.79,2726.41,1525.47,11432.55
3111,16.4,528.99,635.88,3245.9,2066.87,10550.5
3116,448.88,381.06,799.55,3892.94,1866.35,9087.05
3117,411.69,349.49,804.47,4205.07,1877.83,9815.65
3124,30.04,177.81,882.84,4178.51,1474.95,6980.98
3137,0,0,772.66,4289.87,1331.14,7390.63
3143,2.14,841.84,991.72,4830.58,1118.33,5447.25
3145,2.14,43.96,1602.95,6092.38,1807.59,6870.13
3146,46.99,625.42,960.54,5926.76,612.02,3776.34
3147,32.48,469.65,942.64,6128.79,600.62,3905.06
3150,9.68,107.51,1334.65,7724.51,850.4,4921.81
3154,613.71,1382.79,1209.5,3563.62,2455.65,7235.23
3155,18.98,0,1098.27,4573.89,2229.83,9286.39
3157,5.78,702.05,1372.02,4664.67,1610.6,5475.81
3158,0,0,1441.38,5417.08,1692.02,6359.06
3164,66.34,1285.98,853.08,3764.84,1859.59,8206.81
3165,79.66,97.77,826.33,4910.69,1801.28,10704.58
3196,126.79,2207.08,1204.2,4802.89,1483.15,5915.45
3201,161.08,1021.12,1998.06,10884.59,848.07,4619.92
3202,167.42,912.94,1864.98,10605.26,791.58,4501.35
3204,160.37,1168.09,1810.59,10339.8,768.5,4388.68
3210,69.54,214.65,2443.55,7711.48,2239.65,6629.64
3214,56.25,481.87,1444.48,12373.72,679.61,5821.72
3216,69.06,464.89,1773.29,11937.5,834.31,5616.48
3221,136.82,927.65,1088,13220.55,515.65,6926.44
3224,0,0,1262.37,10627.24,598.34,5036.75
3226,110.46,144.22,1819.42,14819.44,0,0
3229,110.46,263.8,1819.42,14819.44,0,0
3232,110.46,252.06,1819.42,14819.44,0,0
3234,110.46,685.35,1819.42,14819.44,0,0
3241,110.46,190.14,1819.42,14819.46,0,0
3242,110.71,215.07,1819.42,14819.42,0,0
3245,0,151.24,1716.99,15293.8,1173.21,2344.25
3247,0.75,213.25,1442.15,16740.89,1173.64,2626.4
3250,5.27,19.38,5415.61,18431.04,2.38,4.24
3252,6,183.02,5675.91,39927.97,2.4,4.23
3255,5.14,18.7,5630.36,18835.98,2.37,4.35
3256,5.49,19.76,5464.25,17893.24,2.44,4.18
3257,5.24,308.69,5230.04,15508.59,2.36,4.17
3260,6.85,190.32,4222.66,19397.65,1.62,0
3261,235.93,1382.32,2479.29,17969.66,544.19,3944.5
3263,171.88,643.73,2126.03,10868.92,718.6,3673.71
3265,376.05,510.47,2259.81,10426.14,763.82,3524.05
3266,100.45,561.91,1883.03,9351.87,641.61,3165.43
3267,111.6,498.43,1956.71,12121.09,493.77,3058.73
3270,86.75,387.47,2693.59,12967.66,679.72,3272.37
3271,107.1,478.35,3024.88,11379.45,616.29,2871.58
3272,93.89,419.37,2451.37,12469.28,618.6,3146.6
3276,174.37,72.47,3353.2,14782.06,0,0
3286,17.68,143.94,2081.64,16949.47,349.21,2843.41
3287,17.82,145.44,2098.68,17126.78,352.07,2873.16
3288,16.95,143.44,1996.2,16891.36,334.88,2833.66
3289,18.48,138.11,2176.27,16263.83,365.09,2728.39
3291,17.97,143.85,2116.15,16939.88,355,2841.8
3293,19.38,163.26,2282.19,19224.46,382.86,3225.06
3294,18.94,164.23,2230.26,19339.72,374.14,3244.4
3295,21.61,171.83,2544.59,20234.38,426.88,3394.48
3296,23,178.1,2708.07,20972.76,454.3,3518.35
3297,38.46,124.79,3077.01,9982.85,730.79,2370.93
3303,10.27,416.08,3196.17,11592.59,872.27,3163.75
3305,7.43,240.48,3231.89,11790.98,882.02,3217.89
3318,92.5,1198.72,1221.33,10086.71,412.81,3409.33
3320,283.66,401.03,1155.94,7809.26,390.71,2639.54
3321,289.24,679.86,1362.97,9929.32,460.69,3356.13
3326,54.57,0,2002.85,10612.74,555.9,2945.63
3327,237.15,130.18,2673.99,12178.61,742.18,3380.25
3328,57.53,0,1852.73,9758.74,514.24,2708.6
3332,3.63,23.19,2928.58,12635.08,642.85,2773.55
3333,34.19,13.83,3897.75,15759.83,855.6,3459.47
3334,49.23,280.32,1546.41,9331.62,727.23,4388.39
3336,38.71,1015.33,1719.42,11435.1,808.59,5377.6
3337,44.3,538.13,1646.1,9285.15,774.11,4366.54
3338,35.5,711.85,1963.8,9983.62,923.52,4695.01
3339,58.08,1025.72,2170.64,5767.58,1820.82,4838.06
3341,61.36,1194.26,2047.09,5925.66,1717.18,4970.68
3342,68.91,950.71,2011.08,5261.38,1686.97,4413.45
3345,73.17,1519.36,2090.15,5971.44,1753.3,5009.08
3346,145.37,599.8,2529.77,5916.42,2122.07,4962.92
3348,108.56,342.25,4870.43,6994.64,4085.5,5867.37
3354,104.6,205.11,2201.28,9418.04,751.6,3256.48
3357,175.7,711.42,1807.74,11036.12,616.27,3726.01
3358,45.69,5.98,1711.2,15783.98,453.13,4181.95
3364,79.62,175.72,1377.52,10002.2,363.95,2645.05
3365,41.19,49.61,1023.88,2205.72,269.4,572.62
3367,80.7,110.61,1502.64,10497.92,396.38,2777.44
3368,15.9,427.66,5021.93,15409.13,39.56,0
3370,4.25,245.82,4982.69,15288.72,39.26,0
3375,3.06,166.09,5048.13,15489.53,39.77,0
3376,4.03,166.92,5073.46,15567.25,39.97,0
3382,9.28,83.35,1811.39,16273.2,384.13,3450.99
3385,9.29,82.19,1813.07,16047.36,384.49,3403.09
3389,80.59,47.48,2824.65,15376.36,476.12,2591.82
3391,80.26,47.28,2823.81,18391.79,475.98,3100.1
3394,53.26,47.26,2666.88,13446.42,449.53,2266.51
3395,53.99,47.9,2986.48,16862.22,503.4,2842.27
3401,123.87,33.75,1053.64,13423.5,6.76,0
3406,21.5,109.83,1733.6,8856,816.9,4173.1
3408,91.87,398.73,1203.44,8646.62,406.77,2922.57
3411,4.02,22.82,2895.6,14462.02,635.58,3174.59
3414,0,0,1125.19,12531.58,1186.91,1823.98
3424,22.59,153.4,1737.14,7950.77,719.96,3952.99
3425,22.32,120.67,1778.41,7910.5,742.16,3932.97
3430,0,302.62,2418.55,12504.94,0,0
3434,0,0,2982.45,14205.13,0,0
3436,8.91,1328.6,877.58,8764.1,580.46,6144.35
3442,39.75,926.17,872.56,7719.65,540.84,4728.87
3443,199.21,955.47,1082.37,7016.46,674.98,5091.3
3449,12.18,986.03,885.99,6725.07,559.33,4150.46
3452,3.92,326.74,933.64,7656.17,581.21,4687.83
3453,10.93,827.19,888.73,7524.88,555.95,5280.85
3454,48.5,1996.83,1404.01,8463.76,893.46,7075.03
3455,3.98,212.37,768.53,7861.13,479.47,4814.32
3456,123.23,161.62,865.56,7416.32,541.29,4538.77
3458,8.68,796.03,1209.77,8080.41,752.88,5816.06
3459,6.02,339.24,873.79,7845.15,546.08,4804.61
3462,453.33,952.43,1030.72,8253.42,646.8,5052.71
3463,13.94,295.87,1068.75,7440.22,671.13,4558.64
3464,475.12,1411.65,1291.65,9031.13,796.29,5531.35
3465,22.32,222.31,1381.92,7529.81,870.01,4612.19
3473,52.08,375.45,1138.34,9086.81,683.13,3935.64
3477,49.16,354.42,1174.3,9510.46,687.12,4110.28
3478,50.85,366.59,1226.68,11134.33,715.82,4801
3482,51.18,368.96,1521.99,9006.62,844.29,3900.18
3485,52.72,312.88,1635.33,11195.38,565.1,3162.26
3494,10.29,103.8,2047.1,13582.16,16.73,111.63
3495,8.62,119.13,2011.69,13399.21,99.91,65.06
3499,33.99,289.26,2009.52,13648.17,12.79,349.35
3500,34.03,226.04,2238.13,15460.6,17.77,408.89
3505,33.38,89.79,2411.01,13319.42,7.86,0
3511,37.3,724.92,1287.36,8104.52,684.61,4309.95
3516,37.68,906.93,1557.24,5803.52,810.4,3020.2
3520,0,2.22,1722.86,6886.77,896.59,3583.94
3522,66.11,4.02,-5.7,8617.32,-2.96,4484.53
3532,62.13,547.75,1193.65,4088.54,1582.27,5419.69
3537,109.52,474.71,970.46,4693.89,971.19,5132.85
3541,273.93,815.7,1270.39,6933.52,1276.14,7269.09
3549,155,754.73,737.09,4473.32,790.56,4797.81
3567,154.65,751.78,759.29,5366.88,814.37,5756.19
3569,120.25,202.67,1094.91,6003.18,1174.33,6438.65
3575,0,169.77,1674.13,5091.79,1674.13,5091.79
3589,7.91,0,1432.3,7922.74,1338.92,7406.24
3594,26.17,506.49,3640.73,6464.4,2698.54,4782.11
3596,12.16,40.48,2895.72,5286.16,2541.86,4562.66
3597,12.35,73,2927.27,5343.77,2630.39,4528.94
3601,304.21,2187.49,2013.9,9557.14,102.75,833.23
3602,300.36,2196.83,1964.53,9300.33,100.54,690.73
3611,247.01,2902.6,1850.45,10875.7,96.69,895.95
3613,213.64,2545.81,1920.7,8542.53,100.17,575.68
3614,240.94,2079.93,1783.13,9478.52,90.87,413.09
3615,221.76,2166.08,1896.18,8966.35,90.82,377.39
3616,191.58,1655.52,1822.76,9746.05,90.7,348.65
3618,248.36,1629.95,1854.93,9023.7,90.7,434.76
3620,260.55,3027.57,1920.45,10722.78,98.85,383.94
3622,263.52,1610.44,1905.02,7755.47,96.11,431.32
3625,298.49,2298.12,2604.61,12369.35,90.86,455.02
3626,319.8,2423.91,2038.27,8622.34,99.16,458.57
3629,228.86,3137.84,2042.09,10136.52,90.94,458.19
3630,240.21,2798.35,1979.71,9390.07,95.68,515.95
3635,191.7,2183.18,1822.23,9380.66,90.71,552.26
3642,217.07,1632.38,1808.7,7943.27,96.05,475.6
3645,197.62,2850.86,1822.67,10096.18,90.84,365.9
3647,238.96,1284.78,1851.43,8619.46,96.61,401.03
3648,199.3,1350.84,1756.37,8475.3,90.89,455.13
3649,191.69,1022.81,1750.76,8457.88,90.85,284.69
3650,220.81,1252.41,1814.58,8253.26,90.99,531.2
3653,256.62,2022.94,1875.98,9060.96,97.13,613.11
