Schl,Federal - Non-Personnel,Federal - Personnel,Local - Non-Personnel,Local - Personnel,State - Non-Personnel,State - Personnel
591,0,94.58,1093.95,5924.89,813.7,4407.03
592,65.34,877.41,1292.61,6984.97,961.47,5195.53
594,0,32.15,1534.66,7261.16,1141.5,5400.97
629,352.79,285.55,1473.08,6121.85,1128.26,4688.84
632,356.88,785.59,1340.37,5806.28,1026.61,4447.14
633,403.99,40.83,1342.03,5353.77,1027.88,4100.55
640,85.56,243.52,2997.75,8532.64,1604.15,4565.97
642,226.93,523.26,1349.57,3111.86,2979.4,6869.95
648,199.36,554.07,1185.59,3295.1,2617.38,7274.47
649,464.22,670.31,2760.72,3986.39,6094.74,8800.62
650,180.72,622.84,1074.76,3704.05,2372.72,8177.29
661,630.91,723.43,1705.83,7407.66,1306.52,5673.67
671,0,491.37,1203.47,7579.29,1070.66,6742.89
672,0,489.31,1012.13,5530.02,900.44,4919.76
674,0,99.42,1351.76,8025.13,1202.58,7139.53
675,0,87.68,1252.73,8886.04,1114.49,7905.43
694,383.44,0,1667.21,3900.63,4823.63,8711.41
695,209.53,0,2240.64,4426.57,3421.69,9886
700,34.99,146.21,1378.8,6300.28,1810.31,8272.03
714,58.73,143.51,2669.42,6523.17,4270.78,10436.35
715,0,371.72,3873.79,10644.87,609.08,1343.6
719,0,0,4419.45,14823.2,0,0
726,56.19,371.25,1563.8,5188.99,1626.6,5397.38
729,115.64,369.67,791.16,3027.93,1832,7011.45
730,76.08,1128.01,963.58,3099.24,2231.25,7176.58
732,121.35,257.39,911.12,3252.46,2109.77,7531.35
735,812.65,773.91,1581.74,5223.92,2060.05,6803.63
752,214.37,183.89,706.78,1254.66,2387.01,4237.37
753,312.54,1188.8,1655.04,4435.29,5589.57,14979.33
768,61.87,122.05,5164.65,10187.88,2254.15,4446.57
777,21,103.5,2080.17,10252.59,1033.03,5091.54
783,34.99,317.01,962.45,8563,509.12,4529.72
786,67.31,610.76,1088.9,8091.15,576.02,4280.12
787,35.88,218.87,1240.89,10590.6,656.41,5602.3
788,37.78,315.18,1003.24,9083.75,530.7,4805.2
791,35.9,203.37,1785.48,10115.49,857.51,4858.17
793,31.42,173.47,1479.5,8168.83,542.52,2995.43
794,31.08,223.12,1463.44,10507.15,536.63,3852.87
801,34.27,183.48,1613.7,8640.28,591.73,3168.3
802,36.71,177.69,1728.95,8367.77,633.99,3068.38
808,12.91,233.14,3638.34,13987.27,11.64,0
809,22.65,80.15,2752.67,13230.81,13.22,419.65
810,351.89,642.04,2088.94,12909.39,817.06,5049.29
816,0,0,3631.32,12948,1420.33,5064.39
820,18.06,0,1454.67,8109.96,951.76,5158.95
827,17.24,42.86,1546.54,7927.7,518.6,3569.25
831,291.01,1331.41,312.61,1580.77,1282.36,7231.81
832,229.63,1272.89,269.35,1491.54,1092.04,6537.32
840,247.27,1409.15,305.07,1492.84,1238.12,6678.16
844,170.64,966.93,332.36,1888.17,1376.17,8747.04
845,411.41,1544.05,285.28,1335.98,1160.09,6125.8
852,302.96,977.25,300.05,1572.65,1212.6,7328.41
855,570.32,903.92,367.53,2000.89,1505.18,8433.23
856,580.29,1248.35,359.67,1793.04,1462.96,7557.22
857,403.61,1520.64,367.49,2115.83,1505.72,8917.66
858,277.13,789.38,338.95,1646.27,1381.82,6938.65
860,35.58,237.93,1769.95,11834.37,850.05,5683.69
864,0,28.84,4438.14,16909.11,0,0
868,25.52,734.09,3092.14,13134.94,0,278.2
872,25.42,768.52,3086.41,12752.21,0,262.53
873,0,293.41,3869.51,12731.27,0,0
883,12.74,503.04,790.71,8735.88,511.96,3142.24
885,26.22,608.58,2020.89,9984.08,493.31,2437.19
886,29.18,1013.07,1786.07,9191.33,435.99,2243.67
887,26.26,180.09,3063.43,11973.74,747.81,2922.88
891,290.4,528.75,582.48,2541.62,1529.02,6457.88
895,260.31,1097.77,489.35,2533.77,1231.87,6189.2
902,232.85,640.17,474.48,2291.14,1196.99,5623.29
908,292.14,986.93,577.88,2373.55,1504.23,6021.71
913,79.64,467.7,782.85,3852.18,1935.67,9060.17
914,76.5,575.8,739.57,3502.71,1205.68,5710.28
917,2.92,110.34,1009.72,4713.2,1646.09,7683.68
921,57.96,57.95,1029.69,3104.3,2598.6,7622.43
927,3.81,76.44,892.07,6492.19,719.04,5232.91
930,294.96,595.71,461.57,2156.36,1155.9,5273.62
933,329.12,1310.03,517.86,2374.03,1311.38,5857.21
936,21.16,603.78,875.06,3925.59,1163.57,5219.88
941,22.43,177.8,1181.47,4465.14,1571.01,5937.32
